,TRV
2014-01-02,69.65882110595703
2014-01-03,69.52630615234375
2014-01-06,69.33911895751953
2014-01-07,68.93360900878906
2014-01-08,68.29419708251953
2014-01-09,68.37218475341797
2014-01-10,68.2240219116211
2014-01-13,67.32723236083984
2014-01-14,68.1928482055664
2014-01-15,68.52814483642578
2014-01-16,68.02903747558594
2014-01-17,67.42861938476562
2014-01-21,66.2823486328125
2014-01-22,65.939208984375
2014-01-23,64.77734375
2014-01-24,63.63884353637695
2014-01-27,64.16909790039062
2014-01-28,64.80075073242188
2014-01-29,64.1067123413086
2014-01-30,64.22367858886719
2014-01-31,63.38150405883789
2014-02-03,62.58610916137695
2014-02-04,62.65629959106445
2014-02-05,62.72649002075195
2014-02-06,62.92142868041992
2014-02-07,63.069576263427734
2014-02-10,64.21590423583984
2014-02-11,64.88651275634766
2014-02-12,64.14569091796875
2014-02-13,64.62918853759766
2014-02-14,65.51815032958984
2014-02-18,65.79106903076172
2014-02-19,65.51034545898438
2014-02-20,65.3543930053711
2014-02-21,65.33878326416016
2014-02-24,65.06584930419922
2014-02-25,64.98788452148438
2014-02-26,65.05805969238281
2014-02-27,65.38555145263672
2014-02-28,65.37775421142578
2014-03-03,64.86310577392578
2014-03-04,65.58833312988281
2014-03-05,65.79106903076172
2014-03-06,66.20682525634766
2014-03-07,65.83812713623047
2014-03-10,65.72046661376953
2014-03-11,65.56356811523438
2014-03-12,65.44591522216797
2014-03-13,64.78695678710938
2014-03-14,64.8418960571289
2014-03-17,65.53219604492188
2014-03-18,65.85380554199219
2014-03-19,65.26545715332031
2014-03-20,65.28900909423828
2014-03-21,65.72046661376953
2014-03-24,65.7832260131836
2014-03-25,65.91659545898438
2014-03-26,65.44591522216797
2014-03-27,65.49298858642578
2014-03-28,65.88520812988281
2014-03-31,66.75592803955078
2014-04-01,66.19896697998047
2014-04-02,66.40293884277344
2014-04-03,66.66179656982422
2014-04-04,66.83440399169922
2014-04-07,66.67750549316406
2014-04-08,66.46568298339844
2014-04-09,67.32071685791016
2014-04-10,66.66963958740234
2014-04-11,66.91280364990234
2014-04-14,67.06969451904297
2014-04-15,67.3756332397461
2014-04-16,68.07379913330078
2014-04-17,67.9953384399414
2014-04-21,67.77569580078125
2014-04-22,68.16007995605469
2014-04-23,69.13277435302734
2014-04-24,69.49359893798828
2014-04-25,69.27398681640625
2014-04-28,70.31729888916016
2014-04-29,71.30570983886719
2014-04-30,71.05467224121094
2014-05-01,71.25076293945312
2014-05-02,71.38414001464844
2014-05-05,71.10956573486328
2014-05-06,70.50555419921875
2014-05-07,71.43904113769531
2014-05-08,71.5723648071289
2014-05-09,71.61946868896484
2014-05-12,72.19994354248047
2014-05-13,72.88243103027344
2014-05-14,72.67845916748047
2014-05-15,72.45879364013672
2014-05-16,72.62355041503906
2014-05-19,72.77257537841797
2014-05-20,72.69412994384766
2014-05-21,72.84321594238281
2014-05-22,72.9608383178711
2014-05-23,72.84321594238281
2014-05-27,73.33739471435547
2014-05-28,73.3138427734375
2014-05-29,73.8158950805664
2014-05-30,73.3060302734375
2014-06-02,73.50997161865234
2014-06-03,73.2746353149414
2014-06-04,74.26302337646484
2014-06-05,74.49835968017578
2014-06-06,74.45100402832031
2014-06-09,74.6877212524414
2014-06-10,75.0348892211914
2014-06-11,74.87706756591797
2014-06-12,74.95597839355469
2014-06-13,75.27949523925781
2014-06-16,75.31891632080078
2014-06-17,75.12957763671875
2014-06-18,75.2715835571289
2014-06-19,75.42941284179688
2014-06-20,74.63249206542969
2014-06-23,74.9165267944336
2014-06-24,74.69561004638672
2014-06-25,74.84553527832031
2014-06-26,74.4904556274414
2014-06-27,74.10384368896484
2014-06-30,74.22221374511719
