,RTX
2014-01-02,54.667911529541016
2014-01-03,54.867156982421875
2014-01-06,54.81369400024414
2014-01-07,55.163612365722656
2014-01-08,55.23162841796875
2014-01-09,55.26080322265625
2014-01-10,55.31911849975586
2014-01-13,54.81855392456055
2014-01-14,54.735939025878906
2014-01-15,55.43574523925781
2014-01-16,55.508644104003906
2014-01-17,55.50379180908203
2014-01-21,55.882835388183594
2014-01-22,56.43199920654297
2014-01-23,55.809967041015625
2014-01-24,54.33257293701172
2014-01-27,55.2996711730957
2014-01-28,55.33367919921875
2014-01-29,55.04697036743164
2014-01-30,55.73219680786133
2014-01-31,55.411434173583984
2014-02-03,53.53557586669922
2014-02-04,53.02042007446289
2014-02-05,52.44212341308594
2014-02-06,53.19051742553711
2014-02-07,53.81257247924805
2014-02-10,54.23537826538086
2014-02-11,54.896305084228516
2014-02-12,55.09660339355469
2014-02-13,55.35064697265625
2014-02-14,55.629119873046875
2014-02-18,55.56561279296875
2014-02-19,55.71215057373047
2014-02-20,56.205570220947266
2014-02-21,56.36679458618164
2014-02-24,56.90906524658203
2014-02-25,56.61594009399414
2014-02-26,56.723426818847656
2014-02-27,56.967689514160156
2014-02-28,57.16798782348633
2014-03-03,57.040992736816406
2014-03-04,57.44646072387695
2014-03-05,57.35849380493164
2014-03-06,57.52949523925781
2014-03-07,57.798194885253906
2014-03-10,57.53437805175781
2014-03-11,56.49380874633789
2014-03-12,56.57685852050781
2014-03-13,55.15034866333008
2014-03-14,55.008663177490234
2014-03-17,55.89292526245117
2014-03-18,56.02482604980469
2014-03-19,55.697509765625
2014-03-20,55.58024978637695
2014-03-21,55.9710578918457
2014-03-24,55.57047653198242
2014-03-25,56.27885818481445
2014-03-26,55.975955963134766
2014-03-27,55.59491729736328
2014-03-28,56.088340759277344
2014-03-31,57.08006286621094
2014-04-01,57.60765838623047
2014-04-02,58.560325622558594
2014-04-03,58.51144027709961
2014-04-04,57.734676361083984
2014-04-07,56.757625579833984
2014-04-08,56.55730056762695
2014-04-09,57.17775344848633
2014-04-10,55.9661750793457
2014-04-11,55.658424377441406
2014-04-14,56.15184783935547
2014-04-15,56.591514587402344
2014-04-16,57.68095397949219
2014-04-17,57.925193786621094
2014-04-21,57.793304443359375
2014-04-22,58.22808837890625
2014-04-23,58.45280456542969
2014-04-24,58.12551498413086
2014-04-25,57.260807037353516
2014-04-28,57.50017547607422
2014-04-29,57.43178176879883
2014-04-30,57.80796432495117
2014-05-01,57.060516357421875
2014-05-02,56.923709869384766
2014-05-05,57.07029342651367
2014-05-06,56.67457962036133
2014-05-07,57.11425018310547
2014-05-08,57.16798782348633
2014-05-09,57.15333938598633
2014-05-12,57.954532623291016
2014-05-13,58.00825500488281
2014-05-14,57.60075378417969
2014-05-15,56.80537796020508
2014-05-16,56.255489349365234
2014-05-19,56.47151565551758
2014-05-20,55.52884292602539
2014-05-21,56.383121490478516
2014-05-22,56.48134231567383
2014-05-23,56.72682571411133
2014-05-27,56.879005432128906
2014-05-28,56.928138732910156
2014-05-29,57.124515533447266
2014-05-30,57.06067657470703
2014-06-02,57.64003372192383
2014-06-03,57.846229553222656
2014-06-04,57.512367248535156
2014-06-05,58.01806640625
2014-06-06,58.376468658447266
2014-06-09,58.96073532104492
2014-06-10,58.489410400390625
2014-06-11,58.08190155029297
2014-06-12,57.3699836730957
2014-06-13,57.34052658081055
2014-06-16,57.37982177734375
2014-06-17,57.44856262207031
2014-06-18,57.556556701660156
2014-06-19,57.7284049987793
2014-06-20,57.929691314697266
2014-06-23,57.5074577331543
2014-06-24,56.795555114746094
2014-06-25,57.01158905029297
2014-06-26,56.82992935180664
2014-06-27,57.23741912841797
2014-06-30,56.68263626098633
2014-07-01,56.91831970214844
2014-07-02,56.53044509887695
2014-07-03,56.72189712524414
2014-07-07,56.51079559326172
2014-07-08,56.00509262084961
2014-07-09,55.89216613769531
2014-07-10,55.730159759521484
2014-07-11,56.034549713134766
2014-07-14,56.40278244018555
2014-07-15,56.383121490478516
2014-07-16,56.14748764038086
2014-07-17,55.366825103759766
2014-07-18,55.75959777832031
2014-07-21,55.46992492675781
2014-07-22,54.4290657043457
2014-07-23,53.87428283691406
2014-07-24,53.49131393432617
2014-07-25,53.45695114135742
2014-07-28,53.510955810546875
2014-07-29,52.6959342956543
2014-07-30,52.22951889038086
2014-07-31,51.62564468383789
2014-08-01,51.42924118041992
2014-08-04,51.5765380859375
2014-08-05,51.561805725097656
2014-08-06,50.95792007446289
2014-08-07,51.169029235839844
2014-08-08,52.02332305908203
2014-08-11,51.90548324584961
2014-08-12,51.50780487060547
2014-08-13,52.12003707885742
2014-08-14,52.22372055053711
