,ACN
2014-01-02,67.04965209960938
2014-01-03,67.27281188964844
2014-01-06,66.56202697753906
2014-01-07,67.37195587158203
2014-01-08,67.89263153076172
2014-01-09,68.5538101196289
2014-01-10,68.76038360595703
2014-01-13,66.99181365966797
2014-01-14,67.72734069824219
2014-01-15,69.6033706665039
2014-01-16,69.52073669433594
2014-01-17,69.77693939208984
2014-01-21,70.19015502929688
2014-01-22,70.5785903930664
2014-01-23,69.35543823242188
2014-01-24,67.09095001220703
2014-01-27,67.06619262695312
2014-01-28,67.19017028808594
2014-01-29,66.38021850585938
2014-01-30,66.71080017089844
2014-01-31,66.0166015625
2014-02-03,64.5372543334961
2014-02-04,64.52899169921875
2014-02-05,64.10749053955078
2014-02-06,64.89262390136719
2014-02-07,66.59512329101562
2014-02-10,66.09097290039062
2014-02-11,66.5703125
2014-02-12,67.11579132080078
2014-02-13,67.55378723144531
2014-02-14,67.85957336425781
2014-02-18,68.25627136230469
2014-02-19,68.80998992919922
2014-02-20,68.90914154052734
2014-02-21,69.25627136230469
2014-02-24,69.38024139404297
2014-02-25,68.93397521972656
2014-02-26,68.92569732666016
2014-02-27,68.89264678955078
2014-02-28,68.8843765258789
2014-03-03,68.18191528320312
2014-03-04,69.40503692626953
2014-03-05,69.51248168945312
2014-03-06,69.25627136230469
2014-03-07,69.36370086669922
2014-03-10,69.4546127319336
2014-03-11,69.04965209960938
2014-03-12,68.38850402832031
2014-03-13,67.8430404663086
2014-03-14,67.25627136230469
2014-03-17,68.91743469238281
2014-03-18,69.24800872802734
2014-03-19,68.28934478759766
2014-03-20,68.64469146728516
2014-03-21,68.45459747314453
2014-03-24,67.76864624023438
2014-03-25,69.02487182617188
2014-03-26,68.57032012939453
2014-03-27,65.1240234375
2014-03-28,65.1323013305664
2014-03-31,65.88436126708984
2014-04-01,65.73560333251953
2014-04-02,66.10752868652344
2014-04-03,65.57858276367188
2014-04-04,64.57855224609375
2014-04-07,65.1901626586914
2014-04-08,64.70254516601562
2014-04-09,65.63929748535156
2014-04-10,64.25926971435547
2014-04-11,64.47672271728516
2014-04-14,65.0872802734375
2014-04-15,66.00731658935547
2014-04-16,66.1662368774414
2014-04-17,65.99056243896484
2014-04-21,66.66802978515625
2014-04-22,66.6094970703125
2014-04-23,66.1662368774414
2014-04-24,65.5389175415039
2014-04-25,65.59746551513672
2014-04-28,66.13277435302734
2014-04-29,66.64295959472656
2014-04-30,67.0946044921875
2014-05-01,66.77676391601562
2014-05-02,66.37532043457031
2014-05-05,66.07421112060547
2014-05-06,65.848388671875
2014-05-07,65.4134521484375
2014-05-08,65.93201446533203
2014-05-09,65.85676574707031
2014-05-12,66.23311614990234
2014-05-13,66.64295959472656
2014-05-14,65.9487533569336
2014-05-15,65.58908081054688
2014-05-16,66.51750183105469
2014-05-19,66.54258728027344
2014-05-20,65.5723876953125
2014-05-21,66.3836669921875
2014-05-22,66.45059204101562
2014-05-23,66.73495483398438
2014-05-27,66.99425506591797
2014-05-28,66.55931854248047
2014-05-29,67.26187896728516
2014-05-30,68.12334442138672
2014-06-02,67.97282409667969
2014-06-03,68.47465515136719
2014-06-04,69.79611206054688
2014-06-05,69.90486907958984
2014-06-06,69.86304473876953
2014-06-09,70.47357177734375
2014-06-10,69.95502471923828
2014-06-11,69.36956787109375
2014-06-12,68.93464660644531
2014-06-13,69.19392395019531
2014-06-16,69.26921844482422
2014-06-17,69.0099105834961
2014-06-18,69.16049194335938
2014-06-19,69.46992492675781
2014-06-20,69.5284652709961
2014-06-23,69.14373779296875
2014-06-24,68.95135498046875
2014-06-25,69.46992492675781
2014-06-26,68.19026184082031
2014-06-27,68.0396957397461
2014-06-30,67.61315155029297
2014-07-01,67.95608520507812
2014-07-02,67.79716491699219
2014-07-03,68.20701599121094
2014-07-07,67.7887954711914
2014-07-08,67.83898162841797
2014-07-09,67.44586944580078
2014-07-10,66.7182388305664
2014-07-11,66.7182388305664
2014-07-14,66.45894622802734
2014-07-15,66.37532043457031
2014-07-16,66.69316101074219
2014-07-17,66.27494049072266
2014-07-18,66.69316101074219
2014-07-21,66.74332427978516
2014-07-22,67.15315246582031
2014-07-23,67.404052734375
2014-07-24,67.48771667480469
2014-07-25,67.22844696044922
2014-07-28,67.45423889160156
2014-07-29,67.38735961914062
2014-07-30,67.3204345703125
2014-07-31,66.30841827392578
2014-08-01,65.82331085205078
2014-08-04,66.36695861816406
2014-08-05,65.61421966552734
2014-08-06,65.10399627685547
2014-08-07,64.81964111328125
2014-08-08,65.96548461914062
2014-08-11,66.04073333740234
2014-08-12,65.71456146240234
2014-08-13,66.06584930419922
2014-08-14,66.30004119873047
2014-08-15,66.08257293701172
2014-08-18,66.7516860961914
2014-08-19,67.17823791503906
2014-08-20,67.2451400756836
2014-08-21,67.59642791748047
2014-08-22,67.337158203125
2014-08-25,67.73025512695312
2014-08-26,68.26554107666016
2014-08-27,67.73025512695312
2014-08-28,67.763671875
2014-08-29,67.79716491699219
2014-09-02,67.84735107421875
2014-09-03,68.46625518798828
2014-09-04,68.38265228271484
2014-09-05,68.44117736816406
2014-09-08,68.35753631591797
2014-09-09,67.70514678955078
2014-09-10,67.92261505126953
2014-09-11,68.17355346679688
2014-09-12,67.72186279296875
2014-09-15,67.41242980957031
2014-09-16,66.98587799072266
2014-09-17,66.64295959472656
2014-09-18,67.29532623291016
2014-09-19,66.85205078125
2014-09-22,66.25821685791016
2014-09-23,66.57603454589844
2014-09-24,67.07787322998047
2014-09-25,66.05746459960938
2014-09-26,66.31676483154297
2014-09-29,66.84368133544922
2014-09-30,68.01461791992188
2014-10-01,66.67640686035156
2014-10-02,66.43386840820312
2014-10-03,67.17823791503906
2014-10-06,67.52115631103516
2014-10-07,65.91529083251953
2014-10-08,66.77676391601562
2014-10-09,65.39673614501953
2014-10-10,64.26761627197266
2014-10-13,63.80759811401367
2014-10-14,63.707244873046875
2014-10-15,64.30064392089844
2014-10-16,64.55498504638672
2014-10-17,64.95341491699219
2014-10-20,64.80082702636719
2014-10-21,66.06394958496094
2014-10-22,65.66551971435547
2014-10-23,66.19110870361328
