,RJF
2014-01-02,29.379348754882812
2014-01-03,29.72129249572754
2014-01-06,29.704206466674805
2014-01-07,29.863780975341797
2014-01-08,30.2285213470459
2014-01-09,30.433696746826172
2014-01-10,30.4108943939209
2014-01-13,29.966360092163086
2014-01-14,30.36530113220215
2014-01-15,30.99222183227539
2014-01-16,30.844039916992188
2014-01-17,30.804140090942383
2014-01-21,30.96373176574707
2014-01-22,30.70725440979004
2014-01-23,30.342512130737305
2014-01-24,29.9549617767334
2014-01-27,29.424936294555664
2014-01-28,29.81818389892578
2014-01-29,29.259666442871094
2014-01-30,29.487627029418945
2014-01-31,29.01458740234375
2014-02-03,27.555599212646484
2014-02-04,27.93745231628418
2014-02-05,27.521406173706055
2014-02-06,27.812063217163086
2014-02-07,28.131221771240234
2014-02-10,28.211002349853516
2014-02-11,28.473176956176758
2014-02-12,28.74103355407715
2014-02-13,29.259666442871094
2014-02-14,29.168479919433594
2014-02-18,29.77259635925293
2014-02-19,29.453433990478516
2014-02-20,29.69850730895996
2014-02-21,29.795387268066406
2014-02-24,30.268413543701172
2014-02-25,29.83527946472168
2014-02-26,29.744081497192383
2014-02-27,29.9549617767334
2014-02-28,30.08034896850586
2014-03-03,29.670000076293945
2014-03-04,30.5761775970459
2014-03-05,30.462190628051758
2014-03-06,30.473590850830078
2014-03-07,30.73004913330078
2014-03-10,30.5761775970459
2014-03-11,30.19432258605957
2014-03-12,30.234222412109375
2014-03-13,29.823867797851562
2014-03-14,29.538921356201172
2014-03-17,30.114543914794922
2014-03-18,30.011951446533203
2014-03-19,29.97776222229004
2014-03-20,30.969425201416016
2014-03-21,30.781347274780273
2014-03-24,30.804140090942383
2014-03-25,30.883947372436523
2014-03-26,30.49069595336914
2014-03-27,30.428003311157227
2014-03-28,31.153968811035156
2014-03-31,31.971406936645508
2014-04-01,31.771331787109375
2014-04-02,32.034278869628906
2014-04-03,31.811336517333984
2014-04-04,30.599483489990234
2014-04-07,29.747751235961914
2014-04-08,29.644855499267578
2014-04-09,29.850648880004883
2014-04-10,28.810272216796875
2014-04-11,28.210054397583008
2014-04-14,28.204347610473633
2014-04-15,28.341541290283203
2014-04-16,28.775981903076172
2014-04-17,28.701658248901367
2014-04-21,28.718812942504883
2014-04-22,29.239002227783203
2014-04-23,28.878870010375977
2014-04-24,28.65021324157715
2014-04-25,28.438720703125
2014-04-28,28.05571746826172
2014-04-29,28.198623657226562
2014-04-30,28.410127639770508
2014-05-01,28.3072452545166
2014-05-02,28.433000564575195
2014-05-05,28.444433212280273
2014-05-06,27.90709114074707
2014-05-07,28.381547927856445
2014-05-08,28.1357479095459
2014-05-09,28.18147850036621
2014-05-12,29.17041015625
2014-05-13,28.74167823791504
2014-05-14,28.358686447143555
2014-05-15,27.604135513305664
2014-05-16,27.73560905456543
2014-05-19,28.044288635253906
2014-05-20,27.518388748168945
2014-05-21,27.66701316833496
2014-05-22,27.752761840820312
2014-05-23,27.79848861694336
2014-05-27,28.067157745361328
2014-05-28,27.77562141418457
2014-05-29,27.581262588500977
2014-05-30,27.66701316833496
2014-06-02,27.952836990356445
2014-06-03,27.90138053894043
2014-06-04,28.107168197631836
2014-06-05,28.3015193939209
2014-06-06,28.5015926361084
2014-06-09,28.86172103881836
