,SLB
2014-01-02,66.17359924316406
2014-01-03,65.82344055175781
2014-01-06,65.57756805419922
2014-01-07,65.19762420654297
2014-01-08,64.8027572631836
2014-01-09,64.43022155761719
2014-01-10,65.6893539428711
2014-01-13,65.16036987304688
2014-01-14,66.21086120605469
2014-01-15,66.22574615478516
2014-01-16,66.01717376708984
2014-01-17,67.2092056274414
2014-01-21,67.86479949951172
2014-01-22,67.95425415039062
2014-01-23,67.24644470214844
2014-01-24,65.67443084716797
2014-01-27,65.49565124511719
2014-01-28,65.38385009765625
2014-01-29,65.04116821289062
2014-01-30,66.16614532470703
2014-01-31,65.24231719970703
2014-02-03,64.24400329589844
2014-02-04,64.9592056274414
2014-02-05,64.1917953491211
2014-02-06,65.9426498413086
2014-02-07,66.68022155761719
2014-02-10,66.33749389648438
2014-02-11,67.32839965820312
2014-02-12,67.07506561279297
2014-02-13,67.24644470214844
2014-02-14,67.6879653930664
2014-02-18,67.82269287109375
2014-02-19,67.71043395996094
2014-02-20,68.12200927734375
2014-02-21,67.40359497070312
2014-02-24,69.38671875
2014-02-25,69.26698303222656
2014-02-26,69.1098403930664
2014-02-27,69.27448272705078
2014-02-28,69.59626007080078
2014-03-03,68.29414367675781
2014-03-04,69.21460723876953
2014-03-05,68.85538482666016
2014-03-06,69.4091796875
2014-03-07,69.5812759399414
2014-03-10,69.49897766113281
2014-03-11,68.81050872802734
2014-03-12,68.22679138183594
2014-03-13,67.55328369140625
2014-03-14,66.67021942138672
2014-03-17,67.18658447265625
2014-03-18,67.72539520263672
2014-03-19,67.62062072753906
2014-03-20,68.181884765625
2014-03-21,69.34931945800781
2014-03-24,69.76837921142578
2014-03-25,71.51200866699219
2014-03-26,71.41474151611328
2014-03-27,72.2079849243164
2014-03-28,73.01620483398438
2014-03-31,72.96383666992188
2014-04-01,73.30805206298828
2014-04-02,73.10599517822266
2014-04-03,73.390380859375
2014-04-04,73.36043548583984
2014-04-07,73.03865814208984
2014-04-08,73.66727447509766
2014-04-09,74.10128784179688
2014-04-10,72.8291244506836
2014-04-11,72.66446685791016
2014-04-14,73.69720458984375
2014-04-15,74.91698455810547
2014-04-16,75.53813171386719
2014-04-17,74.76736450195312
2014-04-21,76.18170166015625
2014-04-22,76.35382843017578
2014-04-23,76.488525390625
2014-04-24,76.18170166015625
2014-04-25,76.144287109375
2014-04-28,75.8000717163086
2014-04-29,75.87489318847656
2014-04-30,75.99461364746094
2014-05-01,75.43335723876953
2014-05-02,75.60548400878906
2014-05-05,75.65786743164062
2014-05-06,75.58306121826172
2014-05-07,76.24158477783203
2014-05-08,75.0442123413086
2014-05-09,74.99932098388672
2014-05-12,75.05170440673828
2014-05-13,75.02176666259766
2014-05-14,75.38847351074219
2014-05-15,74.46051788330078
2014-05-16,74.52786254882812
2014-05-19,75.05170440673828
2014-05-20,75.12653350830078
2014-05-21,76.01708221435547
2014-05-22,76.03203582763672
