,KO
2014-01-02,28.724292755126953
2014-01-03,28.5830078125
2014-01-06,28.448795318603516
2014-01-07,28.53356170654297
2014-01-08,28.21566390991211
2014-01-09,28.067298889160156
2014-01-10,28.349889755249023
2014-01-13,27.92601203918457
2014-01-14,28.03904914855957
2014-01-15,28.088489532470703
2014-01-16,28.053180694580078
2014-01-17,27.74939727783203
2014-01-21,28.201520919799805
2014-01-22,28.18739891052246
2014-01-23,27.721145629882812
2014-01-24,27.438560485839844
2014-01-27,27.36084747314453
2014-01-28,27.459760665893555
2014-01-29,26.77450180053711
2014-01-30,26.965238571166992
2014-01-31,26.717985153198242
2014-02-03,26.279983520507812
2014-02-04,26.477785110473633
2014-02-05,26.569625854492188
2014-02-06,26.866342544555664
2014-02-07,26.80982208251953
2014-02-10,27.247819900512695
2014-02-11,27.297273635864258
2014-02-12,27.205429077148438
2014-02-13,27.304332733154297
2014-02-14,27.50214195251465
2014-02-18,26.470727920532227
2014-02-19,26.209335327148438
2014-02-20,26.350624084472656
2014-02-21,26.265850067138672
2014-02-24,26.491910934448242
2014-02-25,26.68265724182129
2014-02-26,26.7533016204834
2014-02-27,26.894594192504883
2014-02-28,26.986433029174805
2014-03-03,26.92992401123047
2014-03-04,27.064144134521484
2014-03-05,27.092405319213867
2014-03-06,27.17717170715332
2014-03-07,27.23369789123535
2014-03-10,27.304332733154297
2014-03-11,27.41029930114746
2014-03-12,27.392499923706055
2014-03-13,27.036481857299805
2014-03-14,27.178884506225586
2014-03-17,27.250097274780273
2014-03-18,27.3426570892334
2014-03-19,27.15752601623535
2014-03-20,27.378250122070312
2014-03-21,27.37114143371582
2014-03-24,27.3426570892334
2014-03-25,27.499305725097656
2014-03-26,27.492183685302734
2014-03-27,27.641714096069336
2014-03-28,27.734281539916992
2014-03-31,27.527801513671875
2014-04-01,27.34977149963379
2014-04-02,27.292816162109375
2014-04-03,27.107685089111328
2014-04-04,27.21449089050293
2014-04-07,27.499305725097656
2014-04-08,27.698684692382812
2014-04-09,27.762767791748047
2014-04-10,27.691558837890625
2014-04-11,27.506427764892578
2014-04-14,27.577632904052734
2014-04-15,28.610109329223633
2014-04-16,28.902048110961914
2014-04-17,28.994609832763672
2014-04-21,29.015974044799805
2014-04-22,28.98749542236328
2014-04-23,29.001739501953125
2014-04-24,28.980371475219727
2014-04-25,29.20110511779785
2014-04-28,29.21533966064453
2014-04-29,28.887802124023438
2014-04-30,29.04444694519043
2014-05-01,29.037336349487305
2014-05-02,29.15839195251465
2014-05-05,29.023086547851562
2014-05-06,28.830841064453125
2014-05-07,29.129898071289062
2014-05-08,29.001739501953125
2014-05-09,29.101425170898438
2014-05-12,29.065818786621094
2014-05-13,29.272306442260742
2014-05-14,29.11565589904785
2014-05-15,28.852201461791992
2014-05-16,29.11565589904785
2014-05-19,28.98749542236328
2014-05-20,28.894929885864258
2014-05-21,29.101425170898438
2014-05-22,28.894929885864258
2014-05-23,28.894929885864258
2014-05-27,29.03021240234375
2014-05-28,28.894929885864258
2014-05-29,28.95187759399414
2014-05-30,29.129898071289062
2014-06-02,29.094297409057617
2014-06-03,29.10854148864746
2014-06-04,29.04444694519043
2014-06-05,29.11565589904785
2014-06-06,29.18686866760254
2014-06-09,29.129898071289062
2014-06-10,29.24382781982422
2014-06-11,29.094297409057617
2014-06-12,28.99744987487793
2014-06-13,28.96157455444336
2014-06-16,29.16962432861328
2014-06-17,29.356155395507812
2014-06-18,29.815290451049805
2014-06-19,29.980289459228516
2014-06-20,29.90854835510254
2014-06-23,29.937253952026367
2014-06-24,30.02332878112793
2014-06-25,30.102256774902344
2014-06-26,30.152475357055664
2014-06-27,30.267250061035156
2014-06-30,30.389209747314453
2014-07-01,30.338985443115234
2014-07-02,30.338985443115234
2014-07-03,30.29595375061035
2014-07-07,30.23138427734375
2014-07-08,30.0878963470459
2014-07-09,30.095081329345703
2014-07-10,30.317462921142578
2014-07-11,30.109426498413086
2014-07-14,30.403566360473633
2014-07-15,30.20267677307129
2014-07-16,30.217044830322266
2014-07-17,30.14530372619629
2014-07-18,30.439424514770508
2014-07-21,30.41790771484375
2014-07-22,29.549850463867188
2014-07-23,29.277240753173828
2014-07-24,29.392017364501953
2014-07-25,29.41354751586914
2014-07-28,29.183979034423828
2014-07-29,28.947237014770508
2014-07-30,28.423532485961914
2014-07-31,28.186790466308594
2014-08-01,28.186790466308594
2014-08-04,28.265708923339844
2014-08-05,28.107868194580078
2014-08-06,28.638744354248047
2014-08-07,28.22981834411621
2014-08-08,28.301570892333984
2014-08-11,28.38765525817871
2014-08-12,28.466562271118164
2014-08-13,28.653099060058594
2014-08-14,28.82527732849121
2014-08-15,29.32745361328125
2014-08-18,29.664636611938477
2014-08-19,29.60006332397461
2014-08-20,29.592893600463867
2014-08-21,29.707687377929688
2014-08-22,29.4996337890625
