,BMY
2014-01-02,37.48209762573242
2014-01-03,37.898006439208984
2014-01-06,37.74742126464844
2014-01-07,37.6900634765625
2014-01-08,38.30675506591797
2014-01-09,39.46125793457031
2014-01-10,40.28590774536133
2014-01-13,39.74092102050781
2014-01-14,39.927364349365234
2014-01-15,39.081214904785156
2014-01-16,39.29633331298828
2014-01-17,38.980812072753906
2014-01-21,39.145748138427734
2014-01-22,39.303497314453125
2014-01-23,38.686798095703125
2014-01-24,36.528385162353516
2014-01-27,35.65353775024414
2014-01-28,36.62159729003906
2014-01-29,36.012081146240234
2014-01-30,36.205692291259766
2014-01-31,35.83280563354492
2014-02-03,34.87907409667969
2014-02-04,35.094200134277344
2014-02-05,34.8073844909668
2014-02-06,35.12289047241211
2014-02-07,36.0909538269043
2014-02-10,37.374542236328125
2014-02-11,37.73307800292969
2014-02-12,37.898006439208984
2014-02-13,38.35696029663086
2014-02-14,38.987979888916016
2014-02-18,39.174442291259766
2014-02-19,38.335426330566406
2014-02-20,38.61509323120117
2014-02-21,38.82304382324219
2014-02-24,38.944950103759766
2014-02-25,38.493194580078125
2014-02-26,38.414310455322266
2014-02-27,38.686798095703125
2014-02-28,38.5577392578125
2014-03-03,38.35696029663086
2014-03-04,40.45801544189453
2014-03-05,40.594261169433594
2014-03-06,39.84131622314453
2014-03-07,40.03492736816406
2014-03-10,40.25722885131836
2014-03-11,40.03492736816406
2014-03-12,39.61186218261719
2014-03-13,38.851741790771484
2014-03-14,38.72267150878906
2014-03-17,39.23896026611328
2014-03-18,39.246131896972656
2014-03-19,39.253299713134766
2014-03-20,38.56490707397461
2014-03-21,37.331512451171875
2014-03-24,36.60009002685547
2014-03-25,36.60009002685547
2014-03-26,37.761775970458984
2014-03-27,37.52512741088867
2014-03-28,37.15940475463867
2014-03-31,37.25264358520508
2014-04-01,37.19526672363281
2014-04-02,37.25303268432617
2014-04-03,36.73312759399414
2014-04-04,36.02546310424805
2014-04-07,36.30708694458008
2014-04-08,35.42613220214844
2014-04-09,36.51648712158203
2014-04-10,35.592201232910156
2014-04-11,35.26003646850586
2014-04-14,34.631813049316406
2014-04-15,34.783451080322266
2014-04-16,35.46221923828125
2014-04-17,35.7149658203125
2014-04-21,36.473175048828125
2014-04-22,36.81978225708008
2014-04-23,36.7909049987793
2014-04-24,36.61758804321289
2014-04-25,36.4659538269043
2014-04-28,36.3648567199707
2014-04-29,35.6138801574707
2014-04-30,36.169883728027344
2014-05-01,35.75829315185547
2014-05-02,35.96048355102539
2014-05-05,36.12655258178711
2014-05-06,36.77644729614258
2014-05-07,36.660919189453125
2014-05-08,36.63925552368164
2014-05-09,36.956974029541016
2014-05-12,37.55632019042969
2014-05-13,37.686283111572266
2014-05-14,37.63576126098633
2014-05-15,35.3322639465332
2014-05-16,35.223941802978516
2014-05-19,35.628318786621094
2014-05-20,35.20949172973633
2014-05-21,35.17339324951172
2014-05-22,35.238372802734375
2014-05-23,35.23115921020508
2014-05-27,35.30337905883789
2014-05-28,35.115623474121094
2014-05-29,35.75829315185547
2014-05-30,35.91716384887695
2014-06-02,35.44779586791992
2014-06-03,35.36836624145508
2014-06-04,34.31409454345703
2014-06-05,34.090248107910156
2014-06-06,34.11913299560547
2014-06-09,33.642539978027344
2014-06-10,33.87362289428711
2014-06-11,33.90972137451172
2014-06-12,33.851951599121094
2014-06-13,34.00358581542969
2014-06-16,34.133567810058594
2014-06-17,34.270774841308594
2014-06-18,34.70402526855469
2014-06-19,34.545169830322266
