,DIS
2014-01-02,69.33595275878906
2014-01-03,69.19050598144531
2014-01-06,68.9268798828125
2014-01-07,69.39960479736328
2014-01-08,68.38143920898438
2014-01-09,68.09052276611328
2014-01-10,68.53596496582031
2014-01-13,66.60871887207031
2014-01-14,67.68143463134766
2014-01-15,67.52688598632812
2014-01-16,67.46324157714844
2014-01-17,67.2541732788086
2014-01-21,67.45416259765625
2014-01-22,68.46324157714844
2014-01-23,67.99051666259766
2014-01-24,66.10871887207031
2014-01-27,65.68144989013672
2014-01-28,66.25415802001953
2014-01-29,64.84508514404297
2014-01-30,66.56324768066406
2014-01-31,66.00870513916016
2014-02-03,63.62690353393555
2014-02-04,64.59054565429688
2014-02-05,65.2359848022461
2014-02-06,68.69050598144531
2014-02-07,68.79049682617188
2014-02-10,70.05413818359375
2014-02-11,70.71778106689453
2014-02-12,70.8268814086914
2014-02-13,70.81778717041016
2014-02-14,72.02686309814453
2014-02-18,72.34503936767578
2014-02-19,71.69957733154297
2014-02-20,71.99049377441406
2014-02-21,72.84504699707031
2014-02-24,73.39048767089844
2014-02-25,72.91777038574219
2014-02-26,72.7995834350586
2014-02-27,73.1632308959961
2014-02-28,73.46320343017578
2014-03-03,72.23594665527344
2014-03-04,74.28138732910156
2014-03-05,75.16319274902344
2014-03-06,75.76319885253906
2014-03-07,74.73593139648438
2014-03-10,74.51773834228516
2014-03-11,73.68140411376953
2014-03-12,73.98139190673828
2014-03-13,72.66322326660156
2014-03-14,72.79048919677734
2014-03-17,73.99047088623047
2014-03-18,74.53594207763672
2014-03-19,73.19955444335938
2014-03-20,73.46320343017578
2014-03-21,73.04503631591797
2014-03-24,72.26321411132812
2014-03-25,72.31777954101562
2014-03-26,71.4723129272461
2014-03-27,71.34503936767578
2014-03-28,71.80867767333984
2014-03-31,72.79048919677734
2014-04-01,74.15412902832031
2014-04-02,74.2450180053711
2014-04-03,74.26321411132812
2014-04-04,73.11775970458984
2014-04-07,71.9359359741211
2014-04-08,72.33595275878906
2014-04-09,73.15412902832031
2014-04-10,70.46324920654297
2014-04-11,70.0086898803711
2014-04-14,70.56324005126953
2014-04-15,70.599609375
2014-04-16,71.77230834960938
2014-04-17,72.71775817871094
2014-04-21,71.91776275634766
2014-04-22,72.22686004638672
2014-04-23,72.29048919677734
2014-04-24,72.35413360595703
2014-04-25,71.11776733398438
2014-04-28,70.70869445800781
2014-04-29,71.4905014038086
2014-04-30,72.1268539428711
2014-05-01,72.32685852050781
2014-05-02,73.00867462158203
2014-05-05,73.8359375
2014-05-06,73.66321563720703
2014-05-07,72.9905014038086
2014-05-08,74.181396484375
2014-05-09,74.49956512451172
2014-05-12,74.92684173583984
2014-05-13,74.61775207519531
2014-05-14,73.5632095336914
2014-05-15,72.86321258544922
2014-05-16,73.08140563964844
2014-05-19,73.68140411376953
2014-05-20,73.71775817871094
2014-05-21,74.71775817871094
2014-05-22,74.86320495605469
2014-05-23,75.7450180053711
2014-05-27,76.12684631347656
2014-05-28,75.99956512451172
2014-05-29,76.39047241210938
2014-05-30,76.37228393554688
2014-06-02,76.60865020751953
2014-06-03,76.25408935546875
2014-06-04,76.58135986328125
2014-06-05,77.07228088378906
2014-06-06,76.91775512695312
2014-06-09,77.70866394042969
2014-06-10,77.04502868652344
2014-06-11,76.64501190185547
2014-06-12,75.27230834960938
2014-06-13,75.27230834960938
2014-06-16,75.72683715820312
2014-06-17,75.59957122802734
2014-06-18,75.98138427734375
2014-06-19,76.15409851074219
2014-06-20,75.29047393798828
2014-06-23,75.23594665527344
2014-06-24,75.16319274902344
2014-06-25,76.27229309082031
2014-06-26,76.77229309082031
2014-06-27,77.54500579833984
2014-06-30,77.94500732421875
2014-07-01,78.608642578125
2014-07-02,78.58137512207031
2014-07-03,78.94500732421875
2014-07-07,78.71772003173828
2014-07-08,78.0541000366211
2014-07-09,79.29044342041016
2014-07-10,78.96317291259766
2014-07-11,78.99046325683594
2014-07-14,78.87227630615234
2014-07-15,78.3177261352539
2014-07-16,77.59046936035156
2014-07-17,77.29954528808594
2014-07-18,78.00863647460938
2014-07-21,77.94500732421875
2014-07-22,78.37227630615234
2014-07-23,78.21772766113281
2014-07-24,78.90864562988281
2014-07-25,78.39046478271484
2014-07-28,79.22682189941406
2014-07-29,78.36317443847656
2014-07-30,79.28136444091797
2014-07-31,78.07227325439453
2014-08-01,77.61774444580078
2014-08-04,79.30863952636719
2014-08-05,78.86318969726562
2014-08-06,78.71772003173828
2014-08-07,77.73593139648438
2014-08-08,78.95408630371094
2014-08-11,79.54499816894531
2014-08-12,79.28136444091797
2014-08-13,79.63590240478516
2014-08-14,80.5540771484375
2014-08-15,81.16316986083984
2014-08-18,81.79043579101562
2014-08-19,81.89952087402344
2014-08-20,81.67227172851562
2014-08-21,82.16316223144531
2014-08-22,82.26316833496094
2014-08-25,82.16316223144531
2014-08-26,81.83589935302734
2014-08-27,82.1540756225586
2014-08-28,82.02679443359375
2014-08-29,81.70863342285156
2014-09-02,82.54499053955078
2014-09-03,82.67224884033203
2014-09-04,81.94498443603516
2014-09-05,82.67224884033203
2014-09-08,82.3268051147461
2014-09-09,81.45407104492188
2014-09-10,81.38134002685547
2014-09-11,81.79043579101562
2014-09-12,81.51770782470703
2014-09-15,81.89045715332031
2014-09-16,82.06315612792969
2014-09-17,82.11771392822266
