,VTRS
2014-01-02,36.5738639831543
2014-01-03,36.69411849975586
2014-01-06,36.29899978637695
2014-01-07,36.91743469238281
2014-01-08,38.420589447021484
2014-01-09,38.7384033203125
2014-01-10,39.48568344116211
2014-01-13,38.8586540222168
2014-01-14,39.700416564941406
2014-01-15,39.04762649536133
2014-01-16,39.00467300415039
2014-01-17,39.29671096801758
2014-01-21,39.89797592163086
2014-01-22,39.434146881103516
2014-01-23,38.875831604003906
2014-01-24,38.05983352661133
2014-01-27,37.80215072631836
2014-01-28,38.39482498168945
2014-01-29,38.20585632324219
2014-01-30,39.12492370605469
2014-01-31,39.00467300415039
2014-02-03,37.49292755126953
2014-02-04,37.49292755126953
2014-02-05,37.312557220458984
2014-02-06,37.355506896972656
2014-02-07,38.721221923828125
2014-02-10,38.515079498291016
2014-02-11,39.07339096069336
2014-02-12,39.2108268737793
2014-02-13,39.67465591430664
2014-02-14,39.59734344482422
2014-02-18,41.487030029296875
2014-02-19,43.93501663208008
2014-02-20,44.88843536376953
2014-02-21,44.59640121459961
2014-02-24,43.84912109375
2014-02-25,44.08962631225586
2014-02-26,44.166934967041016
2014-02-27,48.33280944824219
2014-02-28,47.73154830932617
2014-03-03,47.688602447509766
2014-03-04,49.13162612915039
2014-03-05,47.96346664428711
2014-03-06,46.84682846069336
2014-03-07,47.12169647216797
2014-03-10,45.87622833251953
2014-03-11,46.37442398071289
2014-03-12,45.57559585571289
2014-03-13,44.68229293823242
2014-03-14,45.20624923706055
2014-03-17,45.970706939697266
2014-03-18,46.297115325927734
2014-03-19,45.78174591064453
2014-03-20,45.1890754699707
2014-03-21,44.78536605834961
2014-03-24,42.92146301269531
2014-03-25,43.55707550048828
2014-03-26,42.22571563720703
2014-03-27,41.7275276184082
2014-03-28,41.94226837158203
2014-03-31,41.94226837158203
2014-04-01,42.354557037353516
2014-04-02,43.608619689941406
2014-04-03,42.82698059082031
2014-04-04,43.488365173339844
2014-04-07,41.57292175292969
2014-04-08,40.92012023925781
2014-04-09,41.718936920166016
2014-04-10,40.430519104003906
2014-04-11,39.27094650268555
2014-04-14,39.5372200012207
2014-04-15,39.709007263183594
2014-04-16,40.55077362060547
2014-04-17,40.30168151855469
2014-04-21,41.50420379638672
2014-04-22,42.818389892578125
2014-04-23,43.18772506713867
2014-04-24,43.24785614013672
2014-04-25,44.751007080078125
2014-04-28,43.5227165222168
2014-04-29,43.70310592651367
2014-04-30,43.6171989440918
2014-05-01,42.723899841308594
2014-05-02,42.7926139831543
2014-05-05,42.852745056152344
2014-05-06,41.641632080078125
2014-05-07,41.35818099975586
2014-05-08,40.65385055541992
2014-05-09,39.63170623779297
2014-05-12,40.85999298095703
2014-05-13,40.85999298095703
2014-05-14,40.7655029296875
2014-05-15,41.24652099609375
2014-05-16,40.33603286743164
2014-05-19,40.49064636230469
2014-05-20,39.67465591430664
2014-05-21,39.906558990478516
2014-05-22,40.72256088256836
2014-05-23,41.24652099609375
2014-05-27,41.5900993347168
2014-05-28,41.976619720458984
2014-05-29,42.71531677246094
2014-05-30,42.80979919433594
2014-06-02,42.93004608154297
2014-06-03,42.8613395690918
2014-06-04,42.595062255859375
2014-06-05,42.80979919433594
2014-06-06,42.71531677246094
2014-06-09,42.44903564453125
2014-06-10,42.27725601196289
2014-06-11,42.67237091064453
2014-06-12,42.63800811767578
2014-06-13,43.119014739990234
2014-06-16,43.290809631347656
2014-06-17,43.548492431640625
2014-06-18,43.479774475097656
2014-06-19,43.29939651489258
2014-06-20,43.90924072265625
2014-06-23,43.6171989440918
2014-06-24,44.30436325073242
2014-06-25,44.347312927246094
2014-06-26,44.55344772338867
2014-06-27,44.244232177734375
2014-06-30,44.28718185424805
2014-07-01,44.57062911987305
2014-07-02,44.78536605834961
2014-07-03,44.484737396240234
2014-07-07,43.428245544433594
2014-07-08,43.17914962768555
2014-07-09,42.99877166748047
2014-07-10,43.55707550048828
2014-07-11,43.119014739990234
