,AVGO
2014-01-02,3.96128511428833
2014-01-03,3.9763307571411133
2014-01-06,3.949246883392334
2014-01-07,3.986865997314453
2014-01-08,4.046304225921631
2014-01-09,4.0049214363098145
2014-01-10,4.010188579559326
2014-01-13,3.9605307579040527
2014-01-14,4.158407688140869
2014-01-15,4.286314010620117
2014-01-16,4.170446395874023
2014-01-17,4.223863124847412
2014-01-21,4.221608638763428
2014-01-22,4.299854278564453
2014-01-23,4.217092990875244
2014-01-24,4.099721908569336
2014-01-27,4.096714973449707
2014-01-28,4.117027282714844
2014-01-29,4.068122863769531
2014-01-30,4.141855716705322
2014-01-31,4.1110076904296875
2014-02-03,4.007180690765381
2014-02-04,4.063607692718506
2014-02-05,4.0613508224487305
2014-02-06,4.153140544891357
2014-02-07,4.256218433380127
2014-02-10,4.2366557121276855
2014-02-11,4.369074821472168
2014-02-12,4.4345316886901855
2014-02-13,4.445065975189209
2014-02-14,4.369827747344971
2014-02-18,4.391646385192871
2014-02-19,4.341236591339111
2014-02-20,4.439046382904053
2014-02-21,4.405188083648682
2014-02-24,4.481931209564209
2014-02-25,4.439046382904053
2014-02-26,4.657238006591797
2014-02-27,4.618112564086914
2014-02-28,4.6421895027160645
2014-03-03,4.645199298858643
2014-03-04,4.76633358001709
2014-03-05,4.7460174560546875
2014-03-06,4.788151264190674
2014-03-07,4.721189498901367
2014-03-10,4.724950313568115
2014-03-11,4.666264057159424
2014-03-12,4.753542423248291
2014-03-13,4.7159223556518555
2014-03-14,4.7159223556518555
2014-03-17,4.770844459533691
2014-03-18,4.822226524353027
2014-03-19,4.866806983947754
2014-03-20,4.934811115264893
2014-03-21,4.828269958496094
2014-03-24,4.772356986999512
2014-03-25,4.835827350616455
2014-03-26,4.74591064453125
2014-03-27,4.743644714355469
2014-03-28,4.844137668609619
2014-03-31,4.866806983947754
2014-04-01,4.915164947509766
2014-04-02,4.884184837341309
2014-04-03,4.830538272857666
2014-04-04,4.669596195220947
2014-04-07,4.560791969299316
2014-04-08,4.546432971954346
2014-04-09,4.720220565795898
2014-04-10,4.523009300231934
2014-04-11,4.422515392303467
2014-04-14,4.444425106048584
2014-04-15,4.453495025634766
2014-04-16,4.481453895568848
2014-04-17,4.600835800170898
2014-04-21,4.676397323608398
2014-04-22,4.793514251708984
2014-04-23,4.881163597106934
2014-04-24,4.940098762512207
2014-04-25,4.710399150848389
2014-04-28,4.592523574829102
2014-04-29,4.6031036376953125
2014-04-30,4.7980475425720215
2014-05-01,4.797291278839111
2014-05-02,4.856228828430176
2014-05-05,4.8547186851501465
2014-05-06,5.088197708129883
2014-05-07,5.048149108886719
2014-05-08,5.134288311004639
2014-05-09,5.093486309051514
2014-05-12,5.223451137542725
2014-05-13,5.195491790771484
2014-05-14,5.176600456237793
2014-05-15,5.13277530670166
2014-05-16,5.174335479736328
2014-05-19,5.1622443199157715
2014-05-20,5.1017985343933105
2014-05-21,5.169045925140381
2014-05-22,5.189447402954102
2014-05-23,5.33074426651001
2014-05-27,5.359456539154053
2014-05-28,5.296743392944336
2014-05-29,5.348877906799316
2014-05-30,5.339809894561768
2014-06-02,5.4131059646606445
2014-06-03,5.398746967315674
2014-06-04,5.410837650299072
2014-06-05,5.430483341217041
2014-06-06,5.412349224090576
2014-06-09,5.424437046051025
2014-06-10,5.4297285079956055
2014-06-11,5.42141580581665
2014-06-12,5.422172546386719
2014-06-13,5.396480560302734
2014-06-16,5.355679035186768
2014-06-17,5.423202991485596
2014-06-18,5.403478145599365
2014-06-19,5.381475448608398
2014-06-20,5.430033206939697
2014-06-23,5.404993057250977
2014-06-24,5.361748695373535
2014-06-25,5.434584140777588
2014-06-26,5.383750915527344
2014-06-27,5.382233619689941
2014-06-30,5.4679670333862305
2014-07-01,5.616672992706299
2014-07-02,5.638674259185791
2014-07-03,5.70392370223999
2014-07-07,5.654607772827148
2014-07-08,5.568115711212158
