,XEL
2014-01-02,19.504486083984375
2014-01-03,19.497398376464844
2014-01-06,19.391054153442383
2014-01-07,19.724273681640625
2014-01-08,19.646286010742188
2014-01-09,19.724273681640625
2014-01-10,20.029142379760742
2014-01-13,19.880260467529297
2014-01-14,19.936983108520508
2014-01-15,19.86608123779297
2014-01-16,19.993698120117188
2014-01-17,19.993698120117188
2014-01-21,20.17094612121582
2014-01-22,20.241846084594727
2014-01-23,20.192214965820312
2014-01-24,19.894439697265625
2014-01-27,19.979520797729492
2014-01-28,19.993698120117188
2014-01-29,19.9653377532959
2014-01-30,20.36946678161621
2014-01-31,20.49708366394043
2014-02-03,20.284387588500977
2014-02-04,20.149675369262695
2014-02-05,20.043325424194336
2014-02-06,20.178037643432617
2014-02-07,20.298561096191406
2014-02-10,20.383644104003906
2014-02-11,20.56798553466797
2014-02-12,20.64597511291504
2014-02-13,20.865764617919922
2014-02-14,21.02174186706543
2014-02-18,21.05010223388672
2014-02-19,20.943754196166992
2014-02-20,21.14935302734375
2014-02-21,21.305335998535156
2014-02-24,21.25571060180664
2014-02-25,21.269887924194336
2014-02-26,21.206083297729492
2014-02-27,21.220258712768555
2014-02-28,21.475496292114258
2014-03-03,21.276975631713867
2014-03-04,21.46131706237793
2014-03-05,21.291162490844727
2014-03-06,21.177717208862305
2014-03-07,21.19190216064453
2014-03-10,21.092636108398438
2014-03-11,20.979204177856445
2014-03-12,21.21316909790039
2014-03-13,21.539310455322266
2014-03-14,21.638568878173828
2014-03-17,21.787458419799805
2014-03-18,21.758817672729492
2014-03-19,21.372188568115234
2014-03-20,21.250471115112305
2014-03-21,21.257625579833984
2014-03-24,21.286270141601562
2014-03-25,21.49390983581543
2014-03-26,21.365034103393555
2014-03-27,21.536865234375
2014-03-28,21.536865234375
2014-03-31,21.737342834472656
2014-04-01,21.67289924621582
2014-04-02,21.63709831237793
2014-04-03,21.680055618286133
2014-04-04,21.952136993408203
2014-04-07,21.859054565429688
2014-04-08,22.12397003173828
2014-04-09,21.987934112548828
2014-04-10,21.8877010345459
2014-04-11,21.902009963989258
2014-04-14,22.06669044494629
2014-04-15,22.503440856933594
2014-04-16,22.639474868774414
2014-04-17,22.431846618652344
2014-04-21,22.410371780395508
2014-04-22,22.424686431884766
2014-04-23,22.424686431884766
2014-04-24,22.55356216430664
2014-04-25,22.875757217407227
2014-04-28,22.911561965942383
2014-04-29,22.7755184173584
2014-04-30,22.818477630615234
2014-05-01,22.854278564453125
2014-05-02,22.33161163330078
2014-05-05,22.36740493774414
2014-05-06,22.324445724487305
2014-05-07,22.653804779052734
2014-05-08,22.33161163330078
2014-05-09,22.01658058166504
2014-05-12,21.816097259521484
2014-05-13,21.8877010345459
2014-05-14,22.08817481994629
2014-05-15,21.894853591918945
2014-05-16,21.83757781982422
2014-05-19,21.522537231445312
2014-05-20,21.544029235839844
2014-05-21,21.50821876525879
2014-05-22,21.694379806518555
2014-05-23,21.65142250061035
2014-05-27,21.744495391845703
2014-05-28,21.83757781982422
2014-05-29,21.8877010345459
2014-05-30,22.023740768432617
2014-06-02,21.95929718017578
2014-06-03,21.96645736694336
2014-06-04,22.009416580200195
2014-06-05,22.188411712646484
2014-06-06,22.317285537719727
2014-06-09,22.195566177368164
2014-06-10,22.01658058166504
2014-06-11,21.787458419799805
2014-06-12,21.944978713989258
2014-06-13,21.97361183166504
2014-06-16,22.131132125854492
2014-06-17,22.145591735839844
2014-06-18,22.73122215270996
2014-06-19,22.890287399291992
2014-06-20,22.839672088623047
2014-06-23,22.73122215270996
2014-06-24,22.74568748474121
2014-06-25,22.854137420654297
2014-06-26,22.940902709960938
2014-06-27,23.042116165161133
2014-06-30,23.302392959594727
2014-07-01,23.16502571105957
2014-07-02,22.78183364868164
2014-07-03,22.796300888061523
2014-07-07,22.883052825927734
2014-07-08,22.854137420654297
2014-07-09,22.875823974609375
2014-07-10,22.99150848388672
