,FITB
2014-01-02,14.638989448547363
2014-01-03,14.674059867858887
2014-01-06,14.695101737976074
2014-01-07,14.751215934753418
2014-01-08,14.82136058807373
2014-01-09,14.954627990722656
2014-01-10,15.101932525634766
2014-01-13,14.905532836914062
2014-01-14,14.98269271850586
2014-01-15,15.12999439239502
2014-01-16,14.989706993103027
2014-01-17,15.115962982177734
2014-01-21,15.305350303649902
2014-01-22,15.375494956970215
2014-01-23,15.094918251037598
2014-01-24,14.954627990722656
2014-01-27,14.82136058807373
2014-01-28,14.940611839294434
2014-01-29,14.695101737976074
2014-01-30,14.898518562316895
2014-01-31,14.74420166015625
2014-02-03,14.37945556640625
2014-02-04,14.442588806152344
2014-02-05,14.484667778015137
2014-02-06,14.786284446716309
2014-02-07,14.800318717956543
2014-02-10,14.919557571411133
2014-02-11,14.989706993103027
2014-02-12,14.98269271850586
2014-02-13,15.108948707580566
2014-02-14,15.172078132629395
2014-02-18,15.193119049072266
2014-02-19,14.947614669799805
2014-02-20,14.968664169311523
2014-02-21,15.038808822631836
2014-02-24,15.158045768737793
2014-02-25,15.158045768737793
2014-02-26,15.193119049072266
2014-02-27,15.235208511352539
2014-02-28,15.22118091583252
2014-03-03,15.094918251037598
2014-03-04,15.403554916381836
2014-03-05,15.571903228759766
2014-03-06,15.642040252685547
2014-03-07,15.873512268066406
2014-03-10,15.922616958618164
2014-03-11,15.789342880249023
2014-03-12,15.803370475769043
2014-03-13,15.733227729797363
2014-03-14,15.670104026794434
2014-03-17,15.852472305297852
2014-03-18,15.978734016418457
2014-03-19,16.013803482055664
2014-03-20,16.38556480407715
2014-03-21,16.40660858154297
2014-03-24,16.399595260620117
2014-03-25,16.371543884277344
2014-03-26,16.31542205810547
2014-03-27,15.89942455291748
2014-03-28,16.0192928314209
2014-03-31,16.188512802124023
2014-04-01,16.27311897277832
2014-04-02,16.25901985168457
2014-04-03,16.350683212280273
2014-04-04,16.16031265258789
2014-04-07,15.871223449707031
2014-04-08,15.828920364379883
2014-04-09,15.941733360290527
2014-04-10,15.370621681213379
2014-04-11,15.201408386230469
2014-04-14,15.229609489440918
2014-04-15,15.250760078430176
2014-04-16,15.405875205993652
2014-04-17,14.771307945251465
2014-04-21,14.609143257141113
2014-04-22,14.806558609008789
2014-04-23,14.91232681274414
2014-04-24,14.827716827392578
2014-04-25,14.630295753479004
2014-04-28,14.461077690124512
2014-04-29,14.439926147460938
2014-04-30,14.531587600708008
2014-05-01,14.348265647888184
2014-05-02,14.496334075927734
2014-05-05,14.517486572265625
2014-05-06,14.298910140991211
2014-05-07,14.602092742919922
2014-05-08,14.524535179138184
2014-05-09,14.489280700683594
2014-05-12,14.721954345703125
2014-05-13,14.665549278259277
2014-05-14,14.43287181854248
2014-05-15,14.214299201965332
2014-05-16,14.122642517089844
2014-05-19,14.242504119873047
2014-05-20,14.14379596710205
2014-05-21,14.362366676330566
2014-05-22,14.390565872192383
2014-05-23,14.482232093811035
2014-05-27,14.595047950744629
2014-05-28,14.524535179138184
2014-05-29,14.489280700683594
2014-05-30,14.587993621826172
2014-06-02,14.771307945251465
2014-06-03,14.940526962280273
2014-06-04,14.870017051696777
2014-06-05,14.940526962280273
2014-06-06,15.039233207702637
2014-06-09,15.2578125
2014-06-10,15.187302589416504
2014-06-11,15.11679744720459
2014-06-12,15.011037826538086
2014-06-13,15.0674409866333
2014-06-16,14.884119987487793
2014-06-17,15.144996643066406
