,ZTS
2014-01-02,29.830692291259766
2014-01-03,29.544921875
2014-01-06,29.480390548706055
2014-01-07,29.59101104736328
2014-01-08,29.2591552734375
2014-01-09,29.461959838867188
2014-01-10,29.996612548828125
2014-01-13,29.2960262298584
2014-01-14,29.36055564880371
2014-01-15,29.32368278503418
2014-01-16,29.498830795288086
2014-01-17,29.24993133544922
2014-01-21,28.825889587402344
2014-01-22,29.00103759765625
2014-01-23,29.2591552734375
2014-01-24,29.00103759765625
2014-01-27,28.908857345581055
2014-01-28,29.049291610717773
2014-01-29,28.43947982788086
2014-01-30,28.33785057067871
2014-01-31,28.05141830444336
2014-02-03,28.0606632232666
2014-02-04,27.931306838989258
2014-02-05,27.838903427124023
2014-02-06,27.764989852905273
2014-02-07,28.36556625366211
2014-02-10,28.772104263305664
2014-02-11,26.914945602416992
2014-02-12,27.71879005432129
2014-02-13,27.413883209228516
2014-02-14,27.60791778564453
2014-02-18,27.968259811401367
2014-02-19,27.487802505493164
2014-02-20,27.691072463989258
2014-02-21,27.35845375061035
2014-02-24,27.441608428955078
2014-02-25,27.838903427124023
2014-02-26,28.08837890625
2014-02-27,28.38404083251953
2014-02-28,28.66123390197754
2014-03-03,28.633514404296875
2014-03-04,28.541122436523438
2014-03-05,28.38404083251953
2014-03-06,28.43947982788086
2014-03-07,28.254684448242188
2014-03-10,28.04218292236328
2014-03-11,27.977502822875977
2014-03-12,27.441608428955078
2014-03-13,27.025821685791016
2014-03-14,27.18289566040039
2014-03-17,27.145933151245117
2014-03-18,27.053546905517578
2014-03-19,27.63564109802246
2014-03-20,27.801942825317383
2014-03-21,27.03506088256836
2014-03-24,26.924190521240234
2014-03-25,27.03506088256836
2014-03-26,26.98886489868164
2014-03-27,27.072019577026367
2014-03-28,26.8040771484375
2014-03-31,26.739398956298828
2014-04-01,27.118221282958984
2014-04-02,27.367687225341797
2014-04-03,27.367687225341797
2014-04-04,27.090496063232422
2014-04-07,26.794832229614258
2014-04-08,26.93342399597168
2014-04-09,26.850269317626953
2014-04-10,26.665481567382812
2014-04-11,26.24045181274414
2014-04-14,26.314373016357422
2014-04-15,26.37904930114746
2014-04-16,26.36056900024414
2014-04-17,26.42525291442871
2014-04-21,26.82254981994629
2014-04-22,27.617156982421875
2014-04-23,27.155176162719727
2014-04-24,27.684980392456055
2014-04-25,27.935062408447266
2014-04-28,28.157360076904297
2014-04-29,28.27776336669922
2014-04-30,28.027685165405273
2014-05-01,28.073999404907227
2014-05-02,28.379653930664062
2014-05-05,28.27776336669922
2014-05-06,28.611217498779297
2014-05-07,28.388912200927734
2014-05-08,28.231454849243164
2014-05-09,28.287025451660156
2014-05-12,28.537107467651367
2014-05-13,28.463014602661133
2014-05-14,28.379653930664062
2014-05-15,28.21293067932129
2014-05-16,28.342599868774414
2014-05-19,28.21293067932129
2014-05-20,28.04621124267578
2014-05-21,28.17588233947754
2014-05-22,28.092519760131836
2014-05-23,28.27776336669922
2014-05-27,28.435226440429688
2014-05-28,28.231454849243164
2014-05-29,28.45374870300293
2014-05-30,28.435226440429688
2014-06-02,28.63900375366211
2014-06-03,28.94465446472168
2014-06-04,29.055801391601562
2014-06-05,29.278093338012695
2014-06-06,29.39850616455078
2014-06-09,29.648584365844727
2014-06-10,30.102434158325195
2014-06-11,29.759737014770508
2014-06-12,29.630064010620117
2014-06-13,29.75047492980957
2014-06-16,29.759737014770508
2014-06-17,30.389568328857422
2014-06-18,30.463674545288086
2014-06-19,30.14874839782715
2014-06-20,30.065387725830078
2014-06-23,30.23210334777832
2014-06-24,29.982027053833008
2014-06-25,29.982027053833008
2014-06-26,29.861618041992188
2014-06-27,29.991291046142578
2014-06-30,29.889400482177734
2014-07-01,30.111703872680664
2014-07-02,30.324735641479492
2014-07-03,30.482187271118164
2014-07-07,30.15801429748535
2014-07-08,30.083908081054688
2014-07-09,30.065387725830078
2014-07-10,30.120960235595703
2014-07-11,29.982027053833008
2014-07-14,30.31546974182129
2014-07-15,30.00054931640625
2014-07-16,30.22284507751465
2014-07-17,29.83383560180664
2014-07-18,30.278423309326172
2014-07-21,30.42662239074707
2014-07-22,30.445144653320312
2014-07-23,30.4173583984375
2014-07-24,30.463674545288086
2014-07-25,30.398832321166992
2014-07-28,30.435882568359375
2014-07-29,30.593338012695312
2014-07-30,30.695219039916992
2014-07-31,30.482187271118164
2014-08-01,30.324735641479492
2014-08-04,30.787853240966797
2014-08-05,29.83383560180664
2014-08-06,29.917184829711914
2014-08-07,29.444808959960938
2014-08-08,29.935720443725586
2014-08-11,30.1950626373291
2014-08-12,30.056127548217773
2014-08-13,30.445144653320312
2014-08-14,30.630382537841797
2014-08-15,31.204648971557617
2014-08-18,31.49425506591797
2014-08-19,32.04188919067383
2014-08-20,32.292510986328125
2014-08-21,32.38533020019531
2014-08-22,32.38533020019531
2014-08-25,32.394622802734375
2014-08-26,32.60810470581055
2014-08-27,32.80302810668945
2014-08-28,32.793758392333984
2014-08-29,32.89585494995117
2014-09-02,32.9329719543457
2014-09-03,33.19289016723633
2014-09-04,32.960819244384766
2014-09-05,33.4527702331543
2014-09-08,33.67555236816406
2014-09-09,33.58272171020508
2014-09-10,33.63843536376953
2014-09-11,33.66626739501953
2014-09-12,33.58272171020508
2014-09-15,33.66626739501953
2014-09-16,33.870487213134766
2014-09-17,34.01899337768555
2014-09-18,34.06540298461914
2014-09-19,34.529510498046875
2014-09-22,33.99114990234375
2014-09-23,33.30427932739258
2014-09-24,33.95400619506836
2014-09-25,33.69410705566406
2014-09-26,34.000423431396484
2014-09-29,34.14894104003906
2014-09-30,34.297447204589844
2014-10-01,33.833351135253906
2014-10-02,34.26033020019531
2014-10-03,34.965763092041016
2014-10-06,34.956478118896484
