,WST
2014-01-02,46.172786712646484
2014-01-03,46.59012222290039
2014-01-06,46.33403396606445
2014-01-07,46.684974670410156
2014-01-08,47.358421325683594
2014-01-09,47.01694107055664
2014-01-10,47.13078308105469
2014-01-13,46.73240661621094
2014-01-14,47.65243148803711
2014-01-15,47.8705940246582
2014-01-16,48.382774353027344
2014-01-17,47.736541748046875
2014-01-21,47.670021057128906
2014-01-22,47.33739471435547
2014-01-23,47.166324615478516
2014-01-24,45.816795349121094
2014-01-27,44.980499267578125
2014-01-28,45.80732345581055
2014-01-29,45.066017150878906
2014-01-30,45.77878952026367
2014-01-31,45.094539642333984
2014-02-03,44.0206413269043
2014-02-04,43.63098907470703
2014-02-05,43.564476013183594
2014-02-06,43.9541130065918
2014-02-07,44.71438217163086
2014-02-10,45.13256072998047
2014-02-11,45.47469711303711
2014-02-12,45.2465934753418
2014-02-13,46.08290100097656
2014-02-14,45.7217903137207
2014-02-18,46.272979736328125
2014-02-19,45.37014389038086
2014-02-20,46.016387939453125
2014-02-21,45.73128890991211
2014-02-24,44.98999786376953
2014-02-25,44.115657806396484
2014-02-26,43.90659713745117
2014-02-27,43.526451110839844
2014-02-28,43.31736373901367
2014-03-03,42.8611946105957
2014-03-04,44.30574035644531
2014-03-05,44.30574035644531
2014-03-06,44.48630905151367
2014-03-07,44.21072006225586
2014-03-10,44.001625061035156
2014-03-11,43.288848876953125
2014-03-12,43.63098907470703
2014-03-13,43.231842041015625
2014-03-14,42.52855682373047
2014-03-17,42.95623016357422
2014-03-18,43.260345458984375
2014-03-19,42.97523498535156
2014-03-20,42.88019943237305
2014-03-21,42.26247024536133
2014-03-24,41.33110427856445
2014-03-25,41.6162223815918
2014-03-26,40.73240280151367
2014-03-27,40.37126159667969
2014-03-28,39.61096954345703
2014-03-31,41.86332321166992
2014-04-01,42.6046028137207
2014-04-02,42.97523498535156
2014-04-03,42.775672912597656
2014-04-04,42.290992736816406
2014-04-07,41.73027420043945
2014-04-08,41.98686981201172
2014-04-09,43.20332336425781
2014-04-10,41.73027420043945
2014-04-11,40.69438171386719
2014-04-14,40.912960052490234
2014-04-15,40.893951416015625
2014-04-16,40.893951416015625
2014-04-17,41.58771514892578
2014-04-21,41.44483947753906
2014-04-22,41.492462158203125
2014-04-23,40.768524169921875
2014-04-24,40.52088165283203
2014-04-25,40.05413818359375
2014-04-28,40.873313903808594
2014-04-29,40.89236831665039
2014-04-30,41.32100296020508
2014-05-01,40.74948501586914
2014-05-02,41.51150894165039
2014-05-05,41.43531036376953
2014-05-06,41.054283142089844
2014-05-07,41.130489349365234
2014-05-08,40.43514633178711
2014-05-09,40.99714660644531
2014-05-12,41.97825622558594
2014-05-13,40.91141128540039
2014-05-14,40.006500244140625
2014-05-15,39.93983840942383
2014-05-16,40.10176086425781
2014-05-19,40.825679779052734
2014-05-20,39.72074890136719
2014-05-21,40.25416564941406
2014-05-22,40.2065315246582
2014-05-23,40.835208892822266
2014-05-27,41.7020263671875
2014-05-28,40.94952392578125
2014-05-29,40.55896759033203
2014-05-30,40.09224319458008
2014-06-02,40.18749237060547
2014-06-03,39.75884246826172
2014-06-04,39.95887756347656
2014-06-05,40.73997116088867
2014-06-06,40.65422439575195
2014-06-09,40.873313903808594
2014-06-10,40.69233703613281
2014-06-11,40.45420455932617
2014-06-12,39.70169448852539
2014-06-13,39.320682525634766
2014-06-16,39.48260498046875
2014-06-17,39.47308349609375
2014-06-18,39.84457015991211
2014-06-19,40.177978515625
2014-06-20,40.568504333496094
2014-06-23,40.26368713378906
2014-06-24,39.57786560058594
2014-06-25,39.79694747924805
2014-06-26,39.816009521484375
2014-06-27,40.149383544921875
2014-06-30,40.177978515625
2014-07-01,41.43531036376953
2014-07-02,40.835208892822266
2014-07-03,41.359107971191406
2014-07-07,40.768524169921875
2014-07-08,40.320858001708984
2014-07-09,40.244651794433594
2014-07-10,40.130332946777344
2014-07-11,40.40656280517578
2014-07-14,40.04460525512695
2014-07-15,39.30162048339844
2014-07-16,38.43482208251953
2014-07-17,37.825199127197266
2014-07-18,38.415771484375
2014-07-21,38.234344482421875
2014-07-22,38.769100189208984
2014-07-23,38.92188262939453
