,EVRG
2014-01-02,21.387601852416992
2014-01-03,21.475114822387695
2014-01-06,21.650148391723633
2014-01-07,21.993484497070312
2014-01-08,21.993484497070312
2014-01-09,22.188711166381836
2014-01-10,22.424331665039062
2014-01-13,22.229103088378906
2014-01-14,22.040603637695312
2014-01-15,21.892501831054688
2014-01-16,21.858844757080078
2014-01-17,21.9194278717041
2014-01-21,22.269493103027344
2014-01-22,22.350271224975586
2014-01-23,22.19544792175293
2014-01-24,21.879039764404297
2014-01-27,21.845382690429688
2014-01-28,21.892501831054688
2014-01-29,21.845382690429688
2014-01-30,22.141582489013672
2014-01-31,22.330076217651367
2014-02-03,21.879039764404297
2014-02-04,21.973285675048828
2014-02-05,21.798255920410156
2014-02-06,22.040603637695312
2014-02-07,22.269493103027344
2014-02-10,22.45125961303711
2014-02-11,22.606096267700195
2014-02-12,22.67341423034668
2014-02-13,22.976354598999023
2014-02-14,23.205244064331055
2014-02-18,23.333141326904297
2014-02-19,23.117733001708984
2014-02-20,23.346614837646484
2014-02-21,23.58223533630371
2014-02-24,23.38027000427246
2014-02-25,23.306224822998047
2014-02-26,23.245635986328125
2014-02-27,23.104259490966797
2014-02-28,23.036941528320312
2014-03-03,22.956159591674805
2014-03-04,23.21870994567871
2014-03-05,23.238906860351562
2014-03-06,23.041683197021484
2014-03-07,22.960060119628906
2014-03-10,22.871652603149414
2014-03-11,22.756032943725586
2014-03-12,23.123287200927734
2014-03-13,23.408920288085938
2014-03-14,23.429325103759766
2014-03-17,23.850982666015625
2014-03-18,23.74897575378418
2014-03-19,23.340911865234375
2014-03-20,23.177696228027344
2014-03-21,23.585752487182617
2014-03-24,23.7149715423584
2014-03-25,23.755779266357422
2014-03-26,23.504140853881836
2014-03-27,23.619754791259766
2014-03-28,23.66736602783203
2014-03-31,23.912202835083008
2014-04-01,23.66736602783203
2014-04-02,23.565351486206055
2014-04-03,23.592552185058594
2014-04-04,23.857789993286133
2014-04-07,23.782981872558594
2014-04-08,24.041410446166992
2014-04-09,23.898603439331055
2014-04-10,23.68777084350586
2014-04-11,23.660560607910156
2014-04-14,23.837387084960938
2014-04-15,24.24544334411621
2014-04-16,24.408666610717773
2014-04-17,24.22504234313965
2014-04-21,24.123035430908203
2014-04-22,24.157028198242188
2014-04-23,24.089017868041992
2014-04-24,24.27945327758789
2014-04-25,24.53788948059082
2014-04-28,24.51069450378418
2014-04-29,24.340662002563477
2014-04-30,24.401872634887695
2014-05-01,24.381467819213867
2014-05-02,23.92579460144043
2014-05-05,24.021015167236328
2014-05-06,23.884990692138672
2014-05-07,24.2862548828125
2014-05-08,24.415468215942383
2014-05-09,24.06182098388672
2014-05-12,23.939401626586914
2014-05-13,24.089017868041992
2014-05-14,24.12982749938965
2014-05-15,24.0482177734375
2014-05-16,24.231843948364258
2014-05-19,23.77618408203125
2014-05-20,23.769376754760742
2014-05-21,23.871389389038086
2014-05-22,24.13663101196289
2014-05-23,24.123035430908203
2014-05-27,24.17743492126465
2014-05-28,24.367876052856445
2014-05-29,24.347461700439453
2014-05-30,24.517484664916992
2014-06-02,24.51069450378418
2014-06-03,24.633102416992188
2014-06-04,24.633102416992188
2014-06-05,24.88719367980957
2014-06-06,24.742979049682617
2014-06-09,24.7841854095459
2014-06-10,24.69490623474121
2014-06-11,24.447681427001953
2014-06-12,24.509483337402344
2014-06-13,24.626230239868164
2014-06-16,24.90092658996582
2014-06-17,25.017669677734375
2014-06-18,25.35417366027832
2014-06-19,25.56018829345703
2014-06-20,25.56018829345703
2014-06-23,25.5052490234375
2014-06-24,25.66320037841797
2014-06-25,25.814273834228516
2014-06-26,25.924169540405273
2014-06-27,26.027172088623047
2014-06-30,26.226322174072266
2014-07-01,26.068378448486328
2014-07-02,25.5876522064209
2014-07-03,25.361040115356445
2014-07-07,25.464048385620117
2014-07-08,25.54645538330078
2014-07-09,25.415973663330078
2014-07-10,25.670063018798828
2014-07-11,25.470918655395508
2014-07-14,25.14815330505371
2014-07-15,25.264896392822266
2014-07-16,25.251157760620117
2014-07-17,24.9970645904541
2014-07-18,25.285503387451172
2014-07-21,25.1824893951416
2014-07-22,25.31296730041504
2014-07-23,25.333568572998047
2014-07-24,25.450307846069336
2014-07-25,25.29923439025879
2014-07-28,25.697542190551758
2014-07-29,25.5052490234375
2014-07-30,25.141284942626953
2014-07-31,24.749853134155273
2014-08-01,24.88032341003418
2014-08-04,24.61937141418457
2014-08-05,24.5987606048584
2014-08-06,24.22792625427246
2014-08-07,24.385873794555664
2014-08-08,24.797922134399414
2014-08-11,24.667434692382812
2014-08-12,24.653701782226562
2014-08-13,24.866594314575195
2014-08-14,25.03140640258789
2014-08-15,25.168758392333984
2014-08-18,25.09320831298828
2014-08-19,25.367908477783203
2014-08-20,25.39537239074707
2014-08-21,25.251157760620117
2014-08-22,25.113813400268555
2014-08-25,25.161890029907227
2014-08-26,24.84598159790039
2014-08-27,25.100078582763672
2014-08-28,25.244295120239258
2014-08-29,25.361040115356445
2014-09-02,25.155017852783203
2014-09-03,25.264896392822266
2014-09-04,25.209959030151367
2014-09-05,25.327821731567383
2014-09-08,25.23075294494629
2014-09-09,24.946483612060547
2014-09-10,24.717679977416992
2014-09-11,24.856348037719727
2014-09-12,24.336339950561523
2014-09-15,24.273942947387695
2014-09-16,24.495813369750977
2014-09-17,24.391809463500977
2014-09-18,24.197675704956055
2014-09-19,24.384878158569336
2014-09-22,24.135282516479492
2014-09-23,23.871803283691406
2014-09-24,23.8648681640625
2014-09-25,23.67073631286621
2014-09-26,23.698474884033203
2014-09-29,23.60140037536621
2014-09-30,23.656864166259766
2014-10-01,23.629138946533203
2014-10-02,23.58753204345703
2014-10-03,23.698474884033203
2014-10-06,23.629138946533203
2014-10-07,23.539003372192383
2014-10-08,24.003543853759766
2014-10-09,23.656864166259766
2014-10-10,24.21154022216797
2014-10-13,24.495813369750977
2014-10-14,25.09208106994629
2014-10-15,24.80781364440918
2014-10-16,24.731548309326172
2014-10-17,24.91181755065918
2014-10-20,25.09208106994629
2014-10-21,25.22382164001465
2014-10-22,25.376358032226562
2014-10-23,25.341693878173828
2014-10-24,25.508094787597656
2014-10-27,25.508094787597656
2014-10-28,25.743833541870117
2014-10-29,25.716106414794922
2014-10-30,26.118234634399414
2014-10-31,26.215307235717773
2014-11-03,26.20836639404297
2014-11-04,26.222240447998047
2014-11-05,26.561975479125977
2014-11-06,26.52730941772461
2014-11-07,27.102785110473633
2014-11-10,27.18598747253418
2014-11-11,27.345447540283203
2014-11-12,27.005708694458008
2014-11-13,26.846242904663086
2014-11-14,26.61743927001953
2014-11-17,27.033449172973633
2014-11-18,27.338516235351562
2014-11-19,27.25531768798828
2014-11-20,27.109718322753906
2014-11-21,27.1374454498291
2014-11-24,26.860111236572266
2014-11-25,26.700639724731445
2014-11-26,26.797714233398438
2014-11-28,27.102785110473633
2014-12-01,27.075050354003906
2014-12-02,27.220640182495117
2014-12-03,27.310787200927734
2014-12-04,27.213722229003906
2014-12-05,27.178735733032227
2014-12-08,27.535520553588867
2014-12-09,27.836349487304688
2014-12-10,27.563508987426758
2014-12-11,27.752397537231445
2014-12-12,27.48655128479004
2014-12-15,27.38861656188965
2014-12-16,27.339645385742188
2014-12-17,27.9412899017334
2014-12-18,28.35403823852539
2014-12-19,28.430986404418945
2014-12-22,28.451974868774414
2014-12-23,28.50095558166504
2014-12-24,28.955677032470703
2014-12-26,29.291481018066406
2014-12-29,30.03303337097168
2014-12-30,29.35443687438965
2014-12-31,28.850740432739258
2015-01-02,28.801769256591797
2015-01-05,28.56390953063965
2015-01-06,28.479963302612305
2015-01-07,28.962675094604492
2015-01-08,29.221513748168945
2015-01-09,28.801769256591797
2015-01-12,28.465972900390625
2015-01-13,28.885719299316406
2015-01-14,29.221513748168945
2015-01-15,29.228506088256836
2015-01-16,29.529329299926758
2015-01-20,29.851137161254883
2015-01-21,30.361846923828125
2015-01-22,30.459781646728516
2015-01-23,30.424802780151367
2015-01-26,30.43878746032715
2015-01-27,30.417797088623047
2015-01-28,30.21491241455078
2015-01-29,30.753597259521484
2015-01-30,29.886117935180664
2015-02-02,29.75320053100586
2015-02-03,29.977067947387695
2015-02-04,29.781177520751953
2015-02-05,30.193937301635742
2015-02-06,28.766773223876953
2015-02-09,28.29107666015625
2015-02-10,28.71781349182129
2015-02-11,28.284086227416992
2015-02-12,28.116174697875977
2015-02-13,27.57050323486328
2015-02-17,27.339645385742188
2015-02-18,28.102190017700195
2015-02-19,28.060216903686523
2015-02-20,27.983261108398438
2015-02-23,28.018234252929688
2015-02-24,28.074203491210938
2015-02-25,27.73841094970703
2015-02-26,27.563508987426758
2015-02-27,27.178735733032227
2015-03-02,26.807964324951172
2015-03-03,26.80095863342285
2015-03-04,26.682039260864258
2015-03-05,26.858591079711914
2015-03-06,26.131168365478516
2015-03-09,26.0605411529541
2015-03-10,26.27241325378418
2015-03-11,26.173538208007812
2015-03-12,26.625539779663086
2015-03-13,26.427793502807617
2015-03-16,26.703229904174805
2015-03-17,26.76678466796875
2015-03-18,27.388288497924805
2015-03-19,27.2823543548584
2015-03-20,27.557796478271484
2015-03-23,27.416532516479492
2015-03-24,26.943349838256836
2015-03-25,26.75266456604004
2015-03-26,26.696163177490234
2015-03-27,26.943349838256836
2015-03-30,27.239973068237305
2015-03-31,27.37415885925293
2015-04-01,27.44477653503418
2015-04-02,27.501283645629883
2015-04-06,27.868534088134766
2015-04-07,27.35297203063965
2015-04-08,27.141101837158203
2015-04-09,26.943349838256836
2015-04-10,27.338850021362305
2015-04-13,27.119916915893555
2015-04-14,27.218774795532227
2015-04-15,27.05634307861328
2015-04-16,26.77385139465332
2015-04-17,26.646718978881836
2015-04-20,26.851537704467773
2015-04-21,26.67498016357422
2015-04-22,27.035158157348633
2015-04-23,27.07046890258789
2015-04-24,27.36004066467285
2015-04-27,27.119916915893555
2015-04-28,27.36004066467285
2015-04-29,27.19053840637207
2015-04-30,26.59022331237793
2015-05-01,26.63966941833496
2015-05-04,26.858591079711914
2015-05-05,26.159412384033203
2015-05-06,25.566162109375
2015-05-07,25.389602661132812
2015-05-08,25.42491340637207
2015-05-11,25.3684139251709
2015-05-12,25.375478744506836
2015-05-13,25.128297805786133
2015-05-14,25.3684139251709
2015-05-15,25.52379035949707
2015-05-18,25.756853103637695
2015-05-19,25.72154426574707
2015-05-20,25.88397979736328
2015-05-21,25.841596603393555
2015-05-22,25.83453941345215
2015-05-26,25.65092658996582
2015-05-27,25.806293487548828
2015-05-28,25.947540283203125
2015-05-29,25.898103713989258
2015-06-01,25.8133544921875
2015-06-02,25.467287063598633
2015-06-03,25.03649139404297
2015-06-04,24.852859497070312
2015-06-05,24.560300827026367
2015-06-08,24.524625778198242
2015-06-09,24.467544555664062
2015-06-10,24.695877075195312
2015-06-11,25.088327407836914
2015-06-12,24.810041427612305
2015-06-15,24.70301628112793
2015-06-16,24.76009750366211
2015-06-17,24.895666122436523
2015-06-18,25.309528350830078
2015-06-19,25.32379913330078
2015-06-22,25.223907470703125
