,ZBH
2014-01-02,82.16646575927734
2014-01-03,82.52279663085938
2014-01-06,83.05725860595703
2014-01-07,84.71411895751953
2014-01-08,86.78965759277344
2014-01-09,85.93449401855469
2014-01-10,86.12157440185547
2014-01-13,85.20405578613281
2014-01-14,86.22848510742188
2014-01-15,87.03910064697266
2014-01-16,86.45115661621094
2014-01-17,85.45347595214844
2014-01-21,85.91671752929688
2014-01-22,85.88105010986328
2014-01-23,84.96357727050781
2014-01-24,83.16415405273438
2014-01-27,83.03055572509766
2014-01-28,83.98368072509766
2014-01-29,83.03946685791016
2014-01-30,82.87911224365234
2014-01-31,83.70753479003906
2014-02-03,80.94611358642578
2014-02-04,81.34695434570312
2014-02-05,82.11302947998047
2014-02-06,82.44261932373047
2014-02-07,84.17076873779297
2014-02-10,85.1149673461914
2014-02-11,85.28421783447266
2014-02-12,84.98136901855469
2014-02-13,85.62273406982422
2014-02-14,85.57820129394531
2014-02-18,85.51583099365234
2014-02-19,84.35781860351562
2014-02-20,84.89228820800781
2014-02-21,84.98136901855469
2014-02-24,85.15061950683594
2014-02-25,84.69631958007812
2014-02-26,84.80321502685547
2014-02-27,84.8477783203125
2014-02-28,83.59176635742188
2014-03-03,84.09056854248047
2014-03-04,86.45115661621094
2014-03-05,86.54914855957031
2014-03-06,87.52012634277344
2014-03-07,87.35086059570312
2014-03-10,87.60921478271484
2014-03-11,87.17272186279297
2014-03-12,86.2374038696289
2014-03-13,84.13511657714844
2014-03-14,83.86788940429688
2014-03-17,84.01042938232422
2014-03-18,84.79429626464844
2014-03-19,84.38452911376953
2014-03-20,84.42017364501953
2014-03-21,83.32447814941406
2014-03-24,82.00614166259766
2014-03-25,82.82568359375
2014-03-26,82.67385864257812
2014-03-27,82.82568359375
2014-03-28,83.67391967773438
2014-03-31,84.45075225830078
2014-04-01,85.1025619506836
2014-04-02,86.22761535644531
2014-04-03,87.47769165039062
2014-04-04,86.31690216064453
2014-04-07,84.69181060791016
2014-04-08,83.79890441894531
2014-04-09,85.73651885986328
2014-04-10,82.74529266357422
2014-04-11,81.70060729980469
2014-04-14,83.10244750976562
2014-04-15,82.70065307617188
2014-04-16,81.76309967041016
2014-04-17,81.24520111083984
2014-04-21,82.06668090820312
2014-04-22,81.8613510131836
2014-04-23,81.65592956542969
2014-04-24,91.04927825927734
2014-04-25,89.77244567871094
2014-04-28,87.90628051757812
2014-04-29,87.42411804199219
2014-04-30,86.43299102783203
2014-05-01,87.05802154541016
2014-05-02,87.60267639160156
2014-05-05,88.42416381835938
2014-05-06,89.3438491821289
2014-05-07,89.31708526611328
2014-05-08,88.75453186035156
2014-05-09,89.27240753173828
2014-05-12,90.07601165771484
2014-05-13,90.43317413330078
2014-05-14,90.12067413330078
2014-05-15,89.42418670654297
2014-05-16,89.83493041992188
2014-05-19,91.07611083984375
2014-05-20,90.6832046508789
2014-05-21,90.63855743408203
2014-05-22,90.8707046508789
2014-05-23,90.9332275390625
2014-05-27,91.62968444824219
2014-05-28,91.88861083984375
2014-05-29,92.73690795898438
2014-05-30,93.17438507080078
2014-06-02,93.46012115478516
2014-06-03,94.7280502319336
2014-06-04,95.40666198730469
2014-06-05,95.52275848388672
2014-06-06,95.71916961669922
2014-06-09,95.3709716796875
2014-06-10,95.18344116210938
2014-06-11,94.4780502319336
2014-06-12,94.04053497314453
2014-06-13,94.27267456054688
2014-06-16,93.73693084716797
2014-06-17,93.51370239257812
2014-06-18,94.67447662353516
2014-06-19,94.31733703613281
2014-06-20,94.27267456054688
2014-06-23,93.69229125976562
2014-06-24,93.00474548339844
2014-06-25,94.28429412841797
2014-06-26,94.06061553955078
2014-06-27,93.3716049194336
2014-06-30,92.93317413330078
2014-07-01,93.85482025146484
2014-07-02,93.8279800415039
2014-07-03,94.06954956054688
2014-07-07,93.48794555664062
2014-07-08,92.48578643798828
2014-07-09,92.87052917480469
2014-07-10,92.76315307617188
2014-07-11,92.87052917480469
2014-07-14,92.39630126953125
2014-07-15,91.93099975585938
2014-07-16,91.97576141357422
2014-07-17,90.11456298828125
2014-07-18,91.66259002685547
2014-07-21,90.74987030029297
2014-07-22,91.42097473144531
2014-07-23,92.30683135986328
2014-07-24,89.31819152832031
2014-07-25,90.20406341552734
2014-07-28,89.98928833007812
2014-07-29,90.31143188476562
2014-07-30,91.46569061279297
2014-07-31,89.54190063476562
2014-08-01,89.13031005859375
2014-08-04,89.60453796386719
2014-08-05,88.0118408203125
2014-08-06,86.2132797241211
2014-08-07,85.28268432617188
2014-08-08,85.97168731689453
2014-08-11,86.18645477294922
2014-08-12,86.53539276123047
2014-08-13,87.40335083007812
2014-08-14,87.53756713867188
2014-08-15,87.22437286376953
2014-08-18,88.86185455322266
2014-08-19,89.42561340332031
2014-08-20,89.30928039550781
2014-08-21,90.03404998779297
2014-08-22,89.02290344238281
2014-08-25,89.89085388183594
2014-08-26,90.15931701660156
2014-08-27,89.28238677978516
2014-08-28,88.98712921142578
2014-08-29,88.86185455322266
2014-09-02,88.84397888183594
2014-09-03,89.76559448242188
2014-09-04,90.06087493896484
2014-09-05,90.43669128417969
2014-09-08,90.30248260498047
2014-09-09,91.66259002685547
2014-09-10,93.72949981689453
2014-09-11,94.1590576171875
2014-09-12,93.8995590209961
2014-09-15,93.49690246582031
2014-09-16,93.8995590209961
2014-09-17,93.03160858154297
2014-09-18,93.28215026855469
2014-09-19,93.04948425292969
2014-09-22,92.79000854492188
2014-09-23,91.6446762084961
2014-09-24,92.92699432373047
2014-09-25,90.79277801513672
2014-09-26,91.16044616699219
2014-09-29,90.98111724853516
2014-09-30,90.16509246826172
2014-10-01,90.35340118408203
2014-10-02,91.6446762084961
2014-10-03,91.99439239501953
2014-10-06,92.35307312011719
2014-10-07,90.92728424072266
2014-10-08,92.84627532958984
2014-10-09,91.22319793701172
2014-10-10,90.64037322998047
2014-10-13,88.5330581665039
2014-10-14,87.46597290039062
2014-10-15,87.62738800048828
2014-10-16,86.0401611328125
2014-10-17,87.44802856445312
2014-10-20,88.94554901123047
2014-10-21,90.85555267333984
2014-10-22,89.85122680664062
2014-10-23,93.76988220214844
2014-10-24,94.41552734375
2014-10-27,94.13753509521484
2014-10-28,96.9353256225586
2014-10-29,96.98018646240234
2014-10-30,97.99343872070312
