,MA
2014-01-02,77.9840316772461
2014-01-03,77.67269134521484
2014-01-06,77.28751373291016
2014-01-07,78.3641128540039
2014-01-08,78.34068298339844
2014-01-09,78.97354888916016
2014-01-10,78.14596557617188
2014-01-13,75.82807159423828
2014-01-14,76.92430114746094
2014-01-15,77.07969665527344
2014-01-16,77.27908325195312
2014-01-17,76.61630249023438
2014-01-21,76.6219253540039
2014-01-22,77.98120880126953
2014-01-23,77.1012191772461
2014-01-24,73.49705505371094
2014-01-27,71.19412994384766
2014-01-28,73.79662322998047
2014-01-29,72.73877716064453
2014-01-30,74.66726684570312
2014-01-31,70.84773254394531
2014-02-03,69.19076538085938
2014-02-04,68.45121765136719
2014-02-05,68.1890869140625
2014-02-06,70.11756896972656
2014-02-07,71.43751525878906
2014-02-10,71.4749755859375
2014-02-11,71.32518005371094
2014-02-12,71.11925506591797
2014-02-13,71.64350128173828
2014-02-14,72.44857025146484
2014-02-18,72.54218292236328
2014-02-19,71.75581359863281
2014-02-20,71.0162582397461
2014-02-21,70.86647033691406
2014-02-24,71.10985565185547
2014-02-25,71.84004974365234
2014-02-26,72.42047119140625
2014-02-27,72.79496002197266
2014-02-28,72.75748443603516
2014-03-03,71.83069610595703
2014-03-04,73.48770904541016
2014-03-05,73.20685577392578
2014-03-06,72.67324829101562
2014-03-07,72.96344757080078
2014-03-10,72.44857025146484
2014-03-11,72.92603302001953
2014-03-12,73.337890625
2014-03-13,71.72773742675781
2014-03-14,71.46561431884766
2014-03-17,72.8604507446289
2014-03-18,73.880859375
2014-03-19,73.309814453125
2014-03-20,73.4034423828125
2014-03-21,71.137939453125
2014-03-24,72.44857025146484
2014-03-25,70.4732894897461
2014-03-26,69.00353240966797
2014-03-27,68.65715789794922
2014-03-28,68.5448226928711
2014-03-31,69.93033599853516
2014-04-01,70.03328704833984
2014-04-02,69.93033599853516
2014-04-03,69.77119445800781
2014-04-04,67.57124328613281
2014-04-07,66.87743377685547
2014-04-08,67.05555725097656
2014-04-09,68.96823120117188
2014-04-10,66.7274169921875
2014-04-11,64.3928451538086
2014-04-14,66.73677825927734
2014-04-15,67.64624786376953
2014-04-16,69.31512451171875
2014-04-17,69.50267028808594
2014-04-21,69.67139434814453
2014-04-22,69.877685546875
2014-04-23,68.78070831298828
2014-04-24,69.70889282226562
2014-04-25,66.2492446899414
2014-04-28,66.79303741455078
2014-04-29,67.53372192382812
2014-04-30,68.95884704589844
2014-05-01,69.5870132446289
2014-05-02,69.17449188232422
2014-05-05,70.14957427978516
2014-05-06,69.20262908935547
2014-05-07,69.25885772705078
2014-05-08,69.60577392578125
2014-05-09,69.73702239990234
2014-05-12,70.33708953857422
2014-05-13,70.1589584350586
2014-05-14,69.47452545166016
2014-05-15,68.5181884765625
2014-05-16,69.14636993408203
2014-05-19,69.24949645996094
2014-05-20,69.05258178710938
2014-05-21,70.90899658203125
2014-05-22,71.02154541015625
2014-05-23,71.67780303955078
2014-05-27,72.22159576416016
2014-05-28,72.12784576416016
2014-05-29,71.99657440185547
2014-05-30,71.67780303955078
2014-06-02,72.24036407470703
