,SRE
2014-01-02,31.608991622924805
2014-01-03,31.7376651763916
2014-01-06,31.866331100463867
2014-01-07,32.345252990722656
2014-01-08,32.0736198425293
2014-01-09,32.28450012207031
2014-01-10,32.8563346862793
2014-01-13,32.473915100097656
2014-01-14,32.76341247558594
2014-01-15,32.8813591003418
2014-01-16,32.931396484375
2014-01-17,32.863487243652344
2014-01-21,33.2137451171875
2014-01-22,33.17085647583008
2014-01-23,32.95641326904297
2014-01-24,32.266624450683594
2014-01-27,32.187984466552734
2014-01-28,32.23802947998047
2014-01-29,32.24518585205078
2014-01-30,32.702659606933594
2014-01-31,33.1351318359375
2014-02-03,32.863487243652344
2014-02-04,32.57756423950195
2014-02-05,32.338104248046875
2014-02-06,32.60615921020508
2014-02-07,32.96714401245117
2014-02-10,33.124393463134766
2014-02-11,33.41747283935547
2014-02-12,33.03504180908203
2014-02-13,33.20301818847656
2014-02-14,33.29237747192383
2014-02-18,33.38886642456055
2014-02-19,33.10652542114258
2014-02-20,33.2137451171875
2014-02-21,33.23875427246094
2014-02-24,33.0850830078125
2014-02-25,33.26736068725586
2014-02-26,32.988582611083984
2014-02-27,33.63191604614258
2014-02-28,33.764156341552734
2014-03-03,33.624759674072266
2014-03-04,33.93212890625
2014-03-05,33.47465133666992
2014-03-06,33.4567756652832
2014-03-07,33.478233337402344
2014-03-10,33.653350830078125
2014-03-11,33.581878662109375
2014-03-12,33.803470611572266
2014-03-13,34.146575927734375
2014-03-14,34.282379150390625
2014-03-17,34.45036315917969
2014-03-18,34.4682502746582
2014-03-19,34.1859016418457
2014-03-20,34.371742248535156
2014-03-21,34.418212890625
2014-03-24,34.36101531982422
2014-03-25,34.58773422241211
2014-03-26,34.519351959228516
2014-03-27,34.62013244628906
2014-03-28,34.45819091796875
2014-03-31,34.82166290283203
2014-04-01,34.71370315551758
2014-04-02,34.5661506652832
2014-04-03,34.580543518066406
2014-04-04,34.70650863647461
2014-04-07,34.393402099609375
2014-04-08,34.64892578125
2014-04-09,34.84326171875
2014-04-10,34.81086349487305
2014-04-11,34.699302673339844
2014-04-14,34.77488708496094
2014-04-15,34.85404968261719
2014-04-16,35.39746856689453
2014-04-17,34.95481872558594
2014-04-21,34.87204360961914
2014-04-22,34.78566360473633
2014-04-23,34.89724349975586
2014-04-24,34.976402282714844
2014-04-25,35.505435943603516
2014-04-28,35.78972625732422
2014-04-29,35.51981735229492
2014-04-30,35.4874267578125
2014-05-01,35.52702331542969
2014-05-02,35.300296783447266
2014-05-05,35.48384094238281
2014-05-06,35.537818908691406
2014-05-07,36.13520812988281
2014-05-08,35.85449981689453
2014-05-09,35.393856048583984
2014-05-12,35.224727630615234
2014-05-13,35.15635681152344
2014-05-14,35.444244384765625
2014-05-15,35.210323333740234
2014-05-16,35.339881896972656
2014-05-19,34.93682861328125
2014-05-20,34.96561813354492
2014-05-21,35.32189178466797
2014-05-22,35.44784164428711
2014-05-23,35.67816162109375
2014-05-27,35.64937210083008
2014-05-28,35.883296966552734
2014-05-29,36.00565719604492
2014-05-30,36.113624572753906
2014-06-02,36.15681076049805
2014-06-03,36.1747932434082
2014-06-04,36.07762908935547
2014-06-05,36.38713073730469
2014-06-06,36.243167877197266
2014-06-09,36.35114288330078
