,EOG
2014-01-02,62.098602294921875
2014-01-03,61.925506591796875
2014-01-06,61.72229766845703
2014-01-07,62.787254333496094
2014-01-08,62.760921478271484
2014-01-09,62.84369659423828
2014-01-10,62.772216796875
2014-01-13,61.511539459228516
2014-01-14,63.445777893066406
2014-01-15,64.17965698242188
2014-01-16,64.08172607421875
2014-01-17,63.65224075317383
2014-01-21,63.75398254394531
2014-01-22,64.69200897216797
2014-01-23,63.73137283325195
2014-01-24,62.36006164550781
2014-01-27,61.0678825378418
2014-01-28,62.99674606323242
2014-01-29,62.02853775024414
2014-01-30,62.58610916137695
2014-01-31,62.25080490112305
2014-02-03,60.93225860595703
2014-02-04,63.50908279418945
2014-02-05,63.09846115112305
2014-02-06,65.26841735839844
2014-02-07,66.49281311035156
2014-02-10,65.62631225585938
2014-02-11,65.82595825195312
2014-02-12,65.96913146972656
2014-02-13,66.1047592163086
2014-02-14,66.66607666015625
2014-02-18,67.78120422363281
2014-02-19,67.38188934326172
2014-02-20,67.8226547241211
2014-02-21,67.05786895751953
2014-02-24,67.96205139160156
2014-02-25,69.31826782226562
2014-02-26,70.23746490478516
2014-02-27,70.62549591064453
2014-02-28,71.36015319824219
2014-03-03,71.3111572265625
2014-03-04,72.16633605957031
2014-03-05,71.76324462890625
2014-03-06,71.97795867919922
2014-03-07,71.54850769042969
2014-03-10,71.22075653076172
2014-03-11,69.92103576660156
2014-03-12,69.74398040771484
2014-03-13,68.90762329101562
2014-03-14,70.0604019165039
2014-03-17,70.53511047363281
2014-03-18,71.26216888427734
2014-03-19,70.64812469482422
2014-03-20,71.70294952392578
2014-03-21,72.19649505615234
2014-03-24,71.42794799804688
2014-03-25,72.17011260986328
2014-03-26,72.37728881835938
2014-03-27,72.88211822509766
2014-03-28,74.27601623535156
2014-03-31,73.903076171875
2014-04-01,74.57743072509766
2014-04-02,74.67536926269531
2014-04-03,75.83567810058594
2014-04-04,75.17266845703125
2014-04-07,73.78629302978516
2014-04-08,74.37397003173828
2014-04-09,74.55482482910156
2014-04-10,73.92190551757812
2014-04-11,74.31371307373047
2014-04-14,75.411376953125
2014-04-15,76.27893829345703
2014-04-16,76.20353698730469
2014-04-17,77.28984832763672
2014-04-21,78.10462951660156
2014-04-22,77.20687866210938
2014-04-23,79.27398681640625
2014-04-24,78.06693267822266
2014-04-25,74.7173080444336
2014-04-28,73.9780044555664
2014-04-29,75.15489196777344
2014-04-30,73.93269348144531
2014-05-01,73.26885986328125
2014-05-02,73.22357177734375
2014-05-05,74.875732421875
2014-05-06,78.18008422851562
2014-05-07,79.0551986694336
2014-05-08,76.74668884277344
2014-05-09,77.1616439819336
2014-05-12,78.18761444091797
2014-05-13,79.34188079833984
2014-05-14,78.3837890625
2014-05-15,77.50865173339844
2014-05-16,77.32757568359375
2014-05-19,77.17671203613281
2014-05-20,76.86737060546875
2014-05-21,78.57992553710938
2014-05-22,78.21778869628906
2014-05-23,78.43658447265625
2014-05-27,79.0099105834961
2014-05-28,79.35696411132812
2014-05-29,80.47350311279297
2014-05-30,79.81718444824219
2014-06-02,79.50032043457031
2014-06-03,80.46598052978516
2014-06-04,80.2471694946289
2014-06-05,81.40142822265625
2014-06-06,82.47269439697266
2014-06-09,82.61604309082031
2014-06-10,81.99740600585938
2014-06-11,83.5137939453125
2014-06-12,84.21538543701172
2014-06-13,86.0184555053711
2014-06-16,86.02599334716797
2014-06-17,84.78876495361328
2014-06-18,85.65633392333984
2014-06-19,87.361328125
2014-06-20,89.00592803955078
2014-06-23,88.57594299316406
2014-06-24,85.26405334472656
2014-06-25,87.52728271484375
2014-06-26,87.07464599609375
2014-06-27,87.3914794921875
2014-06-30,88.16099548339844
2014-07-01,87.92713928222656
2014-07-02,87.68569946289062
2014-07-03,88.07799530029297
2014-07-07,87.30853271484375
2014-07-08,87.4970932006836
2014-07-09,87.93467712402344
2014-07-10,86.72761535644531
2014-07-11,85.73933410644531
2014-07-14,87.27833557128906
2014-07-15,85.67346954345703
2014-07-16,88.4376220703125
2014-07-17,87.26699829101562
2014-07-18,87.63705444335938
2014-07-21,87.72013854980469
2014-07-22,88.0222396850586
2014-07-23,87.5691146850586
2014-07-24,87.7579116821289
2014-07-25,86.71566009521484
2014-07-28,85.63569641113281
2014-07-29,86.27764892578125
2014-07-30,85.81697082519531
2014-07-31,82.65254974365234
2014-08-01,81.59521484375
2014-08-04,84.44242858886719
2014-08-05,82.04078674316406
2014-08-06,80.53787994384766
2014-08-07,80.099853515625
2014-08-08,81.39887237548828
2014-08-11,81.79158020019531
2014-08-12,80.57565307617188
2014-08-13,80.31886291503906
2014-08-14,78.49122619628906
2014-08-15,80.12252807617188
2014-08-18,79.62403106689453
2014-08-19,80.83243560791016
2014-08-20,81.02122497558594
2014-08-21,80.95325469970703
2014-08-22,80.25845336914062
2014-08-25,81.51969909667969
2014-08-26,82.622314453125
2014-08-27,82.02568817138672
2014-08-28,81.85956573486328
2014-08-29,82.9848403930664
2014-09-02,81.34597778320312
2014-09-03,81.36865234375
2014-09-04,79.0047607421875
2014-09-05,79.43524169921875
