,TSN
2014-01-02,26.472793579101562
2014-01-03,26.67230224609375
2014-01-06,26.496742248535156
2014-01-07,26.584529876708984
2014-01-08,27.07135772705078
2014-01-09,27.61406707763672
2014-01-10,27.80560874938965
2014-01-13,27.055400848388672
2014-01-14,27.510316848754883
2014-01-15,27.757719039916992
2014-01-16,27.965229034423828
2014-01-17,27.965229034423828
2014-01-21,27.925323486328125
2014-01-22,28.396209716796875
2014-01-23,28.300430297851562
2014-01-24,27.749740600585938
2014-01-27,27.653980255126953
2014-01-28,27.661951065063477
2014-01-29,27.44646453857422
2014-01-30,27.52627182006836
2014-01-31,29.84873390197754
2014-02-03,28.747365951538086
2014-02-04,28.30841636657715
2014-02-05,28.404178619384766
2014-02-06,28.491971969604492
2014-02-07,28.803234100341797
2014-02-10,29.13044548034668
2014-02-11,29.33794593811035
2014-02-12,29.441694259643555
2014-02-13,29.904605865478516
2014-02-14,30.11210060119629
2014-02-18,30.598926544189453
2014-02-19,30.559036254882812
2014-02-20,31.261362075805664
2014-02-21,31.053852081298828
2014-02-24,31.013952255249023
2014-02-25,31.069805145263672
2014-02-26,31.273727416992188
2014-02-27,31.113794326782227
2014-02-28,31.54560089111328
2014-03-03,31.03382110595703
2014-03-04,31.665538787841797
2014-03-05,32.321231842041016
2014-03-06,32.12134552001953
2014-03-07,32.2012939453125
2014-03-10,32.137325286865234
2014-03-11,31.77750015258789
2014-03-12,32.3612174987793
2014-03-13,32.3612174987793
2014-03-14,33.16885757446289
2014-03-17,33.32078552246094
2014-03-18,33.84854507446289
2014-03-19,33.5127067565918
2014-03-20,33.81656265258789
2014-03-21,33.88053512573242
2014-03-24,33.88053512573242
2014-03-25,33.92852020263672
2014-03-26,34.28034591674805
2014-03-27,34.28034591674805
2014-03-28,34.504249572753906
2014-03-31,35.191932678222656
2014-04-01,34.744144439697266
2014-04-02,33.13687515258789
2014-04-03,33.5766716003418
2014-04-04,32.9609489440918
2014-04-07,32.801029205322266
2014-04-08,33.256813049316406
2014-04-09,33.81656265258789
2014-04-10,33.040916442871094
2014-04-11,33.32078552246094
2014-04-14,33.88853454589844
2014-04-15,33.93650436401367
2014-04-16,34.18437957763672
2014-04-17,34.104434967041016
2014-04-21,34.40829086303711
2014-04-22,34.54423141479492
2014-04-23,34.58421325683594
2014-04-24,33.98448944091797
2014-04-25,33.92852020263672
2014-04-28,34.0004768371582
2014-04-29,33.42475128173828
2014-04-30,33.56067657470703
2014-05-01,33.91252517700195
2014-05-02,34.104434967041016
2014-05-05,30.737972259521484
2014-05-06,30.58603286743164
2014-05-07,31.369667053222656
2014-05-08,31.31370735168457
2014-05-09,31.52959632873535
2014-05-12,31.849458694458008
2014-05-13,32.06535339355469
2014-05-14,32.10535430908203
2014-05-15,32.465179443359375
2014-05-16,32.70506286621094
2014-05-19,32.761051177978516
2014-05-20,32.497161865234375
2014-05-21,31.809484481811523
2014-05-22,31.289718627929688
2014-05-23,31.761510848999023
2014-05-27,33.21684265136719
2014-05-28,32.6440544128418
2014-05-29,34.64676284790039
2014-05-30,34.01390075683594
2014-06-02,34.766929626464844
2014-06-03,33.709503173828125
2014-06-04,33.18878173828125
2014-06-05,32.76423263549805
2014-06-06,32.139381408691406
2014-06-09,30.040552139282227
2014-06-10,28.895000457763672
2014-06-11,28.911026000976562
2014-06-12,28.174026489257812
2014-06-13,28.382307052612305
2014-06-16,28.15801429748535
2014-06-17,28.414358139038086
2014-06-18,28.870973587036133
2014-06-19,28.81489372253418
2014-06-20,29.1914005279541
2014-06-23,29.055213928222656
2014-06-24,28.86296844482422
2014-06-25,29.143342971801758
2014-06-26,29.664047241210938
2014-06-27,29.992481231689453
2014-06-30,30.07258415222168
2014-07-01,30.336959838867188
2014-07-02,31.21012306213379
2014-07-03,30.849653244018555
2014-07-07,31.258195877075195
2014-07-08,31.434431076049805
2014-07-09,31.089956283569336
2014-07-10,31.346311569213867
2014-07-11,31.786888122558594
2014-07-14,31.923095703125
2014-07-15,31.450450897216797
2014-07-16,31.426410675048828
