,PNW
2014-01-02,33.76979446411133
2014-01-03,33.78276062011719
2014-01-06,33.75679397583008
2014-01-07,34.016334533691406
2014-01-08,33.802207946777344
2014-01-09,34.07470703125
2014-01-10,34.56779479980469
2014-01-13,34.36666488647461
2014-01-14,34.23042678833008
2014-01-15,34.10067367553711
2014-01-16,34.25636672973633
2014-01-17,33.99037170410156
2014-01-21,34.36017990112305
2014-01-22,34.496421813964844
2014-01-23,34.15904998779297
2014-01-24,33.74382400512695
2014-01-27,33.67245864868164
2014-01-28,33.730857849121094
2014-01-29,33.55568313598633
2014-01-30,34.243167877197266
2014-01-31,34.52524948120117
2014-02-03,33.6396484375
2014-02-04,33.86923599243164
2014-02-05,33.724918365478516
2014-02-06,34.18412399291992
2014-02-07,34.61052703857422
2014-02-10,34.81388854980469
2014-02-11,35.27963638305664
2014-02-12,35.27963638305664
2014-02-13,35.43708419799805
2014-02-14,35.679813385009766
2014-02-18,35.975006103515625
2014-02-19,35.660118103027344
2014-02-20,36.14556884765625
2014-02-21,35.902835845947266
2014-02-24,35.71260452270508
2014-02-25,36.17179870605469
2014-02-26,36.237396240234375
2014-02-27,36.257083892822266
2014-02-28,36.50636672973633
2014-03-03,36.12587356567383
2014-03-04,36.24395751953125
2014-03-05,35.75852584838867
2014-03-06,35.456756591796875
2014-03-07,35.4502067565918
2014-03-10,35.58796310424805
2014-03-11,35.18780517578125
2014-03-12,35.58140182495117
2014-03-13,36.0340461730957
2014-03-14,36.106201171875
2014-03-17,36.3554801940918
2014-03-18,36.467002868652344
2014-03-19,35.56173324584961
2014-03-20,35.12876892089844
2014-03-21,35.38459777832031
2014-03-24,35.929080963134766
2014-03-25,35.745418548583984
2014-03-26,35.54859161376953
2014-03-27,35.751953125
2014-03-28,35.44364929199219
2014-03-31,35.856929779052734
2014-04-01,35.607643127441406
2014-04-02,35.4764518737793
2014-04-03,35.804439544677734
2014-04-04,36.02748489379883
2014-04-07,35.98154830932617
2014-04-08,36.48668670654297
2014-04-09,36.33580017089844
2014-04-10,36.07997131347656
2014-04-11,35.93564224243164
2014-04-14,36.21772766113281
2014-04-15,36.49324035644531
2014-04-16,37.0902099609375
2014-04-17,36.69660186767578
2014-04-21,36.611324310302734
2014-04-22,36.47355270385742
2014-04-23,36.48668670654297
2014-04-24,36.84748458862305
2014-04-25,37.372283935546875
2014-04-28,37.35916519165039
2014-04-29,36.9852409362793
2014-04-30,36.703163146972656
2014-05-01,37.079593658447266
2014-05-02,35.800514221191406
2014-05-05,36.22467803955078
2014-05-06,36.290950775146484
2014-05-07,37.059715270996094
2014-05-08,36.98680877685547
2014-05-09,36.628936767578125
2014-05-12,36.36384201049805
2014-05-13,36.430118560791016
2014-05-14,36.5560302734375
2014-05-15,36.403602600097656
2014-05-16,36.56929016113281
2014-05-19,36.264442443847656
2014-05-20,36.13189697265625
2014-05-21,36.1186408996582
2014-05-22,36.41022872924805
2014-05-23,36.330711364746094
2014-05-27,36.45661163330078
2014-05-28,36.48976135253906
2014-05-29,36.357215881347656
2014-05-30,36.728355407714844
2014-06-02,36.509639739990234
2014-06-03,36.443363189697266
2014-06-04,36.271060943603516
2014-06-05,36.57591247558594
2014-06-06,36.42348098754883
2014-06-09,36.138511657714844
2014-06-10,36.04573440551758
2014-06-11,35.68122100830078
2014-06-12,35.8204231262207
2014-06-13,35.93307113647461
2014-06-16,36.264442443847656
2014-06-17,36.092124938964844
2014-06-18,36.98017883300781
