,UPS
2014-01-02,72.46625518798828
2014-01-03,72.30496978759766
2014-01-06,71.36509704589844
2014-01-07,71.59654998779297
2014-01-08,71.54045867919922
2014-01-09,71.62462615966797
2014-01-10,71.9051513671875
2014-01-13,70.29902648925781
2014-01-14,70.78998565673828
2014-01-15,70.87413787841797
2014-01-16,70.48136138916016
2014-01-17,70.07456970214844
2014-01-21,69.13471221923828
2014-01-22,69.4293212890625
2014-01-23,68.6928482055664
2014-01-24,67.5636215209961
2014-01-27,66.75003051757812
2014-01-28,67.19892120361328
2014-01-29,66.86225891113281
2014-01-30,67.17788696289062
2014-01-31,66.7921371459961
2014-02-03,65.66291809082031
2014-02-04,65.85227966308594
2014-02-05,65.76111602783203
2014-02-06,66.4484634399414
2014-02-07,66.89030456542969
2014-02-10,66.44145965576172
2014-02-11,67.44441223144531
2014-02-12,67.35323333740234
2014-02-13,67.7249526977539
2014-02-14,68.20186614990234
2014-02-18,67.67584991455078
2014-02-19,66.75706481933594
2014-02-20,67.5764389038086
2014-02-21,67.88721466064453
2014-02-24,67.77420806884766
2014-02-25,67.42102813720703
2014-02-26,67.24444580078125
2014-02-27,67.4916763305664
2014-02-28,67.6470718383789
2014-03-03,67.65412139892578
2014-03-04,68.50174713134766
2014-03-05,68.57238006591797
2014-03-06,69.12334442138672
2014-03-07,69.37760162353516
2014-03-10,69.74491882324219
2014-03-11,69.44117736816406
2014-03-12,69.58951568603516
2014-03-13,68.58651733398438
2014-03-14,68.0002212524414
2014-03-17,68.5088119506836
2014-03-18,68.80546569824219
2014-03-19,68.48056030273438
2014-03-20,68.45230865478516
2014-03-21,68.41697692871094
2014-03-24,68.75601196289062
2014-03-25,68.97501373291016
2014-03-26,68.33927154541016
2014-03-27,68.55119323730469
2014-03-28,68.75601196289062
2014-03-31,68.78428649902344
2014-04-01,68.75601196289062
2014-04-02,69.20103454589844
2014-04-03,69.58951568603516
2014-04-04,69.2928466796875
2014-04-07,68.7701644897461
2014-04-08,68.81254577636719
2014-04-09,69.11625671386719
2014-04-10,68.25450134277344
2014-04-11,68.0002212524414
2014-04-14,67.87308502197266
2014-04-15,67.65412139892578
2014-04-16,68.76309204101562
2014-04-17,69.22221374511719
2014-04-21,69.85794067382812
2014-04-22,69.92854309082031
2014-04-23,70.09808349609375
2014-04-24,69.67427062988281
2014-04-25,68.79840850830078
2014-04-28,69.4058837890625
2014-04-29,69.22927856445312
2014-04-30,69.57540893554688
2014-05-01,69.29991149902344
2014-05-02,69.6177978515625
2014-05-05,69.18689727783203
2014-05-06,68.78428649902344
2014-05-07,69.80848693847656
2014-05-08,69.92149353027344
2014-05-09,70.46540069580078
2014-05-12,71.7015151977539
2014-05-13,72.4078598022461
2014-05-14,72.07588195800781
2014-05-15,71.42884826660156
2014-05-16,72.04745483398438
2014-05-19,72.09009552001953
2014-05-20,71.47860717773438
2014-05-21,72.33895111083984
2014-05-22,72.28207397460938
2014-05-23,73.04286193847656
2014-05-27,73.35570526123047
2014-05-28,73.5263442993164
2014-05-29,73.9885025024414
2014-05-30,73.86052703857422
2014-06-02,74.00273132324219
2014-06-03,73.54055786132812
2014-06-04,73.21348571777344
2014-06-05,73.67564392089844
2014-06-06,73.6543197631836
2014-06-09,73.58321380615234
2014-06-10,73.17083740234375
2014-06-11,72.87931823730469
2014-06-12,71.73457336425781
2014-06-13,71.83414459228516
2014-06-16,71.94078826904297
2014-06-17,72.24652862548828
2014-06-18,73.08552551269531
2014-06-19,72.78688049316406
2014-06-20,72.87931823730469
2014-06-23,72.85087585449219
2014-06-24,72.33183288574219
2014-06-25,72.8153305053711
2014-06-26,72.97887420654297
2014-06-27,73.02864074707031
2014-06-30,72.99308776855469
2014-07-01,73.128173828125
2014-07-02,73.62590026855469
2014-07-03,73.86052703857422
2014-07-07,73.40550231933594
2014-07-08,73.16372680664062
2014-07-09,73.22061920166016
2014-07-10,72.58778381347656
2014-07-11,72.90065002441406
2014-07-14,73.55476379394531
2014-07-15,74.15205383300781
2014-07-16,74.31555938720703
2014-07-17,72.9859619140625
2014-07-18,73.81784057617188
2014-07-21,73.9885025024414
2014-07-22,74.28714752197266
2014-07-23,74.18760681152344
2014-07-24,74.00984191894531
2014-07-25,73.64010620117188
2014-07-28,72.99308776855469
2014-07-29,70.29122924804688
2014-07-30,70.63961029052734
2014-07-31,69.0326919555664
2014-08-01,68.99005126953125
2014-08-04,69.09671020507812
2014-08-05,68.62033081054688
2014-08-06,68.06573486328125
2014-08-07,67.58223724365234
2014-08-08,68.21501922607422
2014-08-11,68.3074722290039
2014-08-12,68.54922485351562
2014-08-13,68.69856262207031
2014-08-14,68.78445434570312
2014-08-15,69.34291076660156
2014-08-18,69.89424133300781
2014-08-19,70.35961151123047
2014-08-20,70.73910522460938
2014-08-21,70.4598617553711
2014-08-22,70.00162506103516
2014-08-25,70.09469604492188
2014-08-26,69.75102996826172
2014-08-27,69.72239685058594
2014-08-28,69.76535034179688
2014-08-29,69.68659973144531
2014-09-02,70.13050079345703
2014-09-03,70.14482116699219
2014-09-04,70.50283813476562
2014-09-05,70.78204345703125
2014-09-08,70.46701049804688
2014-09-09,69.95865631103516
2014-09-10,69.89424133300781
2014-09-11,70.12335205078125
2014-09-12,70.20211791992188
2014-09-15,69.89424133300781
2014-09-16,70.13764190673828
2014-09-17,71.1614990234375
2014-09-18,71.33336639404297
2014-09-19,71.19734191894531
2014-09-22,70.26652526855469
2014-09-23,69.67945098876953
2014-09-24,70.22356414794922
2014-09-25,69.11381530761719
2014-09-26,69.79399871826172
2014-09-29,69.6937484741211
2014-09-30,70.37394714355469
2014-10-01,69.39305877685547
2014-10-02,69.55052947998047
2014-10-03,70.7319564819336
2014-10-06,70.56725311279297
2014-10-07,69.0422134399414
2014-10-08,70.26652526855469
2014-10-09,69.11381530761719
2014-10-10,68.57679748535156
2014-10-13,67.78209686279297
2014-10-14,68.59112548828125
2014-10-15,69.05650329589844
2014-10-16,68.46940612792969
2014-10-17,69.63646697998047
2014-10-20,70.22356414794922
2014-10-21,72.13525390625
2014-10-22,70.92525482177734
2014-10-23,71.94196319580078
2014-10-24,72.02069854736328
2014-10-27,73.2092514038086
2014-10-28,73.67463684082031
2014-10-29,73.4741439819336
2014-10-30,73.95384216308594
2014-10-31,75.1137466430664
2014-11-03,75.63641357421875
2014-11-04,76.66743469238281
2014-11-05,76.99678802490234
2014-11-06,77.53375244140625
2014-11-07,77.56239318847656
2014-11-10,78.07792663574219
2014-11-11,77.87028503417969
2014-11-12,77.77005004882812
2014-11-13,77.6547622680664
2014-11-14,76.96317291259766
2014-11-17,76.70379638671875
2014-11-18,76.3868179321289
2014-11-19,76.10586547851562
2014-11-20,76.876708984375
2014-11-21,77.33778381347656
2014-11-24,77.27294921875
2014-11-25,77.17208099365234
2014-11-26,77.07121276855469
2014-11-28,79.18927764892578
2014-12-01,79.09561920166016
2014-12-02,79.54227447509766
2014-12-03,79.8952865600586
2014-12-04,79.55670166015625
2014-12-05,79.95294189453125
2014-12-08,79.39818572998047
2014-12-09,79.26853942871094
2014-12-10,79.2901382446289
2014-12-11,79.70077514648438
2014-12-12,79.24691009521484
2014-12-15,79.78721618652344
2014-12-16,79.12442016601562
2014-12-17,78.20231628417969
2014-12-18,79.91690826416016
2014-12-19,79.93852233886719
2014-12-22,80.68777465820312
2014-12-23,81.01197052001953
2014-12-24,80.9831771850586
2014-12-26,80.6373291015625
2014-12-29,81.01197052001953
2014-12-30,80.78861999511719
2014-12-31,80.0898208618164
2015-01-02,79.52067565917969
2015-01-05,77.92853546142578
2015-01-06,77.41703796386719
2015-01-07,78.13744354248047
2015-01-08,79.54227447509766
2015-01-09,78.95872497558594
2015-01-12,78.98755645751953
2015-01-13,79.326171875
2015-01-14,78.79303741455078
2015-01-15,78.73540496826172
2015-01-16,79.46304321289062
2015-01-20,80.190673828125
2015-01-21,80.45722198486328
2015-01-22,82.30872344970703
2015-01-23,74.15351104736328
2015-01-26,73.73566436767578
2015-01-27,72.65501403808594
2015-01-28,71.53836059570312
2015-01-29,72.3452377319336
2015-01-30,71.20696258544922
2015-02-02,72.13630676269531
2015-02-03,72.45329284667969
2015-02-04,72.42447662353516
2015-02-05,73.09449005126953
2015-02-06,72.52533721923828
2015-02-09,72.37403869628906
2015-02-10,72.82071685791016
2015-02-11,72.6982650756836
2015-02-12,73.0584487915039
2015-02-13,73.33222961425781
2015-02-17,73.8509292602539
