,ALLE
2014-01-02,39.0867919921875
2014-01-03,39.3643913269043
2014-01-06,39.11365509033203
2014-01-07,39.28378677368164
2014-01-08,39.2927360534668
2014-01-09,39.51661682128906
2014-01-10,40.949337005615234
2014-01-13,42.12239074707031
2014-01-14,42.802947998046875
2014-01-15,42.53429412841797
2014-01-16,42.444766998291016
2014-01-17,42.98204040527344
2014-01-21,43.13426208496094
2014-01-22,43.43871307373047
2014-01-23,42.73130416870117
2014-01-24,41.943294525146484
2014-01-27,41.7283935546875
2014-01-28,42.74025344848633
2014-01-29,42.78502655029297
2014-01-30,44.253570556640625
2014-01-31,44.190895080566406
2014-02-03,42.480567932128906
2014-02-04,43.026798248291016
2014-02-05,42.62384796142578
2014-02-06,44.092403411865234
2014-02-07,44.71921920776367
2014-02-10,44.629676818847656
2014-02-11,44.6744499206543
2014-02-12,44.7729377746582
2014-02-13,44.880409240722656
2014-02-14,44.44163131713867
2014-02-18,44.87144470214844
2014-02-19,44.020774841308594
2014-02-20,46.13404846191406
2014-02-21,46.89519500732422
2014-02-24,47.33395767211914
2014-02-25,48.85624313354492
2014-02-26,48.94578170776367
2014-02-27,49.56365203857422
2014-02-28,48.66818618774414
2014-03-03,47.898094177246094
2014-03-04,48.35478973388672
2014-03-05,48.310001373291016
2014-03-06,47.62946319580078
2014-03-07,47.80855178833008
2014-03-10,47.71900939941406
2014-03-11,48.802520751953125
2014-03-12,48.605525970458984
2014-03-13,48.067440032958984
2014-03-14,47.79840087890625
2014-03-17,47.49351119995117
2014-03-18,47.78046417236328
2014-03-19,47.78046417236328
2014-03-20,48.57861328125
2014-03-21,48.255760192871094
2014-03-24,47.95086669921875
2014-03-25,47.71769332885742
2014-03-26,46.66847229003906
2014-03-27,46.13935470581055
2014-03-28,46.77607727050781
2014-03-31,46.7850341796875
2014-04-01,48.35439682006836
2014-04-02,49.02700424194336
2014-04-03,49.27810287475586
2014-04-04,48.18402862548828
2014-04-07,46.291812896728516
2014-04-08,46.103485107421875
2014-04-09,46.184207916259766
2014-04-10,45.4488410949707
2014-04-11,44.847999572753906
2014-04-14,44.63277816772461
2014-04-15,44.80316925048828
2014-04-16,45.045291900634766
2014-04-17,44.97355270385742
2014-04-21,45.40401077270508
2014-04-22,45.735816955566406
2014-04-23,45.197750091552734
2014-04-24,45.05427169799805
2014-04-25,44.426517486572266
2014-04-28,43.780826568603516
2014-04-29,43.852577209472656
2014-04-30,44.25611877441406
2014-05-01,45.96001434326172
2014-05-02,45.46678161621094
2014-05-05,44.89284896850586
2014-05-06,44.740386962890625
2014-05-07,44.7762565612793
2014-05-08,44.265098571777344
2014-05-09,44.83903121948242
2014-05-12,45.269493103027344
2014-05-13,45.269493103027344
2014-05-14,44.65070724487305
2014-05-15,43.305545806884766
2014-05-16,44.1933479309082
2014-05-19,45.0273551940918
2014-05-20,45.28742218017578
2014-05-21,45.475746154785156
2014-05-22,46.175235748291016
2014-05-23,47.04511642456055
2014-05-27,47.05408477783203
2014-05-28,47.475563049316406
2014-05-29,47.99571228027344
2014-05-30,46.982337951660156
2014-06-02,46.69537353515625
