,PWR
2014-01-02,30.736995697021484
2014-01-03,30.795934677124023
2014-01-06,30.412826538085938
2014-01-07,30.658401489257812
2014-01-08,30.76646614074707
2014-01-09,31.2281551361084
2014-01-10,31.13974952697754
2014-01-13,30.59947395324707
2014-01-14,31.012042999267578
2014-01-15,30.92363166809082
2014-01-16,30.805757522583008
2014-01-17,31.0808048248291
2014-01-21,31.404970169067383
2014-01-22,31.57196617126465
2014-01-23,31.45409393310547
2014-01-24,30.520883560180664
2014-01-27,30.177066802978516
2014-01-28,30.285125732421875
2014-01-29,29.921661376953125
2014-01-30,30.45211410522461
2014-01-31,30.619112014770508
2014-02-03,29.499265670776367
2014-02-04,30.059186935424805
2014-02-05,30.108301162719727
2014-02-06,30.167245864868164
2014-02-07,30.687881469726562
2014-02-10,30.76646614074707
2014-02-11,30.884342193603516
2014-02-12,31.061161041259766
2014-02-13,31.208511352539062
2014-02-14,31.42462158203125
2014-02-18,31.77825355529785
2014-02-19,31.532676696777344
2014-02-20,33.929561614990234
2014-02-21,33.89026641845703
2014-02-24,34.16530227661133
2014-02-25,33.88043212890625
2014-02-26,34.14566421508789
2014-02-27,34.39124298095703
2014-02-28,34.58771514892578
2014-03-03,34.7448844909668
2014-03-04,35.226226806640625
2014-03-05,35.16728973388672
2014-03-06,35.78615188598633
2014-03-07,35.8647346496582
2014-03-10,35.5110969543457
2014-03-11,35.304805755615234
2014-03-12,34.83330535888672
2014-03-13,34.64665603637695
2014-03-14,34.72523880004883
2014-03-17,35.19676208496094
2014-03-18,35.5110969543457
2014-03-19,35.48162841796875
2014-03-20,35.92368698120117
2014-03-21,36.12995910644531
2014-03-24,35.825443267822266
2014-03-25,35.70756149291992
2014-03-26,35.658451080322266
2014-03-27,35.46198654174805
2014-03-28,36.208560943603516
2014-03-31,36.24785232543945
2014-04-01,36.38536071777344
2014-04-02,36.34607696533203
2014-04-03,36.17909240722656
2014-04-04,35.80580520629883
2014-04-07,34.951171875
2014-04-08,35.10834884643555
2014-04-09,35.83526611328125
2014-04-10,35.44233703613281
2014-04-11,34.65647506713867
2014-04-14,34.52876663208008
2014-04-15,34.69576644897461
2014-04-16,35.19676208496094
2014-04-17,35.992431640625
2014-04-21,35.58968734741211
2014-04-22,35.44233703613281
2014-04-23,35.304805755615234
2014-04-24,35.069061279296875
2014-04-25,34.57788848876953
2014-04-28,34.27336502075195
2014-04-29,34.12601852416992
2014-04-30,34.65647506713867
2014-05-01,34.548423767089844
2014-05-02,34.01796340942383
2014-05-05,33.98849105834961
2014-05-06,33.43838882446289
2014-05-07,33.58573913574219
2014-05-08,33.4089241027832
2014-05-09,32.95705032348633
2014-05-12,33.1829833984375
2014-05-13,33.507164001464844
2014-05-14,32.760589599609375
2014-05-15,32.42659378051758
2014-05-16,32.23012161254883
2014-05-19,32.554290771484375
2014-05-20,32.02384567260742
2014-05-21,32.16135787963867
2014-05-22,32.41677474975586
2014-05-23,32.61323928833008
2014-05-27,33.065101623535156
2014-05-28,33.51697540283203
2014-05-29,33.487510681152344
2014-05-30,33.34999084472656
2014-06-02,32.83917236328125
2014-06-03,32.976688385009766
