,HUBB
2014-01-02,84.90288543701172
2014-01-03,84.38304901123047
2014-01-06,84.29637145996094
2014-01-07,85.6117172241211
2014-01-08,86.19450378417969
2014-01-09,91.3847885131836
2014-01-10,92.06999969482422
2014-01-13,91.71554565429688
2014-01-14,91.81007385253906
2014-01-15,93.9129409790039
2014-01-16,93.88931274414062
2014-01-17,93.55064392089844
2014-01-21,93.92082977294922
2014-01-22,94.12559509277344
2014-01-23,92.96783447265625
2014-01-24,90.6444320678711
2014-01-27,89.21888732910156
2014-01-28,91.36112976074219
2014-01-29,90.52629852294922
2014-01-30,92.40865325927734
2014-01-31,91.93607330322266
2014-02-03,88.68331146240234
2014-02-04,89.09286499023438
2014-02-05,90.18763732910156
2014-02-06,92.05422973632812
2014-02-07,93.22776794433594
2014-02-10,92.93634796142578
2014-02-11,94.16499328613281
2014-02-12,94.2909927368164
2014-02-13,94.68482971191406
2014-02-14,95.13374328613281
2014-02-18,94.92106628417969
2014-02-19,92.88906860351562
2014-02-20,95.25183868408203
2014-02-21,93.68455505371094
2014-02-24,93.93656921386719
2014-02-25,93.78697204589844
2014-02-26,95.05240631103516
2014-02-27,94.35643005371094
2014-02-28,94.5462417602539
2014-03-03,94.4987564086914
2014-03-04,95.40042877197266
2014-03-05,94.98123931884766
2014-03-06,95.36878204345703
2014-03-07,96.00942993164062
2014-03-10,95.04448699951172
2014-03-11,94.23775482177734
2014-03-12,93.9925765991211
2014-03-13,93.58131408691406
2014-03-14,93.2728500366211
2014-03-17,94.30104064941406
2014-03-18,94.48292541503906
2014-03-19,95.70094299316406
2014-03-20,95.51113891601562
2014-03-21,94.72814178466797
2014-03-24,94.20612335205078
2014-03-25,94.87841033935547
2014-03-26,92.3711929321289
2014-03-27,92.30793762207031
2014-03-28,93.0909423828125
2014-03-31,94.80722045898438
2014-04-01,94.95748901367188
2014-04-02,95.28176879882812
2014-04-03,94.72021484375
2014-04-04,93.61295318603516
2014-04-07,91.62773895263672
2014-04-08,91.31927490234375
2014-04-09,91.74636840820312
2014-04-10,90.31481170654297
2014-04-11,89.42897033691406
2014-04-14,89.705810546875
2014-04-15,90.50463104248047
2014-04-16,91.1215591430664
2014-04-17,92.56893157958984
2014-04-21,92.93274688720703
2014-04-22,93.37565612792969
2014-04-23,92.34745788574219
2014-04-24,93.12255859375
2014-04-25,92.37911224365234
2014-04-28,92.63220977783203
2014-04-29,92.80621337890625
2014-04-30,93.10673522949219
2014-05-01,93.1541976928711
2014-05-02,92.76668548583984
2014-05-05,92.8615493774414
2014-05-06,92.25257873535156
2014-05-07,93.69202423095703
2014-05-08,92.53730010986328
2014-05-09,92.53730010986328
2014-05-12,92.77456665039062
2014-05-13,92.19720458984375
2014-05-14,91.52491760253906
2014-05-15,91.1215591430664
2014-05-16,92.33956909179688
2014-05-19,92.14185333251953
2014-05-20,91.12947082519531
2014-05-21,91.4695816040039
2014-05-22,91.50912475585938
2014-05-23,92.2130126953125
2014-05-27,92.84574890136719
2014-05-28,92.14675903320312
2014-05-29,92.91722869873047
2014-05-30,92.93312072753906
2014-06-02,93.3064193725586
2014-06-03,93.60829162597656
2014-06-04,93.67975616455078
2014-06-05,94.38668060302734
2014-06-06,94.54553985595703
2014-06-09,97.23821258544922
2014-06-10,99.41460418701172
2014-06-11,96.92847442626953
2014-06-12,96.09442901611328
2014-06-13,96.87283325195312
2014-06-16,97.07937622070312
2014-06-17,97.41297912597656
2014-06-18,97.41297912597656
2014-06-19,97.27793884277344
2014-06-20,97.56388854980469
2014-06-23,97.50829315185547
2014-06-24,97.5003433227539
2014-06-25,97.44476318359375
2014-06-26,97.5003433227539
2014-06-27,97.42092895507812
2014-06-30,97.81807708740234
2014-07-01,98.15963745117188
2014-07-02,97.5479965209961
2014-07-03,97.78629302978516
2014-07-07,96.85696411132812
2014-07-08,96.66631317138672
2014-07-09,97.21439361572266
2014-07-10,95.61785125732422
2014-07-11,95.63374328613281
2014-07-14,95.70525360107422
2014-07-15,95.53047943115234
2014-07-16,95.5860595703125
2014-07-17,95.03004455566406
2014-07-18,96.67426300048828
2014-07-21,96.60279083251953
2014-07-22,98.5567398071289
2014-07-23,97.34147644042969
2014-07-24,96.99201202392578
2014-07-25,96.72191619873047
2014-07-28,96.05471801757812
2014-07-29,94.99036407470703
2014-07-30,94.86328125
2014-07-31,92.88546752929688
2014-08-01,92.41680908203125
2014-08-04,93.66389465332031
2014-08-05,93.51298522949219
2014-08-06,93.54475402832031
2014-08-07,93.16349792480469
2014-08-08,94.16427612304688
2014-08-11,93.90216827392578
2014-08-12,94.06103515625
2014-08-13,94.73616027832031
2014-08-14,95.3557357788086
2014-08-15,95.39544677734375
2014-08-18,96.81724548339844
2014-08-19,97.10320281982422
2014-08-20,96.92052459716797
2014-08-21,96.64250183105469
2014-08-22,96.60279083251953
2014-08-25,97.03963470458984
2014-08-26,96.88080596923828
2014-08-27,96.9605484008789
2014-08-28,96.3065414428711
2014-08-29,96.42620086669922
2014-09-02,96.43415832519531
2014-09-03,96.04332733154297
2014-09-04,95.77216339111328
2014-09-05,95.68443298339844
2014-09-08,95.59671783447266
2014-09-09,94.91081237792969
2014-09-10,95.46112823486328
2014-09-11,96.11511993408203
2014-09-12,94.98257446289062
2014-09-15,94.88687133789062
2014-09-16,99.04220581054688
2014-09-17,99.31338500976562
2014-09-18,100.8207778930664
2014-09-19,100.56558227539062
2014-09-22,98.8348617553711
2014-09-23,98.53972625732422
2014-09-24,98.45999145507812
2014-09-25,96.8488998413086
2014-09-26,97.33538818359375
2014-09-29,97.28755187988281
2014-09-30,96.13108825683594
2014-10-01,95.91572570800781
2014-10-02,97.26361846923828
2014-10-03,97.77406311035156
2014-10-06,96.71330261230469
2014-10-07,98.34832763671875
2014-10-08,99.05818939208984
2014-10-09,86.53630065917969
2014-10-10,85.26021575927734
2014-10-13,81.75090026855469
2014-10-14,81.50365447998047
2014-10-15,81.09690856933594
2014-10-16,82.8036880493164
2014-10-17,84.23133087158203
2014-10-20,84.32703399658203
2014-10-21,85.81053161621094
2014-10-22,85.51541137695312
2014-10-23,85.6988754272461
2014-10-24,86.33692169189453
2014-10-27,84.63809967041016
2014-10-28,86.41667938232422
2014-10-29,86.96698760986328
2014-10-30,87.04676055908203
2014-10-31,90.45236206054688
2014-11-03,89.0167465209961
2014-11-04,88.36276245117188
2014-11-05,88.70571899414062
2014-11-06,88.85725402832031
2014-11-07,88.92902374267578
2014-11-10,89.16829681396484
2014-11-11,89.63884735107422
2014-11-12,89.75849914550781
2014-11-13,88.78545379638672
2014-11-14,87.94003295898438
2014-11-17,88.33084106445312
2014-11-18,87.53326416015625
2014-11-19,87.03876495361328
2014-11-20,87.07070922851562
2014-11-21,87.46943664550781
2014-11-24,87.72467803955078
2014-11-25,87.69263458251953
2014-11-26,86.98716735839844
2014-11-28,85.61637115478516
2014-12-01,86.04926300048828
2014-12-02,86.89898681640625
2014-12-03,88.06139373779297
2014-12-04,87.2196273803711
2014-12-05,86.99520111083984
2014-12-08,85.48006439208984
2014-12-09,86.92301940917969
2014-12-10,84.4780044555664
2014-12-11,83.45993041992188
2014-12-12,82.43378448486328
2014-12-15,81.38362884521484
2014-12-16,81.31950378417969
2014-12-17,83.59619140625
2014-12-18,85.78468322753906
2014-12-19,86.24964904785156
2014-12-22,86.66651153564453
2014-12-23,86.94708251953125
2014-12-24,87.26776123046875
2014-12-26,87.33187866210938
2014-12-29,87.02725219726562
2014-12-30,86.81880950927734
2014-12-31,85.64041137695312
2015-01-02,86.20154571533203
2015-01-05,83.83667755126953
2015-01-06,82.2574462890625
2015-01-07,82.27344512939453
2015-01-08,84.5902328491211
2015-01-09,85.52014923095703
2015-01-12,84.91889190673828
2015-01-13,84.814697265625
2015-01-14,83.66031646728516
2015-01-15,83.25148010253906
2015-01-16,83.90884399414062
2015-01-20,84.15735626220703
2015-01-21,85.74459838867188
2015-01-22,87.23567962646484
2015-01-23,85.7606430053711
2015-01-26,86.32182312011719
2015-01-27,85.57627868652344
2015-01-28,83.81265258789062
2015-01-29,86.97915649414062
2015-01-30,85.00708770751953
2015-02-02,87.2276611328125
2015-02-03,89.0313720703125
2015-02-04,88.61454010009766
2015-02-05,89.01533508300781
2015-02-06,89.937255859375
2015-02-09,90.00138854980469
2015-02-10,91.2759780883789
2015-02-11,91.21186828613281
2015-02-12,92.0776596069336
2015-02-13,92.5185546875
2015-02-17,91.6848373413086
2015-02-18,91.36419677734375
2015-02-19,91.34814453125
2015-02-20,93.0877456665039
