,SJM
2014-01-02,75.58478546142578
2014-01-03,75.19957733154297
2014-01-06,74.74766540527344
2014-01-07,75.20695495605469
2014-01-08,72.72525787353516
2014-01-09,72.5844955444336
2014-01-10,72.91046142578125
2014-01-13,72.14743041992188
2014-01-14,73.59199523925781
2014-01-15,73.11048889160156
2014-01-16,73.00679016113281
2014-01-17,72.00668334960938
2014-01-21,72.00668334960938
2014-01-22,72.93265533447266
2014-01-23,72.6585693359375
2014-01-24,72.57710266113281
2014-01-27,73.06605529785156
2014-01-28,73.56978607177734
2014-01-29,71.94000244140625
2014-01-30,72.49560546875
2014-01-31,71.40660858154297
2014-02-03,69.58421325683594
2014-02-04,69.42125701904297
2014-02-05,68.76191711425781
2014-02-06,69.33236694335938
2014-02-07,69.16940307617188
2014-02-10,69.4138412475586
2014-02-11,69.65829467773438
2014-02-12,69.85212707519531
2014-02-13,70.91801452636719
2014-02-14,68.43582153320312
2014-02-18,71.04474639892578
2014-02-19,71.2236557006836
2014-02-20,73.25861358642578
2014-02-21,73.00520324707031
2014-02-24,73.57169342041016
2014-02-25,73.80278015136719
2014-02-26,73.50460815429688
2014-02-27,74.2723617553711
2014-02-28,74.5481948852539
2014-03-03,73.83258056640625
2014-03-04,73.9966049194336
2014-03-05,73.37041473388672
2014-03-06,72.77411651611328
2014-03-07,72.70702362060547
2014-03-10,72.46105194091797
2014-03-11,71.96907806396484
2014-03-12,73.03500366210938
2014-03-13,72.29703521728516
2014-03-14,71.69327545166016
2014-03-17,71.64854431152344
2014-03-18,72.8411865234375
2014-03-19,71.6634521484375
2014-03-20,72.08087921142578
2014-03-21,71.57400512695312
2014-03-24,71.71562194824219
2014-03-25,71.5143814086914
2014-03-26,71.50689697265625
2014-03-27,71.61127471923828
2014-03-28,71.9168701171875
2014-03-31,72.48339080810547
2014-04-01,72.40886688232422
2014-04-02,72.89336395263672
2014-04-03,72.9753646850586
2014-04-04,72.71446990966797
2014-04-07,72.9753646850586
2014-04-08,72.38648223876953
2014-04-09,72.47596740722656
2014-04-10,71.1864013671875
2014-04-11,70.31423950195312
2014-04-14,71.10437774658203
2014-04-15,70.8733139038086
2014-04-16,72.17779541015625
2014-04-17,72.08087921142578
2014-04-21,72.10325622558594
2014-04-22,72.2522964477539
2014-04-23,71.87216186523438
2014-04-24,72.29703521728516
2014-04-25,71.57400512695312
2014-04-28,72.64739227294922
2014-04-29,72.10325622558594
2014-04-30,72.06595611572266
2014-05-01,72.43121337890625
2014-05-02,72.25980377197266
2014-05-05,72.45357513427734
2014-05-06,71.8945083618164
2014-05-07,73.50460815429688
2014-05-08,73.93694305419922
2014-05-09,74.65253448486328
2014-05-12,74.99541473388672
2014-05-13,74.83889770507812
2014-05-14,73.91669464111328
2014-05-15,73.10698699951172
2014-05-16,73.89421081542969
2014-05-19,73.68428802490234
2014-05-20,73.52684020996094
2014-05-21,74.26158142089844
2014-05-22,74.03665161132812
2014-05-23,74.31404876708984
2014-05-27,75.30371856689453
