,RVTY
2014-01-02,39.32386016845703
2014-01-03,39.583187103271484
2014-01-06,40.04423522949219
2014-01-07,40.44766616821289
2014-01-08,41.01438903808594
2014-01-09,41.71556854248047
2014-01-10,41.47542953491211
2014-01-13,40.67820358276367
2014-01-14,41.0623893737793
2014-01-15,41.35102462768555
2014-01-16,41.5915641784668
2014-01-17,41.37989044189453
2014-01-21,41.485721588134766
2014-01-22,41.408756256103516
2014-01-23,40.87959671020508
2014-01-24,39.619266510009766
2014-01-27,39.50379180908203
2014-01-28,41.09126281738281
2014-01-29,40.985443115234375
2014-01-30,42.370853424072266
2014-01-31,41.947540283203125
2014-02-03,41.39915084838867
2014-02-04,41.216331481933594
2014-02-05,41.05278778076172
2014-02-06,41.23558044433594
2014-02-07,42.1207160949707
2014-02-10,41.889793395996094
2014-02-11,42.322757720947266
2014-02-12,42.49593734741211
2014-02-13,42.592140197753906
2014-02-14,42.3131217956543
2014-02-18,42.01487731933594
2014-02-19,41.36066818237305
2014-02-20,42.38047409057617
2014-02-21,42.06299591064453
2014-02-24,42.476680755615234
2014-02-25,42.592140197753906
2014-02-26,42.93850326538086
2014-02-27,43.583099365234375
2014-02-28,43.60234451293945
2014-03-03,43.08280563354492
2014-03-04,43.679325103759766
2014-03-05,44.083396911621094
2014-03-06,44.343170166015625
2014-03-07,44.102638244628906
2014-03-10,43.77552032470703
2014-03-11,43.28486251831055
2014-03-12,43.650455474853516
2014-03-13,42.919246673583984
2014-03-14,43.05393981933594
2014-03-17,43.679325103759766
2014-03-18,44.16999435424805
2014-03-19,44.16038131713867
2014-03-20,44.45861053466797
2014-03-21,43.93907928466797
2014-03-24,43.3618278503418
2014-03-25,43.05393981933594
2014-03-26,42.95774459838867
2014-03-27,42.64986801147461
2014-03-28,42.84228515625
2014-03-31,43.352195739746094
2014-04-01,43.727420806884766
2014-04-02,44.400882720947266
2014-04-03,44.44899368286133
2014-04-04,43.929466247558594
2014-04-07,43.26560592651367
2014-04-08,43.33296203613281
2014-04-09,43.948707580566406
2014-04-10,42.72682189941406
2014-04-11,42.139957427978516
2014-04-14,42.447818756103516
2014-04-15,42.42854690551758
2014-04-16,42.58272933959961
2014-04-17,42.65982437133789
2014-04-21,43.13200378417969
2014-04-22,42.72727584838867
2014-04-23,42.92000198364258
2014-04-24,42.69837188720703
2014-04-25,41.44564437866211
2014-04-28,40.60729217529297
2014-04-29,40.60729217529297
2014-04-30,40.443477630615234
2014-05-01,40.78074645996094
2014-05-02,40.89637756347656
2014-05-05,42.351478576660156
2014-05-06,41.63837814331055
2014-05-07,41.7251091003418
2014-05-08,41.648006439208984
2014-05-09,42.03346252441406
2014-05-12,42.72727584838867
2014-05-13,42.8525390625
2014-05-14,42.187644958496094
2014-05-15,41.349300384521484
2014-05-16,41.80219650268555
2014-05-19,42.02382278442383
2014-05-20,41.82146072387695
2014-05-21,41.98527526855469
2014-05-22,42.46709060668945
2014-05-23,42.534549713134766
2014-05-27,42.64053726196289
2014-05-28,42.823638916015625
2014-05-29,43.189815521240234
2014-05-30,43.33435821533203
2014-06-02,43.87399673461914
2014-06-03,44.49071502685547
2014-06-04,44.56780242919922
2014-06-05,45.04960632324219
2014-06-06,45.7916145324707
2014-06-09,45.30016326904297
2014-06-10,45.17490005493164
2014-06-11,44.96290969848633
2014-06-12,44.70271301269531
2014-06-13,44.72199249267578
2014-06-16,44.36545181274414
2014-06-17,44.6545295715332
2014-06-18,45.29051971435547
2014-06-19,45.11707305908203
2014-06-20,45.396541595458984
2014-06-23,45.20379638671875
2014-06-24,44.885807037353516
2014-06-25,45.03034973144531
2014-06-26,45.04960632324219
2014-06-27,45.088165283203125
2014-06-30,45.1363525390625
2014-07-01,45.87833023071289
2014-07-02,45.945804595947266
2014-07-03,46.49506378173828
2014-07-07,45.733802795410156
2014-07-08,45.09780502319336
2014-07-09,45.155616760253906
2014-07-10,44.991798400878906
2014-07-11,44.90507888793945
2014-07-14,45.088165283203125
2014-07-15,44.56780242919922
2014-07-16,44.490596771240234
2014-07-17,44.41339111328125
2014-07-18,45.05999755859375
2014-07-21,45.4364013671875
2014-07-22,45.98648452758789
2014-07-23,45.98648452758789
2014-07-24,46.054039001464844
2014-07-25,46.15055847167969
2014-07-28,45.72591018676758
2014-07-29,45.50395584106445
2014-07-30,45.49428939819336
2014-07-31,44.60641860961914
2014-08-01,42.98505783081055
2014-08-04,43.245635986328125
2014-08-05,43.197383880615234
2014-08-06,43.2166748046875
2014-08-07,43.10087966918945
2014-08-08,43.3807373046875
2014-08-11,43.091224670410156
2014-08-12,43.303524017333984
2014-08-13,43.689571380615234
2014-08-14,44.01770782470703
2014-08-15,43.74748229980469
2014-08-18,44.25898742675781
2014-08-19,44.008033752441406
2014-08-20,43.57376480102539
2014-08-21,43.54481887817383
2014-08-22,43.32283020019531
2014-08-25,43.62202453613281
2014-08-26,43.49656677246094
2014-08-27,43.12984085083008
2014-08-28,43.149139404296875
2014-08-29,43.28425216674805
2014-09-02,43.32283020019531
2014-09-03,43.3807373046875
2014-09-04,43.467613220214844
2014-09-05,43.62202453613281
2014-09-08,43.8536376953125
2014-09-09,43.40970230102539
2014-09-10,43.5062141418457
2014-09-11,43.35178756713867
2014-09-12,43.11052322387695
2014-09-15,42.608673095703125
2014-09-16,42.22264862060547
2014-09-17,42.753440856933594
2014-09-18,42.80170440673828
2014-09-19,42.502506256103516
2014-09-22,42.695533752441406
2014-09-23,42.25159454345703
2014-09-24,42.8885498046875
