,HBAN
2014-01-02,6.350661754608154
2014-01-03,6.3906025886535645
2014-01-06,6.377289772033691
2014-01-07,6.470486164093018
2014-01-08,6.490455627441406
2014-01-09,6.5037689208984375
2014-01-10,6.517085552215576
2014-01-13,6.437201976776123
2014-01-14,6.5037689208984375
2014-01-15,6.5903096199035645
2014-01-16,6.410574436187744
2014-01-17,6.410574436187744
2014-01-21,6.570337772369385
2014-01-22,6.583652973175049
2014-01-23,6.490455627441406
2014-01-24,6.270778179168701
2014-01-27,6.217522621154785
2014-01-28,6.224179744720459
2014-01-29,6.124326229095459
2014-01-30,6.1642680168151855
2014-01-31,6.037788391113281
2014-02-03,5.804794788360596
2014-02-04,5.897993564605713
2014-02-05,5.884680271148682
2014-02-06,6.0111589431762695
2014-02-07,6.0111589431762695
2014-02-10,6.0111589431762695
2014-02-11,6.077731609344482
2014-02-12,6.071072578430176
2014-02-13,6.051103591918945
2014-02-14,6.071072578430176
2014-02-18,6.031130313873291
2014-02-19,5.891335964202881
2014-02-20,5.95790433883667
2014-02-21,6.064414978027344
2014-02-24,6.17092752456665
2014-02-25,6.184240341186523
2014-02-26,6.224179744720459
2014-02-27,6.270778179168701
2014-02-28,6.344005107879639
2014-03-03,6.337347984313965
2014-03-04,6.450514316558838
2014-03-05,6.423886775970459
2014-03-06,6.457172393798828
2014-03-07,6.523739814758301
2014-03-10,6.523739814758301
2014-03-11,6.463827610015869
2014-03-12,6.450514316558838
2014-03-13,6.397259712219238
2014-03-14,6.403949737548828
2014-03-17,6.457485198974609
2014-03-18,6.524402618408203
2014-03-19,6.557858943939209
2014-03-20,6.698385715484619
2014-03-21,6.6180853843688965
2014-03-24,6.624777793884277
2014-03-25,6.664927005767822
2014-03-26,6.611392974853516
2014-03-27,6.497634410858154
2014-03-28,6.598008155822754
2014-03-31,6.671619892120361
2014-04-01,6.7987589836120605
2014-04-02,6.778687953948975
2014-04-03,6.825527667999268
2014-04-04,6.731845855712891
2014-04-07,6.611392974853516
2014-04-08,6.624777793884277
2014-04-09,6.604701519012451
2014-04-10,6.303575038909912
2014-04-11,6.2968831062316895
2014-04-14,6.270116329193115
2014-04-15,6.337033748626709
2014-04-16,6.2299675941467285
2014-04-17,6.163050651550293
2014-04-21,6.183124542236328
2014-04-22,6.270116329193115
2014-04-23,6.323653221130371
2014-04-24,6.24335241317749
2014-04-25,6.129590034484863
2014-04-28,6.069367408752441
2014-04-29,6.0559821128845215
2014-04-30,6.129590034484863
2014-05-01,6.076058387756348
2014-05-02,6.116209030151367
2014-05-05,6.096133232116699
2014-05-06,6.035909175872803
2014-05-07,6.122899055480957
2014-05-08,6.156356334686279
2014-05-09,6.183124542236328
2014-05-12,6.303575038909912
2014-05-13,6.270116329193115
2014-05-14,6.129590034484863
2014-05-15,6.049292087554932
2014-05-16,6.022524833679199
2014-05-19,6.102824687957764
2014-05-20,6.035909175872803
2014-05-21,6.089440822601318
2014-05-22,6.0626749992370605
2014-05-23,6.089440822601318
2014-05-27,6.136284351348877
2014-05-28,6.163050651550293
2014-05-29,6.183124542236328
2014-05-30,6.203202247619629
2014-06-02,6.263425827026367
2014-06-03,6.270116329193115
2014-06-04,6.303575038909912
2014-06-05,6.370491981506348
2014-06-06,6.3972601890563965
2014-06-09,6.504327774047852
2014-06-10,6.497634410858154
2014-06-11,6.377184867858887
2014-06-12,6.3437275886535645
2014-06-13,6.350451946258545
2014-06-16,6.310091018676758
2014-06-17,6.377362251281738
2014-06-18,6.424452781677246
2014-06-19,6.424452781677246
2014-06-20,6.471540927886963
2014-06-23,6.498449802398682
2014-06-24,6.424452781677246
2014-06-25,6.437905788421631
2014-06-26,6.444634437561035
2014-06-27,6.431180000305176
2014-06-30,6.417725086212158
2014-07-01,6.4849958419799805
2014-07-02,6.45136022567749
2014-07-03,6.525360584259033
2014-07-07,6.498449802398682
2014-07-08,6.45136022567749
2014-07-09,6.505179405212402
2014-07-10,6.437905788421631
2014-07-11,6.471540927886963
2014-07-14,6.478270530700684
2014-07-15,6.5657219886779785
2014-07-16,6.478270530700684
2014-07-17,6.2562713623046875
2014-07-18,6.558996200561523
2014-07-21,6.5522685050964355
2014-07-22,6.619539737701416
2014-07-23,6.632993698120117
2014-07-24,6.70699405670166
2014-07-25,6.713720321655273
2014-07-28,6.6262664794921875
2014-07-29,6.619539737701416
2014-07-30,6.666629314422607
2014-07-31,6.606085300445557
2014-08-01,6.525360584259033
2014-08-04,6.525360584259033
2014-08-05,6.431180000305176
2014-08-06,6.431180000305176
2014-08-07,6.363907337188721
2014-08-08,6.397542476654053
2014-08-11,6.370633602142334
2014-08-12,6.45136022567749
2014-08-13,6.491724491119385
2014-08-14,6.505179405212402
2014-08-15,6.471540927886963
2014-08-18,6.5522685050964355
2014-08-19,6.518631458282471
2014-08-20,6.53881311416626
2014-08-21,6.619539737701416
2014-08-22,6.619539737701416
2014-08-25,6.666629314422607
2014-08-26,6.659902095794678
2014-08-27,6.612814426422119
2014-08-28,6.599358081817627
2014-08-29,6.619539737701416
2014-09-02,6.666629314422607
2014-09-03,6.6531758308410645
2014-09-04,6.673357009887695
2014-09-05,6.7002668380737305
2014-09-08,6.7002668380737305
2014-09-09,6.6262664794921875
2014-09-10,6.680085182189941
2014-09-11,6.7002668380737305
2014-09-12,6.814629554748535
2014-09-15,6.7875847816467285
2014-09-16,6.774064540863037
2014-09-17,6.828151226043701
2014-09-18,6.902513027191162
2014-09-19,6.814629554748535
2014-09-22,6.7875847816467285
2014-09-23,6.7064595222473145
2014-09-24,6.726742744445801
2014-09-25,6.625330924987793
2014-09-26,6.665895938873291
2014-09-29,6.618572235107422
2014-09-30,6.578010559082031
2014-10-01,6.490121364593506
2014-10-02,6.544206619262695
2014-10-03,6.611812114715576
2014-10-06,6.584770202636719
2014-10-07,6.463080883026123
2014-10-08,6.598290920257568
2014-10-09,6.449559211730957
2014-10-10,6.388716220855713
2014-10-13,6.361670970916748
2014-10-14,6.429276943206787
2014-10-15,6.206177711486816
2014-10-16,6.2129387855529785
2014-10-17,6.172377109527588
2014-10-20,6.165616035461426
2014-10-21,6.334628582000732
2014-10-22,6.300827503204346
2014-10-23,6.3751935958862305
2014-10-24,6.415754795074463
2014-10-27,6.463080883026123
2014-10-28,6.5712480545043945
2014-10-29,6.632092475891113
2014-10-30,6.598290920257568
2014-10-31,6.699697494506836
2014-11-03,6.665895938873291
2014-11-04,6.692937850952148
2014-11-05,6.7875847816467285
2014-11-06,6.814629554748535
2014-11-07,6.821389198303223
2014-11-10,6.848432540893555
2014-11-11,6.841669082641602
2014-11-12,6.8754730224609375
2014-11-13,6.828151226043701
2014-11-14,6.828151226043701
2014-11-17,6.821389198303223
2014-11-18,6.855190753936768
2014-11-19,6.841669082641602
2014-11-20,6.86195182800293
2014-11-21,6.848432540893555
2014-11-24,6.882233619689941
2014-11-25,6.834909439086914
2014-11-26,6.929558277130127
2014-11-28,6.834909439086914
2014-12-01,6.74702262878418
2014-12-02,6.7875847816467285
2014-12-03,6.86195182800293
2014-12-04,6.882233619689941
2014-12-05,7.05124568939209
2014-12-08,7.037726879119873
2014-12-09,7.071528434753418
2014-12-10,6.916036128997803
2014-12-11,6.929558277130127
2014-12-12,6.801108360290527
