,ITW
2014-01-02,64.96041107177734
2014-01-03,65.38985443115234
2014-01-06,64.58557891845703
2014-01-07,64.49967956542969
2014-01-08,64.0779800415039
2014-01-09,64.0936279296875
2014-01-10,64.39820098876953
2014-01-13,63.3361930847168
2014-01-14,64.21076965332031
2014-01-15,64.4294204711914
2014-01-16,64.68708801269531
2014-01-17,64.54654693603516
2014-01-21,64.83545684814453
2014-01-22,64.71053314208984
2014-01-23,63.671958923339844
2014-01-24,61.8525505065918
2014-01-27,61.134151458740234
2014-01-28,61.69635772705078
2014-01-29,61.15756607055664
2014-01-30,61.915000915527344
2014-01-31,61.587059020996094
2014-02-03,59.955047607421875
2014-02-04,60.46261215209961
2014-02-05,60.587528228759766
2014-02-06,61.001407623291016
2014-02-07,62.219547271728516
2014-02-10,61.532371520996094
2014-02-11,61.50895690917969
2014-02-12,61.524566650390625
2014-02-13,61.04825973510742
2014-02-14,61.368377685546875
2014-02-18,62.406959533691406
2014-02-19,62.00872802734375
2014-02-20,63.06289291381836
2014-02-21,63.6251106262207
2014-02-24,63.82811737060547
2014-02-25,63.92183303833008
2014-02-26,64.38253784179688
2014-02-27,64.21076965332031
2014-02-28,64.42161560058594
2014-03-03,63.90623474121094
2014-03-04,64.48404693603516
2014-03-05,64.327880859375
2014-03-06,64.32010650634766
2014-03-07,64.64024353027344
2014-03-10,64.24198913574219
2014-03-11,64.00772094726562
2014-03-12,64.10923767089844
2014-03-13,63.312767028808594
2014-03-14,62.695899963378906
2014-03-17,63.8593635559082
2014-03-18,63.84375
2014-03-19,62.99261474609375
2014-03-20,62.99261474609375
2014-03-21,63.06289291381836
2014-03-24,62.5787467956543
2014-03-25,63.42209243774414
2014-03-26,62.99261474609375
2014-03-27,62.67079162597656
2014-03-28,63.392940521240234
2014-03-31,63.84036636352539
2014-04-01,64.52325439453125
2014-04-02,65.26900482177734
2014-04-03,65.6379165649414
2014-04-04,65.59867095947266
2014-04-07,64.4369125366211
2014-04-08,64.57035064697266
2014-04-09,65.42598724365234
2014-04-10,64.35057067871094
2014-04-11,63.793251037597656
2014-04-14,64.08370971679688
2014-04-15,64.49185943603516
2014-04-16,65.42598724365234
2014-04-17,66.10103607177734
2014-04-21,66.40717315673828
2014-04-22,66.8074951171875
2014-04-23,67.03511047363281
2014-04-24,67.19998931884766
2014-04-25,66.30509948730469
2014-04-28,66.3129653930664
2014-04-29,66.54061126708984
2014-04-30,66.90168762207031
2014-05-01,66.9409408569336
2014-05-02,67.05866241455078
2014-05-05,67.15287780761719
2014-05-06,66.988037109375
2014-05-07,67.60030364990234
2014-05-08,67.60030364990234
2014-05-09,67.6866455078125
2014-05-12,68.42449188232422
2014-05-13,68.21258544921875
2014-05-14,67.6866455078125
2014-05-15,67.47471618652344
2014-05-16,67.21566772460938
2014-05-19,67.55321502685547
2014-05-20,66.98018646240234
2014-05-21,67.2784423828125
2014-05-22,67.39619445800781
2014-05-23,67.8200912475586
2014-05-27,68.07125854492188
2014-05-28,67.91426086425781
2014-05-29,68.09481048583984
2014-05-30,67.93783569335938
2014-06-02,68.25180053710938
2014-06-03,68.15760040283203
2014-06-04,68.38524627685547
2014-06-05,68.81697845458984
2014-06-06,69.46063995361328
2014-06-09,69.8923568725586
2014-06-10,69.78247833251953
2014-06-11,69.61764526367188
2014-06-12,68.92686462402344
2014-06-13,69.21729278564453
2014-06-16,68.75416564941406
2014-06-17,69.05247497558594
2014-06-18,69.3978500366211
2014-06-19,69.76679229736328
2014-06-20,70.15927124023438
2014-06-23,69.62549591064453
2014-06-24,69.25655364990234
2014-06-25,69.56268310546875
2014-06-26,69.36552429199219
2014-06-27,69.8387451171875
2014-06-30,69.05793762207031
2014-07-01,68.90805053710938
2014-07-02,68.7818603515625
2014-07-03,69.16834259033203
2014-07-07,68.96328735351562
2014-07-08,68.48219299316406
2014-07-09,68.41120147705078
2014-07-10,67.55152893066406
2014-07-11,67.74868774414062
2014-07-14,67.9774169921875
2014-07-15,68.07994079589844
2014-07-16,68.05628967285156
2014-07-17,66.83380126953125
2014-07-18,67.19660949707031
2014-07-21,67.44898986816406
2014-07-22,67.65403747558594
2014-07-23,67.49629974365234
2014-07-24,67.34644317626953
2014-07-25,67.16505432128906
2014-07-28,66.8416976928711
2014-07-29,65.8558120727539
2014-07-30,66.32111358642578
2014-07-31,64.96461486816406
2014-08-01,64.72010040283203
2014-08-04,65.3274154663086
2014-08-05,65.24063873291016
2014-08-06,65.28795623779297
2014-08-07,65.4930191040039
2014-08-08,66.72339630126953
2014-08-11,66.78650665283203
2014-08-12,67.0230941772461
2014-08-13,67.82754516601562
2014-08-14,68.40331268310547
2014-08-15,68.63202667236328
2014-08-18,69.38129425048828
2014-08-19,69.78350067138672
2014-08-20,70.30401611328125
2014-08-21,70.2409439086914
2014-08-22,69.79928588867188
2014-08-25,70.05167388916016
2014-08-26,69.72831726074219
2014-08-27,69.78350067138672
2014-08-28,69.42861938476562
2014-08-29,69.57056427001953
2014-09-02,69.69676971435547
2014-09-03,69.49959564208984
2014-09-04,69.6336669921875
2014-09-05,69.6336669921875
2014-09-08,69.40494537353516
2014-09-09,69.23930358886719
2014-09-10,69.50749206542969
2014-09-11,69.84661865234375
2014-09-12,69.6100082397461
2014-09-15,69.64154815673828
2014-09-16,69.95703887939453
2014-09-17,69.90181732177734
2014-09-18,70.13844299316406
2014-09-19,69.89393615722656
2014-09-22,69.23143005371094
2014-09-23,68.40331268310547
2014-09-24,68.24555969238281
2014-09-25,67.00732421875
2014-09-26,67.90763092041016
2014-09-29,67.6458511352539
2014-09-30,66.96370697021484
2014-10-01,65.92455291748047
2014-10-02,65.88491821289062
2014-10-03,66.33706665039062
2014-10-06,66.30530548095703
2014-10-07,64.82200622558594
2014-10-08,66.24188232421875
2014-10-09,64.7902603149414
2014-10-10,64.08429718017578
2014-10-13,62.81513977050781
2014-10-14,63.87807083129883
2014-10-15,64.20328521728516
2014-10-16,65.89286041259766
2014-10-17,66.14666748046875
2014-10-20,66.16254425048828
2014-10-21,68.69291687011719
2014-10-22,68.2883529663086
2014-10-23,69.2798843383789
2014-10-24,69.78752899169922
2014-10-27,70.128662109375
2014-10-28,71.262939453125
2014-10-29,71.02499389648438
2014-10-30,71.40574645996094
2014-10-31,72.22274017333984
2014-11-03,72.103759765625
2014-11-04,72.103759765625
2014-11-05,72.75419616699219
2014-11-06,73.73780059814453
2014-11-07,73.61878204345703
2014-11-10,73.82502746582031
2014-11-11,73.76953887939453
2014-11-12,73.95196533203125
2014-11-13,73.49981689453125
2014-11-14,74.38824462890625
2014-11-17,74.54689025878906
2014-11-18,75.12593841552734
2014-11-19,75.07833099365234
2014-11-20,75.41944885253906
2014-11-21,76.06986236572266
2014-11-24,76.22058868408203
2014-11-25,75.92707061767578
2014-11-26,75.77637481689453
2014-11-28,75.3004379272461
2014-12-01,74.80864715576172
2014-12-02,75.34010314941406
2014-12-03,76.78378295898438
2014-12-04,76.28404998779297
2014-12-05,76.6965103149414
2014-12-08,76.41094207763672
2014-12-09,76.14126586914062
2014-12-10,75.04661560058594
2014-12-11,75.3480224609375
2014-12-12,74.01543426513672
2014-12-15,73.34912109375
2014-12-16,73.3253173828125
2014-12-17,73.93610382080078
2014-12-18,75.70497131347656
2014-12-19,76.1650619506836
2014-12-22,76.75996398925781
2014-12-23,77.10901641845703
2014-12-24,77.02965545654297
2014-12-26,76.96619415283203
2014-12-29,76.77887725830078
2014-12-30,76.58753204345703
2014-12-31,75.4953384399414
2015-01-02,75.47943115234375
2015-01-05,73.61394500732422
2015-01-06,72.60150909423828
2015-01-07,73.3907470703125
2015-01-08,75.1605224609375
2015-01-09,74.59451293945312
2015-01-12,74.25170135498047
2015-01-13,74.16405487060547
2015-01-14,74.01253509521484
2015-01-15,73.47842407226562
2015-01-16,74.37129211425781
2015-01-20,74.46694946289062
2015-01-21,74.7220687866211
2015-01-22,75.41563415527344
2015-01-23,74.5865478515625
2015-01-26,74.7220687866211
2015-01-27,74.50685119628906
2015-01-28,73.4385757446289
2015-01-29,74.73799896240234
2015-01-30,74.21186065673828
2015-02-02,75.6627426147461
2015-02-03,76.42810821533203
2015-02-04,76.41211700439453
2015-02-05,77.38473510742188
2015-02-06,77.40068054199219
2015-02-09,77.18545532226562
2015-02-10,77.3687973022461
2015-02-11,77.10572052001953
2015-02-12,77.95074462890625
2015-02-13,78.33342742919922
2015-02-17,78.277587890625
2015-02-18,78.47691345214844
2015-02-19,78.46893310546875
2015-02-20,79.31397247314453
2015-02-23,79.12264251708984
2015-02-24,79.30599975585938
2015-02-25,79.52922058105469
2015-02-26,79.17049407958984
2015-02-27,78.81173706054688
2015-03-02,79.36979675292969
2015-03-03,79.45746612548828
2015-03-04,78.28559875488281
2015-03-05,79.01900482177734
2015-03-06,77.94277954101562
2015-03-09,78.67620849609375
2015-03-10,77.11367797851562
2015-03-11,76.68318939208984
2015-03-12,78.18993377685547
2015-03-13,77.8551025390625
2015-03-16,78.98712158203125
2015-03-17,78.73200225830078
2015-03-18,79.5690689086914
2015-03-19,79.21833801269531
2015-03-20,78.54866790771484
2015-03-23,78.04641723632812
2015-03-24,77.81523895263672
2015-03-25,76.93033599853516
2015-03-26,76.95423126220703
2015-03-27,77.51109313964844
2015-03-30,78.4325180053711
2015-03-31,77.83161163330078
2015-04-01,77.3348388671875
2015-04-02,77.40695190429688
2015-04-06,78.32836151123047
2015-04-07,78.47259521484375
2015-04-08,77.92774200439453
2015-04-09,77.94376373291016
2015-04-10,78.1520767211914
2015-04-13,78.55271911621094
2015-04-14,79.7145004272461
2015-04-15,79.35395050048828
2015-04-16,78.71295166015625
2015-04-17,76.81404876708984
2015-04-20,77.7354507446289
2015-04-21,75.65226745605469
2015-04-22,75.66828155517578
2015-04-23,75.88460540771484
2015-04-24,75.82048797607422
2015-04-27,76.08492279052734
2015-04-28,76.24514770507812
2015-04-29,75.74040985107422
2015-04-30,74.97920989990234
2015-05-01,76.15702819824219
2015-05-04,76.6137466430664
2015-05-05,75.94066619873047
2015-05-06,76.00476837158203
2015-05-07,76.13300323486328
2015-05-08,76.85409545898438
2015-05-11,76.74192810058594
2015-05-12,76.6137466430664
2015-05-13,76.74993133544922
2015-05-14,78.08800506591797
2015-05-15,77.8155746459961
2015-05-18,77.67134857177734
2015-05-19,77.45500946044922
2015-05-20,77.46302795410156
2015-05-21,78.1280517578125
2015-05-22,77.62329864501953
2015-05-26,76.42144012451172
2015-05-27,77.06241607666016
2015-05-28,76.54962158203125
2015-05-29,75.17953491210938
2015-06-01,75.13948822021484
2015-06-02,75.80448150634766
2015-06-03,76.18106079101562
2015-06-04,74.87506103515625
2015-06-05,74.69878387451172
2015-06-08,74.16997528076172
2015-06-09,74.29817962646484
2015-06-10,75.78842163085938
2015-06-11,75.98075103759766
2015-06-12,75.07534790039062
2015-06-15,74.21802520751953
2015-06-16,74.2420654296875
2015-06-17,74.19401550292969
2015-06-18,74.93915557861328
2015-06-19,74.4023208618164
2015-06-22,75.12345123291016
2015-06-23,74.77088928222656
2015-06-24,75.45194244384766
2015-06-25,74.4423828125
2015-06-26,74.72830963134766
2015-06-29,73.6571044921875
2015-06-30,73.93094635009766
2015-07-01,75.25183868408203
2015-07-02,75.22769927978516
2015-07-06,75.0021743774414
2015-07-07,75.57403564453125
2015-07-08,74.04369354248047
2015-07-09,73.9873275756836
2015-07-10,74.56723022460938
2015-07-13,75.50153350830078
2015-07-14,75.74317932128906
2015-07-15,75.20352935791016
2015-07-16,75.39683532714844
2015-07-17,74.92160034179688
2015-07-20,75.27605438232422
2015-07-21,74.22896575927734
2015-07-22,72.15093994140625
2015-07-23,72.00596618652344
2015-07-24,71.09581756591797
2015-07-27,70.28231811523438
2015-07-28,71.47434997558594
2015-07-29,71.9576187133789
2015-07-30,71.9092788696289
2015-07-31,72.06230926513672
2015-08-03,71.40994262695312
2015-08-04,71.15218353271484
2015-08-05,72.15898132324219
2015-08-06,71.86096954345703
2015-08-07,71.92543029785156
2015-08-10,73.6007080078125
2015-08-11,71.86096954345703
2015-08-12,71.9576187133789
2015-08-13,72.03009796142578
2015-08-14,72.2959213256836
2015-08-17,72.52143096923828
2015-08-18,72.43284606933594
2015-08-19,71.56295776367188
2015-08-20,70.40314483642578
2015-08-21,68.6392593383789
2015-08-24,66.19876861572266
2015-08-25,64.5073471069336
2015-08-26,67.0605697631836
2015-08-27,68.31703186035156
2015-08-28,68.51036834716797
2015-08-31,68.08346557617188
