,HIG
2014-01-02,28.0300235748291
2014-01-03,28.132965087890625
2014-01-06,28.172544479370117
2014-01-07,28.077524185180664
2014-01-08,28.11712074279785
2014-01-09,28.330909729003906
2014-01-10,28.457603454589844
2014-01-13,27.531179428100586
2014-01-14,27.998348236083984
2014-01-15,28.52094268798828
2014-01-16,28.14879608154297
2014-01-17,27.919164657592773
2014-01-21,27.73705291748047
2014-01-22,27.618288040161133
2014-01-23,26.78688621520996
2014-01-24,25.94757080078125
2014-01-27,25.92382049560547
2014-01-28,26.533504486083984
2014-01-29,26.026756286621094
2014-01-30,26.723535537719727
2014-01-31,26.32763671875
2014-02-03,25.480396270751953
2014-02-04,25.987159729003906
2014-02-05,26.55725860595703
2014-02-06,26.88981819152832
2014-02-07,27.246137619018555
2014-02-10,27.103599548339844
2014-02-11,27.42825698852539
2014-02-12,27.475757598876953
2014-02-13,27.35698127746582
2014-02-14,27.452007293701172
2014-02-18,27.578697204589844
2014-02-19,27.20654296875
2014-02-20,27.19070816040039
2014-02-21,27.166959762573242
2014-02-24,27.42825698852539
2014-02-25,27.222375869750977
2014-02-26,27.309480667114258
2014-02-27,27.459922790527344
2014-02-28,27.863744735717773
2014-03-03,27.52326774597168
2014-03-04,28.37050437927246
2014-03-05,28.560531616210938
2014-03-06,28.735458374023438
2014-03-07,28.60028839111328
2014-03-10,28.512832641601562
2014-03-11,28.361764907836914
2014-03-12,28.258392333984375
2014-03-13,27.781322479248047
2014-03-14,28.027812957763672
2014-03-17,27.996007919311523
2014-03-18,27.90059471130371
2014-03-19,27.701805114746094
2014-03-20,28.194778442382812
2014-03-21,28.16297149658203
2014-03-24,28.13117218017578
2014-03-25,28.099367141723633
2014-03-26,27.749521255493164
2014-03-27,27.40761947631836
2014-03-28,27.733619689941406
2014-03-31,28.04370880126953
2014-04-01,28.37765884399414
2014-04-02,28.584392547607422
2014-04-03,28.647981643676758
2014-04-04,28.123226165771484
2014-04-07,27.693862915039062
2014-04-08,27.72565269470215
2014-04-09,27.829021453857422
2014-04-10,27.0498104095459
2014-04-11,26.477336883544922
2014-04-14,26.811281204223633
2014-04-15,27.002107620239258
2014-04-16,27.431472778320312
2014-04-17,27.566640853881836
2014-04-21,27.447372436523438
2014-04-22,27.582538604736328
2014-04-23,27.630252838134766
2014-04-24,27.71772003173828
2014-04-25,27.81313133239746
2014-04-28,27.40761947631836
2014-04-29,27.95624351501465
2014-04-30,28.52077293395996
2014-05-01,28.512832641601562
2014-05-02,28.449220657348633
2014-05-05,28.361764907836914
2014-05-06,27.8051815032959
2014-05-07,28.091426849365234
2014-05-08,28.18683624267578
2014-05-09,27.89264678955078
2014-05-12,28.29814338684082
2014-05-13,27.980100631713867
2014-05-14,27.566640853881836
2014-05-15,27.224740982055664
2014-05-16,27.26449203491211
2014-05-19,27.24859046936035
2014-05-20,27.089576721191406
2014-05-21,27.312196731567383
2014-05-22,27.518939971923828
2014-05-23,27.622299194335938
2014-05-27,27.72565269470215
2014-05-28,27.52688217163086
2014-05-29,27.79840660095215
2014-05-30,27.670625686645508
2014-06-02,27.862285614013672
2014-06-03,28.26156997680664
2014-06-04,28.501150131225586
2014-06-05,28.668853759765625
2014-06-06,28.932376861572266
2014-06-09,28.876480102539062
2014-06-10,29.044179916381836
2014-06-11,28.884464263916016
2014-06-12,28.604970932006836
2014-06-13,28.533092498779297
2014-06-16,28.461223602294922
2014-06-17,28.716764450073242
2014-06-18,28.74071502685547
2014-06-19,28.76468276977539
2014-06-20,28.76468276977539
2014-06-23,28.78064727783203
2014-06-24,28.57301902770996
2014-06-25,28.692806243896484
2014-06-26,28.61294937133789
2014-06-27,28.47719955444336
2014-06-30,28.596981048583984
2014-07-01,29.092079162597656
2014-07-02,28.74071502685547
2014-07-03,29.427492141723633
2014-07-07,29.38755989074707
2014-07-08,29.171953201293945
2014-07-09,29.21986961364746
2014-07-10,28.908422470092773
2014-07-11,29.044179916381836
2014-07-14,29.092079162597656
2014-07-15,29.08411407470703
2014-07-16,29.116050720214844
2014-07-17,28.5889892578125
2014-07-18,28.828554153442383
2014-07-21,28.900428771972656
2014-07-22,28.604970932006836
2014-07-23,28.636903762817383
2014-07-24,28.64488410949707
2014-07-25,28.1497802734375
2014-07-28,28.213666915893555
2014-07-29,28.029987335205078
2014-07-30,27.574798583984375
2014-07-31,27.279327392578125
2014-08-01,27.175508499145508
2014-08-04,27.415084838867188
2014-08-05,27.167522430419922
2014-08-06,27.463001251220703
2014-08-07,27.031763076782227
2014-08-08,27.14357566833496
2014-08-11,27.534873962402344
2014-08-12,27.63069725036621
2014-08-13,27.846311569213867
2014-08-14,28.157752990722656
2014-08-15,28.037967681884766
2014-08-18,28.45323371887207
2014-08-19,28.57301902770996
2014-08-20,28.676834106445312
2014-08-21,28.9882755279541
2014-08-22,28.9882755279541
2014-08-25,29.291738510131836
2014-08-26,29.659080505371094
2014-08-27,29.714982986450195
2014-08-28,29.57855987548828
2014-08-29,29.73103141784668
2014-09-02,29.747089385986328
2014-09-03,29.594619750976562
2014-09-04,29.514373779296875
2014-09-05,29.530412673950195
2014-09-08,29.56251335144043
2014-09-09,29.41807746887207
2014-09-10,29.803253173828125
2014-09-11,29.771156311035156
2014-09-12,29.811288833618164
2014-09-15,29.771156311035156
2014-09-16,29.867454528808594
2014-09-17,30.156341552734375
2014-09-18,30.324846267700195
2014-09-19,30.332874298095703
2014-09-22,29.95572280883789
2014-09-23,29.747089385986328
2014-09-24,30.14028549194336
2014-09-25,29.755109786987305
2014-09-26,30.13226318359375
2014-09-29,30.07608985900879
2014-09-30,29.891525268554688
2014-10-01,29.26561164855957
2014-10-02,29.426097869873047
2014-10-03,29.915590286254883
2014-10-06,29.666839599609375
2014-10-07,29.185359954833984
2014-10-08,29.626707077026367
2014-10-09,29.30573844909668
2014-10-10,28.904510498046875
2014-10-13,28.463151931762695
2014-10-14,28.735990524291992
2014-10-15,28.479198455810547
2014-10-16,28.54339599609375
2014-10-17,28.960668563842773
2014-10-20,29.249555587768555
2014-10-21,29.682889938354492
2014-10-22,29.626707077026367
2014-10-23,29.7791805267334
2014-10-24,30.13226318359375
2014-10-27,30.244598388671875
2014-10-28,31.135330200195312
2014-10-29,31.19149398803711
2014-10-30,31.376068115234375
2014-10-31,31.761245727539062
2014-11-03,31.80939483642578
2014-11-04,31.833450317382812
2014-11-05,32.04210662841797
2014-11-06,32.026058197021484
2014-11-07,32.258785247802734
2014-11-10,32.17049789428711
2014-11-11,32.22666549682617
2014-11-12,32.06618881225586
2014-11-13,32.010005950927734
2014-11-14,32.018043518066406
2014-11-17,32.162471771240234
2014-11-18,32.5316047668457
2014-11-19,32.74024963378906
2014-11-20,32.812461853027344
2014-11-21,33.1735725402832
2014-11-24,33.374183654785156
2014-11-25,33.261837005615234
2014-11-26,33.149009704589844
2014-11-28,33.286014556884766
2014-12-01,33.052284240722656
2014-12-02,33.31825637817383
2014-12-03,33.47138214111328
2014-12-04,33.29408645629883
2014-12-05,33.5278205871582
2014-12-08,34.05168533325195
2014-12-09,33.487510681152344
2014-12-10,33.10870361328125
2014-12-11,33.18125534057617
2014-12-12,32.55259323120117
2014-12-15,32.50424575805664
2014-12-16,32.15768051147461
2014-12-17,33.01198959350586
2014-12-18,33.80183029174805
2014-12-19,33.817955017089844
2014-12-22,33.697059631347656
2014-12-23,34.05168533325195
2014-12-24,33.954959869384766
2014-12-26,33.88242721557617
2014-12-29,34.04362487792969
2014-12-30,34.06779861450195
2014-12-31,33.60034942626953
2015-01-02,33.680938720703125
2015-01-05,32.97169876098633
2015-01-06,32.43171310424805
2015-01-07,32.73797607421875
2015-01-08,33.092594146728516
2015-01-09,32.78631591796875
2015-01-12,32.48812484741211
2015-01-13,32.56871032714844
2015-01-14,32.069026947021484
2015-01-15,31.899765014648438
2015-01-16,32.206031799316406
2015-01-20,32.004547119140625
2015-01-21,31.99649429321289
2015-01-22,32.746028900146484
2015-01-23,32.35110855102539
2015-01-26,32.2785758972168
2015-01-27,32.181861877441406
2015-01-28,31.657987594604492
2015-01-29,31.891712188720703
2015-01-30,31.351734161376953
2015-02-02,31.883655548095703
2015-02-03,31.94007682800293
2015-02-04,32.03679275512695
2015-02-05,32.24633026123047
2015-02-06,32.46394348144531
2015-02-09,32.536468505859375
2015-02-10,32.713783264160156
2015-02-11,32.681556701660156
2015-02-12,33.10870361328125
2015-02-13,33.2618408203125
2015-02-17,33.47138214111328
2015-02-18,33.19736862182617
2015-02-19,33.39079666137695
2015-02-20,33.423030853271484
2015-02-23,33.17319107055664
2015-02-24,33.30213928222656
2015-02-25,33.052284240722656
2015-02-26,33.03617477416992
2015-02-27,33.01198959350586
2015-03-02,33.2537841796875
2015-03-03,33.245704650878906
2015-03-04,32.80244827270508
2015-03-05,33.182926177978516
2015-03-06,33.19911193847656
2015-03-09,33.498661041259766
2015-03-10,32.94007110595703
2015-03-11,33.441978454589844
2015-03-12,34.211036682128906
2015-03-13,34.04104995727539
2015-03-16,34.55912780761719
2015-03-17,34.421512603759766
2015-03-18,34.704864501953125
2015-03-19,34.46200180053711
2015-03-20,34.89104080200195
2015-03-23,34.802005767822266
2015-03-24,34.65628433227539
2015-03-25,34.170555114746094
2015-03-26,34.09770965576172
2015-03-27,33.960079193115234
2015-03-30,34.30008316040039
2015-03-31,33.854835510253906
2015-04-01,33.83055877685547
2015-04-02,34.10580062866211
2015-04-06,34.26770782470703
2015-04-07,34.01674270629883
2015-04-08,34.32437515258789
2015-04-09,34.36484909057617
2015-04-10,34.45390319824219
2015-04-13,34.6967658996582
2015-04-14,34.51057434082031
2015-04-15,34.55912780761719
2015-04-16,34.534854888916016
2015-04-17,33.919620513916016
2015-04-20,34.07341384887695
2015-04-21,33.531028747558594
2015-04-22,33.522945404052734
2015-04-23,33.571510314941406
2015-04-24,33.87104415893555
2015-04-27,33.51484298706055
2015-04-28,33.49055480957031
2015-04-29,33.49055480957031
2015-04-30,33.00482177734375
2015-05-01,33.27197265625
2015-05-04,33.46625900268555
2015-05-05,33.328643798828125
2015-05-06,33.08579635620117
2015-05-07,33.3448371887207
2015-05-08,33.76579284667969
2015-05-11,33.6767463684082
2015-05-12,33.37721633911133
2015-05-13,33.49055480957031
2015-05-14,33.69293975830078
2015-05-15,33.458187103271484
2015-05-18,33.70913314819336
2015-05-19,34.09770965576172
2015-05-20,34.30818176269531
2015-05-21,34.03294372558594
2015-05-22,33.8872184753418
2015-05-26,33.352935791015625
2015-05-27,33.5796012878418
2015-05-28,33.612125396728516
2015-05-29,33.42512130737305
2015-06-01,33.343807220458984
2015-06-02,33.36007308959961
2015-06-03,33.86418151855469
2015-06-04,33.506431579589844
2015-06-05,33.77473449707031
2015-06-08,33.3356819152832
2015-06-09,33.343807220458984
2015-06-10,34.17313766479492
2015-06-11,34.417057037353516
2015-06-12,34.311363220214844
2015-06-15,33.94547653198242
2015-06-16,34.17313766479492
2015-06-17,34.04304122924805
2015-06-18,34.45771408081055
2015-06-19,34.165008544921875
2015-06-22,34.70975875854492
2015-06-23,34.5959358215332
2015-06-24,34.36826705932617
2015-06-25,34.010536193847656
2015-06-26,34.205657958984375
2015-06-29,33.54707717895508
2015-06-30,33.79913330078125
