,COP
2014-01-02,48.70966720581055
2014-01-03,48.83531188964844
2014-01-06,49.04471206665039
2014-01-07,49.12152099609375
2014-01-08,48.646854400634766
2014-01-09,48.48628234863281
2014-01-10,48.07444381713867
2014-01-13,47.285648345947266
2014-01-14,47.69051742553711
2014-01-15,47.52299499511719
2014-01-16,47.34845733642578
2014-01-17,47.12509536743164
2014-01-21,47.64863204956055
2014-01-22,47.72542953491211
2014-01-23,47.36243438720703
2014-01-24,46.46893310546875
2014-01-27,45.97331237792969
2014-01-28,46.21763229370117
2014-01-29,45.94540023803711
2014-01-30,45.89654541015625
2014-01-31,45.338096618652344
2014-02-03,44.57724380493164
2014-02-04,44.47250747680664
2014-02-05,44.29801559448242
2014-02-06,44.884376525878906
2014-02-07,45.35205841064453
2014-02-10,45.079833984375
2014-02-11,45.77089309692383
2014-02-12,45.52656555175781
2014-02-13,45.653560638427734
2014-02-14,46.232086181640625
2014-02-18,46.119205474853516
2014-02-19,45.8581657409668
2014-02-20,45.801719665527344
2014-02-21,45.63239288330078
2014-02-24,46.8599853515625
2014-02-25,46.930538177490234
2014-02-26,46.65540313720703
2014-02-27,46.740055084228516
2014-02-28,46.91642761230469
2014-03-03,46.78236770629883
2014-03-04,46.91642761230469
2014-03-05,46.775333404541016
2014-03-06,46.83883285522461
2014-03-07,46.92348098754883
2014-03-10,47.19157028198242
2014-03-11,46.93760299682617
2014-03-12,46.944644927978516
2014-03-13,46.789432525634766
2014-03-14,46.98698806762695
2014-03-17,47.473785400390625
2014-03-18,48.04524612426758
2014-03-19,47.62193298339844
2014-03-20,47.904144287109375
2014-03-21,47.60783386230469
2014-03-24,47.66427993774414
2014-03-25,48.249855041503906
2014-03-26,48.39800262451172
2014-03-27,48.884796142578125
2014-03-28,49.63264083862305
2014-03-31,49.63264083862305
2014-04-01,49.60441970825195
2014-04-02,50.01362991333008
2014-04-03,49.526817321777344
2014-04-04,49.54090881347656
2014-04-07,49.01884841918945
2014-04-08,49.43509292602539
2014-04-09,50.47218322753906
2014-04-10,49.181114196777344
2014-04-11,49.99950408935547
2014-04-14,50.45101547241211
2014-04-15,51.45990753173828
2014-04-16,52.05253601074219
2014-04-17,52.750999450683594
2014-04-21,52.63105010986328
2014-04-22,52.327667236328125
2014-04-23,52.22186279296875
2014-04-24,52.5534553527832
2014-04-25,52.489959716796875
2014-04-28,52.66634750366211
2014-04-29,52.68750762939453
2014-04-30,52.426456451416016
2014-05-01,52.93442153930664
2014-05-02,53.98563766479492
2014-05-05,54.246665954589844
2014-05-06,54.3807373046875
2014-05-07,55.10738754272461
2014-05-08,54.33134460449219
2014-05-09,54.77581024169922
2014-05-12,55.319068908691406
2014-05-13,55.481300354003906
2014-05-14,55.403717041015625
2014-05-15,55.10738754272461
2014-05-16,55.07211685180664
2014-05-19,55.333168029785156
2014-05-20,55.410762786865234
2014-05-21,55.894771575927734
2014-05-22,55.84492111206055
2014-05-23,55.82359313964844
2014-05-27,56.257755279541016
2014-05-28,56.635005950927734
2014-05-29,56.62076950073242
2014-05-30,56.89835739135742
2014-06-02,56.570945739746094
2014-06-03,56.81293869018555
2014-06-04,56.7987060546875
2014-06-05,56.97666931152344
2014-06-06,57.538944244384766
2014-06-09,57.54606246948242
2014-06-10,58.10124206542969
2014-06-11,58.329002380371094
2014-06-12,58.976722717285156
2014-06-13,59.133277893066406
2014-06-16,59.567474365234375
2014-06-17,59.61018753051758
2014-06-18,59.95893859863281
2014-06-19,60.33616638183594
2014-06-20,60.756099700927734
2014-06-23,61.28280258178711
2014-06-24,60.3575325012207
2014-06-25,60.941165924072266
2014-06-26,61.18315124511719
2014-06-27,61.211666107177734
2014-06-30,61.019447326660156
2014-07-01,61.2899169921875
2014-07-02,61.11198425292969
2014-07-03,61.4963264465332
2014-07-07,61.28280258178711
2014-07-08,61.24010467529297
2014-07-09,61.06928634643555
2014-07-10,60.97674560546875
2014-07-11,60.30770492553711
2014-07-14,61.09775924682617
2014-07-15,60.293453216552734
2014-07-16,61.702728271484375
2014-07-17,60.783939361572266
2014-07-18,60.841373443603516
2014-07-21,60.67629623413086
2014-07-22,61.74580001831055
2014-07-23,62.277008056640625
2014-07-24,61.91090774536133
2014-07-25,61.67403793334961
2014-07-28,61.15001678466797
2014-07-29,60.80549240112305
2014-07-30,60.748069763183594
2014-07-31,59.21916198730469
2014-08-01,57.927093505859375
2014-08-04,58.845882415771484
2014-08-05,57.23799133300781
2014-08-06,57.862491607666016
2014-08-07,57.13029479980469
2014-08-08,58.37931442260742
2014-08-11,57.99885940551758
2014-08-12,57.72608947753906
2014-08-13,58.063480377197266
2014-08-14,57.54663848876953
2014-08-15,57.869651794433594
2014-08-18,56.95088577270508
2014-08-19,57.36000442504883
2014-08-20,57.78352737426758
2014-08-21,58.12808609008789
2014-08-22,57.59687042236328
2014-08-25,57.99885940551758
2014-08-26,57.812232971191406
2014-08-27,58.16396713256836
2014-08-28,57.89838409423828
2014-08-29,58.30036163330078
2014-09-02,57.58254623413086
2014-09-03,58.07062911987305
2014-09-04,57.31696701049805
2014-09-05,57.67586135864258
2014-09-08,56.728355407714844
2014-09-09,56.6781005859375
2014-09-10,56.69961929321289
2014-09-11,56.97957229614258
2014-09-12,56.31202697753906
2014-09-15,56.99395751953125
2014-09-16,57.96297836303711
2014-09-17,57.88400650024414
2014-09-18,57.40309143066406
2014-09-19,57.82658386230469
2014-09-22,57.194915771484375
2014-09-23,56.64219665527344
2014-09-24,56.50584030151367
2014-09-25,55.68034362792969
2014-09-26,56.07515335083008
2014-09-29,55.8741569519043
2014-09-30,54.9266471862793
2014-10-01,53.8355827331543
2014-10-02,53.61307144165039
2014-10-03,53.67049026489258
2014-10-06,53.80685806274414
2014-10-07,53.05317687988281
2014-10-08,53.498226165771484
2014-10-09,51.787418365478516
2014-10-10,51.0045280456543
2014-10-13,49.34449768066406
2014-10-14,47.988914489746094
2014-10-15,48.02515411376953
2014-10-16,48.518089294433594
2014-10-17,49.35175323486328
2014-10-20,49.89541244506836
2014-10-21,51.17125701904297
2014-10-22,50.337623596191406
2014-10-23,50.74357223510742
2014-10-24,50.794307708740234
2014-10-27,49.89541244506836
2014-10-28,50.90303421020508
2014-10-29,51.287235260009766
2014-10-30,51.72218704223633
2014-10-31,52.3021240234375
2014-11-03,51.14950942993164
2014-11-04,49.851924896240234
2014-11-05,50.65657043457031
2014-11-06,51.700443267822266
2014-11-07,52.30937194824219
2014-11-10,51.90340042114258
2014-11-11,52.01214599609375
2014-11-12,51.613441467285156
2014-11-13,50.997283935546875
2014-11-14,51.765689849853516
2014-11-17,51.77291488647461
2014-11-18,51.954158782958984
2014-11-19,52.287628173828125
2014-11-20,53.070518493652344
2014-11-21,53.38222122192383
2014-11-24,53.15750503540039
2014-11-25,51.99764633178711
2014-11-26,51.34523391723633
2014-11-28,47.89468765258789
2014-12-01,49.127010345458984
2014-12-02,50.1708984375
2014-12-03,51.323490142822266
2014-12-04,50.24337387084961
2014-12-05,49.185001373291016
2014-12-08,47.1407585144043
2014-12-09,47.09001541137695
2014-12-10,46.0606575012207
2014-12-11,46.11140823364258
2014-12-12,45.2705078125
2014-12-15,44.71957778930664
2014-12-16,45.82868194580078
2014-12-17,48.525352478027344
2014-12-18,50.562339782714844
2014-12-19,51.453975677490234
2014-12-22,50.39560317993164
2014-12-23,51.50471496582031
2014-12-24,50.837791442871094
2014-12-26,50.65657043457031
2014-12-29,50.82329559326172
2014-12-30,50.69281005859375
2014-12-31,50.06215286254883
2015-01-02,49.960670471191406
2015-01-05,47.58295822143555
2015-01-06,45.61845779418945
2015-01-07,45.92291259765625
2015-01-08,47.06828689575195
2015-01-09,47.0610237121582
2015-01-12,45.71995544433594
2015-01-13,45.26326370239258
2015-01-14,45.393741607666016
2015-01-15,44.5166130065918
2015-01-16,45.72719955444336
2015-01-20,45.80693817138672
2015-01-21,46.78557205200195
2015-01-22,47.336509704589844
2015-01-23,46.86531066894531
2015-01-26,47.71345138549805
2015-01-27,47.51046371459961
2015-01-28,45.36474609375
2015-01-29,45.53873062133789
2015-01-30,45.654701232910156
2015-02-02,47.677207946777344
2015-02-03,49.10527420043945
2015-02-04,47.749691009521484
2015-02-05,48.98204040527344
2015-02-06,48.92405319213867
2015-02-09,49.185001373291016
2015-02-10,49.28647994995117
2015-02-11,49.206756591796875
2015-02-12,49.85893630981445
2015-02-13,51.2072639465332
2015-02-17,50.90681838989258
2015-02-18,49.63179397583008
2015-02-19,49.404605865478516
2015-02-20,49.37529373168945
2015-02-23,49.03819274902344
2015-02-24,49.16279220581055
2015-02-25,49.48522186279297
2015-02-26,48.25413513183594
2015-02-27,47.777809143066406
2015-03-02,47.19158935546875
2015-03-03,47.47004699707031
2015-03-04,47.08168029785156
2015-03-05,46.40750503540039
2015-03-06,46.01178741455078
2015-03-09,45.41091537475586
2015-03-10,44.60484313964844
2015-03-11,44.919944763183594
2015-03-12,44.96391296386719
2015-03-13,45.169097900390625
2015-03-16,45.72602081298828
2015-03-17,45.440223693847656
2015-03-18,46.63466262817383
2015-03-19,45.98981475830078
2015-03-20,46.78123474121094
2015-03-23,46.334228515625
2015-03-24,45.8359260559082
2015-03-25,46.20232009887695
2015-03-26,46.341556549072266
