,FDS
2014-01-02,96.6345443725586
2014-01-03,96.62562561035156
2014-01-06,94.74605560302734
2014-01-07,95.41416931152344
2014-01-08,95.2983627319336
2014-01-09,94.6569595336914
2014-01-10,95.14688873291016
2014-01-13,94.94200897216797
2014-01-14,95.45870971679688
2014-01-15,95.89521026611328
2014-01-16,96.32276916503906
2014-01-17,95.21819305419922
2014-01-21,96.72364044189453
2014-01-22,97.09777069091797
2014-01-23,97.08888244628906
2014-01-24,94.51444244384766
2014-01-27,94.21155548095703
2014-01-28,93.39203643798828
2014-01-29,92.30525207519531
2014-01-30,94.12249755859375
2014-01-31,94.22046661376953
2014-02-03,90.87104797363281
2014-02-04,91.28974151611328
2014-02-05,90.85323333740234
2014-02-06,90.97794342041016
2014-02-07,91.95784759521484
2014-02-10,91.00467681884766
2014-02-11,92.10924530029297
2014-02-12,92.52793884277344
2014-02-13,92.28741455078125
2014-02-14,91.97563934326172
2014-02-18,91.7173080444336
2014-02-19,92.03803253173828
2014-02-20,94.05123138427734
2014-02-21,93.32965850830078
2014-02-24,93.49891662597656
2014-02-25,92.79520416259766
2014-02-26,92.92927551269531
2014-02-27,93.44766998291016
2014-02-28,94.10909271240234
2014-03-03,93.116943359375
2014-03-04,94.66327667236328
2014-03-05,94.45767211914062
2014-03-06,94.8956298828125
2014-03-07,93.77836608886719
2014-03-10,93.94820404052734
2014-03-11,94.51129913330078
2014-03-12,94.31464385986328
2014-03-13,92.62535095214844
2014-03-14,92.65219116210938
2014-03-17,93.4387435913086
2014-03-18,102.47511291503906
2014-03-19,98.07760620117188
2014-03-20,96.53129577636719
2014-03-21,95.55704498291016
2014-03-24,96.62071228027344
2014-03-25,97.55919647216797
2014-03-26,95.06547546386719
2014-03-27,93.92138671875
2014-03-28,94.90458679199219
2014-03-31,96.36149597167969
2014-04-01,96.718994140625
2014-04-02,96.33467864990234
2014-04-03,95.9771499633789
2014-04-04,94.5738754272461
2014-04-07,93.90351867675781
2014-04-08,94.12694549560547
2014-04-09,95.3782958984375
2014-04-10,93.72473907470703
2014-04-11,91.6064224243164
2014-04-14,92.86669921875
2014-04-15,93.46553039550781
2014-04-16,94.36830139160156
2014-04-17,94.5381088256836
2014-04-21,94.40404510498047
2014-04-22,94.43981170654297
2014-04-23,93.51917266845703
2014-04-24,94.26997375488281
2014-04-25,93.83199310302734
2014-04-28,93.4387435913086
2014-04-29,94.15376281738281
2014-04-30,95.1905746459961
2014-05-01,95.02971649169922
2014-05-02,94.07334899902344
2014-05-05,94.35935974121094
2014-05-06,93.73369598388672
2014-05-07,94.30572509765625
2014-05-08,93.83199310302734
2014-05-09,93.94820404052734
2014-05-12,95.8252182006836
2014-05-13,95.1727066040039
2014-05-14,94.36830139160156
2014-05-15,93.671142578125
2014-05-16,94.18060302734375
2014-05-19,95.80731964111328
2014-05-20,94.46661376953125
2014-05-21,95.02971649169922
2014-05-22,96.49554443359375
2014-05-23,97.6664047241211
2014-05-27,97.31787109375
2014-05-28,96.08895111083984
2014-05-29,96.57332611083984
2014-05-30,96.10688781738281
2014-06-02,96.90521240234375
2014-06-03,96.41187286376953
2014-06-04,97.44344329833984
2014-06-05,97.7663803100586
2014-06-06,98.72618103027344
2014-06-09,99.30029296875
2014-06-10,99.67704772949219
2014-06-11,99.49764251708984
2014-06-12,101.13916015625
2014-06-13,101.14815521240234
2014-06-16,101.37240600585938
2014-06-17,104.95150756835938
2014-06-18,102.56542205810547
2014-06-19,103.36377716064453
2014-06-20,104.41328430175781
2014-06-23,105.84854888916016
2014-06-24,104.9784164428711
2014-06-25,105.09505462646484
2014-06-26,105.6422348022461
2014-06-27,107.53492736816406
2014-06-30,107.89373779296875
2014-07-01,108.18077850341797
2014-07-02,108.13595581054688
2014-07-03,108.95223236083984
2014-07-07,109.01502990722656
2014-07-08,108.16285705566406
2014-07-09,108.0462417602539
2014-07-10,107.25685119628906
2014-07-11,107.64256286621094
2014-07-14,108.7369384765625
2014-07-15,108.5934066772461
2014-07-16,108.18975067138672
2014-07-17,106.82624816894531
2014-07-18,108.10006713867188
2014-07-21,107.87580108642578
2014-07-22,109.140625
2014-07-23,108.38711547851562
2014-07-24,110.0645523071289
2014-07-25,109.7415771484375
2014-07-28,108.69210052490234
2014-07-29,109.36485290527344
2014-07-30,109.80441284179688
2014-07-31,107.7591781616211
2014-08-01,108.2884292602539
2014-08-04,110.02865600585938
2014-08-05,109.14956665039062
2014-08-06,108.32432556152344
2014-08-07,108.62928771972656
2014-08-08,109.30205535888672
2014-08-11,109.7774658203125
2014-08-12,109.69673919677734
2014-08-13,110.26188659667969
2014-08-14,110.26188659667969
2014-08-15,111.2396240234375
2014-08-18,111.98416900634766
2014-08-19,113.05165100097656
2014-08-20,113.51807403564453
2014-08-21,114.30744171142578
2014-08-22,113.92173767089844
2014-08-25,114.28953552246094
2014-08-26,114.69319152832031
2014-08-27,115.03507232666016
2014-08-28,114.17129516601562
2014-08-29,114.63018798828125
2014-09-02,115.0440902709961
2014-09-03,115.44896697998047
2014-09-04,115.11608123779297
2014-09-05,115.78187561035156
2014-09-08,115.63792419433594
2014-09-09,114.2972640991211
2014-09-10,114.78311920166016
2014-09-11,114.79216766357422
2014-09-12,115.06206512451172
2014-09-15,113.49647521972656
2014-09-16,114.05433654785156
2014-09-17,110.49127197265625
2014-09-18,112.52473449707031
2014-09-19,111.65196990966797
2014-09-22,111.62498474121094
2014-09-23,110.01438903808594
2014-09-24,110.23931884765625
2014-09-25,108.709716796875
2014-09-26,109.267578125
2014-09-29,109.825439453125
2014-09-30,109.34856414794922
2014-10-01,108.41280364990234
2014-10-02,109.51951599121094
2014-10-03,111.22905731201172
2014-10-06,111.05809783935547
2014-10-07,108.86266326904297
2014-10-08,110.05937957763672
2014-10-09,107.33309173583984
2014-10-10,104.67875671386719
2014-10-13,105.4166030883789
2014-10-14,108.39478302001953
2014-10-15,108.20585632324219
2014-10-16,108.16085052490234
2014-10-17,109.75344848632812
2014-10-20,111.63395690917969
2014-10-21,113.89239501953125
2014-10-22,113.15458679199219
2014-10-23,113.8023910522461
2014-10-24,114.17129516601562
2014-10-27,115.15204620361328
2014-10-28,116.4297103881836
2014-10-29,116.84361267089844
2014-10-30,117.26649475097656
2014-10-31,118.26522064208984
2014-11-03,118.14826965332031
2014-11-04,119.21900939941406
2014-11-05,119.42596435546875
2014-11-06,120.08279418945312
2014-11-07,120.99153900146484
2014-11-10,122.44013214111328
2014-11-11,122.35917663574219
2014-11-12,123.71781921386719
2014-11-13,123.94277954101562
2014-11-14,122.76409149169922
2014-11-17,123.21392059326172
2014-11-18,122.79105377197266
2014-11-19,122.87206268310547
2014-11-20,123.04296875
2014-11-21,123.53788757324219
2014-11-24,123.78977966308594
2014-11-25,123.61837005615234
