,ALL
2014-01-02,42.20270919799805
2014-01-03,42.029335021972656
2014-01-06,41.863834381103516
2014-01-07,42.045101165771484
2014-01-08,42.1790771484375
2014-01-09,42.42339324951172
2014-01-10,42.62828063964844
2014-01-13,42.13179397583008
2014-01-14,42.549468994140625
2014-01-15,42.470664978027344
2014-01-16,41.91111373901367
2014-01-17,41.690460205078125
2014-01-21,41.51706314086914
2014-01-22,41.30427169799805
2014-01-23,40.69744873046875
2014-01-24,39.89357376098633
2014-01-27,39.95663070678711
2014-01-28,40.79989242553711
2014-01-29,40.77625274658203
2014-01-30,41.21759796142578
2014-01-31,40.35067367553711
2014-02-03,39.373443603515625
2014-02-04,39.32615661621094
2014-02-05,39.050315856933594
2014-02-06,41.264869689941406
2014-02-07,41.580116271972656
2014-02-10,41.05208969116211
2014-02-11,41.61952209472656
2014-02-12,41.39885330200195
2014-02-13,41.532833099365234
2014-02-14,41.737728118896484
2014-02-18,41.123008728027344
2014-02-19,40.81564712524414
2014-02-20,42.13965606689453
2014-02-21,42.44700622558594
2014-02-24,42.44700622558594
2014-02-25,42.28153610229492
2014-02-26,42.43914794921875
2014-02-27,42.961997985839844
2014-02-28,42.985774993896484
2014-03-03,42.81941604614258
2014-03-04,43.453182220458984
2014-03-05,43.62745666503906
2014-03-06,43.70669937133789
2014-03-07,44.134490966796875
2014-03-10,44.205787658691406
2014-03-11,44.05526351928711
2014-03-12,43.960201263427734
2014-03-13,43.659156799316406
2014-03-14,43.67499923706055
2014-03-17,43.98395919799805
2014-03-18,43.94436264038086
2014-03-19,43.817604064941406
2014-03-20,44.01565170288086
2014-03-21,44.41176223754883
2014-03-24,44.50682830810547
2014-03-25,44.364227294921875
2014-03-26,44.12656784057617
2014-03-27,44.079036712646484
2014-03-28,44.205787658691406
2014-03-31,44.82372283935547
2014-04-01,44.752418518066406
2014-04-02,44.48306655883789
2014-04-03,44.831642150878906
2014-04-04,44.68903732299805
2014-04-07,44.166175842285156
2014-04-08,44.277076721191406
2014-04-09,44.467227935791016
2014-04-10,43.976043701171875
2014-04-11,43.801761627197266
2014-04-14,43.73046112060547
2014-04-15,44.01565170288086
2014-04-16,44.35630798339844
2014-04-17,44.1820182800293
2014-04-21,44.1820182800293
2014-04-22,44.380069732666016
2014-04-23,44.51475143432617
2014-04-24,44.68111801147461
2014-04-25,44.45137023925781
2014-04-28,45.029693603515625
2014-04-29,45.069305419921875
2014-04-30,45.116844177246094
2014-05-01,45.386199951171875
2014-05-02,45.29903793334961
2014-05-05,45.25150680541992
2014-05-06,44.81580352783203
2014-05-07,45.80606460571289
2014-05-08,45.93281936645508
2014-05-09,46.05165481567383
2014-05-12,46.22594451904297
2014-05-13,46.26555633544922
2014-05-14,46.01996612548828
2014-05-15,45.600101470947266
2014-05-16,45.74269104003906
2014-05-19,46.10710906982422
2014-05-20,46.012046813964844
2014-05-21,46.28138732910156
2014-05-22,46.22594451904297
2014-05-23,46.249717712402344
2014-05-27,46.31309127807617
2014-05-28,46.313087463378906
2014-05-29,46.40861511230469
2014-05-30,46.376773834228516
2014-06-02,46.70314407348633
2014-06-03,46.631492614746094
2014-06-04,46.6633415222168
2014-06-05,47.053409576416016
2014-06-06,47.2205696105957
2014-06-09,47.09320068359375
2014-06-10,47.109127044677734
2014-06-11,47.02952194213867
2014-06-12,46.734989166259766
2014-06-13,46.97380065917969
2014-06-16,46.8145866394043
2014-06-17,47.13301086425781
2014-06-18,47.09320068359375
2014-06-19,46.82255935668945
2014-06-20,46.82255935668945
2014-06-23,47.125038146972656
2014-06-24,46.90214920043945
2014-06-25,46.734989166259766
2014-06-26,46.60762023925781
2014-06-27,46.71906280517578
2014-06-30,46.742958068847656
2014-07-01,47.06135559082031
2014-07-02,46.9658317565918
2014-07-03,46.94194030761719
2014-07-07,46.591697692871094
2014-07-08,46.551902770996094
2014-07-09,46.551902770996094
2014-07-10,46.225528717041016
2014-07-11,46.32900619506836
2014-07-14,46.3927001953125
2014-07-15,46.53597640991211
2014-07-16,46.29716491699219
2014-07-17,46.026512145996094
2014-07-18,46.217567443847656
2014-07-21,46.17774963378906
2014-07-22,46.24143981933594
2014-07-23,46.4324951171875
2014-07-24,46.55986022949219
2014-07-25,46.122032165527344
2014-07-28,46.122032165527344
2014-07-29,45.413570404052734
2014-07-30,45.28621292114258
2014-07-31,46.52802276611328
2014-08-01,46.28125
2014-08-04,46.93400192260742
2014-08-05,46.846431732177734
2014-08-06,47.427528381347656
2014-08-07,47.21261215209961
2014-08-08,47.499168395996094
2014-08-11,47.411598205566406
2014-08-12,47.88127517700195
2014-08-13,47.849430084228516
2014-08-14,48.38276672363281
2014-08-15,48.31112289428711
2014-08-18,48.780792236328125
2014-08-19,48.62953567504883
2014-08-20,48.87630844116211
2014-08-21,48.963871002197266
2014-08-22,48.733028411865234
