,BEN
2014-01-02,36.45892333984375
2014-01-03,36.690330505371094
2014-01-06,36.83173370361328
2014-01-07,36.63248062133789
2014-01-08,36.478206634521484
2014-01-09,36.65176010131836
2014-01-10,37.153141021728516
2014-01-13,36.49748229980469
2014-01-14,37.28169631958008
2014-01-15,37.378108978271484
2014-01-16,37.461673736572266
2014-01-17,37.60951614379883
2014-01-21,37.48737716674805
2014-01-22,37.326683044433594
2014-01-23,36.111820220947266
2014-01-24,34.453426361083984
2014-01-27,34.035614013671875
2014-01-28,34.51127243041992
2014-01-29,33.842777252197266
2014-01-30,33.926334381103516
2014-01-31,33.4313850402832
2014-02-03,32.267948150634766
2014-02-04,32.666473388671875
2014-02-05,32.50576400756836
2014-02-06,32.92359161376953
2014-02-07,33.521385192871094
2014-02-10,33.97132873535156
2014-02-11,33.94562530517578
2014-02-12,34.164161682128906
2014-02-13,34.151309967041016
2014-02-14,33.94562530517578
2014-02-18,34.4984130859375
2014-02-19,33.97775650024414
2014-02-20,33.77206039428711
2014-02-21,33.73349380493164
2014-02-24,34.40199279785156
2014-02-25,33.926334381103516
2014-02-26,33.52781677246094
2014-02-27,34.035614013671875
2014-02-28,34.22844696044922
2014-03-03,33.79134750366211
2014-03-04,34.35700988769531
2014-03-05,34.33772659301758
2014-03-06,34.453426361083984
2014-03-07,34.58841323852539
2014-03-10,34.19631576538086
2014-03-11,33.91348648071289
2014-03-12,33.95846939086914
2014-03-13,33.206417083740234
2014-03-14,32.859310150146484
2014-03-17,33.360687255859375
2014-03-18,33.6177978515625
2014-03-19,33.09714126586914
2014-03-20,33.46352767944336
2014-03-21,33.64350891113281
2014-03-24,33.46352767944336
2014-03-25,33.97775650024414
2014-03-26,34.50485610961914
2014-03-27,34.17629623413086
2014-03-28,34.57570266723633
2014-03-31,34.90427017211914
2014-04-01,35.058868408203125
2014-04-02,35.432525634765625
2014-04-03,35.168392181396484
2014-04-04,34.40822219848633
2014-04-07,33.557838439941406
2014-04-08,34.079654693603516
2014-04-09,34.37599182128906
2014-04-10,33.51274871826172
2014-04-11,33.371009826660156
2014-04-14,33.51918029785156
2014-04-15,33.4354248046875
2014-04-16,33.93792724609375
2014-04-17,34.59504318237305
2014-04-21,34.34379577636719
2014-04-22,34.820518493652344
2014-04-23,34.79475021362305
2014-04-24,34.69811248779297
2014-04-25,33.995914459228516
2014-04-28,33.15841293334961
2014-04-29,33.22282028198242
2014-04-30,33.72533416748047
2014-05-01,33.8348503112793
2014-05-02,34.111873626708984
2014-05-05,33.82196807861328
2014-05-06,33.145511627197266
2014-05-07,34.214942932128906
2014-05-08,34.6659049987793
2014-05-09,35.303688049316406
2014-05-12,35.722434997558594
2014-05-13,35.83839416503906
2014-05-14,35.993011474609375
2014-05-15,34.988014221191406
2014-05-16,35.00090789794922
2014-05-19,35.406768798828125
2014-05-20,34.788307189941406
2014-05-21,35.31013488769531
2014-05-22,35.303688049316406
2014-05-23,35.432525634765625
2014-05-27,35.57426452636719
2014-05-28,35.60003662109375
2014-05-29,35.651580810546875
2014-05-30,35.56781768798828
2014-06-02,35.664466857910156
2014-06-03,35.57426452636719
2014-06-04,35.88993453979492
2014-06-05,36.10897445678711
2014-06-06,36.45685958862305
2014-06-09,36.450408935546875
2014-06-10,36.55349349975586
2014-06-11,36.23782730102539
2014-06-12,36.08964920043945
2014-06-13,35.82551574707031
2014-06-16,35.651580810546875
2014-06-17,36.186279296875
2014-06-18,37.46829605102539
2014-06-19,37.281463623046875
2014-06-20,37.39097595214844
2014-06-23,37.41675567626953
2014-06-24,37.017337799072266
2014-06-25,37.023780822753906
2014-06-26,37.088340759277344
2014-06-27,37.1851692199707
2014-06-30,37.340110778808594
2014-07-01,37.09478759765625
2014-07-02,37.13351821899414
2014-07-03,37.58543395996094
2014-07-07,37.249732971191406
2014-07-08,36.84947204589844
2014-07-09,37.14644241333008
2014-07-10,36.6687126159668
2014-07-11,36.85592269897461
2014-07-14,37.0108757019043
2014-07-15,37.09478759765625
2014-07-16,37.256187438964844
2014-07-17,36.617069244384766
2014-07-18,37.15934371948242
2014-07-21,37.0108757019043
2014-07-22,37.4111328125
2014-07-23,37.48859405517578
2014-07-24,37.262630462646484
2014-07-25,36.94630432128906
2014-07-28,37.062503814697266
2014-07-29,36.86238098144531
2014-07-30,36.19743728637695
2014-07-31,34.95793533325195
2014-08-01,34.641605377197266
2014-08-04,34.84172821044922
2014-08-05,34.32528305053711
2014-08-06,34.99667739868164
2014-08-07,34.54476547241211
2014-08-08,35.03540802001953
2014-08-11,35.151611328125
2014-08-12,35.05476760864258
2014-08-13,35.11286163330078
2014-08-14,35.40983963012695
2014-08-15,35.37110137939453
2014-08-18,35.674522399902344
2014-08-19,35.70035171508789
2014-08-20,35.91983413696289
2014-08-21,36.268463134765625
2014-08-22,35.958587646484375
2014-08-25,36.391117095947266
2014-08-26,36.55250549316406
2014-08-27,36.4943962097168
2014-08-28,36.2813606262207
2014-08-29,36.48794937133789
2014-09-02,36.53959655761719
2014-09-03,36.46857833862305
2014-09-04,36.48149108886719
2014-09-05,36.688079833984375
2014-09-08,36.423397064208984
2014-09-09,36.03605270385742
2014-09-10,35.894020080566406
2014-09-11,36.01021957397461
2014-09-12,35.797176361083984
2014-09-15,35.75199890136719
2014-09-16,35.932762145996094
2014-09-17,36.03605270385742
2014-09-18,36.584781646728516
2014-09-19,36.02959442138672
2014-09-22,35.54540252685547
2014-09-23,35.30654525756836
2014-09-24,35.822998046875
2014-09-25,35.151611328125
2014-09-26,35.585105895996094
2014-09-29,35.45569610595703
2014-09-30,35.33277130126953
2014-10-01,35.048095703125
2014-10-02,35.30042266845703
2014-10-03,35.365108489990234
