,JBHT
2014-01-02,69.07984161376953
2014-01-03,69.70207977294922
2014-01-06,69.09786987304688
2014-01-07,69.71111297607422
2014-01-08,69.57584381103516
2014-01-09,69.87344360351562
2014-01-10,71.45166015625
2014-01-13,70.16203308105469
2014-01-14,70.703125
2014-01-15,71.40656280517578
2014-01-16,70.80231475830078
2014-01-17,69.97267150878906
2014-01-21,71.29832458496094
2014-01-22,71.50574493408203
2014-01-23,70.78428649902344
2014-01-24,68.80929565429688
2014-01-27,67.41144561767578
2014-01-28,67.39342498779297
2014-01-29,66.98761749267578
2014-01-30,68.09684753417969
2014-01-31,67.68199920654297
2014-02-03,65.29219055175781
2014-02-04,65.91444396972656
2014-02-05,66.26615905761719
2014-02-06,66.85230255126953
2014-02-07,66.6629638671875
2014-02-10,66.03168487548828
2014-02-11,66.2306137084961
2014-02-12,66.23966217041016
2014-02-13,66.40243530273438
2014-02-14,65.81463623046875
2014-02-18,65.38963317871094
2014-02-19,64.5848159790039
2014-02-20,64.79279327392578
2014-02-21,65.10926818847656
2014-02-24,64.79279327392578
2014-02-25,64.95555114746094
2014-02-26,64.30445098876953
2014-02-27,64.32255554199219
2014-02-28,64.99170684814453
2014-03-03,64.34968566894531
2014-03-04,65.38057708740234
2014-03-05,65.75132751464844
2014-03-06,66.77318572998047
2014-03-07,67.27053833007812
2014-03-10,67.08065032958984
2014-03-11,66.08592987060547
2014-03-12,65.7874984741211
2014-03-13,65.01886749267578
2014-03-14,64.61194610595703
2014-03-17,64.65715026855469
2014-03-18,64.18689727783203
2014-03-19,64.19596862792969
2014-03-20,63.481544494628906
2014-03-21,63.400184631347656
2014-03-24,63.27356719970703
2014-03-25,63.11982345581055
2014-03-26,63.074623107910156
2014-03-27,63.27356719970703
2014-03-28,63.27356719970703
2014-03-31,65.03692626953125
2014-04-01,66.04071807861328
2014-04-02,67.08065032958984
2014-04-03,66.737060546875
2014-04-04,66.33007049560547
2014-04-07,65.14545440673828
2014-04-08,65.38057708740234
2014-04-09,65.85081481933594
2014-04-10,65.07312774658203
2014-04-11,64.66620635986328
2014-04-14,67.18012237548828
2014-04-15,67.28866577148438
2014-04-16,68.54560852050781
2014-04-17,68.55464935302734
2014-04-21,69.07916259765625
2014-04-22,69.44084930419922
2014-04-23,68.86209869384766
2014-04-24,68.76262664794922
2014-04-25,68.25623321533203
2014-04-28,68.23816680908203
2014-04-29,68.26527404785156
2014-04-30,68.8168716430664
2014-05-01,69.72120666503906
2014-05-02,69.57652282714844
2014-05-05,69.2419204711914
2014-05-06,69.20573425292969
2014-05-07,69.40521240234375
2014-05-08,68.72520446777344
2014-05-09,68.68895721435547
2014-05-12,69.73162078857422
2014-05-13,70.23025512695312
2014-05-14,69.87666320800781
2014-05-15,69.78599548339844
2014-05-16,69.71347045898438
2014-05-19,70.41161346435547
2014-05-20,69.79508972167969
2014-05-21,69.44148254394531
2014-05-22,70.24842071533203
2014-05-23,70.0126953125
2014-05-27,69.8132095336914
2014-05-28,70.34814453125
2014-05-29,70.57481384277344
2014-05-30,70.41161346435547
2014-06-02,70.3572006225586
2014-06-03,69.64094543457031
2014-06-04,69.70442962646484
2014-06-05,69.70442962646484
2014-06-06,69.7225570678711
2014-06-09,70.18495178222656
2014-06-10,69.8132095336914
2014-06-11,69.21484375
2014-06-12,68.31719970703125
2014-06-13,68.54387664794922
2014-06-16,68.5257339477539
2014-06-17,68.761474609375
2014-06-18,69.21484375
2014-06-19,69.3236083984375
2014-06-20,69.8132095336914
2014-06-23,69.00628662109375
2014-06-24,68.1268081665039
2014-06-25,68.4078598022461
2014-06-26,66.65798950195312
2014-06-27,66.62178039550781
2014-06-30,66.89374542236328
2014-07-01,66.52200317382812
2014-07-02,66.87562561035156
2014-07-03,67.28362274169922
2014-07-07,67.31082153320312
2014-07-08,66.98442077636719
2014-07-09,67.22014617919922
2014-07-10,66.61271667480469
2014-07-11,66.99346160888672
2014-07-14,67.35615539550781
2014-07-15,69.7588119506836
2014-07-16,71.09164428710938
2014-07-17,70.33909606933594
2014-07-18,70.84680938720703
2014-07-21,70.79238891601562
2014-07-22,71.6084213256836
2014-07-23,71.58120727539062
2014-07-24,72.27935028076172
2014-07-25,71.83507537841797
2014-07-28,71.69908142089844
2014-07-29,70.95559692382812
2014-07-30,71.35555267333984
2014-07-31,70.2283935546875
2014-08-01,69.30125427246094
2014-08-04,69.21942138671875
2014-08-05,69.11943817138672
2014-08-06,68.59221649169922
2014-08-07,68.18316650390625
2014-08-08,69.17398071289062
2014-08-11,69.3648910522461
2014-08-12,69.35577392578125
2014-08-13,69.3467025756836
2014-08-14,68.7195053100586
2014-08-15,68.69222259521484
2014-08-18,70.0284423828125
2014-08-19,69.91935729980469
2014-08-20,69.2285385131836
2014-08-21,69.20127868652344
2014-08-22,68.92855834960938
2014-08-25,69.4830551147461
2014-08-26,68.72859954833984
2014-08-27,68.21047973632812
2014-08-28,68.78311920166016
2014-08-29,68.67404174804688
2014-09-02,69.10126495361328
2014-09-03,69.10126495361328
2014-09-04,69.93755340576172
2014-09-05,69.9284439086914
2014-09-08,69.75575256347656
2014-09-09,69.12853240966797
2014-09-10,68.19230651855469
2014-09-11,68.41045379638672
2014-09-12,68.5013427734375
2014-09-15,67.91960906982422
2014-09-16,67.83777618408203
2014-09-17,67.3651123046875
2014-09-18,67.21966552734375
2014-09-19,67.64691925048828
2014-09-22,66.92878723144531
2014-09-23,66.29248046875
2014-09-24,66.12887573242188
2014-09-25,66.21978759765625
2014-09-26,67.45600128173828
2014-09-29,67.26513671875
2014-09-30,67.31058502197266
2014-10-01,66.64702606201172
2014-10-02,67.79229736328125
2014-10-03,68.8104019165039
2014-10-06,67.8923110961914
2014-10-07,66.4288330078125
2014-10-08,67.54692077636719
2014-10-09,66.40157318115234
2014-10-10,65.51985168457031
2014-10-13,64.81085205078125
2014-10-14,66.7833480834961
2014-10-15,66.94697570800781
2014-10-16,67.91960906982422
2014-10-17,68.09227752685547
2014-10-20,68.04684448242188
2014-10-21,69.93755340576172
2014-10-22,69.79209899902344
2014-10-23,70.48296356201172
2014-10-24,70.3011245727539
