,NVDA
2014-01-02,0.373966246843338
2014-01-03,0.36948612332344055
2014-01-06,0.3744378089904785
2014-01-07,0.3805684745311737
2014-01-08,0.38575583696365356
2014-01-09,0.3713724911212921
2014-01-10,0.37090086936950684
2014-01-13,0.3621765971183777
2014-01-14,0.37349459528923035
2014-01-15,0.3775031864643097
2014-01-16,0.37868204712867737
2014-01-17,0.37703150510787964
2014-01-21,0.3784463405609131
2014-01-22,0.37797465920448303
2014-01-23,0.3765599727630615
2014-01-24,0.3668925166130066
2014-01-27,0.3645346462726593
2014-01-28,0.36807140707969666
2014-01-29,0.3645346462726593
2014-01-30,0.3706651031970978
2014-01-31,0.3701935410499573
2014-02-03,0.3652418851852417
2014-02-04,0.36736395955085754
2014-02-05,0.36406296491622925
2014-02-06,0.3687787353992462
2014-02-07,0.37420204281806946
2014-02-10,0.3753810226917267
2014-02-11,0.38316214084625244
2014-02-12,0.39683809876441956
2014-02-13,0.4093349874019623
2014-02-14,0.42230361700057983
2014-02-18,0.422067791223526
2014-02-19,0.4277268946170807
2014-02-20,0.4428175091743469
2014-02-21,0.43951645493507385
2014-02-24,0.4458828270435333
2014-02-25,0.4438695013523102
2014-02-26,0.443158894777298
2014-02-27,0.4381849765777588
2014-02-28,0.4353426694869995
2014-03-03,0.43321096897125244
2014-03-04,0.43771126866340637
2014-03-05,0.4415009915828705
2014-03-06,0.4353426694869995
2014-03-07,0.43486902117729187
2014-03-10,0.42847371101379395
2014-03-11,0.43273720145225525
2014-03-12,0.4339216351509094
2014-03-13,0.42018386721611023
2014-03-14,0.4220787286758423
2014-03-17,0.4220787286758423
2014-03-18,0.43202677369117737
2014-03-19,0.43960607051849365
2014-03-20,0.43984296917915344
2014-03-21,0.43913236260414124
2014-03-24,0.4370007812976837
2014-03-25,0.4370007812976837
2014-03-26,0.42705273628234863
2014-03-27,0.42136815190315247
2014-03-28,0.42397353053092957
2014-03-31,0.42421042919158936
2014-04-01,0.4417378008365631
2014-04-02,0.4388956129550934
2014-04-03,0.44363266229629517
2014-04-04,0.42989498376846313
2014-04-07,0.431316077709198
2014-04-08,0.4467117488384247
2014-04-09,0.44623810052871704
2014-04-10,0.4353426694869995
2014-04-11,0.4291844666004181
2014-04-14,0.4339216351509094
2014-04-15,0.4370007812976837
2014-04-16,0.4379480481147766
2014-04-17,0.43960607051849365
2014-04-21,0.443158894777298
2014-04-22,0.44694867730140686
2014-04-23,0.452159583568573
2014-04-24,0.4561860263347626
2014-04-25,0.44363266229629517
2014-04-28,0.4417378008365631
2014-04-29,0.44268521666526794
2014-04-30,0.43747442960739136
2014-05-01,0.43984296917915344
2014-05-02,0.43652698397636414
2014-05-05,0.4412640929222107
2014-05-06,0.4322635233402252
2014-05-07,0.43273720145225525
2014-05-08,0.4381849765777588
2014-05-09,0.42752641439437866
2014-05-12,0.44007983803749084
2014-05-13,0.43297430872917175
2014-05-14,0.42871081829071045
2014-05-15,0.4263421595096588
2014-05-16,0.42539477348327637
2014-05-19,0.43913236260414124
2014-05-20,0.4340165853500366
2014-05-21,0.4340165853500366
2014-05-22,0.4359201490879059
2014-05-23,0.4399651288986206
2014-05-27,0.4478173851966858
2014-05-28,0.4516246020793915
2014-05-29,0.45091086626052856
2014-05-30,0.452100545167923
2014-06-02,0.45067280530929565
2014-06-03,0.4487692713737488
2014-06-04,0.4492452144622803
2014-06-05,0.4511486887931824
2014-06-06,0.45281440019607544
2014-06-09,0.45329031348228455
2014-06-10,0.4556697607040405
2014-06-11,0.4616185128688812
2014-06-12,0.4644738435745239
2014-06-13,0.4649496078491211
2014-06-16,0.4635220468044281
2014-06-17,0.4666152894496918
2014-06-18,0.46613946557044983
2014-06-19,0.4554317891597748
2014-06-20,0.45043498277664185
2014-06-23,0.4452000558376312
2014-06-24,0.4382995069026947
2014-06-25,0.44282054901123047
2014-06-26,0.43687179684638977
2014-06-27,0.43734779953956604
2014-06-30,0.44115495681762695
2014-07-01,0.4461517930030823
2014-07-02,0.44448617100715637
2014-07-03,0.44853129982948303
2014-07-07,0.44496214389801025
2014-07-08,0.4413929283618927
2014-07-09,0.4547179937362671
2014-07-10,0.45233845710754395
2014-07-11,0.45329031348228455
2014-07-14,0.45900100469589233
2014-07-15,0.46090447902679443
2014-07-16,0.4604286551475525
2014-07-17,0.4592389166355133
2014-07-18,0.4387754797935486
2014-07-21,0.4413929283618927
2014-07-22,0.43948930501937866
2014-07-23,0.43020936846733093
2014-07-24,0.43092307448387146
2014-07-25,0.4233088195323944
2014-07-28,0.4216432273387909
2014-07-29,0.42307090759277344
2014-07-30,0.43020936846733093
2014-07-31,0.41640836000442505
2014-08-01,0.4209293723106384
2014-08-04,0.419977605342865
2014-08-05,0.4202154278755188
2014-08-06,0.41973960399627686
2014-08-07,0.41545650362968445
2014-08-08,0.452100545167923
2014-08-11,0.4497210681438446
2014-08-12,0.4497210681438446
2014-08-13,0.45233845710754395
2014-08-14,0.44734156131744385
2014-08-15,0.4530524015426636
2014-08-18,0.4592389166355133
2014-08-19,0.4629434645175934
2014-08-20,0.4600754380226135
2014-08-21,0.4557734429836273
2014-08-22,0.4560125172138214
2014-08-25,0.45672938227653503
2014-08-26,0.46485549211502075
2014-08-27,0.45959749817848206
2014-08-28,0.46342143416404724
2014-08-29,0.46485549211502075
2014-09-02,0.46605050563812256
2014-09-03,0.470352441072464
2014-09-04,0.47871747612953186
2014-09-05,0.47728341817855835
2014-09-08,0.47298145294189453
2014-09-09,0.4670064151287079
2014-09-10,0.46867939829826355
2014-09-11,0.4638993740081787
