,HCA
2014-01-02,44.7379035949707
2014-01-03,45.674434661865234
2014-01-06,45.449676513671875
2014-01-07,46.68588638305664
2014-01-08,47.34145736694336
2014-01-09,47.669246673583984
2014-01-10,48.062583923339844
2014-01-13,47.725440979003906
2014-01-14,48.14688491821289
2014-01-15,47.82844924926758
2014-01-16,47.96894073486328
2014-01-17,48.14688491821289
2014-01-21,46.82636642456055
2014-01-22,46.657798767089844
2014-01-23,46.62969970703125
2014-01-24,45.32792663574219
2014-01-27,45.98349380493164
2014-01-28,46.3768310546875
2014-01-29,46.170799255371094
2014-01-30,46.3487434387207
2014-01-31,47.079227447509766
2014-02-03,45.38411331176758
2014-02-04,45.44031524658203
2014-02-05,44.92522430419922
2014-02-06,45.299827575683594
2014-02-07,45.26236343383789
2014-02-10,45.861759185791016
2014-02-11,45.85238265991211
2014-02-12,45.95539093017578
2014-02-13,46.82636642456055
2014-02-14,46.601593017578125
2014-02-18,46.67653274536133
2014-02-19,46.4142951965332
2014-02-20,47.04176330566406
2014-02-21,46.83572769165039
2014-02-24,47.17288589477539
2014-02-25,46.4142951965332
2014-02-26,47.275909423828125
2014-02-27,48.24989318847656
2014-02-28,47.95020294189453
2014-03-03,48.40909957885742
2014-03-04,47.819091796875
2014-03-05,47.097965240478516
2014-03-06,46.47048568725586
2014-03-07,46.4798583984375
2014-03-10,46.404937744140625
2014-03-11,46.1146125793457
2014-03-12,46.08652114868164
2014-03-13,44.953311920166016
2014-03-14,44.62553787231445
2014-03-17,45.2061767578125
2014-03-18,46.10524368286133
2014-03-19,46.779537200927734
2014-03-20,46.292537689208984
2014-03-21,46.95748519897461
2014-03-24,45.69316482543945
2014-03-25,45.739994049072266
2014-03-26,47.15414810180664
2014-03-27,47.163516998291016
2014-03-28,47.89400863647461
2014-03-31,49.16769027709961
2014-04-01,48.60576248168945
2014-04-02,48.92418670654297
2014-04-03,47.903385162353516
2014-04-04,46.98556900024414
2014-04-07,45.66507339477539
2014-04-08,46.807640075683594
2014-04-09,47.52876281738281
2014-04-10,46.08652114868164
2014-04-11,45.14997100830078
2014-04-14,45.421573638916016
2014-04-15,45.64634323120117
2014-04-16,45.48713684082031
2014-04-17,45.89920425415039
2014-04-21,46.32064437866211
2014-04-22,46.28318786621094
2014-04-23,47.20098876953125
2014-04-24,47.32272720336914
2014-04-25,50.048011779785156
2014-04-28,49.27070617675781
2014-04-29,48.13750076293945
2014-04-30,48.69941329956055
2014-05-01,49.07402420043945
2014-05-02,48.587039947509766
2014-05-05,49.027198791503906
2014-05-06,48.66196060180664
2014-05-07,48.26862716674805
2014-05-08,47.93146514892578
2014-05-09,48.240516662597656
2014-05-12,48.980377197265625
2014-05-13,49.03656768798828
2014-05-14,49.33626174926758
2014-05-15,48.79308319091797
2014-05-16,47.99702453613281
2014-05-19,48.240516662597656
2014-05-20,48.437191009521484
2014-05-21,48.95228576660156
2014-05-22,49.00847625732422
2014-05-23,50.048011779785156
2014-05-27,49.74832534790039
2014-05-28,49.98246383666992
2014-05-29,50.001190185546875
2014-05-30,49.626583099365234
2014-06-02,49.626583099365234
2014-06-03,51.040748596191406
2014-06-04,51.29359817504883
2014-06-05,52.68902587890625
2014-06-06,52.06155014038086
2014-06-09,51.86489486694336
2014-06-10,51.752498626708984
2014-06-11,51.51836013793945
2014-06-12,51.059471130371094
2014-06-13,51.490264892578125
2014-06-16,52.43617248535156
2014-06-17,52.0334587097168
2014-06-18,52.26759719848633
2014-06-19,52.9044303894043
2014-06-20,53.95335006713867
2014-06-23,54.32795333862305
2014-06-24,52.95124435424805
2014-06-25,53.2415771484375
2014-06-26,52.220760345458984
2014-06-27,51.911712646484375
2014-06-30,52.8014030456543
2014-07-01,52.529815673828125
2014-07-02,53.63492202758789
2014-07-03,53.48507308959961
2014-07-07,51.958534240722656
2014-07-08,51.059471130371094
2014-07-09,51.46217727661133
2014-07-10,52.1645622253418
2014-07-11,52.38934326171875
2014-07-14,52.2394905090332
2014-07-15,51.70568084716797
2014-07-16,57.11880111694336
2014-07-17,56.76293182373047
2014-07-18,58.476768493652344
2014-07-21,57.64325714111328
2014-07-22,57.849300384521484
2014-07-23,58.11152648925781
2014-07-24,57.596431732177734
2014-07-25,58.90757751464844
2014-07-28,59.609962463378906
2014-07-29,60.93983840942383
2014-07-30,62.054317474365234
2014-07-31,61.164588928222656
2014-08-01,61.333160400390625
2014-08-04,61.65160369873047
2014-08-05,62.56000900268555
2014-08-06,62.775428771972656
2014-08-07,62.953369140625
2014-08-08,62.86907958984375
2014-08-11,61.745243072509766
2014-08-12,61.25824737548828
2014-08-13,62.17605209350586
2014-08-14,62.934627532958984
2014-08-15,63.44038009643555
2014-08-18,64.49864196777344
2014-08-19,64.3300552368164
2014-08-20,64.18021392822266
2014-08-21,64.10528564453125
2014-08-22,64.8638687133789
2014-08-25,64.40496826171875
2014-08-26,64.8732681274414
2014-08-27,64.85453033447266
2014-08-28,64.60164642333984
2014-08-29,65.38834381103516
2014-09-02,65.69737243652344
2014-09-03,64.7608642578125
2014-09-04,63.75878143310547
2014-09-05,64.84514617919922
2014-09-08,65.7723159790039
2014-09-09,66.21246337890625
2014-09-10,66.334228515625
2014-09-11,67.75774383544922
2014-09-12,67.01791381835938
2014-09-15,66.81187438964844
2014-09-16,67.14900970458984
2014-09-17,66.94296264648438
2014-09-18,67.76710510253906
2014-09-19,68.8160171508789
2014-09-22,68.01998138427734
2014-09-23,67.5048828125
2014-09-24,68.4788818359375
2014-09-25,66.99916076660156
2014-09-26,66.68074798583984
2014-09-29,67.21455383300781
2014-09-30,66.04391479492188
2014-10-01,64.10528564453125
2014-10-02,64.96688842773438
2014-10-03,66.72758483886719
2014-10-06,66.40914916992188
2014-10-07,66.48405456542969
2014-10-08,67.51425170898438
2014-10-09,65.0699234008789
2014-10-10,64.67657470703125
2014-10-13,62.794158935546875
2014-10-14,62.728580474853516
2014-10-15,60.72444534301758
2014-10-16,63.899261474609375
2014-10-17,65.03245544433594
2014-10-20,65.98770141601562
2014-10-21,67.06470489501953
2014-10-22,65.78167724609375
2014-10-23,66.83058166503906
2014-10-24,67.49551391601562
2014-10-27,66.8680648803711
2014-10-28,66.75567626953125
2014-10-29,65.48197937011719
2014-10-30,64.9949951171875
2014-10-31,65.60374450683594
2014-11-03,65.7723159790039
2014-11-04,64.93881225585938
2014-11-05,63.54338836669922
2014-11-06,64.59228515625
2014-11-07,61.57667541503906
2014-11-10,61.57667541503906
2014-11-11,61.82018280029297
2014-11-12,60.72444534301758
2014-11-13,60.65886688232422
2014-11-14,58.94503402709961
2014-11-17,61.55795669555664
2014-11-18,62.962745666503906
2014-11-19,62.7848014831543
2014-11-20,63.5621223449707
2014-11-21,64.12403869628906
2014-11-24,65.02310180664062
2014-11-25,65.18231964111328
2014-11-26,65.0699234008789
2014-11-28,65.26656341552734
2014-12-01,64.3300552368164
2014-12-02,64.57357025146484
2014-12-03,66.11882019042969
2014-12-04,67.92633819580078
2014-12-05,69.30302429199219
2014-12-08,69.63080596923828
2014-12-09,69.19064331054688
2014-12-10,67.99188232421875
2014-12-11,68.89094543457031
2014-12-12,68.31031036376953
2014-12-15,68.82540130615234
2014-12-16,67.86077117919922
2014-12-17,67.97315216064453
2014-12-18,69.50906372070312
2014-12-19,69.74320220947266
2014-12-22,70.20208740234375
2014-12-23,70.23953247070312
2014-12-24,70.13652801513672
2014-12-26,70.07095336914062
2014-12-29,69.8462142944336
2014-12-30,69.55589294433594
2014-12-31,68.73171997070312
2015-01-02,69.27494049072266
2015-01-05,67.25203704833984
2015-01-06,67.13964080810547
2015-01-07,68.35712432861328
2015-01-08,70.17398834228516
2015-01-09,69.9117660522461
2015-01-12,67.61727142333984
2015-01-13,67.56108093261719
2015-01-14,65.98770141601562
2015-01-15,65.6224594116211
2015-01-16,65.4070816040039
2015-01-20,63.552757263183594
2015-01-21,64.8732681274414
2015-01-22,65.9315414428711
2015-01-23,64.28324890136719
2015-01-26,68.36650085449219
2015-01-27,67.82333374023438
2015-01-28,66.96170806884766
2015-01-29,67.60791015625
2015-01-30,66.30615234375
2015-02-02,65.72549438476562
2015-02-03,65.45389556884766
2015-02-04,64.58292388916016
2015-02-05,64.47991943359375
2015-02-06,63.665138244628906
2015-02-09,62.99082565307617
2015-02-10,64.6297607421875
2015-02-11,64.59228515625
2015-02-12,64.63912200927734
2015-02-13,64.18959045410156
2015-02-17,64.92008209228516
2015-02-18,64.62037658691406
2015-02-19,65.18231964111328
2015-02-20,65.36023712158203
2015-02-23,66.3623275756836
2015-02-24,65.94088745117188
2015-02-25,66.4747085571289
2015-02-26,67.68283081054688
2015-02-27,66.99916076660156
2015-03-02,67.42060089111328
2015-03-03,66.29678344726562
2015-03-04,70.17398834228516
2015-03-05,68.28221130371094
2015-03-06,68.19791412353516
