,MU
2014-01-02,21.230403900146484
2014-01-03,20.554088592529297
2014-01-06,20.260038375854492
2014-01-07,21.299013137817383
2014-01-08,23.39657211303711
2014-01-09,22.77906608581543
2014-01-10,23.239744186401367
2014-01-13,22.867280960083008
2014-01-14,23.200536727905273
2014-01-15,22.867280960083008
2014-01-16,22.67124366760254
2014-01-17,21.936120986938477
2014-01-21,22.66144561767578
2014-01-22,23.180932998657227
2014-01-23,23.17112922668457
2014-01-24,22.465412139892578
2014-01-27,22.44580841064453
2014-01-28,22.592836380004883
2014-01-29,22.259580612182617
2014-01-30,22.98489761352539
2014-01-31,22.583032608032227
2014-02-03,22.357589721679688
2014-02-04,22.543825149536133
2014-02-05,22.847679138183594
2014-02-06,23.63180923461914
2014-02-07,24.023874282836914
2014-02-10,24.376737594604492
2014-02-11,24.21990966796875
2014-02-12,24.39634132385254
2014-02-13,24.415945053100586
2014-02-14,24.58257484436035
2014-02-18,24.91582679748535
2014-02-19,24.91582679748535
2014-02-20,24.984439849853516
2014-02-21,24.58257484436035
2014-02-24,24.259117126464844
2014-02-25,23.778837203979492
2014-02-26,23.739625930786133
2014-02-27,23.710224151611328
2014-02-28,23.710224151611328
2014-03-03,23.994470596313477
2014-03-04,24.611976623535156
2014-03-05,24.3375301361084
2014-03-06,24.278722763061523
2014-03-07,23.935659408569336
2014-03-10,24.357131958007812
2014-03-11,24.180702209472656
2014-03-12,24.34733009338379
2014-03-13,23.63180923461914
2014-03-14,23.484785079956055
2014-03-17,23.455379486083984
2014-03-18,24.0042724609375
2014-03-19,23.50438690185547
2014-03-20,23.533796310424805
2014-03-21,23.19073486328125
2014-03-24,23.014307022094727
2014-03-25,23.06331443786621
2014-03-26,22.377193450927734
2014-03-27,21.798898696899414
2014-03-28,21.475446701049805
2014-03-31,23.19073486328125
2014-04-01,23.955265045166016
2014-04-02,23.86705207824707
2014-04-03,23.52399253845215
2014-04-04,22.13215446472168
2014-04-07,21.27941131591797
2014-04-08,21.76949119567871
2014-04-09,22.151758193969727
2014-04-10,21.25000762939453
2014-04-11,20.710912704467773
2014-04-14,21.465641021728516
2014-04-15,21.730287551879883
2014-04-16,22.03413963317871
2014-04-17,23.43577766418457
2014-04-21,24.817808151245117
2014-04-22,25.660757064819336
2014-04-23,25.729366302490234
2014-04-24,25.641151428222656
2014-04-25,24.758996963500977
2014-04-28,24.092487335205078
2014-04-29,24.602174758911133
2014-04-30,25.601945877075195
2014-05-01,25.729366302490234
2014-05-02,25.788177490234375
2014-05-05,26.209646224975586
2014-05-06,26.150836944580078
2014-05-07,25.895992279052734
2014-05-08,26.395877838134766
2014-05-09,26.307662963867188
2014-05-12,26.96437644958496
2014-05-13,27.081995010375977
2014-05-14,26.3272705078125
2014-05-15,25.347103118896484
2014-05-16,25.513731002807617
2014-05-19,26.40567970275879
2014-05-20,26.02341651916504
2014-05-21,26.45469093322754
2014-05-22,26.631120681762695
2014-05-23,26.787946701049805
2014-05-27,27.503467559814453
2014-05-28,28.042558670043945
2014-05-29,28.013154983520508
2014-05-30,28.0229549407959
2014-06-02,28.091567993164062
2014-06-03,28.101367950439453
2014-06-04,28.395418167114258
2014-06-05,28.46403694152832
2014-06-06,28.954113006591797
2014-06-09,28.424823760986328
2014-06-10,28.924707412719727
2014-06-11,30.375354766845703
2014-06-12,30.247936248779297
2014-06-13,30.551782608032227
2014-06-16,31.27710723876953
2014-06-17,31.610363006591797
2014-06-18,31.42413330078125
2014-06-19,31.179094314575195
2014-06-20,31.218297958374023
2014-06-23,30.639999389648438
2014-06-24,31.855403900146484
2014-06-25,31.698585510253906
2014-06-26,31.36532211303711
2014-06-27,30.88504409790039
2014-06-30,32.29648208618164
2014-07-01,33.306053161621094
2014-07-02,33.090415954589844
2014-07-03,33.06101608276367
2014-07-07,32.2082633972168
2014-07-08,32.47290802001953
2014-07-09,32.237667083740234
2014-07-10,32.120052337646484
2014-07-11,32.14945602416992
2014-07-14,32.92378234863281
2014-07-15,33.34526443481445
2014-07-16,33.95296096801758
2014-07-17,32.394493103027344
2014-07-18,32.49250793457031
2014-07-21,32.41409683227539
2014-07-22,32.96299362182617
2014-07-23,33.012001037597656
2014-07-24,33.208045959472656
2014-07-25,32.75716781616211
2014-07-28,31.34571647644043
2014-07-29,31.49274444580078
2014-07-30,31.884811401367188
2014-07-31,29.944080352783203
2014-08-01,30.473371505737305
2014-08-04,31.061471939086914
2014-08-05,30.473371505737305
2014-08-06,30.071504592895508
2014-08-07,29.09133529663086
2014-08-08,29.444198608398438
2014-08-11,30.130311965942383
2014-08-12,30.091106414794922
2014-08-13,30.75761604309082
2014-08-14,30.424362182617188
2014-08-15,30.865440368652344
2014-08-18,31.404529571533203
2014-08-19,31.757389068603516
2014-08-20,32.6395378112793
2014-08-21,32.53172302246094
2014-08-22,32.629737854003906
2014-08-25,32.551326751708984
2014-08-26,32.22787094116211
2014-08-27,32.335693359375
2014-08-28,32.15925979614258
2014-08-29,31.95342445373535
2014-09-02,30.88504409790039
2014-09-03,31.051671981811523
2014-09-04,31.482942581176758
2014-09-05,32.28667449951172
2014-09-08,32.48271560668945
2014-09-09,31.34571647644043
2014-09-10,31.453536987304688
2014-09-11,31.404529571533203
2014-09-12,30.904638290405273
2014-09-15,29.42459487915039
2014-09-16,30.826236724853516
2014-09-17,31.34571647644043
2014-09-18,31.835805892944336
2014-09-19,31.002662658691406
2014-09-22,29.993093490600586
2014-09-23,30.58119010925293
2014-09-24,31.580963134765625
2014-09-25,31.071273803710938
2014-09-26,33.15903091430664
2014-09-29,33.815731048583984
2014-09-30,33.58049774169922
2014-10-01,32.835575103759766
2014-10-02,33.139427185058594
2014-10-03,33.266845703125
2014-10-06,31.92403221130371
2014-10-07,31.23790168762207
2014-10-08,31.678974151611328
2014-10-09,30.03229522705078
2014-10-10,27.23882293701172
2014-10-13,26.493892669677734
2014-10-14,26.84675407409668
2014-10-15,26.9937801361084
2014-10-16,27.738704681396484
2014-10-17,28.199386596679688
2014-10-20,29.10114097595215
2014-10-21,30.571388244628906
2014-10-22,29.96368408203125
2014-10-23,30.2773380279541
2014-10-24,30.443965911865234
2014-10-27,31.65937042236328
2014-10-28,31.963218688964844
2014-10-29,31.6397647857666
2014-10-30,31.18889045715332
2014-10-31,32.43370819091797
2014-11-03,32.845367431640625
2014-11-04,32.70814895629883
2014-11-05,33.04140853881836
2014-11-06,32.68854904174805
2014-11-07,32.355289459228516
2014-11-10,32.43370819091797
2014-11-11,32.54152297973633
2014-11-12,32.25727462768555
2014-11-13,32.28667449951172
2014-11-14,31.9730167388916
2014-11-17,31.64957046508789
2014-11-18,32.21807098388672
2014-11-19,32.3062744140625
2014-11-20,32.551326751708984
