,BDX
2014-01-02,90.33606719970703
2014-01-03,90.52641296386719
2014-01-06,90.59264373779297
2014-01-07,91.90043640136719
2014-01-08,91.94181060791016
2014-01-09,92.82748413085938
2014-01-10,93.15023803710938
2014-01-13,91.92523956298828
2014-01-14,92.4549789428711
2014-01-15,92.5542984008789
2014-01-16,92.69502258300781
2014-01-17,92.13216400146484
2014-01-21,92.248046875
2014-01-22,92.3390884399414
2014-01-23,91.37896728515625
2014-01-24,89.18553924560547
2014-01-27,88.48199462890625
2014-01-28,89.56625366210938
2014-01-29,89.1772689819336
2014-01-30,89.37589263916016
2014-01-31,89.49178314208984
2014-02-03,87.24041748046875
2014-02-04,87.74530792236328
2014-02-05,88.77167510986328
2014-02-06,88.70547485351562
2014-02-07,91.14720916748047
2014-02-10,91.82592010498047
2014-02-11,93.522705078125
2014-02-12,93.78760528564453
2014-02-13,94.64014434814453
2014-02-14,94.68978881835938
2014-02-18,95.49264526367188
2014-02-19,94.35044860839844
2014-02-20,95.61683654785156
2014-02-21,95.16986846923828
2014-02-24,95.18641662597656
2014-02-25,94.79740142822266
2014-02-26,95.09534454345703
2014-02-27,95.26919555664062
2014-02-28,95.3685073852539
2014-03-03,95.1367416381836
2014-03-04,96.5935287475586
2014-03-05,96.24589538574219
2014-03-06,95.76769256591797
2014-03-07,96.10867309570312
2014-03-10,96.14193725585938
2014-03-11,95.91739654541016
2014-03-12,96.02550506591797
2014-03-13,95.79266357421875
2014-03-14,95.92568969726562
2014-03-17,96.15026092529297
2014-03-18,97.13986206054688
2014-03-19,96.18350982666016
2014-03-20,96.18350982666016
2014-03-21,95.27706146240234
2014-03-24,94.43716430664062
2014-03-25,95.06083679199219
2014-03-26,95.24381256103516
2014-03-27,95.75105285644531
2014-03-28,96.08372497558594
2014-03-31,97.36438751220703
2014-04-01,97.51409912109375
2014-04-02,97.43093872070312
2014-04-03,97.63883209228516
2014-04-04,96.74899291992188
2014-04-07,96.00054931640625
2014-04-08,94.59513092041016
2014-04-09,96.03382873535156
2014-04-10,93.67204284667969
2014-04-11,92.45794677734375
2014-04-14,93.74691009521484
2014-04-15,94.60348510742188
2014-04-16,93.91323852539062
2014-04-17,94.1044921875
2014-04-21,94.91114044189453
2014-04-22,94.96102905273438
2014-04-23,94.55354309082031
2014-04-24,94.83631896972656
2014-04-25,93.60553741455078
2014-04-28,93.81343078613281
2014-04-29,93.28952026367188
2014-04-30,93.99639129638672
2014-05-01,92.79888916015625
2014-05-02,93.63880920410156
2014-05-05,94.37895202636719
2014-05-06,95.08580017089844
2014-05-07,95.91739654541016
2014-05-08,96.88204956054688
2014-05-09,97.60553741455078
2014-05-12,98.12945556640625
2014-05-13,97.79683685302734
2014-05-14,97.47250366210938
2014-05-15,96.28331756591797
2014-05-16,96.75728607177734
2014-05-19,96.55773162841797
2014-05-20,95.95896911621094
2014-05-21,96.46627044677734
2014-05-22,96.08372497558594
2014-05-23,96.21676635742188
2014-05-27,96.93195343017578
2014-05-28,97.24795532226562
2014-05-29,97.2978286743164
2014-05-30,97.8800048828125
2014-06-02,98.17103576660156
2014-06-03,98.35401153564453
2014-06-04,99.14401245117188
2014-06-05,99.223388671875
2014-06-06,99.63274383544922
2014-06-09,100.52664184570312
2014-06-10,99.79146575927734
2014-06-11,99.46566772460938
2014-06-12,98.74720001220703
2014-06-13,98.27935028076172
2014-06-16,98.76390075683594
2014-06-17,98.35452270507812
2014-06-18,98.98109436035156
2014-06-19,98.83071899414062
2014-06-20,98.96440124511719
2014-06-23,98.98946380615234
2014-06-24,98.49657440185547
2014-06-25,99.61602783203125
2014-06-26,99.97528076171875
2014-06-27,99.91679382324219
2014-06-30,98.83071899414062
2014-07-01,100.06714630126953
2014-07-02,100.14234924316406
2014-07-03,100.35122680664062
2014-07-07,100.42642211914062
2014-07-08,100.06714630126953
2014-07-09,99.80818176269531
2014-07-10,99.30693817138672
2014-07-11,99.7162857055664
2014-07-14,99.81653594970703
2014-07-15,99.44062042236328
2014-07-16,99.44062042236328
2014-07-17,98.24593353271484
2014-07-18,99.08973693847656
2014-07-21,98.4464340209961
2014-07-22,98.78060150146484
2014-07-23,99.08973693847656
2014-07-24,98.98946380615234
2014-07-25,98.88922119140625
2014-07-28,99.2651596069336
2014-07-29,99.29856872558594
2014-07-30,99.73299407958984
2014-07-31,97.10974884033203
2014-08-01,96.97608947753906
2014-08-04,97.64442443847656
2014-08-05,96.7672348022461
2014-08-06,96.7588882446289
2014-08-07,95.89005279541016
2014-08-08,97.20164489746094
2014-08-11,97.42723846435547
2014-08-12,97.55254364013672
2014-08-13,98.36288452148438
2014-08-14,98.63024139404297
2014-08-15,97.97025299072266
2014-08-18,98.49657440185547
2014-08-19,98.76390075683594
2014-08-20,98.27935028076172
2014-08-21,98.18746185302734
2014-08-22,97.7196273803711
2014-08-25,98.12898254394531
2014-08-26,98.35452270507812
2014-08-27,97.61100769042969
2014-08-28,97.3102798461914
2014-08-29,97.88672637939453
2014-09-02,97.619384765625
2014-09-03,97.80316162109375
2014-09-04,97.26012420654297
2014-09-05,97.54972839355469
2014-09-08,96.64319610595703
2014-09-09,96.98733520507812
2014-09-10,96.55091094970703
2014-09-11,96.6851806640625
2014-09-12,95.44295501708984
2014-09-15,95.73670959472656
2014-09-16,95.92974853515625
2014-09-17,96.1228256225586
2014-09-18,96.53412628173828
2014-09-19,95.43452453613281
2014-09-22,94.63716125488281
2014-09-23,94.53645324707031
2014-09-24,95.45133209228516
2014-09-25,95.4933090209961
2014-09-26,95.78710174560547
