,MDLZ
2014-01-02,27.901491165161133
2014-01-03,27.8533992767334
2014-01-06,27.677061080932617
2014-01-07,27.901491165161133
2014-01-08,27.909509658813477
2014-01-09,28.342344284057617
2014-01-10,28.69501304626465
2014-01-13,28.214096069335938
2014-01-14,28.374391555786133
2014-01-15,28.61486053466797
2014-01-16,28.61486053466797
2014-01-17,28.254167556762695
2014-01-21,27.612943649291992
2014-01-22,27.612943649291992
2014-01-23,27.612943649291992
2014-01-24,26.971710205078125
2014-01-27,26.939647674560547
2014-01-28,27.035837173461914
2014-01-29,26.44269561767578
2014-01-30,26.394603729248047
2014-01-31,26.258338928222656
2014-02-03,25.713293075561523
2014-02-04,25.657188415527344
2014-02-05,25.721303939819336
2014-02-06,26.210250854492188
2014-02-07,26.394603729248047
2014-02-10,26.546894073486328
2014-02-11,26.675134658813477
2014-02-12,26.619029998779297
2014-02-13,27.260251998901367
2014-02-14,27.348432540893555
2014-02-18,27.404539108276367
2014-02-19,27.460643768310547
2014-02-20,27.636981964111328
2014-02-21,27.492708206176758
2014-02-24,27.572858810424805
2014-02-25,27.212175369262695
2014-02-26,27.188119888305664
2014-02-27,27.132020950317383
2014-02-28,27.27629280090332
2014-03-03,27.091936111450195
2014-03-04,27.50072479248047
2014-03-05,27.51675796508789
2014-03-06,27.95760726928711
2014-03-07,28.117897033691406
2014-03-10,28.117897033691406
2014-03-11,28.029739379882812
2014-03-12,27.973628997802734
2014-03-13,27.677061080932617
2014-03-14,27.45262908935547
2014-03-17,27.45262908935547
2014-03-18,27.572858810424805
2014-03-19,27.372474670410156
2014-03-20,27.460643768310547
2014-03-21,27.356443405151367
2014-03-24,27.123998641967773
2014-03-25,27.484691619873047
2014-03-26,27.388500213623047
2014-03-27,27.533374786376953
2014-03-28,27.686294555664062
2014-03-31,27.807022094726562
2014-04-01,28.024330139160156
2014-04-02,28.10481071472168
2014-04-03,27.984081268310547
2014-04-04,27.79897689819336
2014-04-07,27.549482345581055
2014-04-08,27.84726333618164
2014-04-09,28.12895965576172
2014-04-10,27.935792922973633
2014-04-11,27.613862991333008
2014-04-14,27.726543426513672
2014-04-15,27.573617935180664
2014-04-16,27.984081268310547
2014-04-17,27.88750457763672
2014-04-21,27.992137908935547
2014-04-22,28.193334579467773
2014-04-23,28.257734298706055
2014-04-24,28.410646438598633
2014-04-25,28.442842483520508
2014-04-28,28.925748825073242
2014-04-29,28.652097702026367
2014-04-30,28.692337036132812
2014-05-01,28.676240921020508
2014-05-02,28.55552101135254
2014-05-05,28.660140991210938
2014-05-06,28.346267700195312
2014-05-07,30.664182662963867
2014-05-08,30.41468620300293
2014-05-09,30.55150604248047
2014-05-12,30.25371551513672
2014-05-13,30.462970733642578
2014-05-14,30.261764526367188
2014-05-15,29.972034454345703
2014-05-16,30.189332962036133
2014-05-19,30.084707260131836
2014-05-20,30.116899490356445
2014-05-21,30.285903930664062
2014-05-22,30.012279510498047
2014-05-23,29.972034454345703
2014-05-27,30.124940872192383
2014-05-28,30.10079574584961
2014-05-29,30.165185928344727
2014-05-30,30.277873992919922
2014-06-02,30.39858055114746
2014-06-03,30.51931381225586
2014-06-04,30.71246910095215
2014-06-05,30.76880645751953
2014-06-06,30.76880645751953
2014-06-09,30.640037536621094
2014-06-10,30.382490158081055
2014-06-11,30.261764526367188
2014-06-12,30.02836799621582
2014-06-13,30.14104652404785
2014-06-16,29.980066299438477
2014-06-17,30.07664680480957
2014-06-18,30.229576110839844
2014-06-19,30.181278228759766
2014-06-20,30.173233032226562
2014-06-23,29.963970184326172
2014-06-24,29.891529083251953
2014-06-25,29.867399215698242
2014-06-26,30.400604248046875
2014-06-27,30.134002685546875
2014-06-30,30.384437561035156
2014-07-01,30.594493865966797
2014-07-02,30.62681007385254
2014-07-03,30.675273895263672
2014-07-07,30.659116744995117
2014-07-08,30.76414680480957
2014-07-09,30.707599639892578
2014-07-10,30.69142723083496
2014-07-11,31.0388126373291
2014-07-14,31.15192985534668
2014-07-15,30.780309677124023
2014-07-16,30.81260871887207
2014-07-17,30.69142723083496
2014-07-18,31.087289810180664
2014-07-21,30.91764259338379
2014-07-22,31.111530303955078
2014-07-23,30.93379020690918
2014-07-24,30.949949264526367
2014-07-25,30.844932556152344
2014-07-28,30.87725257873535
2014-07-29,30.707599639892578
2014-07-30,29.867406845092773
2014-07-31,29.099903106689453
2014-08-01,29.350357055664062
2014-08-04,29.447296142578125
2014-08-05,29.051429748535156
2014-08-06,28.809062957763672
2014-08-07,28.332427978515625
2014-08-08,28.66364860534668
2014-08-11,28.88985824584961
2014-08-12,28.81715202331543
2014-08-13,28.922178268432617
2014-08-14,28.841384887695312
2014-08-15,28.90601921081543
2014-08-18,29.116069793701172
2014-08-19,29.22108268737793
2014-08-20,29.245325088500977
2014-08-21,29.213010787963867
2014-08-22,28.962566375732422
2014-08-25,29.20493507385254
2014-08-26,29.140302658081055
2014-08-27,29.277645111083984
2014-08-28,29.31804084777832
2014-08-29,29.237255096435547
2014-09-02,28.873689651489258
2014-09-03,28.938335418701172
2014-09-04,28.679805755615234
2014-09-05,28.833311080932617
2014-09-08,28.534395217895508
2014-09-09,28.70404815673828
2014-09-10,28.760602951049805
2014-09-11,28.881778717041016
2014-09-12,28.534395217895508
2014-09-15,28.623262405395508
2014-09-16,28.71212387084961
2014-09-17,28.61518669128418
2014-09-18,28.930248260498047
2014-09-19,28.81715202331543
2014-09-22,28.300100326538086
2014-09-23,27.976951599121094
2014-09-24,28.493988037109375
2014-09-25,28.065824508666992
2014-09-26,27.952224731445312
2014-09-29,27.749378204345703
2014-09-30,27.806175231933594
2014-10-01,27.384252548217773
2014-10-02,27.457277297973633
2014-10-03,27.789949417114258
2014-10-06,27.92787742614746
2014-10-07,27.522188186645508
2014-10-08,27.90354347229004
2014-10-09,27.303117752075195
2014-10-10,27.173294067382812
2014-10-13,26.759490966796875
2014-10-14,26.613439559936523
2014-10-15,26.507953643798828
2014-10-16,26.045467376708984
2014-10-17,26.467390060424805
2014-10-20,26.727031707763672
2014-10-21,26.96233558654785
2014-10-22,27.497848510742188
2014-10-23,27.676362991333008
2014-10-24,27.887313842773438
2014-10-27,28.179410934448242
2014-10-28,28.6337890625
2014-10-29,28.3416805267334
2014-10-30,28.52830696105957
2014-10-31,28.60944175720215
2014-11-03,28.731149673461914
2014-11-04,28.42282485961914
2014-11-05,30.142967224121094
2014-11-06,30.70281982421875
2014-11-07,30.63790512084961
2014-11-10,30.751493453979492
2014-11-11,30.646028518676758
2014-11-12,30.767730712890625
2014-11-13,31.01926040649414
2014-11-14,30.96245765686035
2014-11-17,31.132863998413086
2014-11-18,31.400609970092773
2014-11-19,31.72517204284668
2014-11-20,31.587234497070312
2014-11-21,31.644031524658203
2014-11-24,31.63592529296875
2014-11-25,31.449302673339844
2014-11-26,31.644031524658203
2014-11-28,31.806299209594727
2014-12-01,31.627803802490234
2014-12-02,31.554779052734375
2014-12-03,31.376266479492188
2014-12-04,31.165311813354492
2014-12-05,31.238330841064453
2014-12-08,31.027381896972656
2014-12-09,31.287019729614258
2014-12-10,30.921892166137695
2014-12-11,30.938125610351562
2014-12-12,30.207874298095703
2014-12-15,29.75349998474121
2014-12-16,29.226093292236328
2014-12-17,29.209867477416992
2014-12-18,29.680469512939453
2014-12-19,30.264663696289062
2014-12-22,30.42694664001465
2014-12-23,30.491863250732422
2014-12-24,30.532421112060547
2014-12-26,30.63790512084961
2014-12-29,30.4179744720459
2014-12-30,30.157289505004883
2014-12-31,29.595195770263672
2015-01-02,29.969921112060547
2015-01-05,29.52187728881836
2015-01-06,29.318233489990234
2015-01-07,30.238744735717773
2015-01-08,30.62161636352539
2015-01-09,30.320209503173828
2015-01-12,30.035093307495117
2015-01-13,29.839584350585938
2015-01-14,29.77440643310547
2015-01-15,29.76626205444336
2015-01-16,30.09210968017578
2015-01-20,30.157289505004883
2015-01-21,30.263179779052734
2015-01-22,30.62161636352539
2015-01-23,30.09210968017578
2015-01-26,29.798858642578125
2015-01-27,29.39154052734375
2015-01-28,29.057544708251953
2015-01-29,29.11457061767578
2015-01-30,28.707263946533203
2015-02-02,29.130855560302734
2015-02-03,29.3752498626709
2015-02-04,29.342662811279297
2015-02-05,29.538166046142578
2015-02-06,29.253049850463867
2015-02-09,29.09013557434082
2015-02-10,29.171592712402344
2015-02-11,29.929189682006836
2015-02-12,30.124696731567383
2015-02-13,29.961772918701172
2015-02-17,30.263179779052734
2015-02-18,30.09210968017578
2015-02-19,30.13283920288086
2015-02-20,30.11655044555664
2015-02-23,30.13283920288086
2015-02-24,30.149137496948242
2015-02-25,29.8640193939209
2015-02-26,29.912893295288086
2015-02-27,30.09210968017578
2015-03-02,30.051380157470703
2015-03-03,29.84772300720215
2015-03-04,29.684803009033203
2015-03-05,29.741819381713867
2015-03-06,28.69097328186035
2015-03-09,28.853883743286133
2015-03-10,28.104440689086914
2015-03-11,27.974103927612305
2015-03-12,28.511741638183594
2015-03-13,28.11258316040039
2015-03-16,28.2755069732666
2015-03-17,27.990388870239258
2015-03-18,28.528051376342773
2015-03-19,28.23478126525879
2015-03-20,28.299949645996094
2015-03-23,28.756141662597656
2015-03-24,28.5198917388916
2015-03-25,29.171592712402344
2015-03-26,28.57692527770996
2015-03-27,29.084152221679688
2015-03-30,29.86135482788086
2015-03-31,29.52593994140625
2015-04-01,29.69774627685547
2015-04-02,29.967710494995117
2015-04-06,30.27043342590332
2015-04-07,30.27043342590332
2015-04-08,30.58949089050293
2015-04-09,30.58131217956543
2015-04-10,30.597675323486328
2015-04-13,30.47494888305664
2015-04-14,30.654943466186523
2015-04-15,30.72040367126465
2015-04-16,30.524036407470703
2015-04-17,30.245882034301758
2015-04-20,30.262243270874023
2015-04-21,29.88591194152832
2015-04-22,30.131349563598633
2015-04-23,30.114986419677734
2015-04-24,30.1231689453125
2015-04-27,30.1068115234375
2015-04-28,30.1068115234375
2015-04-29,31.661230087280273
2015-04-30,31.39124298095703
2015-05-01,31.620311737060547
2015-05-04,31.595781326293945
2015-05-05,31.3503360748291
2015-05-06,31.456707000732422
2015-05-07,31.89029312133789
2015-05-08,32.266632080078125
2015-05-11,32.17664337158203
2015-05-12,32.16028594970703
2015-05-13,32.16028594970703
2015-05-14,32.76567840576172
2015-05-15,33.09292984008789
2015-05-18,32.72477340698242
2015-05-19,32.9293098449707
2015-05-20,33.264747619628906
2015-05-21,32.978397369384766
2015-05-22,32.86386489868164
2015-05-26,32.675689697265625
2015-05-27,32.83931350708008
2015-05-28,33.10930633544922
2015-05-29,34.02559280395508
2015-06-01,33.28929138183594
2015-06-02,33.3792724609375
2015-06-03,33.567440032958984
2015-06-04,33.06840133666992
2015-06-05,32.741153717041016
2015-06-08,32.76567840576172
2015-06-09,32.90476608276367
2015-06-10,33.02748489379883
2015-06-11,33.01930618286133
2015-06-12,33.10930633544922
2015-06-15,32.81477737426758
2015-06-16,33.3302001953125
2015-06-17,33.37110137939453
2015-06-18,33.42018127441406
2015-06-19,33.57562255859375
