,DOW
2019-03-20,36.68448257446289
2019-03-21,36.0804443359375
2019-03-22,35.80051803588867
2019-03-25,36.205665588378906
2019-03-26,35.98468017578125
2019-03-27,36.90547561645508
2019-03-28,37.457950592041016
2019-03-29,38.03253173828125
2019-04-01,39.41004180908203
2019-04-02,41.435791015625
2019-04-03,41.89985656738281
2019-04-04,43.98454666137695
2019-04-05,42.16506576538086
2019-04-08,42.09877014160156
2019-04-09,41.45051956176758
2019-04-10,41.037994384765625
2019-04-11,40.433956146240234
2019-04-12,42.94588851928711
2019-04-15,42.562843322753906
2019-04-16,43.09321594238281
2019-04-17,42.96062850952149
2019-04-18,42.55547332763672
2019-04-22,42.64387512207031
2019-04-23,42.45970916748047
2019-04-24,41.23689651489258
2019-04-25,40.75808334350586
2019-04-26,40.69914627075195
2019-04-29,40.883304595947266
2019-04-30,41.78937911987305
2019-05-01,41.347389221191406
2019-05-02,38.82073211669922
2019-05-03,39.26271057128906
2019-05-06,39.38057327270508
2019-05-07,39.004886627197266
2019-05-08,38.658668518066406
2019-05-09,38.99015045166016
2019-05-10,39.09328079223633
2019-05-13,37.531612396240234
2019-05-14,38.658668518066406
2019-05-15,39.004886627197266
2019-05-16,39.0269775390625
2019-05-17,37.42111587524414
2019-05-20,36.8907356262207
2019-05-21,37.295894622802734
2019-05-22,36.98651123046875
2019-05-23,35.88154983520508
2019-05-24,36.24250411987305
2019-05-28,35.77105712890625
2019-05-29,35.88154983520508
2019-05-30,36.22533416748047
2019-05-31,34.94733810424805
2019-06-03,35.844173431396484
2019-06-04,37.31650161743164
2019-06-05,37.6229362487793
2019-06-06,38.16105270385742
2019-06-07,38.34041976928711
2019-06-10,38.5795783996582
2019-06-11,38.89347457885742
2019-06-12,39.22980117797851
2019-06-13,39.521270751953125
2019-06-14,38.22831344604492
2019-06-17,36.883033752441406
2019-06-18,37.07735824584961
2019-06-19,36.247764587402344
2019-06-20,36.56914520263672
2019-06-21,36.14311981201172
2019-06-24,37.054931640625
2019-06-25,37.13713836669922
2019-06-26,37.70515060424805
2019-06-27,38.04894256591797
2019-06-28,36.85314178466797
2019-07-01,37.48841094970703
2019-07-02,36.920406341552734
2019-07-03,36.86809158325195
2019-07-05,36.85314178466797
2019-07-08,36.2627067565918
2019-07-09,35.776912689208984
2019-07-10,35.537750244140625
2019-07-11,35.70964813232422
2019-07-12,37.152095794677734
2019-07-15,38.06388854980469
2019-07-16,39.10274887084961
2019-07-17,38.56462097167969
2019-07-18,38.676734924316406
2019-07-19,38.50484085083008
2019-07-22,38.02652359008789
2019-07-23,39.32695770263672
2019-07-24,39.45401382446289
2019-07-25,37.94430160522461
2019-07-26,36.70366668701172
2019-07-29,35.911441802978516
2019-07-30,36.17303085327149
2019-07-31,36.20292282104492
2019-08-01,35.014583587646484
2019-08-02,34.08037567138672
2019-08-05,33.46004867553711
2019-08-06,33.205936431884766
2019-08-07,33.549739837646484
2019-08-08,34.96974563598633
2019-08-09,34.857643127441406
2019-08-12,34.147640228271484
2019-08-13,35.014583587646484
2019-08-14,32.944366455078125
2019-08-15,32.42119598388672
2019-08-16,33.26573181152344
2019-08-19,34.08037567138672
2019-08-20,32.25677490234375
2019-08-21,32.346458435058594
2019-08-22,31.427186965942383
2019-08-23,30.425701141357425
2019-08-26,30.507904052734375
2019-08-27,30.769487380981445
2019-08-28,31.778451919555664
2019-08-29,32.19639205932617
2019-08-30,32.39396286010742
2019-09-03,31.763254165649418
2019-09-04,32.32556915283203
2019-09-05,32.94867706298828
2019-09-06,32.85749053955078
2019-09-09,33.776947021484375
2019-09-10,35.19793701171875
2019-09-11,35.62348175048828
2019-09-12,35.691864013671875
2019-09-13,36.62652969360352
2019-09-16,37.24203872680664
2019-09-17,36.47454833984375
2019-09-18,36.10220718383789
2019-09-19,36.200984954833984
2019-09-20,36.634124755859375
2019-09-23,36.40615463256836
2019-09-24,35.41070556640625
2019-09-25,36.23138427734375
2019-09-26,35.88943862915039
2019-09-27,35.76785659790039
2019-09-30,36.208595275878906
2019-10-01,34.93198013305664
2019-10-02,34.14170455932617
2019-10-03,34.43045425415039
2019-10-04,34.45325469970703
2019-10-07,34.324066162109375
2019-10-08,33.32101821899414
2019-10-09,33.44260025024414
2019-10-10,34.13409423828125
2019-10-11,35.813446044921875
2019-10-14,35.577880859375
2019-10-15,35.86664581298828
2019-10-16,35.80585479736328
2019-10-17,36.330177307128906
2019-10-18,36.444149017333984
2019-10-21,35.80585479736328
