,HPE
2015-10-19,7.5155158042907715
2015-10-20,7.660829544067383
2015-10-21,7.483728408813477
2015-10-22,7.697160243988037
2015-10-23,7.719863414764404
2015-10-26,7.456480979919434
2015-10-27,7.143146991729736
2015-10-28,7.392905235290527
2015-10-29,7.243051052093506
2015-10-30,6.684494972229004
2015-11-02,6.580049514770508
2015-11-03,6.521015644073486
2015-11-04,6.2031378746032715
2015-11-05,6.030576705932617
2015-11-06,6.539179801940918
2015-11-09,6.448358058929443
2015-11-10,6.543720245361328
2015-11-11,6.407488822937012
2015-11-12,6.2213029861450195
2015-11-13,6.080530166625977
2015-11-16,6.07598876953125
2015-11-17,6.003330707550049
2015-11-18,6.194056034088135
2015-11-19,6.257631778717041
2015-11-20,6.452897071838379
2015-11-23,6.289417743682861
2015-11-24,6.216762542724609
2015-11-25,6.412028789520264
2015-11-27,6.51647424697876
2015-11-30,6.748070240020752
2015-12-01,7.088652610778809
2015-12-02,6.788938999176025
2015-12-03,6.639082431793213
2015-12-04,6.9115495681762695
2015-12-07,7.041441440582275
2015-12-08,6.9138288497924805
2015-12-09,6.767986297607422
2015-12-10,6.708737373352051
2015-12-11,6.462629318237305
2015-12-14,6.581125259399414
2015-12-15,6.6358160972595215
2015-12-16,6.699621200561523
2015-12-17,6.521876335144043
2015-12-18,6.4535136222839355
2015-12-21,6.389706611633301
2015-12-22,6.407938003540039
2015-12-23,6.7953314781188965
2015-12-24,6.845463752746582
2015-12-28,6.9411725997924805
2015-12-29,6.927499294281006
2015-12-30,6.963960647583008
2015-12-31,6.927499294281006
2016-01-04,6.895597457885742
2016-01-05,6.8500213623046875
2016-01-06,6.745198726654053
2016-01-07,6.248423099517822
2016-01-08,6.170945167541504
2016-01-11,6.043332099914551
2016-01-12,6.043332099914551
2016-01-13,5.810897350311279
2016-01-14,5.924836158752441
2016-01-15,5.715188503265381
2016-01-19,5.614922046661377
2016-01-20,5.496425151824951
2016-01-21,5.655939102172852
2016-01-22,6.0843505859375
2016-01-25,6.0797929763793945
2016-01-26,6.19828987121582
2016-01-27,6.1025824546813965
2016-01-28,6.011430740356445
2016-01-29,6.271210670471191
2016-02-01,6.284883499145508
2016-02-02,6.129928112030029
2016-02-03,6.0934648513793945
2016-02-04,6.312227725982666
2016-02-05,6.015987396240234
2016-02-08,5.701515197753906
2016-02-09,5.797225475311279
2016-02-10,5.861030578613281
2016-02-11,5.6513824462890625
2016-02-12,5.601248264312744
2016-02-16,5.619478702545166
2016-02-17,5.933950901031494
2016-02-18,6.166387557983398
2016-02-19,6.230194091796875
2016-02-22,6.289439678192139
2016-02-23,5.965853691101074
2016-02-24,6.166387557983398
2016-02-25,6.234751224517822
2016-02-26,6.125370025634766
2016-02-29,6.047891616821289
2016-03-01,6.052448272705078
2016-03-02,6.33501672744751
2016-03-03,6.19828987121582
2016-03-04,7.036881446838379
2016-03-07,7.304451942443848
2016-03-08,6.965987205505371
2016-03-09,7.084907531738281
2016-03-10,7.272435188293457
2016-03-11,7.469112396240234
2016-03-14,7.505703926086426
2016-03-15,7.670361518859863
2016-03-16,7.862462997436523
2016-03-17,7.848743438720703
2016-03-18,7.926497936248779
2016-03-21,8.10030746459961
2016-03-22,8.008827209472656
2016-03-23,7.985957622528076
2016-03-24,8.036271095275879
2016-03-28,8.008827209472656
2016-03-29,8.072864532470703
2016-03-30,8.182632446289062
2016-03-31,8.109451293945312
2016-04-01,8.415900230407715
2016-04-04,8.251241683959961
2016-04-05,8.0545654296875
2016-04-06,8.21465015411377
2016-04-07,8.114027976989746
2016-04-08,8.182632446289062
2016-04-11,8.109451293945312
2016-04-12,7.88533353805542
2016-04-13,8.004254341125488
2016-04-14,7.894479274749756
2016-04-15,7.958515167236328
2016-04-18,7.976809501647949
2016-04-19,7.88533353805542
2016-04-20,7.958515167236328
2016-04-21,7.985957622528076
2016-04-22,7.999678611755371
2016-04-25,7.871612548828125
2016-04-26,7.940218448638916
2016-04-27,7.9173479080200195
2016-04-28,7.789282321929932
2016-04-29,7.62005090713501
2016-05-02,7.501128673553467
2016-05-03,7.286157608032227
2016-05-04,7.286157608032227
2016-05-05,7.190107822418213
2016-05-06,7.217546463012695
2016-05-09,7.254140853881836
2016-05-10,7.267859935760498
2016-05-11,7.327322006225586
2016-05-12,7.272435188293457
2016-05-13,7.212974548339844
2016-05-16,7.29987907409668
2016-05-17,7.235845565795898
2016-05-18,7.167238712310791
2016-05-19,7.217546463012695
