,WMT
2014-01-02,21.007741928100586
2014-01-03,20.93852996826172
2014-01-06,20.821392059326172
2014-01-07,20.88528823852539
2014-01-08,20.720224380493164
2014-01-09,20.789445877075195
2014-01-10,20.776134490966797
2014-01-13,20.62970542907715
2014-01-14,20.754840850830078
2014-01-15,20.674972534179688
2014-01-16,20.435367584228516
2014-01-17,20.28362274169922
2014-01-21,20.190444946289062
2014-01-22,20.059993743896484
2014-01-23,19.956165313720703
2014-01-24,19.81239891052246
2014-01-27,19.740516662597656
2014-01-28,19.878952026367188
2014-01-29,19.72720718383789
2014-01-30,19.900257110595703
2014-01-31,19.881620407104492
2014-02-03,19.343852996826172
2014-02-04,19.36248207092285
2014-02-05,19.39975357055664
2014-02-06,19.386442184448242
2014-02-07,19.6340274810791
2014-02-10,19.636690139770508
2014-02-11,19.91356086730957
2014-02-12,19.956165313720703
2014-02-13,20.062650680541992
2014-02-14,20.177127838134766
2014-02-18,20.05466651916504
2014-02-19,19.9268741607666
2014-02-20,19.572795867919922
2014-02-21,19.46631622314453
2014-02-24,19.527542114257812
2014-02-25,19.527542114257812
2014-02-26,19.908233642578125
2014-02-27,19.84967041015625
2014-02-28,19.886947631835938
2014-03-03,19.73253631591797
2014-03-04,20.001419067382812
2014-03-05,19.91356086730957
2014-03-06,19.93486213684082
2014-03-07,19.983097076416016
2014-03-10,19.94289779663086
2014-03-11,20.07419204711914
2014-03-12,20.237638473510742
2014-03-13,20.07687759399414
2014-03-14,19.9027042388916
2014-03-17,20.0098876953125
2014-03-18,20.03399658203125
2014-03-19,19.929506301879883
2014-03-20,20.197450637817383
2014-03-21,20.39036750793457
2014-03-24,20.56720733642578
2014-03-25,20.5966796875
2014-03-26,20.42519760131836
2014-03-27,20.401081085205078
2014-03-28,20.36625099182129
2014-03-31,20.478782653808594
2014-04-01,20.56989097595215
2014-04-02,20.67974853515625
2014-04-03,20.75476837158203
2014-04-04,20.714576721191406
2014-04-07,20.714576721191406
2014-04-08,20.94767951965332
2014-04-09,20.891420364379883
2014-04-10,20.60203742980957
2014-04-11,20.497541427612305
2014-04-14,20.73332977294922
2014-04-15,20.5993595123291
2014-04-16,20.690460205078125
2014-04-17,20.8083553314209
2014-04-21,20.792280197143555
2014-04-22,20.78156280517578
2014-04-23,20.910171508789062
2014-04-24,20.982513427734375
2014-04-25,21.065580368041992
2014-04-28,21.371028900146484
2014-04-29,21.34691619873047
2014-04-30,21.357635498046875
2014-05-01,21.354951858520508
2014-05-02,21.199554443359375
2014-05-05,21.065580368041992
2014-05-06,20.902132034301758
2014-05-07,21.018064498901367
2014-05-08,21.214876174926758
2014-05-09,21.352371215820312
2014-05-12,21.33889389038086
2014-05-13,21.336193084716797
2014-05-14,21.22835350036621
2014-05-15,20.71340560913086
2014-05-16,20.76194190979004
2014-05-19,20.654109954833984
2014-05-20,20.40606689453125
2014-05-21,20.397985458374023
2014-05-22,20.32518768310547
2014-05-23,20.384498596191406
2014-05-27,20.379104614257812
2014-05-28,20.362930297851562
2014-05-29,20.484254837036133
2014-05-30,20.697240829467773
2014-06-02,20.694541931152344
2014-06-03,20.681058883666992
2014-06-04,20.79429054260254
2014-06-05,20.84551239013672
2014-06-06,20.815858840942383
2014-06-09,20.76194190979004
2014-06-10,20.656797409057617
2014-06-11,20.532785415649414
2014-06-12,20.416858673095703
2014-06-13,20.295536041259766
2014-06-16,20.311708450317383
2014-06-17,20.21735191345215
2014-06-18,20.408763885498047
2014-06-19,20.454591751098633
2014-06-20,20.40337371826172
2014-06-23,20.43303108215332
2014-06-24,20.48155975341797
2014-06-25,20.387195587158203
2014-06-26,20.195781707763672
2014-06-27,20.311708450317383
2014-06-30,20.238914489746094
2014-07-01,20.295536041259766
2014-07-02,20.387195587158203
2014-07-03,20.4222412109375
2014-07-07,20.508516311645508
2014-07-08,20.664888381958008
2014-07-09,20.815858840942383
2014-07-10,20.775421142578125
2014-07-11,20.710712432861328
2014-07-14,20.63792610168457
2014-07-15,20.71610450744629
2014-07-16,20.72149658203125
2014-07-17,20.654109954833984
2014-07-18,20.78350067138672
2014-07-21,20.697240829467773
2014-07-22,20.662189483642578
2014-07-23,20.75655174255371
2014-07-24,20.584009170532227
2014-07-25,20.48155975341797
2014-07-28,20.411462783813477
2014-07-29,20.33867073059082
2014-07-30,20.160728454589844
2014-07-31,19.837203979492188
2014-08-01,19.82642936706543
2014-08-04,19.82642936706543
2014-08-05,19.772512435913086
2014-08-06,20.136154174804688
2014-08-07,20.068307876586914
2014-08-08,20.263694763183594
2014-08-11,20.179569244384766
2014-08-12,20.141578674316406
2014-08-13,20.090011596679688
2014-08-14,20.187713623046875
2014-08-15,20.05474281311035
2014-08-18,20.21485137939453
2014-08-19,20.320688247680664
2014-08-20,20.342397689819336
2014-08-21,20.50250816345215
2014-08-22,20.551366806030273
2014-08-25,20.540498733520508
2014-08-26,20.49436378479004
2014-08-27,20.583921432495117
2014-08-28,20.59749412536621
2014-08-29,20.48894691467285
2014-09-02,20.55678367614746
2014-09-03,20.627342224121094
2014-09-04,20.77659797668457
2014-09-05,21.034412384033203
2014-09-08,20.768465042114258
2014-09-09,20.8254451751709
2014-09-10,20.763032913208008
2014-09-11,20.651769638061523
2014-09-12,20.562213897705078
2014-09-15,20.573068618774414
2014-09-16,20.711469650268555
2014-09-17,20.689762115478516
2014-09-18,20.68433380126953
2014-09-19,20.852582931518555
2014-09-22,20.708757400512695
2014-09-23,20.516084671020508
2014-09-24,20.917720794677734
2014-09-25,20.657194137573242
2014-09-26,20.757606506347656
2014-09-29,20.646339416503906
2014-09-30,20.752180099487305
2014-10-01,20.657194137573242
2014-10-02,20.68704605102539
2014-10-03,20.982839584350586
2014-10-06,20.990989685058594
2014-10-07,20.977420806884766
2014-10-08,21.232513427734375
2014-10-09,21.129392623901367
2014-10-10,21.24608039855957
2014-10-13,21.047983169555664
2014-10-14,21.161962509155273
2014-10-15,20.407529830932617
2014-10-16,20.03302764892578
2014-10-17,20.1090145111084
2014-10-20,20.391246795654297
2014-10-21,20.630056381225586
2014-10-22,20.632774353027344
2014-10-23,20.692476272583008
2014-10-24,20.727758407592773
2014-10-27,20.78474998474121
2014-10-28,20.719615936279297
2014-10-29,20.730470657348633
2014-10-30,20.746747970581055
2014-10-31,20.69789695739746
2014-11-03,20.70061683654785
2014-11-04,20.966562271118164
2014-11-05,21.085975646972656
2014-11-06,21.115825653076172
2014-11-07,21.3763427734375
2014-11-10,21.55817222595215
2014-11-11,21.44147491455078
2014-11-12,21.4930419921875
2014-11-13,22.507984161376953
2014-11-14,22.513412475585938
2014-11-17,22.678958892822266
2014-11-18,22.738662719726562
2014-11-19,23.064306259155273
2014-11-20,22.953041076660156
2014-11-21,22.9720458984375
2014-11-24,23.175567626953125
2014-11-25,23.053455352783203
2014-11-26,23.061595916748047
2014-11-28,23.75631332397461
2014-12-01,23.398099899291992
2014-12-02,23.44695281982422
2014-12-03,23.179515838623047
2014-12-04,23.13039207458496
2014-12-05,22.95574188232422
2014-12-08,22.98575782775879
2014-12-09,22.80292320251465
2014-12-10,22.644649505615234
2014-12-11,22.87660789489746
2014-12-12,22.871143341064453
2014-12-15,22.9066219329834
2014-12-16,22.639188766479492
2014-12-17,22.98575782775879
2014-12-18,23.45240592956543
2014-12-19,23.239547729492188
2014-12-22,23.572479248046875
2014-12-23,23.648893356323242
2014-12-24,23.58612632751465
2014-12-26,23.717113494873047
2014-12-29,23.6434326171875
2014-12-30,23.684368133544922
2014-12-31,23.43603515625
2015-01-02,23.441490173339844
2015-01-05,23.373268127441406
2015-01-06,23.553375244140625
2015-01-07,24.178300857543945
2015-01-08,24.68861198425293
2015-01-09,24.382970809936523
2015-01-12,24.5658016204834
2015-01-13,24.372055053710938
2015-01-14,23.635242462158203
2015-01-15,23.845373153686523
2015-01-16,23.678909301757812
2015-01-20,23.657081604003906
2015-01-21,23.6434326171875
2015-01-22,24.096433639526367
2015-01-23,24.15373992919922
2015-01-26,24.186487197875977
2015-01-27,23.88630485534668
2015-01-28,23.69255256652832
2015-01-29,23.938154220581055
2015-01-30,23.1904296875
2015-02-02,23.389646530151367
2015-02-03,23.5206298828125
2015-02-04,23.646163940429688
2015-02-05,23.81808090209961
2015-02-06,23.831727981567383
2015-02-09,23.4442195892334
2015-02-10,23.820812225341797
2015-02-11,23.561567306518555
2015-02-12,23.43876838684082
2015-02-13,23.416933059692383
2015-02-17,23.457862854003906
2015-02-18,23.54792022705078
2015-02-19,22.792001724243164
2015-02-20,23.004865646362305
2015-02-23,23.08673095703125
2015-02-24,23.07854461669922
2015-02-25,22.8056583404541
2015-02-26,22.86842155456543
2015-02-27,22.90389060974121
2015-03-02,22.912076950073242
2015-03-03,22.75107192993164
2015-03-04,22.535491943359375
2015-03-05,22.8056583404541
2015-03-06,22.538219451904297
2015-03-09,22.617361068725586
2015-03-10,22.396312713623047
2015-03-11,22.151979446411133
2015-03-12,22.48415756225586
2015-03-13,22.48415756225586
2015-03-16,22.865758895874023
2015-03-17,22.681821823120117
2015-03-18,22.657121658325195
2015-03-19,22.379838943481445
2015-03-20,22.852033615112305
2015-03-23,22.871253967285156
2015-03-24,22.79987144470215
2015-03-25,22.324928283691406
2015-03-26,22.48141860961914
2015-03-27,22.33316993713379
2015-03-30,22.657121658325195
2015-03-31,22.58024787902832
2015-04-01,22.157470703125
2015-04-02,22.16295623779297
2015-04-06,22.23433494567871
2015-04-07,22.09981918334961
2015-04-08,22.245317459106445
2015-04-09,22.193159103393555
2015-04-10,22.141002655029297
2015-04-13,22.042165756225586
2015-04-14,22.00373077392578
2015-04-15,21.89116859436035
2015-04-16,21.753902435302734
2015-04-17,21.38054656982422
2015-04-20,21.45191764831543
2015-04-21,21.421722412109375
2015-04-22,21.53153419494629
2015-04-23,21.737438201904297
2015-04-24,21.918622970581055
2015-04-27,21.789594650268555
2015-04-28,21.715473175048828
2015-04-29,21.38054656982422
2015-04-30,21.427215576171875
2015-05-01,21.578205108642578
2015-05-04,21.737438201904297
2015-05-05,21.449176788330078
2015-05-06,21.451934814453125
2015-05-07,21.556917190551758
2015-05-08,21.695051193237305
2015-05-11,21.57625961303711
2015-05-12,21.813844680786133
2015-05-13,21.59284019470215
2015-05-14,21.74754524230957
2015-05-15,21.891199111938477
2015-05-18,22.079063415527344
2015-05-19,21.114896774291992
2015-05-20,20.968475341796875
