,EQR
2014-01-02,30.72544288635254
2014-01-03,30.9854736328125
2014-01-06,31.227781295776367
2014-01-07,31.280973434448242
2014-01-08,31.56463623046875
2014-01-09,31.58237075805664
2014-01-10,31.659208297729492
2014-01-13,31.45235252380371
2014-01-14,31.611915588378906
2014-01-15,31.783302307128906
2014-01-16,31.848310470581055
2014-01-17,31.818769454956055
2014-01-21,32.161537170410156
2014-01-22,31.90151023864746
2014-01-23,31.777385711669922
2014-01-24,31.736021041870117
2014-01-27,31.535097122192383
2014-01-28,31.830595016479492
2014-01-29,31.883773803710938
2014-01-30,32.58705139160156
2014-01-31,32.72888946533203
2014-02-03,32.3861083984375
2014-02-04,32.72888946533203
2014-02-05,32.96527099609375
2014-02-06,33.37896728515625
2014-02-07,33.609466552734375
2014-02-10,34.0408821105957
2014-02-11,34.29499435424805
2014-02-12,34.40137481689453
2014-02-13,34.45457077026367
2014-02-14,34.62004089355469
2014-02-18,34.86827087402344
2014-02-19,34.566856384277344
2014-02-20,34.70869445800781
2014-02-21,34.69686508178711
2014-02-24,34.602317810058594
2014-02-25,34.744144439697266
2014-02-26,34.614131927490234
2014-02-27,34.490028381347656
2014-02-28,34.5550422668457
2014-03-03,34.58457946777344
2014-03-04,35.10466003417969
2014-03-05,34.720516204833984
2014-03-06,34.490028381347656
2014-03-07,34.425018310546875
2014-03-10,34.117698669433594
2014-03-11,34.318634033203125
2014-03-12,34.649593353271484
2014-03-13,34.218170166015625
2014-03-14,34.318634033203125
2014-03-17,34.49593734741211
2014-03-18,34.51958084106445
2014-03-19,33.85175704956055
2014-03-20,34.11408996582031
2014-03-21,34.0962028503418
2014-03-24,33.91734313964844
2014-03-25,34.477760314941406
2014-03-26,34.0604362487793
2014-03-27,34.0962028503418
2014-03-28,34.21543502807617
2014-03-31,34.573150634765625
2014-04-01,34.912994384765625
2014-04-02,35.30647277832031
2014-04-03,34.96067810058594
2014-04-04,35.27070236206055
2014-04-07,35.598609924316406
2014-04-08,35.80131149291992
2014-04-09,35.78938674926758
2014-04-10,35.27665710449219
2014-04-11,34.41814041137695
2014-04-14,34.62680435180664
2014-04-15,34.5850830078125
2014-04-16,34.83549118041992
2014-04-17,34.28102111816406
2014-04-21,34.722198486328125
2014-04-22,34.6566162109375
2014-04-23,34.48969268798828
2014-04-24,34.90106201171875
2014-04-25,34.97260284423828
2014-04-28,35.47340393066406
2014-04-29,35.36609649658203
2014-04-30,35.4376335144043
2014-05-01,35.527061462402344
2014-05-02,35.89669418334961
2014-05-05,36.24248504638672
2014-05-06,36.319984436035156
2014-05-07,36.68963623046875
2014-05-08,36.796939849853516
2014-05-09,36.83869171142578
2014-05-12,37.142738342285156
2014-05-13,36.79098129272461
2014-05-14,36.72540283203125
2014-05-15,36.64789581298828
2014-05-16,36.87445068359375
2014-05-19,36.7432975769043
2014-05-20,36.61213302612305
2014-05-21,36.391536712646484
2014-05-22,36.1530647277832
2014-05-23,36.35576629638672
2014-05-27,36.618080139160156
2014-05-28,36.480960845947266
2014-05-29,36.71347427368164
2014-05-30,36.844642639160156
2014-06-02,37.02946090698242
2014-06-03,37.08310317993164
2014-06-04,37.0413932800293
2014-06-05,37.667388916015625
2014-06-06,37.35139465332031
2014-06-09,36.796939849853516
2014-06-10,36.415382385253906
2014-06-11,36.528663635253906
