,CTSH
2014-01-02,44.522064208984375
2014-01-03,44.28782272338867
2014-01-06,44.08512496948242
2014-01-07,44.648193359375
2014-01-08,45.02205276489258
2014-01-09,44.83286666870117
2014-01-10,45.25629425048828
2014-01-13,44.238277435302734
2014-01-14,45.193233489990234
2014-01-15,45.50853729248047
2014-01-16,45.17970275878906
2014-01-17,44.74728012084961
2014-01-21,44.55809783935547
2014-01-22,45.28782653808594
2014-01-23,44.391441345214844
2014-01-24,43.819358825683594
2014-01-27,43.17973709106445
2014-01-28,43.58063507080078
2014-01-29,43.161712646484375
2014-01-30,44.41395568847656
2014-01-31,43.652687072753906
2014-02-03,42.87343215942383
2014-02-04,43.69776153564453
2014-02-05,41.82388687133789
2014-02-06,43.01306915283203
2014-02-07,43.6932487487793
2014-02-10,43.26531219482422
2014-02-11,44.02656173706055
2014-02-12,44.346397399902344
2014-02-13,44.94096755981445
2014-02-14,45.19773483276367
2014-02-18,45.07611846923828
2014-02-19,45.04008102416992
2014-02-20,45.341880798339844
2014-02-21,46.27429962158203
2014-02-24,46.954471588134766
2014-02-25,46.51752853393555
2014-02-26,46.53105545043945
2014-02-27,46.48600387573242
2014-02-28,46.8734016418457
2014-03-03,46.35087203979492
2014-03-04,47.43644332885742
2014-03-05,47.58509063720703
2014-03-06,48.23822784423828
2014-03-07,48.29679489135742
2014-03-10,47.65717315673828
2014-03-11,47.1436653137207
2014-03-12,46.47700500488281
2014-03-13,45.56710433959961
2014-03-14,45.26980972290039
2014-03-17,45.990509033203125
2014-03-18,46.02655029296875
2014-03-19,44.6932373046875
2014-03-20,44.702247619628906
2014-03-21,43.92747497558594
2014-03-24,44.20674133300781
2014-03-25,43.774330139160156
2014-03-26,44.23377227783203
2014-03-27,42.86442184448242
2014-03-28,44.765296936035156
2014-03-31,45.585121154785156
2014-04-01,46.54905700683594
2014-04-02,46.90042495727539
2014-04-03,46.20673370361328
2014-04-04,45.21575164794922
2014-04-07,43.85540008544922
2014-04-08,44.28782272338867
2014-04-09,44.85539245605469
2014-04-10,43.12568283081055
2014-04-11,42.621185302734375
2014-04-14,43.67523193359375
2014-04-15,44.04459762573242
2014-04-16,44.84638977050781
2014-04-17,44.639183044433594
2014-04-21,44.12566375732422
2014-04-22,44.25179672241211
2014-04-23,44.09864807128906
2014-04-24,44.41395568847656
2014-04-25,43.900455474853516
2014-04-28,43.63917922973633
2014-04-29,43.10765838623047
2014-04-30,43.161712646484375
2014-05-01,43.78334045410156
2014-05-02,44.5130615234375
2014-05-05,44.37791442871094
2014-05-06,44.32386779785156
2014-05-07,42.359928131103516
2014-05-08,43.242794036865234
2014-05-09,42.99053955078125
2014-05-12,44.16171646118164
2014-05-13,44.13468551635742
2014-05-14,43.774330139160156
2014-05-15,42.50407409667969
2014-05-16,42.50407409667969
2014-05-19,42.87343215942383
2014-05-20,42.621185302734375
