,EIX
2014-01-02,30.582429885864258
2014-01-03,30.589155197143555
2014-01-06,30.56894874572754
2014-01-07,30.616071701049805
2014-01-08,30.340070724487305
2014-01-09,30.387195587158203
2014-01-10,30.63628387451172
2014-01-13,30.616071701049805
2014-01-14,31.147884368896484
2014-01-15,31.215206146240234
2014-01-16,31.592180252075195
2014-01-17,31.571983337402344
2014-01-21,32.110530853271484
2014-01-22,32.17784118652344
2014-01-23,32.076873779296875
2014-01-24,31.58546257019043
2014-01-27,31.7672061920166
2014-01-28,31.908584594726562
2014-01-29,31.720083236694336
2014-01-30,32.27881622314453
2014-01-31,32.420188903808594
2014-02-03,32.44037628173828
2014-02-04,32.25188446044922
2014-02-05,32.28554153442383
2014-02-06,32.76351547241211
2014-02-07,32.790443420410156
2014-02-10,32.85102081298828
2014-02-11,33.2818489074707
2014-02-12,33.40975570678711
2014-02-13,33.786746978759766
2014-02-14,34.022361755371094
2014-02-18,34.31855773925781
2014-02-19,34.13005065917969
2014-02-20,34.48011779785156
2014-02-21,34.574363708496094
2014-02-24,34.668601989746094
2014-02-25,34.49357223510742
2014-02-26,35.00519561767578
2014-02-27,35.052310943603516
2014-02-28,35.25425720214844
2014-03-03,34.937870025634766
2014-03-04,35.14655685424805
2014-03-05,34.70225524902344
2014-03-06,34.44645309448242
2014-03-07,34.614742279052734
2014-03-10,34.45317840576172
2014-03-11,34.17045211791992
2014-03-12,34.80323791503906
2014-03-13,34.850372314453125
2014-03-14,35.04557800292969
2014-03-17,35.27446365356445
2014-03-18,35.42255401611328
2014-03-19,34.85709762573242
2014-03-20,35.01865768432617
2014-03-21,36.26402282714844
2014-03-24,36.54676055908203
2014-03-25,36.59389114379883
2014-03-26,36.223636627197266
2014-03-27,36.51841735839844
2014-03-28,37.46712112426758
2014-03-31,38.36161804199219
2014-04-01,38.3683967590332
2014-04-02,37.921146392822266
2014-04-03,38.266746520996094
2014-04-04,37.90081787109375
2014-04-07,37.887264251708984
2014-04-08,38.185428619384766
2014-04-09,38.381954193115234
2014-04-10,38.327735900878906
2014-04-11,38.165103912353516
2014-04-14,38.36161804199219
2014-04-15,38.59203338623047
2014-04-16,38.55134963989258
2014-04-17,38.20575714111328
2014-04-21,38.185428619384766
2014-04-22,38.12443161010742
2014-04-23,38.17865753173828
2014-04-24,38.44970703125
2014-04-25,38.578453063964844
2014-04-28,38.62589645385742
2014-04-29,38.415828704833984
2014-04-30,38.327735900878906
2014-05-01,38.422611236572266
2014-05-02,37.50100326538086
2014-05-05,37.907588958740234
2014-05-06,37.95502853393555
2014-05-07,38.693660736083984
2014-05-08,38.00923538208008
2014-05-09,37.46712112426758
2014-05-12,37.14863204956055
2014-05-13,37.23672103881836
2014-05-14,37.338375091552734
2014-05-15,37.4332389831543
2014-05-16,37.46033477783203
2014-05-19,36.62006378173828
2014-05-20,36.61327362060547
2014-05-21,36.40998458862305
2014-05-22,36.83690643310547
2014-05-23,36.606510162353516
2014-05-27,36.65393829345703
2014-05-28,36.83690643310547
2014-05-29,36.99275588989258
2014-05-30,37.365482330322266
2014-06-02,37.72462463378906
2014-06-03,38.09055709838867
2014-06-04,37.96180725097656
2014-06-05,38.300636291503906
2014-06-06,37.9889030456543
2014-06-09,37.758514404296875
2014-06-10,37.622982025146484
2014-06-11,37.19606399536133
