,D
2014-01-02,40.297821044921875
2014-01-03,40.25345230102539
2014-01-06,40.25979232788086
2014-01-07,41.00133514404297
2014-01-08,41.045711517333984
2014-01-09,42.034454345703125
2014-01-10,42.9598274230957
2014-01-13,42.57320022583008
2014-01-14,42.535179138183594
2014-01-15,42.23093795776367
2014-01-16,42.135868072509766
2014-01-17,42.01543426513672
2014-01-21,42.38939666748047
2014-01-22,42.54151153564453
2014-01-23,42.085166931152344
2014-01-24,41.78725814819336
2014-01-27,42.09785079956055
2014-01-28,41.996429443359375
2014-01-29,42.00910186767578
2014-01-30,42.497135162353516
2014-01-31,43.04222869873047
2014-02-03,42.54151153564453
2014-02-04,41.736568450927734
2014-02-05,41.64149475097656
2014-02-06,41.78725814819336
2014-02-07,42.42108917236328
2014-02-10,43.40982437133789
2014-02-11,43.82180404663086
2014-02-12,43.961238861083984
2014-02-13,44.80422592163086
2014-02-14,45.0704231262207
2014-02-18,44.91196060180664
2014-02-19,44.77252960205078
2014-02-20,45.31760787963867
2014-02-21,45.24789047241211
2014-02-24,45.18450927734375
2014-02-25,45.16548538208008
2014-02-26,44.59022521972656
2014-02-27,44.475154876708984
2014-02-28,44.360107421875
2014-03-03,43.84234619140625
2014-03-04,44.289791107177734
2014-03-05,43.797603607177734
2014-03-06,43.446067810058594
2014-03-07,43.746482849121094
2014-03-10,43.6889533996582
2014-03-11,43.4971809387207
2014-03-12,44.09164810180664
2014-03-13,44.42401885986328
2014-03-14,44.67332458496094
2014-03-17,45.12714767456055
2014-03-18,45.06322479248047
2014-03-19,44.63496398925781
2014-03-20,44.596614837646484
2014-03-21,44.78196334838867
2014-03-24,44.596614837646484
2014-03-25,44.78837203979492
2014-03-26,44.97372817993164
2014-03-27,45.350852966308594
2014-03-28,45.44033432006836
2014-03-31,45.376434326171875
2014-04-01,44.99930953979492
2014-04-02,44.92259979248047
2014-04-03,44.596614837646484
2014-04-04,44.5007209777832
2014-04-07,44.22587585449219
2014-04-08,45.05044937133789
2014-04-09,44.935386657714844
2014-04-10,44.475154876708984
2014-04-11,44.372886657714844
2014-04-14,44.89064407348633
2014-04-15,45.10796356201172
2014-04-16,45.721588134765625
2014-04-17,45.17188262939453
2014-04-21,45.21023941040039
2014-04-22,45.299720764160156
2014-04-23,45.421173095703125
2014-04-24,45.715206146240234
2014-04-25,46.232933044433594
2014-04-28,46.4950065612793
2014-04-29,46.31604766845703
2014-04-30,46.367191314697266
2014-05-01,46.3288459777832
2014-05-02,45.2933349609375
2014-05-05,45.485107421875
2014-05-06,45.1527099609375
2014-05-07,46.156253814697266
2014-05-08,45.43394088745117
2014-05-09,44.65414047241211
2014-05-12,44.31536865234375
2014-05-13,44.615779876708984
2014-05-14,45.10796356201172
2014-05-15,44.794769287109375
2014-05-16,44.95454788208008
2014-05-19,44.12998580932617
2014-05-20,44.05329132080078
2014-05-21,44.07886505126953
2014-05-22,44.62857437133789
