,OMC
2014-01-02,52.25748825073242
2014-01-03,52.10213088989258
2014-01-06,50.845123291015625
2014-01-07,51.374759674072266
2014-01-08,50.499080657958984
2014-01-09,51.01459503173828
2014-01-10,51.706661224365234
2014-01-13,50.499080657958984
2014-01-14,52.19394302368164
2014-01-15,52.61056900024414
2014-01-16,52.504634857177734
2014-01-17,52.398719787597656
2014-01-21,52.299842834472656
2014-01-22,51.99619674682617
2014-01-23,51.77022171020508
2014-01-24,51.205284118652344
2014-01-27,50.81687545776367
2014-01-28,51.678401947021484
2014-01-29,51.169960021972656
2014-01-30,52.24335479736328
2014-01-31,51.25471496582031
2014-02-03,49.955322265625
2014-02-04,50.95811462402344
2014-02-05,50.908668518066406
2014-02-06,51.81260299682617
2014-02-07,52.398719787597656
2014-02-10,52.377525329589844
2014-02-11,51.55130386352539
2014-02-12,51.459510803222656
2014-02-13,52.532894134521484
2014-02-14,53.62748336791992
2014-02-18,53.782833099365234
2014-02-19,53.28144454956055
2014-02-20,52.90717697143555
2014-02-21,52.6529541015625
2014-02-24,53.56391143798828
2014-02-25,53.952335357666016
2014-02-26,53.18963623046875
2014-02-27,53.16139602661133
2014-02-28,53.729366302490234
2014-03-03,52.87031555175781
2014-03-04,53.40987777709961
2014-03-05,53.07621383666992
2014-03-06,53.64414978027344
2014-03-07,53.6015739440918
2014-03-10,52.231353759765625
2014-03-11,51.99705505371094
2014-03-12,51.961570739746094
2014-03-13,51.32971954345703
2014-03-14,51.294212341308594
2014-03-17,51.68470001220703
2014-03-18,51.826698303222656
2014-03-19,50.925052642822266
2014-03-20,51.429107666015625
2014-03-21,51.159332275390625
2014-03-24,51.10963439941406
2014-03-25,51.116737365722656
2014-03-26,51.542701721191406
2014-03-27,51.237422943115234
2014-03-28,51.33682632446289
2014-03-31,51.542701721191406
2014-04-01,51.37229919433594
2014-04-02,51.05284118652344
2014-04-03,51.365203857421875
2014-04-04,51.16642761230469
2014-04-07,49.56194305419922
2014-04-08,49.61872863769531
2014-04-09,50.06598663330078
2014-04-10,49.292144775390625
2014-04-11,48.36211395263672
2014-04-14,48.89456558227539
2014-04-15,49.02235412597656
2014-04-16,50.42097091674805
2014-04-17,50.52036666870117
2014-04-21,50.75466537475586
2014-04-22,49.60452651977539
2014-04-23,48.83066940307617
2014-04-24,49.625823974609375
2014-04-25,48.21302032470703
2014-04-28,47.13387680053711
2014-04-29,47.34686279296875
2014-04-30,48.04973220825195
2014-05-01,47.58824920654297
2014-05-02,47.62375259399414
2014-05-05,47.34686279296875
2014-05-06,46.942195892333984
2014-05-07,46.700809478759766
2014-05-08,46.99898910522461
2014-05-09,48.03553009033203
2014-05-12,48.653194427490234
2014-05-13,48.823577880859375
2014-05-14,47.57406997680664
2014-05-15,48.09233093261719
2014-05-16,47.765750885009766
2014-05-19,47.8509407043457
2014-05-20,48.1278190612793
2014-05-21,48.610599517822266
2014-05-22,49.17143630981445
2014-05-23,49.4980354309082
2014-05-27,49.739418029785156
2014-05-28,50.15829849243164
2014-05-29,50.44938659667969
2014-05-30,50.51326370239258
2014-06-02,50.839839935302734
2014-06-03,50.46357345581055
2014-06-04,50.3073844909668
2014-06-05,50.6552619934082
2014-06-06,50.40676498413086
2014-06-09,50.71915817260742
2014-06-10,50.47776412963867
2014-06-11,50.3419303894043
2014-06-12,50.14886474609375
2014-06-13,50.213233947753906
2014-06-16,50.0916748046875
2014-06-17,50.31332778930664
2014-06-18,50.33477783203125
2014-06-19,50.806671142578125
2014-06-20,51.19275665283203
2014-06-23,50.8424072265625
2014-06-24,51.02116394042969
2014-06-25,51.14985275268555
2014-06-26,51.013999938964844
2014-06-27,51.29999923706055
2014-06-30,50.921058654785156
2014-07-01,51.3428955078125
2014-07-02,51.042606353759766
2014-07-03,52.46541976928711
2014-07-07,51.9434814453125
2014-07-08,51.3428955078125
2014-07-09,51.514495849609375
2014-07-10,51.02116394042969
2014-07-11,50.9567985534668
2014-07-14,50.87100601196289
2014-07-15,50.7780647277832
2014-07-16,51.02116394042969
2014-07-17,50.81380844116211
2014-07-18,51.142704010009766
2014-07-21,50.99971008300781
2014-07-22,51.80049133300781
2014-07-23,51.664634704589844
2014-07-24,52.093631744384766
2014-07-25,52.994510650634766
2014-07-28,52.165122985839844
2014-07-29,51.52164840698242
2014-07-30,51.278533935546875
2014-07-31,50.0416259765625
2014-08-01,50.442020416259766
2014-08-04,50.64221954345703
2014-08-05,50.35621643066406
2014-08-06,50.263275146484375
2014-08-07,50.12028121948242
2014-08-08,50.7423095703125
2014-08-11,51.013999938964844
2014-08-12,50.83525466918945
2014-08-13,50.89247131347656
2014-08-14,51.421539306640625
2014-08-15,51.21420669555664
2014-08-18,51.62889099121094
2014-08-19,51.26426315307617
2014-08-20,51.50018310546875
2014-08-21,51.91486740112305
2014-08-22,51.54309844970703
2014-08-25,51.3428955078125
2014-08-26,51.41440200805664
2014-08-27,51.700401306152344
2014-08-28,51.636043548583984
2014-08-29,51.48590087890625
2014-09-02,51.578834533691406
2014-09-03,51.50018310546875
2014-09-04,51.48590087890625
2014-09-05,51.70753479003906
2014-09-08,51.26426315307617
2014-09-09,51.45014190673828
2014-09-10,51.26426315307617
2014-09-11,51.028316497802734
2014-09-12,50.78519058227539
2014-09-15,50.29186248779297
2014-09-16,50.492088317871094
2014-09-17,50.284725189208984
2014-09-18,50.520687103271484
2014-09-19,50.90230941772461
2014-09-22,50.36225891113281
2014-09-23,49.4909553527832
2014-09-24,50.067020416259766
2014-09-25,49.71418380737305
2014-09-26,50.383846282958984
2014-09-29,49.78620529174805
2014-09-30,49.584564208984375
2014-10-01,48.56206512451172
2014-10-02,48.338844299316406
2014-10-03,49.00849914550781
2014-10-06,48.61246871948242
2014-10-07,47.525142669677734
2014-10-08,48.24522018432617
2014-10-09,47.4747428894043
2014-10-10,47.17951202392578
2014-10-13,46.75466537475586
2014-10-14,47.359535217285156
2014-10-15,47.345123291015625
2014-10-16,47.640357971191406
2014-10-17,48.32442092895508
2014-10-20,48.44684600830078
2014-10-21,49.692588806152344
2014-10-22,48.22361755371094
2014-10-23,49.966209411621094
2014-10-24,50.54227828979492
2014-10-27,49.82937240600586
2014-10-28,50.41266632080078
2014-10-29,50.47746276855469
2014-10-30,50.95273208618164
2014-10-31,51.74480438232422
2014-11-03,52.29206848144531
2014-11-04,51.95361328125
2014-11-05,52.08323287963867
2014-11-06,52.42888259887695
2014-11-07,52.35686492919922
2014-11-10,52.544090270996094
2014-11-11,52.630489349365234
2014-11-12,52.85371398925781
2014-11-13,53.02653884887695
2014-11-14,53.33616638183594
2014-11-17,53.501792907714844
2014-11-18,53.71782302856445
2014-11-19,53.912235260009766
2014-11-20,53.76103210449219
2014-11-21,54.02023696899414
2014-11-24,54.805137634277344
2014-11-25,54.84833908081055
2014-11-26,55.186771392822266
2014-11-28,55.640419006347656
2014-12-01,55.59720993041992
2014-12-02,56.07246780395508
2014-12-03,56.10847473144531
2014-12-04,56.27409362792969
2014-12-05,56.4036865234375
2014-12-08,56.4613037109375
2014-12-09,56.28129196166992
2014-12-10,55.79164505004883
2014-12-11,55.8132438659668
2014-12-12,54.733123779296875
2014-12-15,54.35868453979492
2014-12-16,53.861839294433594
2014-12-17,54.89873504638672
2014-12-18,55.47480392456055
2014-12-19,55.5980110168457
2014-12-22,55.80820846557617
2014-12-23,56.27931594848633
2014-12-24,56.07635498046875
2014-12-26,56.1416015625
2014-12-29,56.496742248535156
2014-12-30,56.243064880371094
2014-12-31,56.14884567260742
2015-01-02,55.032684326171875
2015-01-05,54.0469856262207
2015-01-06,53.69184875488281
2015-01-07,53.87302780151367
2015-01-08,54.7210578918457
2015-01-09,54.24267578125
2015-01-12,53.92376708984375
2015-01-13,53.94550323486328
2015-01-14,54.1267204284668
2015-01-15,53.017791748046875
2015-01-16,53.3294563293457
2015-01-20,53.445411682128906
2015-01-21,54.0904541015625
2015-01-22,54.677555084228516
2015-01-23,53.8947868347168
2015-01-26,54.061485290527344
2015-01-27,53.47441101074219
2015-01-28,53.170005798339844
2015-01-29,53.77156448364258
2015-01-30,52.764122009277344
2015-02-02,53.017791748046875
2015-02-03,53.807796478271484
2015-02-04,53.69184875488281
2015-02-05,54.53258514404297
2015-02-06,54.264434814453125
2015-02-09,54.945701599121094
2015-02-10,54.4963493347168
2015-02-11,54.81525421142578
2015-02-12,55.424068450927734
2015-02-13,56.214088439941406
2015-02-17,55.953155517578125
2015-02-18,56.04739761352539
2015-02-19,56.46051788330078
2015-02-20,56.48950958251953
2015-02-23,56.40977096557617
2015-02-24,56.627220153808594
2015-02-25,57.366485595703125
2015-02-26,58.12751770019531
2015-02-27,57.6491584777832
2015-03-02,58.35944747924805
2015-03-03,57.939056396484375
2015-03-04,57.315757751464844
2015-03-05,57.11152267456055
2015-03-06,56.243553161621094
2015-03-09,56.6592903137207
2015-03-10,55.84238052368164
2015-03-11,55.69648742675781
2015-03-12,56.67388153076172
2015-03-13,56.207069396972656
2015-03-16,56.88542556762695
2015-03-17,56.265411376953125
2015-03-18,56.98752975463867
2015-03-19,57.060447692871094
2015-03-20,57.118804931640625
2015-03-23,57.23551559448242
2015-03-24,56.88542556762695
2015-03-25,56.34564208984375
2015-03-26,56.05390548706055
2015-03-27,56.17787170410156
2015-03-30,56.92186737060547
2015-03-31,56.878116607666016
2015-04-01,56.6592903137207
2015-04-02,57.41786193847656
2015-04-06,57.63667297363281
2015-04-07,57.08963394165039
2015-04-08,57.55644226074219
2015-04-09,56.980224609375
2015-04-10,57.344940185546875
2015-04-13,56.469642639160156
2015-04-14,56.85623550415039
2015-04-15,56.44776153564453
2015-04-16,56.44776153564453
2015-04-17,56.119537353515625
2015-04-20,56.805179595947266
2015-04-21,55.90072250366211
2015-04-22,56.79057312011719
2015-04-23,56.746829986572266
2015-04-24,56.528011322021484
2015-04-27,56.352943420410156
2015-04-28,55.68919372558594
2015-04-29,55.60898208618164
2015-04-30,55.25885772705078
2015-05-01,55.980953216552734
2015-05-04,56.21437072753906
2015-05-05,55.63085174560547
2015-05-06,55.244258880615234
2015-05-07,55.64543914794922
2015-05-08,56.228939056396484
2015-05-11,56.08306121826172
2015-05-12,55.740264892578125
2015-05-13,55.988258361816406
2015-05-14,56.739532470703125
2015-05-15,56.98752975463867
2015-05-18,56.90730285644531
2015-05-19,56.739532470703125
2015-05-20,56.57905578613281
2015-05-21,56.593650817871094
2015-05-22,56.141414642333984
2015-05-26,55.07651901245117
2015-05-27,55.164031982421875
2015-05-28,54.97438049316406
2015-05-29,54.361717224121094
2015-06-01,54.47840118408203
