,GILD
2014-01-02,53.7130241394043
2014-01-03,53.07742691040039
2014-01-06,52.306121826171875
2014-01-07,51.97760009765625
2014-01-08,52.46323013305664
2014-01-09,53.06315612792969
2014-01-10,53.47021484375
2014-01-13,52.234703063964844
2014-01-14,53.5559196472168
2014-01-15,53.727325439453125
2014-01-16,55.63417053222656
2014-01-17,55.99126052856445
2014-01-21,58.26232147216797
2014-01-22,58.69083023071289
2014-01-23,58.669410705566406
2014-01-24,57.57673645019531
2014-01-27,56.319786071777344
2014-01-28,57.6124267578125
2014-01-29,57.026832580566406
2014-01-30,58.21947479248047
2014-01-31,57.5981330871582
2014-02-03,56.2983283996582
2014-02-04,58.576560974121094
2014-02-05,55.812721252441406
2014-02-06,54.634334564208984
2014-02-07,56.24121856689453
2014-02-10,57.833831787109375
2014-02-11,58.41945266723633
2014-02-12,58.562278747558594
2014-02-13,58.955081939697266
2014-02-14,57.99808883666992
2014-02-18,59.854942321777344
2014-02-19,59.06220626831055
2014-02-20,59.14076232910156
2014-02-21,58.983642578125
2014-02-24,59.68352508544922
2014-02-25,59.954917907714844
2014-02-26,59.854942321777344
2014-02-27,59.740684509277344
2014-02-28,59.126495361328125
2014-03-03,58.16948318481445
2014-03-04,59.233619689941406
2014-03-05,59.1836051940918
2014-03-06,57.07679748535156
2014-03-07,56.8339958190918
2014-03-10,57.298213958740234
2014-03-11,57.0196647644043
2014-03-12,56.93397521972656
2014-03-13,55.71273422241211
2014-03-14,53.5987663269043
2014-03-17,53.88444519042969
2014-03-18,55.54132843017578
2014-03-19,54.66289520263672
2014-03-20,53.941593170166016
2014-03-21,51.470542907714844
2014-03-24,51.513370513916016
2014-03-25,52.156158447265625
2014-03-26,51.97760009765625
2014-03-27,50.99918746948242
2014-03-28,48.956642150878906
2014-03-31,50.60640335083008
2014-04-01,52.591800689697266
2014-04-02,52.82032775878906
2014-04-03,52.8488883972168
2014-04-04,51.56338119506836
2014-04-07,51.584800720214844
2014-04-08,49.99932098388672
2014-04-09,50.456398010253906
2014-04-10,46.764137268066406
2014-04-11,47.156925201416016
2014-04-14,47.69969940185547
2014-04-15,48.685264587402344
2014-04-16,49.47797775268555
2014-04-17,49.992183685302734
2014-04-21,51.13487243652344
2014-04-22,52.034725189208984
2014-04-23,52.74891662597656
2014-04-24,52.906028747558594
2014-04-25,52.77747344970703
2014-04-28,52.906028747558594
2014-04-29,54.44864273071289
2014-04-30,56.05552291870117
2014-05-01,56.43403625488281
2014-05-02,55.49848556518555
2014-05-05,57.01252746582031
2014-05-06,55.93413162231445
2014-05-07,56.25550079345703
2014-05-08,56.22694396972656
2014-05-09,56.96253967285156
2014-05-12,57.38389587402344
2014-05-13,57.34819412231445
2014-05-14,57.826690673828125
2014-05-15,57.205360412597656
2014-05-16,57.705284118652344
2014-05-19,58.59801483154297
2014-05-20,57.948089599609375
2014-05-21,58.42657470703125
2014-05-22,59.205020904541016
2014-05-23,57.80527114868164
2014-05-27,58.67655944824219
2014-05-28,58.46229934692383
2014-05-29,58.619415283203125
2014-05-30,57.99808883666992
2014-06-02,58.24090576171875
2014-06-03,58.955081939697266
2014-06-04,59.29073715209961
2014-06-05,59.133636474609375
2014-06-06,58.8408203125
2014-06-09,56.426918029785156
2014-06-10,56.80543518066406
2014-06-11,57.719566345214844
2014-06-12,57.548160552978516
2014-06-13,57.648136138916016
2014-06-16,57.683860778808594
2014-06-17,56.98397445678711
2014-06-18,56.75542449951172
2014-06-19,56.97682189941406
2014-06-20,57.9909553527832
2014-06-23,57.705284118652344
2014-06-24,57.71242904663086
2014-06-25,58.41945266723633
2014-06-26,58.69083023071289
2014-06-27,59.233619689941406
2014-06-30,59.21217727661133
2014-07-01,60.91192626953125
2014-07-02,62.204586029052734
2014-07-03,62.775909423828125
2014-07-07,62.28310775756836
2014-07-08,62.21171569824219
2014-07-09,63.33296203613281
2014-07-10,63.51865005493164
2014-07-11,63.36869812011719
2014-07-14,64.16854095458984
2014-07-15,63.56151580810547
2014-07-16,62.133148193359375
2014-07-17,60.754791259765625
2014-07-18,63.697208404541016
2014-07-21,63.461517333984375
2014-07-22,63.79718780517578
2014-07-23,64.51849365234375
2014-07-24,64.66131591796875
2014-07-25,64.1613998413086
2014-07-28,65.31836700439453
2014-07-29,66.41105651855469
2014-07-30,66.98241424560547
2014-07-31,65.38264465332031
2014-08-01,65.34696197509766
2014-08-04,65.83258056640625
2014-08-05,65.8968734741211
2014-08-06,66.26823425292969
2014-08-07,65.73976135253906
2014-08-08,66.02538299560547
2014-08-11,66.3610610961914
2014-08-12,66.67530822753906
2014-08-13,67.11808776855469
2014-08-14,68.81781768798828
2014-08-15,71.05319213867188
2014-08-18,71.9316177368164
2014-08-19,72.33157348632812
2014-08-20,71.98160552978516
2014-08-21,73.03860473632812
2014-08-22,74.24552154541016
2014-08-25,76.73800659179688
2014-08-26,75.89527893066406
2014-08-27,76.7094497680664
2014-08-28,76.7808609008789
2014-08-29,76.81658935546875
2014-09-02,78.10208129882812
2014-09-03,78.15208435058594
2014-09-04,76.31665802001953
2014-09-05,75.24539947509766
2014-09-08,76.08099365234375
2014-09-09,75.62390899658203
2014-09-10,77.28794860839844
2014-09-11,75.98099517822266
2014-09-12,74.03130340576172
2014-09-15,72.12445068359375
2014-09-16,74.81689453125
2014-09-17,74.15983581542969
2014-09-18,75.65248107910156
2014-09-19,75.67390441894531
2014-09-22,75.32394409179688
2014-09-23,75.26683044433594
2014-09-24,77.63787841796875
2014-09-25,76.6594467163086
