,WRB
2014-01-02,9.984889030456543
2014-01-03,9.952248573303223
2014-01-06,9.90795612335205
2014-01-07,9.87764835357666
2014-01-08,9.735438346862793
2014-01-09,9.779733657836914
2014-01-10,9.791391372680664
2014-01-13,9.677153587341309
2014-01-14,9.726115226745605
2014-01-15,9.716789245605469
2014-01-16,9.721451759338379
2014-01-17,9.679487228393555
2014-01-21,9.630531311035156
2014-01-22,9.677153587341309
2014-01-23,9.537277221679688
2014-01-24,9.367096900939941
2014-01-27,9.348444938659668
2014-01-28,9.544271469116211
2014-01-29,9.411389350891113
2014-01-30,9.203906059265137
2014-01-31,9.036055564880371
2014-02-03,8.842556953430176
2014-02-04,9.043045997619629
2014-02-05,8.952131271362305
2014-02-06,9.029059410095215
2014-02-07,9.073357582092285
2014-02-10,9.19225025177002
2014-02-11,9.318140983581543
2014-02-12,9.343781471252441
2014-02-13,9.378752708435059
2014-02-14,9.474336624145508
2014-02-18,9.460346221923828
2014-02-19,9.42304515838623
2014-02-20,9.502309799194336
2014-02-21,9.488321304321289
2014-02-24,9.467341423034668
2014-02-25,9.458015441894531
2014-02-26,9.485992431640625
2014-02-27,9.581576347351074
2014-02-28,9.614212036132812
2014-03-03,9.499979019165039
2014-03-04,9.569918632507324
2014-03-05,9.574583053588867
2014-03-06,9.541938781738281
2014-03-07,9.492985725402832
2014-03-10,9.492985725402832
2014-03-11,9.474336624145508
2014-03-12,9.497649192810059
2014-03-13,9.472005844116211
2014-03-14,9.481329917907715
2014-03-17,9.581819534301758
2014-03-18,9.60986614227295
2014-03-19,9.572474479675293
2014-03-20,9.553779602050781
2014-03-21,9.593507766723633
2014-03-24,9.574808120727539
2014-03-25,9.644922256469727
2014-03-26,9.586492538452148
2014-03-27,9.56078815460205
2014-03-28,9.570136070251465
2014-03-31,9.726717948913574
2014-04-01,9.677640914916992
2014-04-02,9.633235931396484
2014-04-03,9.72204303741455
2014-04-04,9.668292045593262
2014-04-07,9.58415699005127
2014-04-08,9.55611515045166
2014-04-09,9.675305366516113
2014-04-10,9.56779956817627
2014-04-11,9.490676879882812
2014-04-14,9.553779602050781
2014-04-15,9.595842361450195
2014-04-16,9.679978370666504
2014-04-17,9.672967910766602
2014-04-21,9.675305366516113
2014-04-22,9.696337699890137
2014-04-23,9.948734283447266
2014-04-24,10.091293334960938
2014-04-25,10.030531883239746
2014-04-28,10.16841983795166
2014-04-29,10.313313484191895
2014-04-30,10.339019775390625
2014-05-01,10.364725112915039
2014-05-02,10.432502746582031
2014-05-05,10.376411437988281
2014-05-06,10.296953201293945
2014-05-07,10.516634941101074
2014-05-08,10.378748893737793
2014-05-09,10.37173843383789
2014-05-12,10.432502746582031
2014-05-13,10.416139602661133
2014-05-14,10.346030235290527
2014-05-15,10.280592918395996
2014-05-16,10.285268783569336
2014-05-19,10.303961753845215
2014-05-20,10.257223129272461
2014-05-21,10.303961753845215
2014-05-22,10.280592918395996
2014-05-23,10.315648078918457
2014-05-27,10.35304069519043
