,BWA
2014-01-02,41.30388259887695
2014-01-03,41.26628112792969
2014-01-06,41.34897994995117
2014-01-07,42.386474609375
2014-01-08,42.31130599975586
2014-01-09,42.326332092285156
2014-01-10,42.664634704589844
2014-01-13,41.77751541137695
2014-01-14,42.687191009521484
2014-01-15,42.070716857910156
2014-01-16,42.799957275390625
2014-01-17,41.957950592041016
2014-01-21,42.183475494384766
2014-01-22,42.664634704589844
2014-01-23,41.83012008666992
2014-01-24,40.379173278808594
2014-01-27,40.35660934448242
2014-01-28,40.597171783447266
2014-01-29,40.55960464477539
2014-01-30,40.85725402832031
2014-01-31,40.46540832519531
2014-02-03,38.671966552734375
2014-02-04,39.32000732421875
2014-02-05,39.51594924926758
2014-02-06,40.26948165893555
2014-02-07,40.6236457824707
2014-02-10,40.6161003112793
2014-02-11,41.19634246826172
2014-02-12,41.77655792236328
2014-02-13,42.899356842041016
2014-02-14,43.67551803588867
2014-02-18,43.78101348876953
2014-02-19,44.66264724731445
2014-02-20,45.52922058105469
2014-02-21,46.086849212646484
2014-02-24,46.19234085083008
2014-02-25,45.973812103271484
2014-02-26,45.868324279785156
2014-02-27,46.260169982910156
2014-02-28,46.305381774902344
2014-03-03,45.81557846069336
2014-03-04,46.734893798828125
2014-03-05,46.305381774902344
2014-03-06,46.606807708740234
2014-03-07,46.19987869262695
2014-03-10,46.388282775878906
2014-03-11,46.07931900024414
2014-03-12,46.252628326416016
2014-03-13,45.74022674560547
2014-03-14,46.064247131347656
2014-03-17,46.2375602722168
2014-03-18,46.84792709350586
2014-03-19,46.2677116394043
2014-03-20,47.03632736206055
2014-03-21,46.5239143371582
2014-03-24,45.76283645629883
2014-03-25,45.12230682373047
2014-03-26,45.25042724609375
2014-03-27,44.941463470458984
2014-03-28,45.227813720703125
2014-03-31,46.32044982910156
2014-04-01,47.5261344909668
2014-04-02,47.92549514770508
2014-04-03,47.62408447265625
2014-04-04,46.79518508911133
2014-04-07,45.40867614746094
2014-04-08,45.58952331542969
2014-04-09,46.81026077270508
2014-04-10,45.51416778564453
2014-04-11,44.66264724731445
2014-04-14,45.48402404785156
2014-04-15,45.92107391357422
2014-04-16,46.76504135131836
2014-04-17,47.164424896240234
2014-04-21,47.571327209472656
2014-04-22,47.76726531982422
2014-04-23,47.84260940551758
2014-04-24,48.03853988647461
2014-04-25,46.44855880737305
2014-04-28,46.20741653442383
2014-04-29,46.07931900024414
2014-04-30,46.92124557495117
2014-05-01,45.803707122802734
2014-05-02,45.79615783691406
2014-05-05,45.68290328979492
2014-05-06,45.426151275634766
2014-05-07,45.25251007080078
2014-05-08,45.16943359375
2014-05-09,44.6408805847168
2014-05-12,46.14350509643555
2014-05-13,45.93962860107422
2014-05-14,45.56964111328125
2014-05-15,44.5955696105957
2014-05-16,45.09393310546875
2014-05-19,45.2827033996582
2014-05-20,44.844749450683594
2014-05-21,45.66780471801758
2014-05-22,46.105743408203125
2014-05-23,46.94388198852539
2014-05-27,47.087364196777344
2014-05-28,47.29124069213867
2014-05-29,47.44979476928711
2014-05-30,47.48755645751953
2014-06-02,47.8046875
2014-06-03,48.17469024658203
2014-06-04,48.62020492553711
2014-06-05,49.19406509399414
2014-06-06,49.95669174194336
2014-06-09,49.767940521240234
2014-06-10,49.888736724853516
2014-06-11,49.89629364013672
2014-06-12,48.680599212646484
2014-06-13,49.17140579223633
2014-06-16,49.18650817871094
2014-06-17,49.133663177490234
2014-06-18,49.04304504394531
2014-06-19,49.14875030517578
2014-06-20,48.824073791503906
2014-06-23,48.77876663208008
2014-06-24,48.09162902832031
2014-06-25,48.725914001464844
2014-06-26,49.12611389160156
2014-06-27,49.35262680053711
2014-06-30,49.22426986694336
2014-07-01,49.89629364013672
2014-07-02,50.304046630859375
2014-07-03,50.5985221862793
2014-07-07,50.3870964050293
2014-07-08,50.258731842041016
2014-07-09,50.87791061401367
2014-07-10,49.94914245605469
2014-07-11,49.979347229003906
2014-07-14,49.7603759765625
2014-07-15,49.36017608642578
2014-07-16,49.21672439575195
2014-07-17,48.446537017822266
2014-07-18,49.21672439575195
2014-07-21,48.95243835449219
2014-07-22,49.60934829711914
2014-07-23,49.43568801879883
2014-07-24,49.50364303588867
2014-07-25,49.71505355834961
2014-07-28,49.4507942199707
2014-07-29,48.725914001464844
2014-07-30,48.70325469970703
2014-07-31,47.00429916381836
2014-08-01,45.99248504638672
2014-08-04,46.83061981201172
2014-08-05,46.354923248291016
2014-08-06,45.89431381225586
2014-08-07,45.87921142578125
2014-08-08,46.755126953125
2014-08-11,46.69471740722656
2014-08-12,46.55879592895508
2014-08-13,46.989200592041016
2014-08-14,47.13267135620117
2014-08-15,46.936344146728516
2014-08-18,47.13267135620117
2014-08-19,47.48755645751953
2014-08-20,48.11429214477539
2014-08-21,47.351646423339844
2014-08-22,46.989200592041016
2014-08-25,47.12512969970703
2014-08-26,46.67960739135742
2014-08-27,46.792877197265625
2014-08-28,46.87611770629883
2014-08-29,47.05770492553711
2014-09-02,47.436058044433594
2014-09-03,47.496578216552734
2014-09-04,47.708457946777344
2014-09-05,47.81439208984375
2014-09-08,47.314979553222656
2014-09-09,46.777740478515625
2014-09-10,46.414546966552734
2014-09-11,46.301029205322266
2014-09-12,45.55192184448242
2014-09-15,44.409339904785156
2014-09-16,44.152061462402344
2014-09-17,43.72834014892578
2014-09-18,44.14451217651367
2014-09-19,43.73590087890625
2014-09-22,43.01704788208008
2014-09-23,42.61602020263672
2014-09-24,43.00193786621094
2014-09-25,42.61602020263672
2014-09-26,42.61602020263672
2014-09-29,41.095096588134766
2014-09-30,39.80874252319336
2014-10-01,40.361122131347656
2014-10-02,40.88323211669922
2014-10-03,41.0572509765625
2014-10-06,40.90593719482422
2014-10-07,39.740638732910156
2014-10-08,40.4670524597168
2014-10-09,38.90830612182617
2014-10-10,39.241241455078125
2014-10-13,38.01542282104492
2014-10-14,39.68013000488281
2014-10-15,39.61201477050781
2014-10-16,41.25400161743164
2014-10-17,41.602073669433594
2014-10-20,41.306968688964844
2014-10-21,42.706825256347656
2014-10-22,42.162017822265625
2014-10-23,42.76734924316406
2014-10-24,42.600894927978516
2014-10-27,41.82149887084961
2014-10-28,43.22136306762695
2014-10-29,43.024635314941406
2014-10-30,41.14051055908203
2014-10-31,43.14570236206055
2014-11-03,43.18352127075195
2014-11-04,42.15445327758789
2014-11-05,43.3726921081543
2014-11-06,44.45473861694336
2014-11-07,43.64510726928711
2014-11-10,42.56306457519531
2014-11-11,41.995548248291016
2014-11-12,41.8063850402832
2014-11-13,41.84421157836914
2014-11-14,41.75341033935547
2014-11-17,42.351192474365234
2014-11-18,43.31216812133789
2014-11-19,43.19865417480469
2014-11-20,43.64510726928711
2014-11-21,44.05370330810547
2014-11-24,43.98561477661133
2014-11-25,43.26675796508789
2014-11-26,43.1909294128418
2014-11-28,42.895145416259766
2014-12-01,43.09233474731445
2014-12-02,43.41843032836914
2014-12-03,44.55603790283203
2014-12-04,44.0099983215332
2014-12-05,43.585289001464844
2014-12-08,42.51594543457031
2014-12-09,42.44771194458008
2014-12-10,40.51376724243164
2014-12-11,40.50617980957031
2014-12-12,40.01322555541992
2014-12-15,40.01322555541992
2014-12-16,38.93629455566406
2014-12-17,39.77812194824219
2014-12-18,40.657875061035156
2014-12-19,41.57552719116211
2014-12-22,41.605857849121094
2014-12-23,42.766212463378906
2014-12-24,42.22016525268555
2014-12-26,42.22776412963867
2014-12-29,42.66763687133789
2014-12-30,41.99264907836914
2014-12-31,41.674129486083984
2015-01-02,41.514854431152344
2015-01-05,40.31657791137695
2015-01-06,40.03597640991211
2015-01-07,40.97639846801758
2015-01-08,41.674129486083984
2015-01-09,40.58960723876953
2015-01-12,39.527854919433594
2015-01-13,39.01212692260742
2015-01-14,39.23207092285156
2015-01-15,38.26890563964844
2015-01-16,38.526771545410156
2015-01-20,40.01322555541992
2015-01-21,40.58960723876953
2015-01-22,41.80305099487305
2015-01-23,41.545196533203125
2015-01-26,41.58311462402344
2015-01-27,41.621028900146484
2015-01-28,40.43793487548828
2015-01-29,41.48452377319336
2015-01-30,40.96123123168945
2015-02-02,42.113983154296875
2015-02-03,43.25159454345703
2015-02-04,43.56254959106445
2015-02-05,44.222347259521484
2015-02-06,44.41195297241211
2015-02-09,43.22883605957031
2015-02-10,43.91142272949219
2015-02-11,44.002410888671875
2015-02-12,46.55062484741211
2015-02-13,45.63297653198242
2015-02-17,45.928741455078125
2015-02-18,45.7315673828125
2015-02-19,45.95149612426758
2015-02-20,46.48996353149414
2015-02-23,46.429298400878906
2015-02-24,46.30795669555664
2015-02-25,46.8615837097168
2015-02-26,46.777984619140625
2015-02-27,46.70957946777344
2015-03-02,47.8875846862793
2015-03-03,47.857177734375
2015-03-04,47.249183654785156
2015-03-05,47.15038299560547
2015-03-06,46.101593017578125
2015-03-09,46.15479278564453
2015-03-10,45.15158462524414
2015-03-11,44.55118179321289
2015-03-12,45.66078186035156
2015-03-13,44.687992095947266
2015-03-16,45.736793518066406
2015-03-17,45.16678237915039
2015-03-18,46.12438201904297
2015-03-19,45.70639419555664
2015-03-20,45.94957733154297
2015-03-23,46.002784729003906
2015-03-24,45.59239196777344
2015-03-25,44.87038040161133
2015-03-26,44.938785552978516
2015-03-27,45.136383056640625
2015-03-30,46.435977935791016
2015-03-31,45.964778900146484
2015-04-01,45.66837692260742
2015-04-02,46.42839050292969
2015-04-06,47.180782318115234
2015-04-07,46.352394104003906
2015-04-08,46.79318618774414
2015-04-09,46.89958953857422
2015-04-10,46.5955810546875
2015-04-13,45.987586975097656
2015-04-14,46.01038360595703
2015-04-15,46.162384033203125
2015-04-16,46.276390075683594
2015-04-17,46.14719009399414
2015-04-20,46.473976135253906
2015-04-21,46.321983337402344
2015-04-22,46.352394104003906
2015-04-23,46.12438201904297
2015-04-24,46.20038986206055
2015-04-27,46.53477478027344
2015-04-28,46.41318130493164
2015-04-29,46.29918670654297
2015-04-30,44.99198532104492
2015-05-01,45.21999740600586
2015-05-04,45.99519348144531
2015-05-05,46.002784729003906
2015-05-06,46.07119369506836
2015-05-07,46.01038360595703
2015-05-08,46.56519317626953
2015-05-11,46.15479278564453
2015-05-12,46.314388275146484
2015-05-13,46.572792053222656
2015-05-14,46.86158752441406
2015-05-15,46.983184814453125
2015-05-18,46.88438034057617
2015-05-19,46.352394104003906
2015-05-20,46.20038986206055
2015-05-21,46.777984619140625
2015-05-22,46.435977935791016
2015-05-26,45.911582946777344
2015-05-27,46.20038986206055
2015-05-28,45.98712921142578
