,LW
2016-11-10,27.157377243041992
2016-11-11,26.763402938842773
2016-11-14,27.032026290893555
2016-11-15,27.246917724609375
2016-11-16,28.384061813354492
2016-11-17,29.10934829711914
2016-11-18,29.26156234741211
2016-11-21,28.41988754272461
2016-11-22,29.27946662902832
2016-11-23,29.56599998474121
2016-11-25,29.180973052978516
2016-11-28,29.315284729003903
2016-11-29,29.718215942382812
2016-11-30,29.977880477905273
2016-12-01,29.10934829711914
2016-12-02,29.539138793945312
2016-12-05,30.130096435546875
2016-12-06,30.28230857849121
2016-12-07,31.115039825439453
2016-12-08,32.171592712402344
2016-12-09,32.57453536987305
2016-12-12,32.88792419433594
2016-12-13,32.753604888916016
2016-12-14,31.47318649291992
2016-12-15,30.78373908996582
2016-12-16,31.571680068969727
2016-12-19,30.873268127441406
2016-12-20,31.294116973876953
2016-12-21,31.356792449951172
2016-12-22,32.52976608276367
2016-12-23,32.99535369873047
2016-12-27,33.43410873413086
2016-12-28,33.33561325073242
2016-12-29,33.819129943847656
2016-12-30,33.8907585144043
2017-01-03,33.56842041015625
2017-01-04,33.11176681518555
2017-01-05,32.7894172668457
2017-01-06,32.97746276855469
2017-01-09,33.03117752075195
2017-01-10,32.98640441894531
2017-01-11,33.03117752075195
2017-01-12,33.09385681152344
2017-01-13,33.32667541503906
2017-01-17,33.03117752075195
2017-01-18,32.807342529296875
2017-01-19,33.09385681152344
2017-01-20,33.228172302246094
2017-01-23,32.92372131347656
2017-01-24,33.56842041015625
2017-01-25,32.83419418334961
2017-01-26,32.6973991394043
2017-01-27,32.79638671875
2017-01-30,33.102394104003906
2017-01-31,33.624412536621094
2017-02-01,33.993412017822266
2017-02-02,34.578407287597656
2017-02-03,35.01042175292969
2017-02-06,35.31642532348633
2017-02-07,35.469425201416016
2017-02-08,35.244422912597656
2017-02-09,35.17241287231445
2017-02-10,35.34341812133789
2017-02-13,35.4874267578125
2017-02-14,35.685428619384766
2017-02-15,35.66742706298828
2017-02-16,35.91043472290039
2017-02-17,35.65842819213867
2017-02-21,35.65842819213867
2017-02-22,35.86542510986328
2017-02-23,35.55042266845703
2017-02-24,35.62242889404297
2017-02-27,35.53242111206055
2017-02-28,35.27142333984375
2017-03-01,35.9554443359375
2017-03-02,36.19843292236328
2017-03-03,36.36043930053711
2017-03-06,36.3784294128418
2017-03-07,36.66645431518555
2017-03-08,36.64844512939453
2017-03-09,36.882442474365234
2017-03-10,37.26045227050781
2017-03-13,37.37744140625
2017-03-14,37.98944854736328
2017-03-15,38.12445831298828
2017-03-16,37.79146194458008
2017-03-17,38.02545928955078
2017-03-20,38.23245620727539
2017-03-21,38.58346176147461
2017-03-22,38.19645690917969
2017-03-23,38.70945739746094
2017-03-24,38.4034538269043
2017-03-27,38.66445541381836
2017-03-28,38.62846374511719
2017-03-29,38.37645721435547
2017-03-30,37.88145065307617
2017-03-31,37.854461669921875
2017-04-03,37.80045318603515
2017-04-04,37.97145080566406
2017-04-05,37.566463470458984
2017-04-06,38.826473236083984
2017-04-07,38.69145584106445
2017-04-10,38.48446273803711
2017-04-11,38.59246826171875
2017-04-12,37.944461822509766
2017-04-13,37.683448791503906
2017-04-17,38.0074577331543
2017-04-18,38.1424560546875
2017-04-19,37.98044967651367
2017-04-20,38.340457916259766
2017-04-21,38.034454345703125
2017-04-24,38.4034538269043
2017-04-25,38.214447021484375
2017-04-26,38.1855354309082
2017-04-27,38.54713821411133
2017-04-28,37.74254608154297
2017-05-01,37.78775787353515
2017-05-02,37.4171142578125
2017-05-03,36.97416305541992
2017-05-04,37.299598693847656
2017-05-05,37.579837799072266
2017-05-08,37.58888244628906
2017-05-09,37.74254608154297
2017-05-10,38.39345932006836
2017-05-11,38.14936447143555
2017-05-12,38.14936447143555
2017-05-15,38.809295654296875
2017-05-16,40.20148468017578
2017-05-17,39.9302864074707
2017-05-18,39.72234344482422
2017-05-19,40.1201171875
2017-05-22,40.30091857910156
2017-05-23,39.9754753112793
2017-05-24,41.12358093261719
2017-05-25,41.25013732910156
2017-05-26,41.277252197265625
2017-05-30,41.73830032348633
2017-05-31,41.955265045166016
2017-06-01,42.77791976928711
2017-06-02,42.83216094970703
2017-06-05,42.22647857666016
2017-06-06,42.1902961730957
2017-06-07,42.40727615356445
2017-06-08,42.03663635253906
2017-06-09,41.61175155639648
2017-06-12,41.06932830810547
2017-06-13,41.56654357910156
2017-06-14,41.21397399902344
2017-06-15,40.96988677978515
2017-06-16,40.7438850402832
2017-06-19,41.17781829833984
2017-06-20,41.340538024902344
2017-06-21,41.421897888183594
2017-06-22,41.21397399902344
2017-06-23,41.18684768676758
2017-06-26,40.98796844482422
2017-06-27,40.40035629272461
2017-06-28,41.01510238647461
2017-06-29,39.89411163330078
2017-06-30,39.81275177001953
2017-07-03,39.650020599365234
2017-07-05,39.11666488647461
2017-07-06,38.78217315673828
2017-07-07,38.962982177734375
2017-07-10,38.63753128051758
2017-07-11,39.58675003051758
2017-07-12,39.77659606933594
2017-07-13,39.56867218017578
2017-07-14,39.46018600463867
2017-07-17,39.76755905151367
2017-07-18,39.89411163330078
2017-07-19,40.1201171875
2017-07-20,40.02971267700195
2017-07-21,40.68059921264648
2017-07-24,40.4546012878418
2017-07-25,41.29533767700195
2017-07-26,40.02971267700195
2017-07-27,39.650020599365234
2017-07-28,39.613861083984375
2017-07-31,39.75850296020508
2017-08-01,39.81275177001953
2017-08-02,39.72922897338867
2017-08-03,39.23897171020508
2017-08-04,39.60212326049805
2017-08-07,39.82001876831055
2017-08-08,39.54765319824219
2017-08-09,39.50225830078125
2017-08-10,40.25580978393555
2017-08-11,40.68251037597656
2017-08-14,40.68251037597656
2017-08-15,40.87317657470703
2017-08-16,41.18184280395508
2017-08-17,41.19093704223633
2017-08-18,41.10014343261719
2017-08-21,41.2635612487793
2017-08-22,41.454219818115234
2017-08-23,41.39066696166992
2017-08-24,40.85500717163086
2017-08-25,40.891334533691406
2017-08-28,40.74605941772461
2017-08-29,40.91856002807617
2017-08-30,41.00934600830078
2017-08-31,41.2907829284668
2017-09-01,41.75382232666016
2017-09-05,41.52684783935547
2017-09-06,41.14552688598633
2017-09-07,41.10921859741211
2017-09-08,41.25447463989258
2017-09-11,41.426979064941406
2017-09-12,41.762908935546875
2017-09-13,42.26223373413086
2017-09-14,41.82645797729492
2017-09-15,42.11697769165039
2017-09-18,42.01710891723633
2017-09-19,42.11697769165039
2017-09-20,42.3530387878418
2017-09-21,41.63578796386719
2017-09-22,41.20000457763672
2017-09-25,41.00934600830078
2017-09-26,41.33618927001953
2017-09-27,41.79922103881836
2017-09-28,42.28946685791016
2017-09-29,42.570926666259766
2017-10-02,43.161041259765625
2017-10-03,42.82511901855469
2017-10-04,43.9509162902832
2017-10-05,44.11433792114258
2017-10-06,44.60459518432617
2017-10-09,44.33222198486328
2017-10-10,44.52287292480469
2017-10-11,44.822479248046875
2017-10-12,45.12208938598633
2017-10-13,45.39446258544922
2017-10-16,46.020896911621094
2017-10-17,45.59418869018555
2017-10-18,45.90288162231445
2017-10-19,45.66681289672851
2017-10-20,45.96642303466797
2017-10-23,46.211570739746094
2017-10-24,46.048126220703125
2017-10-25,45.95734786987305
2017-10-26,45.93919372558594
2017-10-27,46.138916015625
2017-10-30,45.73945236206055
2017-10-31,46.29326248168945
2017-11-01,46.6201057434082
2017-11-02,47.20146942138672
2017-11-03,47.49305725097656
2017-11-06,47.438385009765625
2017-11-07,47.07389450073242
2017-11-08,47.73908615112305
2017-11-09,47.03745651245117
2017-11-10,47.347259521484375
2017-11-13,48.09446716308594
2017-11-14,48.65030670166016
2017-11-15,48.05802154541016
2017-11-16,48.70499420166016
2017-11-17,48.48628616333008
