,DVN
2014-01-02,42.198665618896484
2014-01-03,42.108978271484375
2014-01-06,41.57080078125
2014-01-07,42.419456481933594
2014-01-08,42.30216598510742
2014-01-09,41.93647003173828
2014-01-10,41.76397705078125
2014-01-13,40.8325309753418
2014-01-14,41.24650573730469
2014-01-15,40.85322570800781
2014-01-16,40.9636116027832
2014-01-17,40.71522521972656
2014-01-21,41.17750549316406
2014-01-22,41.681190490722656
2014-01-23,41.481101989746094
2014-01-24,41.067115783691406
2014-01-27,40.48064041137695
2014-01-28,40.90841293334961
2014-01-29,40.71522521972656
2014-01-30,41.170616149902344
2014-01-31,40.86013412475586
2014-02-03,39.91487121582031
2014-02-04,40.92911911010742
2014-02-05,40.76352310180664
2014-02-06,41.70878601074219
2014-02-07,42.10206985473633
2014-02-10,41.95028305053711
2014-02-11,42.46085739135742
2014-02-12,42.21245574951172
2014-02-13,42.964534759521484
2014-02-14,42.812747955322266
2014-02-18,43.40612030029297
2014-02-19,44.3306884765625
2014-02-20,44.54458236694336
2014-02-21,43.930503845214844
2014-02-24,44.41349411010742
2014-02-25,44.09608459472656
2014-02-26,43.97189712524414
2014-02-27,44.3720703125
2014-02-28,44.447967529296875
2014-03-03,44.00639343261719
2014-03-04,44.59977340698242
2014-03-05,44.482479095458984
2014-03-06,44.51697540283203
2014-03-07,44.937862396240234
2014-03-10,44.523868560791016
2014-03-11,43.84770965576172
2014-03-12,43.67460632324219
2014-03-13,43.33535385131836
2014-03-14,43.439205169677734
2014-03-17,43.48075485229492
2014-03-18,43.95847702026367
2014-03-19,43.93770980834961
2014-03-20,43.82001495361328
2014-03-21,44.37389373779297
2014-03-24,44.24927520751953
2014-03-25,44.28389358520508
2014-03-26,44.31159973144531
2014-03-27,44.789329528808594
2014-03-28,45.55092239379883
2014-03-31,46.34022903442383
2014-04-01,46.85951614379883
2014-04-02,47.00490188598633
2014-04-03,47.434173583984375
2014-04-04,47.08799362182617
2014-04-07,46.76949691772461
2014-04-08,46.977203369140625
2014-04-09,47.344154357910156
2014-04-10,47.50340270996094
2014-04-11,46.76949691772461
2014-04-14,46.93567657470703
2014-04-15,47.5518798828125
2014-04-16,48.36888885498047
2014-04-17,48.95047378540039
2014-04-21,48.81199264526367
2014-04-22,48.90198516845703
2014-04-23,49.372802734375
2014-04-24,49.78822708129883
2014-04-25,48.742740631103516
2014-04-28,48.65965270996094
2014-04-29,48.79814529418945
2014-04-30,48.46580505371094
2014-05-01,48.389644622802734
2014-05-02,48.65965270996094
2014-05-05,48.70813751220703
2014-05-06,48.59734344482422
2014-05-07,50.584442138671875
2014-05-08,49.15123748779297
2014-05-09,48.971229553222656
2014-05-12,49.185874938964844
2014-05-13,50.14826202392578
2014-05-14,49.67744827270508
2014-05-15,48.978145599365234
2014-05-16,48.92967987060547
2014-05-19,49.35203170776367
2014-05-20,50.2313346862793
2014-05-21,50.91678237915039
2014-05-22,50.34212875366211
2014-05-23,50.30058288574219
2014-05-27,50.63291549682617
2014-05-28,50.84755325317383
2014-05-29,51.159122467041016
2014-05-30,51.1660270690918
2014-06-02,51.0206298828125
2014-06-03,51.71992111206055
2014-06-04,51.83761978149414
2014-06-05,51.78223419189453
2014-06-06,51.699161529541016
2014-06-09,51.54682922363281
2014-06-10,51.886104583740234
2014-06-11,53.08080291748047
2014-06-12,53.483665466308594
2014-06-13,54.20603561401367
2014-06-16,54.3380126953125
2014-06-17,54.26162338256836
2014-06-18,54.26162338256836
2014-06-19,54.518611907958984
2014-06-20,54.83812713623047
2014-06-23,54.782554626464844
2014-06-24,53.87957763671875
2014-06-25,55.1923713684082
2014-06-26,54.59500503540039
2014-06-27,55.220149993896484
2014-06-30,55.15068054199219
2014-07-01,54.928428649902344
2014-07-02,54.58113098144531
2014-07-03,55.01872634887695
2014-07-07,54.37272262573242
2014-07-08,54.2755012512207
2014-07-09,55.15068054199219
2014-07-10,54.24769592285156
2014-07-11,53.573951721191406
2014-07-14,54.04629135131836
2014-07-15,53.136356353759766
2014-07-16,54.10185241699219
2014-07-17,52.60849380493164
2014-07-18,53.49061584472656
2014-07-21,53.5670051574707
2014-07-22,54.28244400024414
2014-07-23,54.52556228637695
2014-07-24,54.89369583129883
2014-07-25,54.41441345214844
2014-07-28,54.0532341003418
2014-07-29,53.761505126953125
2014-07-30,53.69898986816406
2014-07-31,52.441776275634766
2014-08-01,52.1569938659668
2014-08-04,53.351688385009766
2014-08-05,51.809688568115234
2014-08-06,51.66383361816406
2014-08-07,51.03175354003906
2014-08-08,51.66383361816406
2014-08-11,51.53880310058594
2014-08-12,50.71223068237305
2014-08-13,50.44828414916992
2014-08-14,50.46912384033203
2014-08-15,50.94145202636719
2014-08-18,51.08037185668945
2014-08-19,51.59437561035156
2014-08-20,51.29569625854492
2014-08-21,52.02501678466797
2014-08-22,51.504093170166016
2014-08-25,51.8860969543457
2014-08-26,51.788856506347656
2014-08-27,51.59437561035156
2014-08-28,51.83748245239258
2014-08-29,52.38621139526367
2014-09-02,51.455448150634766
2014-09-03,51.52490997314453
2014-09-04,50.22603225708008
2014-09-05,50.52469253540039
2014-09-08,49.468929290771484
2014-09-09,49.14244842529297
2014-09-10,49.25396728515625
2014-09-11,49.2260856628418
2014-09-12,48.75215148925781
2014-09-15,48.97518539428711
2014-09-16,50.07637405395508
2014-09-17,49.88124084472656
2014-09-18,49.8742561340332
2014-09-19,49.46306228637695
2014-09-22,48.773094177246094
2014-09-23,48.724281311035156
2014-09-24,48.84276580810547
2014-09-25,47.88094711303711
2014-09-26,48.28520584106445
2014-09-29,48.49429702758789
2014-09-30,47.5185546875
2014-10-01,46.74492645263672
2014-10-02,46.38948059082031
2014-10-03,45.608882904052734
2014-10-06,45.17677307128906
2014-10-07,44.33344650268555
2014-10-08,44.57041931152344
2014-10-09,42.72348403930664
2014-10-10,41.41320037841797
2014-10-13,39.419898986816406
2014-10-14,38.506900787353516
2014-10-15,38.43022537231445
2014-10-16,39.40596008300781
2014-10-17,40.54200744628906
2014-10-20,40.40957260131836
2014-10-21,41.8592529296875
2014-10-22,40.86957550048828
2014-10-23,41.82439041137695
2014-10-24,41.75471496582031
2014-10-27,39.956565856933594
2014-10-28,41.52472686767578
2014-10-29,41.629268646240234
2014-10-30,40.632598876953125
2014-10-31,41.817440032958984
2014-11-03,40.79987716674805
2014-11-04,39.043540954589844
2014-11-05,42.94651794433594
2014-11-06,43.60165786743164
2014-11-07,45.3231315612793
2014-11-10,44.75162887573242
2014-11-11,44.99555587768555
2014-11-12,44.654056549072266
2014-11-13,44.10346221923828
2014-11-14,44.7307243347168
2014-11-17,44.5007209777832
2014-11-18,44.94677734375
2014-11-19,45.183746337890625
2014-11-20,46.52888107299805
2014-11-21,46.83551788330078
2014-11-24,46.20130157470703
2014-11-25,45.148887634277344
2014-11-26,44.619197845458984
2014-11-28,41.099571228027344
2014-12-01,41.77561569213867
2014-12-02,41.74076461791992
2014-12-03,42.45863342285156
2014-12-04,41.482887268066406
2014-12-05,41.74774169921875
2014-12-08,39.447784423828125
2014-12-09,39.8659553527832
2014-12-10,38.123226165771484
2014-12-11,37.68229293823242
2014-12-12,37.10136795043945
2014-12-15,36.856414794921875
2014-12-16,37.864253997802734
2014-12-17,40.92279052734375
2014-12-18,42.19660949707031
2014-12-19,42.91048812866211
2014-12-22,42.126625061035156
2014-12-23,43.02247619628906
2014-12-24,42.140625
2014-12-26,42.57455825805664
2014-12-29,42.798519134521484
2014-12-30,42.73552322387695
2014-12-31,42.840511322021484
2015-01-02,42.6655387878418
2015-01-05,41.08377456665039
2015-01-06,40.243892669677734
2015-01-07,40.432865142822266
2015-01-08,41.86766052246094
2015-01-09,42.280582427978516
2015-01-12,41.38473129272461
2015-01-13,41.21675109863281
2015-01-14,40.94380187988281
2015-01-15,40.49585723876953
2015-01-16,42.48356246948242
2015-01-20,41.74167251586914
2015-01-21,43.11347198486328
2015-01-22,42.868507385253906
2015-01-23,42.10560607910156
2015-01-26,43.197452545166016
2015-01-27,43.46341323852539
2015-01-28,40.894805908203125
2015-01-29,41.0977668762207
2015-01-30,42.18260192871094
2015-02-02,43.9813232421875
2015-02-03,44.842201232910156
2015-02-04,44.793216705322266
2015-02-05,45.493106842041016
2015-02-06,45.682071685791016
2015-02-09,45.30413055419922
2015-02-10,44.919193267822266
2015-02-11,45.213138580322266
2015-02-12,46.03902053833008
2015-02-13,46.52195358276367
2015-02-17,46.64792251586914
2015-02-18,44.75819778442383
2015-02-19,45.080169677734375
2015-02-20,44.66722106933594
2015-02-23,44.75819778442383
2015-02-24,45.38111114501953
2015-02-25,45.80805206298828
2015-02-26,43.77836608886719
2015-02-27,43.106468200683594
2015-03-02,42.595550537109375
2015-03-03,42.868507385253906
2015-03-04,43.295433044433594
2015-03-05,42.57455825805664
2015-03-06,41.41971969604492
2015-03-09,40.62184143066406
2015-03-10,39.88694381713867
2015-03-11,40.65305709838867
2015-03-12,40.182151794433594
2015-03-13,40.554664611816406
2015-03-16,41.29265594482422
2015-03-17,40.8006706237793
2015-03-18,42.33991622924805
2015-03-19,40.948265075683594
2015-03-20,41.22940444946289
2015-03-23,40.74443817138672
2015-03-24,40.65305709838867
2015-03-25,41.91819763183594
2015-03-26,42.21339416503906
2015-03-27,41.57381820678711
2015-03-30,42.67026138305664
2015-03-31,42.38911056518555
2015-04-01,43.28173828125
2015-04-02,43.96350860595703
2015-04-06,44.56795883178711
2015-04-07,44.51172637939453
2015-04-08,44.307899475097656
2015-04-09,45.64331817626953
2015-04-10,45.587100982666016
2015-04-13,45.39030075073242
2015-04-14,46.500816345214844
2015-04-15,47.05605697631836
2015-04-16,46.80302810668945
2015-04-17,46.332130432128906
2015-04-20,46.8592643737793
2015-04-21,45.882286071777344
2015-04-22,46.26885223388672
2015-04-23,46.59921646118164
2015-04-24,46.73978042602539
2015-04-27,46.78194808959961
2015-04-28,47.42857360839844
2015-04-29,48.46177291870117
2015-04-30,47.941654205322266
2015-05-01,48.22279739379883
2015-05-04,48.51798629760742
2015-05-05,46.84519958496094
2015-05-06,47.42857360839844
2015-05-07,46.71870040893555
2015-05-08,47.716739654541016
2015-05-11,46.7116584777832
2015-05-12,47.491844177246094
2015-05-13,46.353214263916016
2015-05-14,46.16344451904297
2015-05-15,46.289955139160156
2015-05-18,46.557044982910156
2015-05-19,45.53087615966797
2015-05-20,46.26183319091797
2015-05-21,47.44966125488281
2015-05-22,47.421546936035156
2015-05-26,46.5921745300293
2015-05-27,46.42349624633789
2015-05-28,45.952579498291016
2015-05-29,45.84012985229492
2015-06-01,45.3129768371582
2015-06-02,45.566001892089844
2015-06-03,44.91938018798828
2015-06-04,44.33600616455078
2015-06-05,44.842079162597656
2015-06-08,43.92836380004883
2015-06-09,43.66127395629883
2015-06-10,44.8491096496582
2015-06-11,44.404632568359375
2015-06-12,43.649742126464844
2015-06-15,43.480403900146484
2015-06-16,44.065975189208984
2015-06-17,43.48746871948242
2015-06-18,43.34637451171875
2015-06-19,43.01477813720703
2015-06-22,43.28286361694336
2015-06-23,43.339317321777344
2015-06-24,43.09944152832031
2015-06-25,42.59852600097656
