,PHM
2014-01-02,17.421058654785156
2014-01-03,17.3863525390625
2014-01-06,17.212844848632812
2014-01-07,16.95256805419922
2014-01-08,17.160781860351562
2014-01-09,17.169462203979492
2014-01-10,17.49046516418457
2014-01-13,16.831104278564453
2014-01-14,16.935209274291992
2014-01-15,16.891834259033203
2014-01-16,17.082700729370117
2014-01-17,16.796396255493164
2014-01-21,16.657583236694336
2014-01-22,17.030641555786133
2014-01-23,17.047996520996094
2014-01-24,16.345260620117188
2014-01-27,16.23246955871582
2014-01-28,16.87448501586914
2014-01-29,16.85713005065918
2014-01-30,17.15211296081543
2014-01-31,17.629276275634766
2014-02-03,17.082700729370117
2014-02-04,17.238872528076172
2014-02-05,16.9091796875
2014-02-06,17.46443748474121
2014-02-07,17.178133010864258
2014-02-10,16.787723541259766
2014-02-11,17.065353393554688
2014-02-12,17.004621505737305
2014-02-13,17.195486068725586
2014-02-14,17.369009017944336
2014-02-18,17.169462203979492
2014-02-19,17.05667495727539
2014-02-20,17.369009017944336
2014-02-21,17.67265510559082
2014-02-24,17.716033935546875
2014-02-25,17.941608428955078
2014-02-26,18.436132431030273
2014-02-27,18.47083854675293
2014-02-28,18.21055030822754
2014-03-03,18.054393768310547
2014-03-04,18.14115333557129
2014-03-05,17.906904220581055
2014-03-06,17.854848861694336
2014-03-07,17.663509368896484
2014-03-10,17.39390754699707
2014-03-11,17.33303451538086
2014-03-12,17.106914520263672
2014-03-13,16.680761337280273
2014-03-14,16.654674530029297
2014-03-17,16.715547561645508
2014-03-18,16.94166374206543
2014-03-19,17.05473518371582
2014-03-20,16.872100830078125
2014-03-21,16.619888305664062
2014-03-24,16.38506317138672
2014-03-25,16.350271224975586
2014-03-26,16.15024185180664
2014-03-27,16.245914459228516
2014-03-28,16.53291130065918
2014-03-31,16.6894588470459
2014-04-01,17.07212257385254
2014-04-02,17.124311447143555
2014-04-03,17.141698837280273
2014-04-04,16.95036506652832
2014-04-07,16.550308227539062
2014-04-08,16.628583908081055
2014-04-09,16.654674530029297
2014-04-10,16.472036361694336
2014-04-11,16.27199935913086
2014-04-14,16.315488815307617
2014-04-15,16.254608154296875
2014-04-16,16.437240600585938
2014-04-17,16.27199935913086
2014-04-21,16.280702590942383
2014-04-22,16.23721694946289
2014-04-23,16.15024185180664
2014-04-24,16.515514373779297
2014-04-25,16.037181854248047
2014-04-28,15.871943473815918
2014-04-29,15.932822227478027
2014-04-30,15.99370288848877
2014-05-01,16.115461349487305
2014-05-02,16.27199935913086
2014-05-05,16.098068237304688
2014-05-06,15.889337539672852
2014-05-07,15.828455924987793
2014-05-08,15.793671607971191
2014-05-09,15.932822227478027
2014-05-12,16.38506317138672
2014-05-13,16.61118507385254
2014-05-14,16.280702590942383
2014-05-15,16.367664337158203
2014-05-16,16.38506317138672
2014-05-19,16.315488815307617
2014-05-20,16.176334381103516
2014-05-21,16.35896873474121
2014-05-22,16.715547561645508
2014-05-23,17.13300132751465
2014-05-27,17.219974517822266
2014-05-28,17.185190200805664
2014-05-29,17.16779327392578
2014-05-30,17.01124382019043
2014-06-02,17.089519500732422
2014-06-03,17.124311447143555
2014-06-04,17.05473518371582
2014-06-05,17.28954315185547
2014-06-06,17.506967544555664
2014-06-09,17.593936920166016
2014-06-10,17.506967544555664
2014-06-11,17.07212257385254
2014-06-12,17.028636932373047
2014-06-13,16.889493942260742
2014-06-16,17.00255012512207
2014-06-17,17.107179641723633
2014-06-18,17.019989013671875
2014-06-19,17.15077781677246
2014-06-20,17.13334083557129
2014-06-23,17.351318359375
2014-06-24,17.40363121032715
2014-06-25,17.421070098876953
2014-06-26,17.307714462280273
2014-06-27,17.508264541625977
2014-06-30,17.578022003173828
