,SPGI
2014-01-02,69.29307556152344
2014-01-03,69.10592651367188
2014-01-06,68.96334838867188
2014-01-07,69.56936645507812
2014-01-08,69.46241760253906
2014-01-09,69.64955139160156
2014-01-10,69.551513671875
2014-01-13,68.29489135742188
2014-01-14,69.1237564086914
2014-01-15,68.90986633300781
2014-01-16,68.12557983398438
2014-01-17,68.40186309814453
2014-01-21,68.22362518310547
2014-01-22,68.23252868652344
2014-01-23,66.92242431640625
2014-01-24,65.30036926269531
2014-01-27,65.7994613647461
2014-01-28,66.99371337890625
2014-01-29,66.82437133789062
2014-01-30,68.41969299316406
2014-01-31,67.76907348632812
2014-02-03,66.2985610961914
2014-02-04,68.64248657226562
2014-02-05,68.5355224609375
2014-02-06,68.93659210205078
2014-02-07,71.27162170410156
2014-02-10,70.71013641357422
2014-02-11,71.66375732421875
2014-02-12,72.67082977294922
2014-02-13,73.00060272216797
2014-02-14,72.66192626953125
2014-02-18,72.41236877441406
2014-02-19,71.74397277832031
2014-02-20,71.86874389648438
2014-02-21,71.4944076538086
2014-02-24,71.70018005371094
2014-02-25,71.55701446533203
2014-02-26,71.17237091064453
2014-02-27,71.28865814208984
2014-02-28,71.2618408203125
2014-03-03,70.1257095336914
2014-03-04,71.77174377441406
2014-03-05,72.31745147705078
2014-03-06,72.93467712402344
2014-03-07,73.08676147460938
2014-03-10,73.3908920288086
2014-03-11,72.40689086914062
2014-03-12,73.27462768554688
2014-03-13,71.41390991210938
2014-03-14,71.16345977783203
2014-03-17,71.8075180053711
2014-03-18,70.9755630493164
2014-03-19,70.5193099975586
2014-03-20,69.26692962646484
2014-03-21,68.76596069335938
2014-03-24,67.7640380859375
2014-03-25,67.94293212890625
2014-03-26,67.5135498046875
2014-03-27,66.67269897460938
2014-03-28,67.10205841064453
2014-03-31,68.25603485107422
2014-04-01,69.60688018798828
2014-04-02,68.80175018310547
2014-04-03,68.3187026977539
2014-04-04,67.24519348144531
2014-04-07,66.9588851928711
2014-04-08,67.12889862060547
2014-04-09,68.52442169189453
2014-04-10,65.67076873779297
2014-04-11,64.3915023803711
2014-04-14,65.28607177734375
2014-04-15,65.64391326904297
2014-04-16,67.47777557373047
2014-04-17,68.58706665039062
2014-04-21,68.44393157958984
2014-04-22,68.62281799316406
2014-04-23,68.63178253173828
2014-04-24,67.97874450683594
2014-04-25,67.13783264160156
2014-04-28,67.15573120117188
2014-04-29,66.24327850341797
2014-04-30,66.13594055175781
2014-05-01,66.26114654541016
2014-05-02,66.26114654541016
2014-05-05,67.65669250488281
2014-05-06,68.15770721435547
2014-05-07,68.05027770996094
2014-05-08,69.39215850830078
2014-05-09,70.39410400390625
2014-05-12,71.09185791015625
2014-05-13,70.7608642578125
2014-05-14,69.3385009765625
2014-05-15,68.34552001953125
2014-05-16,69.75895690917969
2014-05-19,70.25989532470703
2014-05-20,69.39215850830078
2014-05-21,70.34937286376953
2014-05-22,71.24394989013672
2014-05-23,71.45948791503906
2014-05-27,72.77046966552734
2014-05-28,73.02189636230469
2014-05-29,73.34516906738281
2014-05-30,73.42597961425781
2014-06-02,73.97371673583984
2014-06-03,73.20149230957031
2014-06-04,73.12966918945312
2014-06-05,73.91985321044922
2014-06-06,75.15006256103516
2014-06-09,75.63496398925781
2014-06-10,75.79659271240234
2014-06-11,76.05699157714844
2014-06-12,75.33863067626953
2014-06-13,74.85372161865234
2014-06-16,74.32389068603516
2014-06-17,74.10841369628906
2014-06-18,74.55738067626953
2014-06-19,74.35086822509766
2014-06-20,74.2700424194336
2014-06-23,74.51253509521484
2014-06-24,74.48554229736328
2014-06-25,74.13536071777344
2014-06-26,74.2700424194336
2014-06-27,74.71003723144531
2014-06-30,74.55738067626953
2014-07-01,75.24885559082031
2014-07-02,75.24885559082031
2014-07-03,75.87741088867188
2014-07-07,74.8896484375
2014-07-08,74.21620178222656
2014-07-09,73.90190124511719
2014-07-10,73.32723236083984
2014-07-11,73.64152526855469
2014-07-14,74.4227066040039
2014-07-15,74.79085540771484
2014-07-16,74.19821166992188
2014-07-17,73.11170196533203
2014-07-18,74.11739349365234
2014-07-21,73.4349594116211
2014-07-22,74.10841369628906
2014-07-23,74.62921905517578
2014-07-24,73.3002700805664
2014-07-25,73.5157699584961
2014-07-28,73.63249969482422
2014-07-29,72.71661376953125
2014-07-30,73.32723236083984
2014-07-31,72.03413391113281
2014-08-01,71.18109893798828
2014-08-04,71.52232360839844
2014-08-05,70.4537353515625
2014-08-06,70.27413177490234
2014-08-07,69.99577331542969
2014-08-08,70.53453063964844
2014-08-11,70.66927337646484
2014-08-12,70.22025299072266
2014-08-13,70.90271759033203
2014-08-14,71.2080307006836
2014-08-15,71.34270477294922
2014-08-18,71.79168701171875
2014-08-19,71.2708511352539
2014-08-20,71.02845001220703
2014-08-21,71.36067962646484
2014-08-22,70.946044921875
2014-08-25,71.9105224609375
2014-08-26,72.37920379638672
2014-08-27,72.6406021118164
2014-08-28,72.89299774169922
2014-08-29,73.1273193359375
2014-09-02,73.86644744873047
2014-09-03,74.36219787597656
2014-09-04,75.58802795410156
2014-09-05,76.21000671386719
2014-09-08,76.7958755493164
2014-09-09,75.88550567626953
