,IBM
2015-04-24,107.03001403808594
2015-04-27,107.62886047363281
2015-04-28,109.63985443115234
2015-04-29,109.94247436523438
2015-04-30,107.9819107055664
2015-05-01,109.48226928710938
2015-05-04,109.67137908935547
2015-05-05,109.11033630371094
2015-05-06,108.0114974975586
2015-05-07,108.6085433959961
2015-05-08,109.68199157714844
2015-05-11,108.69112396240234
2015-05-12,108.32907104492188
2015-05-13,109.42788696289062
2015-05-14,110.55217742919922
2015-05-15,110.05040740966797
2015-05-18,109.92333984375
2015-05-19,110.19010925292969
2015-05-20,110.36795806884766
2015-05-21,110.10120391845703
2015-05-22,109.38977813720703
2015-05-26,108.06226348876953
2015-05-27,109.2500228881836
2015-05-28,109.06587982177734
2015-05-29,107.75740814208984
2015-06-01,108.09407043457031
2015-06-02,107.75740814208984
2015-06-03,107.92890167236328
2015-06-04,106.95074462890625
2015-06-05,106.32825469970703
2015-06-08,105.01979064941406
2015-06-09,105.23572540283203
2015-06-10,107.29375457763672
2015-06-11,107.20477294921875
2015-06-12,106.06781768798828
2015-06-15,105.6041488647461
2015-06-16,105.97254943847656
2015-06-17,106.18214416503906
2015-06-18,106.86815643310547
2015-06-19,106.06781768798828
2015-06-22,106.53791046142578
2015-06-23,107.10318756103516
2015-06-24,106.0551528930664
2015-06-25,105.48979949951172
2015-06-26,105.09602355957031
2015-06-29,103.51443481445312
2015-06-30,103.31751251220703
2015-07-01,104.47988891601562
2015-07-02,104.86100006103516
2015-07-06,104.63233184814453
2015-07-07,104.80381774902344
2015-07-08,103.63511657714844
2015-07-09,104.07337188720703
2015-07-10,106.04244232177734
2015-07-13,107.58589172363281
2015-07-14,107.09680938720703
2015-07-15,107.04601287841797
2015-07-16,108.61489868164062
2015-07-17,109.57398223876953
2015-07-20,110.02497100830078
2015-07-21,103.57795715332031
2015-07-22,101.85028076171875
2015-07-23,102.72683715820312
2015-07-24,101.46916198730469
2015-07-27,101.03724670410156
2015-07-28,101.65973663330078
2015-07-29,102.32027435302734
2015-07-30,102.23772430419922
2015-07-31,102.89195251464844
2015-08-03,100.80857849121094
2015-08-04,100.10352325439453
2015-08-05,100.29411315917969
2015-08-06,100.11476135253906
2015-08-07,99.34622192382812
2015-08-10,100.39015197753906
2015-08-11,99.59601593017578
2015-08-12,100.0123062133789
2015-08-13,99.31421661376953
2015-08-14,99.7497329711914
2015-08-17,100.10834503173828
