,PKG
2014-01-02,45.9068717956543
2014-01-03,45.70363998413086
2014-01-06,45.21736145019531
2014-01-07,46.131874084472656
2014-01-08,45.94316101074219
2014-01-09,46.02300262451172
2014-01-10,46.87943649291992
2014-01-13,46.857666015625
2014-01-14,47.4745979309082
2014-01-15,47.532657623291016
2014-01-16,47.43830871582031
2014-01-17,47.12620544433594
2014-01-21,47.62702560424805
2014-01-22,48.04796600341797
2014-01-23,47.387508392333984
2014-01-24,45.36252212524414
2014-01-27,45.130271911621094
2014-01-28,45.732669830322266
2014-01-29,46.335086822509766
2014-01-30,46.43669891357422
2014-01-31,46.88669204711914
2014-02-03,45.26091003417969
2014-02-04,45.747188568115234
2014-02-05,45.638328552246094
2014-02-06,45.8560676574707
2014-02-07,47.184268951416016
2014-02-10,47.54718017578125
2014-02-11,47.57622146606445
2014-02-12,52.301170349121094
2014-02-13,51.77134323120117
2014-02-14,52.68585205078125
2014-02-18,52.6640739440918
2014-02-19,52.301170349121094
2014-02-20,52.497135162353516
2014-02-21,52.41729736328125
2014-02-24,52.46809387207031
2014-02-25,52.20682144165039
2014-02-26,52.20682144165039
2014-02-27,52.44633865356445
2014-02-28,52.90357971191406
2014-03-03,52.881805419921875
2014-03-04,53.912445068359375
2014-03-05,54.15194320678711
2014-03-06,53.85436248779297
2014-03-07,53.86164474487305
2014-03-10,53.600341796875
2014-03-11,52.8237419128418
2014-03-12,52.60479736328125
2014-03-13,51.98448181152344
2014-03-14,51.685245513916016
2014-03-17,51.6049690246582
2014-03-18,52.327484130859375
2014-03-19,51.84580612182617
2014-03-20,52.597503662109375
2014-03-21,52.67778396606445
2014-03-24,51.75091552734375
2014-03-25,51.62686538696289
2014-03-26,50.09425354003906
2014-03-27,49.68555450439453
2014-03-28,50.327789306640625
2014-03-31,51.35682678222656
2014-04-01,51.99907302856445
2014-04-02,52.787261962890625
2014-04-03,52.45884323120117
2014-04-04,52.04283905029297
2014-04-07,50.03588104248047
2014-04-08,49.98477554321289
2014-04-09,50.583221435546875
2014-04-10,48.78789520263672
2014-04-11,48.393795013427734
2014-04-14,49.262271881103516
2014-04-15,49.32795333862305
2014-04-16,49.16008758544922
2014-04-17,49.014129638671875
2014-04-21,49.780433654785156
2014-04-22,49.98477554321289
2014-04-23,49.225772857666016
2014-04-24,48.74411392211914
2014-04-25,48.45217514038086
2014-04-28,47.846431732177734
2014-04-29,47.64207077026367
2014-04-30,48.62734603881836
2014-05-01,48.3573112487793
2014-05-02,48.459476470947266
2014-05-05,48.70032501220703
2014-05-06,48.47407150268555
2014-05-07,48.860870361328125
2014-05-08,48.722198486328125
2014-05-09,48.37190246582031
2014-05-12,49.60527420043945
2014-05-13,49.109012603759766
2014-05-14,48.99953079223633
2014-05-15,48.70032501220703
2014-05-16,49.225772857666016
2014-05-19,49.408226013183594
2014-05-20,49.138187408447266
2014-05-21,49.26957321166992
