,CSX
2014-01-02,7.896870136260986
2014-01-03,7.947187900543213
2014-01-06,7.888486385345459
2014-01-07,7.924820899963379
2014-01-08,7.891279220581055
2014-01-09,8.011479377746582
2014-01-10,8.072976112365723
2014-01-13,7.947187900543213
2014-01-14,8.072976112365723
2014-01-15,8.17081356048584
2014-01-16,7.614539623260498
2014-01-17,7.611741065979004
2014-01-21,7.55863094329834
2014-01-22,7.60894775390625
2014-01-23,7.553040504455566
2014-01-24,7.323821067810059
2014-01-27,7.307049751281738
2014-01-28,7.413272857666016
2014-01-29,7.304253101348877
2014-01-30,7.483155727386475
2014-01-31,7.5222930908203125
2014-02-03,7.273504734039307
2014-02-04,7.3657546043396
2014-02-05,7.410475730895996
2014-02-06,7.555838108062744
2014-02-07,7.61733341217041
2014-02-10,7.567015647888184
2014-02-11,7.634108543395996
2014-02-12,7.65647029876709
2014-02-13,7.650877475738525
2014-02-14,7.695603370666504
2014-02-18,7.6620588302612305
2014-02-19,7.572606563568115
2014-02-20,7.645286560058594
2014-02-21,7.636901378631592
2014-02-24,7.740331172943115
2014-02-25,7.634108543395996
2014-02-26,7.648159027099609
2014-02-27,7.718430995941162
2014-02-28,7.788698196411133
2014-03-03,7.757781028747559
2014-03-04,7.954537391662598
2014-03-05,8.021993637084961
2014-03-06,8.075398445129395
2014-03-07,8.114752769470215
2014-03-10,8.12037467956543
2014-03-11,8.106317520141602
2014-03-12,8.12037467956543
2014-03-13,7.999509334564209
2014-03-14,7.977024078369141
2014-03-17,8.047287940979004
2014-03-18,8.078211784362793
2014-03-19,8.02480697631836
2014-03-20,8.047287940979004
2014-03-21,8.083834648132324
2014-03-24,8.064156532287598
2014-03-25,8.170965194702148
2014-03-26,8.0529146194458
2014-03-27,7.946103096008301
2014-03-28,8.033236503601074
2014-03-31,8.142860412597656
2014-04-01,8.18502140045166
2014-04-02,8.213127136230469
2014-04-03,8.176589965820312
2014-04-04,8.083834648132324
2014-04-07,7.979831218719482
2014-04-08,7.94329309463501
2014-04-09,8.01356315612793
2014-04-10,7.861780166625977
2014-04-11,7.87302303314209
2014-04-14,7.977024078369141
2014-04-15,7.951725482940674
2014-04-16,7.811187744140625
2014-04-17,7.912374496459961
2014-04-21,7.920808792114258
2014-04-22,7.929237365722656
2014-04-23,7.915184020996094
2014-04-24,7.982645511627197
2014-04-25,7.878644943237305
2014-04-28,7.912374496459961
2014-04-29,7.917996883392334
2014-04-30,7.932053089141846
2014-05-01,7.833669662475586
2014-05-02,7.822427749633789
2014-05-05,7.864590167999268
2014-05-06,7.850534439086914
2014-05-07,7.887075901031494
2014-05-08,7.974213123321533
2014-05-09,8.064156532287598
2014-05-12,8.193453788757324
2014-05-13,8.300263404846191
2014-05-14,8.252480506896973
2014-05-15,8.170965194702148
2014-05-16,8.227184295654297
2014-05-19,8.224372863769531
2014-05-20,8.207507133483887
2014-05-21,8.33680534362793
2014-05-22,8.277779579162598
2014-05-23,8.317343711853027
2014-05-27,8.286250114440918
2014-05-28,8.362564086914062
2014-05-29,8.342781066894531
2014-05-30,8.308865547180176
2014-06-02,8.351256370544434
2014-06-03,8.212776184082031
2014-06-04,8.229729652404785
2014-06-05,8.419086456298828
2014-06-06,8.58864974975586
2014-06-09,8.597131729125977
2014-06-10,8.583000183105469
2014-06-11,8.580175399780273
2014-06-12,8.475606918334961
2014-06-13,8.577347755432129
2014-06-16,8.551913261413574
2014-06-17,8.608434677124023
2014-06-18,8.704524040222168
2014-06-19,8.713004112243652
2014-06-20,8.761041641235352
2014-06-23,8.70734977722168
2014-06-24,8.55473804473877
2014-06-25,8.65930461883545
2014-06-26,8.66213607788086
2014-06-27,8.696044921875
2014-06-30,8.70734977722168
2014-07-01,8.752570152282715
2014-07-02,8.766698837280273
2014-07-03,8.817572593688965
2014-07-07,8.763870239257812
2014-07-08,8.732787132263184
2014-07-09,8.789311408996582
2014-07-10,8.715828895568848
2014-07-11,8.761041641235352
2014-07-14,8.769524574279785
2014-07-15,8.803442001342773
2014-07-16,8.814742088317871
2014-07-17,8.693221092224121
2014-07-18,8.786482810974121
2014-07-21,8.800615310668945
2014-07-22,8.859963417053223
2014-07-23,8.797788619995117
2014-07-24,8.789311408996582
2014-07-25,8.761041641235352
2014-07-28,8.684741020202637
2014-07-29,8.625391006469727
2014-07-30,8.608434677124023
2014-07-31,8.455826759338379
2014-08-01,8.362564086914062
2014-08-04,8.399303436279297
2014-08-05,8.317343711853027
2014-08-06,8.283430099487305
2014-08-07,8.272125244140625
2014-08-08,8.348431587219238
2014-08-11,8.421908378601074
2014-08-12,8.37386417388916
2014-08-13,8.399303436279297
2014-08-14,8.523651123046875
2014-08-15,8.540608406066895
2014-08-18,8.65930461883545
2014-08-19,8.64234733581543
2014-08-20,8.7243070602417
2014-08-21,8.656479835510254
2014-08-22,8.679086685180664
2014-08-25,8.687566757202148
2014-08-26,8.713004112243652
2014-08-27,8.74425220489502
2014-08-28,8.741410255432129
2014-08-29,8.781184196472168
2014-09-02,8.823799133300781
2014-09-03,8.838003158569336
2014-09-04,8.866410255432129
2014-09-05,8.945956230163574
2014-09-08,8.860726356506348
2014-09-09,8.835161209106445
2014-09-10,8.806745529174805
2014-09-11,8.909022331237793
2014-09-12,8.889137268066406
2014-09-15,8.945956230163574
2014-09-16,9.053909301757812
2014-09-17,9.187430381774902
2014-09-18,9.20163631439209
2014-09-19,9.22152042388916
2014-09-22,9.107888221740723
2014-09-23,9.0112943649292
2014-09-24,9.102204322814941
2014-09-25,9.028340339660645
2014-09-26,9.181747436523438
2014-09-29,9.164706230163574
2014-09-30,9.107888221740723
2014-10-01,8.832321166992188
2014-10-02,8.903342247009277
2014-10-03,9.07095718383789
2014-10-06,9.110724449157715
2014-10-07,8.835161209106445
2014-10-08,8.945956230163574
2014-10-09,8.730047225952148
2014-10-10,8.505620956420898
2014-10-13,9.005616188049316
2014-10-14,9.264130592346191
2014-10-15,9.369245529174805
2014-10-16,9.369245529174805
2014-10-17,9.619246482849121
2014-10-20,9.519814491271973
2014-10-21,9.715835571289062
2014-10-22,9.653337478637695
2014-10-23,9.891972541809082
2014-10-24,10.028336524963379
2014-10-27,9.934585571289062
2014-10-28,10.025494575500488
2014-10-29,10.056742668151855
2014-10-30,10.025494575500488
2014-10-31,10.122084617614746
2014-11-03,10.04822063446045
2014-11-04,9.829468727111816
2014-11-05,9.823789596557617
2014-11-06,9.980037689208984
2014-11-07,10.070947647094727
2014-11-10,10.386286735534668
2014-11-11,10.428897857666016
2014-11-12,10.445942878723145
2014-11-13,10.406172752380371
2014-11-14,10.451624870300293
2014-11-17,10.417532920837402
2014-11-18,10.417532920837402
2014-11-19,10.474352836608887
2014-11-20,10.593668937683105
2014-11-21,10.670373916625977
2014-11-24,10.761282920837402
2014-11-25,10.806930541992188
2014-11-26,10.815488815307617
2014-11-28,10.410370826721191
2014-12-01,10.002401351928711
2014-12-02,10.401809692382812
2014-12-03,10.630049705505371
2014-12-04,10.424637794494629
2014-12-05,10.541610717773438
2014-12-08,10.227781295776367
2014-12-09,10.327634811401367
2014-12-10,9.982430458068848
2014-12-11,10.093695640563965
2014-12-12,9.93963623046875
2014-12-15,9.8511962890625
2014-12-16,9.891139030456543
2014-12-17,10.204957962036133
2014-12-18,10.287697792053223
2014-12-19,10.202105522155762
2014-12-22,10.3932523727417
2014-12-23,10.450312614440918
2014-12-24,10.430342674255371
2014-12-26,10.464573860168457
2014-12-29,10.501665115356445
2014-12-30,10.3932523727417
2014-12-31,10.336194038391113
2015-01-02,10.227781295776367
2015-01-05,9.951045036315918
2015-01-06,9.554489135742188
2015-01-07,9.680018424987793
2015-01-08,9.834077835083008
2015-01-09,9.814105987548828
2015-01-12,9.67431354522705
2015-01-13,9.57160472869873
2015-01-14,9.600139617919922
2015-01-15,9.731374740600586
2015-01-16,9.945342063903809
2015-01-20,9.854047775268555
2015-01-21,9.89969539642334
2015-01-22,10.056608200073242
2015-01-23,9.834077835083008
2015-01-26,9.973871231079102
2015-01-27,9.791282653808594
2015-01-28,9.614400863647461
2015-01-29,9.631519317626953
2015-01-30,9.50028133392334
2015-02-02,9.608695030212402
2015-02-03,9.888283729553223
2015-02-04,9.862606048583984
2015-02-05,10.04234504699707
2015-02-06,10.110811233520508
2015-02-09,10.070874214172363
2015-02-10,10.136491775512695
2015-02-11,10.253458976745605
2015-02-12,10.433197021484375
2015-02-13,10.293402671813965
2015-02-17,10.227781295776367
2015-02-18,10.096548080444336
2015-02-19,10.136491775512695
2015-02-20,10.142195701599121
2015-02-23,10.204957962036133
2015-02-24,10.147902488708496
2015-02-25,10.090585708618164
2015-02-26,9.832660675048828
2015-02-27,9.832660675048828
2015-03-02,9.935829162597656
2015-03-03,9.77820873260498
2015-03-04,9.81259536743164
2015-03-05,9.709426879882812
2015-03-06,9.65211009979248
2015-03-09,9.729490280151367
2015-03-10,9.580467224121094
2015-03-11,9.646384239196777
2015-03-12,9.795404434204102
2015-03-13,9.781076431274414
2015-03-16,9.932964324951172
2015-03-17,9.92436695098877
2015-03-18,10.04759693145752
2015-03-19,9.95875358581543
2015-03-20,10.076253890991211
2015-03-23,9.657843589782715
2015-03-24,9.675039291381836
2015-03-25,9.546079635620117
2015-03-26,9.5346097946167
2015-03-27,9.514554977416992
2015-03-30,9.557540893554688
2015-03-31,9.49162769317627
2015-04-01,9.58619499206543
2015-04-02,9.548940658569336
2015-04-06,9.526017189025879
2015-04-07,9.614852905273438
2015-04-08,9.528882026672363
2015-04-09,9.683637619018555
2015-04-10,9.672173500061035
2015-04-13,9.480159759521484
2015-04-14,9.517415046691895
2015-04-15,9.417116165161133
2015-04-16,9.29101848602295
2015-04-17,9.543208122253418
2015-04-20,9.998878479003906
2015-04-21,10.130703926086426
2015-04-22,10.391498565673828
2015-04-23,10.572042465209961
2015-04-24,10.637957572937012
2015-04-27,10.577775955200195
2015-04-28,10.549115180969238
2015-04-29,10.589241981506348
2015-04-30,10.34277629852295
2015-05-01,10.735396385192871
2015-05-04,10.491802215576172
2015-05-05,10.147902488708496
2015-05-06,10.216680526733398
2015-05-07,10.291192054748535
2015-05-08,10.511858940124512
