,ABBV
2014-01-02,33.29131317138672
2014-01-03,33.49626541137695
2014-01-06,32.272972106933594
2014-01-07,32.337013244628906
2014-01-08,32.25376510620117
2014-01-09,32.804542541503906
2014-01-10,32.5995979309082
2014-01-13,32.16709518432617
2014-01-14,32.66415786743164
2014-01-15,32.34785461425781
2014-01-16,32.5995979309082
2014-01-17,32.315574645996094
2014-01-21,32.27684783935547
2014-01-22,31.682954788208008
2014-01-23,31.547380447387695
2014-01-24,30.850204467773438
2014-01-27,30.23049545288086
2014-01-28,30.7856502532959
2014-01-29,30.734006881713867
2014-01-30,31.185884475708008
2014-01-31,31.779788970947266
2014-02-03,30.566162109375
2014-02-04,30.953489303588867
2014-02-05,30.811477661132812
2014-02-06,30.94057846069336
2014-02-07,31.560287475585938
2014-02-10,31.986345291137695
2014-02-11,32.05735397338867
2014-02-12,32.63835144042969
2014-02-13,32.50277328491211
2014-02-14,32.74808883666992
2014-02-18,33.21931838989258
2014-02-19,33.04501724243164
2014-02-20,33.47753143310547
2014-02-21,32.94819641113281
2014-02-24,32.82554244995117
2014-02-25,32.741634368896484
2014-02-26,32.75454330444336
2014-02-27,32.86427307128906
2014-02-28,32.86427307128906
2014-03-03,32.33492660522461
2014-03-04,33.303245544433594
2014-03-05,33.37425994873047
2014-03-06,33.5937385559082
2014-03-07,33.21931838989258
2014-03-10,33.348426818847656
2014-03-11,33.40652847290039
2014-03-12,33.33552932739258
2014-03-13,33.128936767578125
2014-03-14,33.05794143676758
2014-03-17,33.55500793457031
2014-03-18,34.27800750732422
2014-03-19,34.28446960449219
2014-03-20,34.65241622924805
2014-03-21,34.51039123535156
2014-03-24,33.15476989746094
2014-03-25,33.36779022216797
2014-03-26,33.24513626098633
2014-03-27,33.348426818847656
2014-03-28,32.90946578979492
2014-03-31,33.18060302734375
2014-04-01,33.6324577331543
2014-04-02,34.43293380737305
2014-04-03,34.53620910644531
2014-04-04,33.697021484375
2014-04-07,32.677059173583984
2014-04-08,31.69585418701172
2014-04-09,32.68351745605469
2014-04-10,30.566162109375
2014-04-11,30.260047912597656
2014-04-14,30.501033782958984
2014-04-15,31.171875
2014-04-16,31.341228485107422
2014-04-17,31.62129783630371
2014-04-21,32.194454193115234
2014-04-22,32.57221221923828
2014-04-23,32.65686798095703
2014-04-24,32.1228141784668
2014-04-25,32.00556564331055
2014-04-28,33.13233947753906
2014-04-29,33.4579963684082
2014-04-30,33.920433044433594
2014-05-01,33.614322662353516
2014-05-02,33.33425521850586
2014-05-05,33.45149230957031
2014-05-06,33.15839767456055
2014-05-07,34.38287353515625
2014-05-08,33.966033935546875
2014-05-09,34.03767776489258
2014-05-12,34.10931396484375
2014-05-13,33.998592376708984
2014-05-14,34.434967041015625
2014-05-15,34.31773376464844
2014-05-16,34.474056243896484
2014-05-19,35.24260330200195
2014-05-20,34.8713493347168
2014-05-21,34.69550323486328
2014-05-22,34.92997360229492
2014-05-23,35.13839340209961
2014-05-27,35.1644401550293
2014-05-28,35.216556549072266
2014-05-29,35.190494537353516
2014-05-30,35.38589096069336
2014-06-02,35.268646240234375
2014-06-03,35.41194534301758
2014-06-04,35.54873275756836
2014-06-05,36.017662048339844
2014-06-06,35.887413024902344
2014-06-09,35.066741943359375
2014-06-10,35.15141677856445
2014-06-11,35.32075881958008
2014-06-12,34.949501037597656
2014-06-13,35.27517318725586
2014-06-16,35.170955657958984
2014-06-17,35.3663444519043
2014-06-18,35.54219436645508
2014-06-19,35.294700622558594
2014-06-20,34.715030670166016
2014-06-23,35.00812530517578
2014-06-24,34.90391159057617
2014-06-25,35.822261810302734
2014-06-26,36.805755615234375
2014-06-27,36.988121032714844
2014-06-30,36.76015853881836
2014-07-01,37.053253173828125
2014-07-02,37.84785461425781
2014-07-03,37.919490814208984
2014-07-07,37.38542556762695
2014-07-08,36.27167892456055
2014-07-09,35.82877731323242
2014-07-10,36.33681106567383
2014-07-11,36.06774139404297
2014-07-14,35.99555587768555
2014-07-15,35.07024383544922
2014-07-16,35.20804977416992
2014-07-17,35.12273406982422
2014-07-18,36.03493118286133
2014-07-21,35.43772506713867
2014-07-22,35.470550537109375
2014-07-23,35.752742767333984
2014-07-24,35.49024200439453
2014-07-25,34.89960861206055
2014-07-28,35.26710891723633
2014-07-29,35.06367874145508
2014-07-30,35.27367401123047
2014-07-31,34.34836196899414
2014-08-01,34.44023513793945
2014-08-04,34.9718017578125
2014-08-05,34.6436767578125
2014-08-06,34.158050537109375
2014-08-07,34.407432556152344
2014-08-08,34.663352966308594
2014-08-11,34.984928131103516
2014-08-12,34.67648696899414
2014-08-13,35.175235748291016
2014-08-14,35.56241989135742
2014-08-15,35.37211227416992
2014-08-18,35.64117431640625
2014-08-19,36.284305572509766
2014-08-20,36.13337707519531
2014-08-21,36.06774139404297
2014-08-22,36.22523880004883
2014-08-25,36.66493606567383
2014-08-26,36.58618927001953
2014-08-27,36.553367614746094
2014-08-28,36.48774719238281
2014-08-29,36.27775192260742
2014-09-02,36.13993835449219
2014-09-03,36.428688049316406
2014-09-04,36.44837951660156
2014-09-05,36.71087646484375
2014-09-08,36.46806335449219
2014-09-09,37.373695373535156
2014-09-10,37.53119659423828
2014-09-11,37.964324951171875
2014-09-12,37.984012603759766
2014-09-15,38.016815185546875
2014-09-16,38.456512451171875
2014-09-17,39.12588882446289
2014-09-18,39.01433181762695
2014-09-19,38.75838851928711
2014-09-22,38.52869415283203
2014-09-23,37.77401351928711
2014-09-24,38.751827239990234
2014-09-25,38.062747955322266
2014-09-26,38.84370803833008
2014-09-29,38.40401077270508
2014-09-30,37.90523910522461
2014-10-01,37.557437896728516
2014-10-02,37.18993377685547
2014-10-03,38.515567779541016
2014-10-06,37.93806076049805
2014-10-07,37.17680740356445
2014-10-08,38.285884857177734
2014-10-09,37.22274398803711
2014-10-10,36.34343338012695
2014-10-13,35.450862884521484
2014-10-14,35.78806686401367
2014-10-15,36.11864471435547
2014-10-16,34.9748420715332
2014-10-17,35.28557586669922
2014-10-20,35.97318649291992
2014-10-21,37.21613311767578
2014-10-22,37.619441986083984
2014-10-23,39.351661682128906
2014-10-24,39.860740661621094
2014-10-27,39.99297332763672
2014-10-28,40.28386688232422
2014-10-29,39.655792236328125
2014-10-30,40.44916534423828
2014-10-31,41.95658874511719
2014-11-03,41.8177375793457
2014-11-04,41.42766189575195
2014-11-05,41.348331451416016
2014-11-06,41.460731506347656
2014-11-07,40.660743713378906
2014-11-10,42.17476272583008
2014-11-11,42.21442413330078
2014-11-12,42.154937744140625
2014-11-13,42.06897735595703
2014-11-14,42.313602447509766
2014-11-17,43.00120162963867
2014-11-18,43.668975830078125
2014-11-19,43.30533981323242
2014-11-20,43.100379943847656
2014-11-21,44.535072326660156
2014-11-24,44.81275177001953
2014-11-25,44.997867584228516
2014-11-26,45.42101287841797
2014-11-28,45.7515869140625
2014-12-01,45.69209289550781
2014-12-02,45.797874450683594
2014-12-03,45.28879165649414
2014-12-04,45.996219635009766
2014-12-05,46.08877944946289
2014-12-08,45.89705276489258
2014-12-09,45.7119140625
2014-12-10,44.68053436279297
2014-12-11,44.316898345947266
2014-12-12,43.153263092041016
2014-12-15,43.38467788696289
2014-12-16,43.14004898071289
2014-12-17,44.01276397705078
2014-12-18,44.90531921386719
2014-12-19,44.76647186279297
2014-12-22,44.2772216796875
2014-12-23,42.54501724243164
2014-12-24,43.774742126464844
2014-12-26,44.28382873535156
2014-12-29,44.389625549316406
2014-12-30,43.834251403808594
2014-12-31,43.265663146972656
2015-01-02,43.563175201416016
2015-01-05,42.74335861206055
2015-01-06,42.531795501708984
2015-01-07,44.25077438354492
2015-01-08,44.71358871459961
2015-01-09,43.49045944213867
2015-01-12,43.47722625732422
2015-01-13,42.224937438964844
2015-01-14,42.43144226074219
2015-01-15,41.891883850097656
2015-01-16,42.990970611572266
2015-01-20,42.26491165161133
2015-01-21,41.76532745361328
2015-01-22,41.95182418823242
2015-01-23,41.585472106933594
2015-01-26,41.8519172668457
2015-01-27,42.03177261352539
2015-01-28,41.19912338256836
2015-01-29,42.045082092285156
2015-01-30,40.199951171875
2015-02-02,40.43309783935547
2015-02-03,41.06591033935547
2015-02-04,37.908531188964844
2015-02-05,38.62792205810547
2015-02-06,37.9018669128418
2015-02-09,36.95597839355469
2015-02-10,37.89520263671875
2015-02-11,37.76197814941406
2015-02-12,38.00178146362305
2015-02-13,38.667884826660156
2015-02-17,39.11418914794922
2015-02-18,39.460567474365234
2015-02-19,39.30070495605469
2015-02-20,40.8327522277832
2015-02-23,40.346492767333984
2015-02-24,40.54633331298828
2015-02-25,40.37980651855469
2015-02-26,40.313201904296875
2015-02-27,40.29987335205078
2015-03-02,40.27323532104492
2015-03-03,39.71369171142578
2015-03-04,40.14665603637695
2015-03-05,37.87521743774414
2015-03-06,37.06255340576172
2015-03-09,36.995948791503906
2015-03-10,37.19578170776367
2015-03-11,37.71534729003906
2015-03-12,38.63458251953125
2015-03-13,38.63458251953125
2015-03-16,39.38063430786133
2015-03-17,39.78696823120117
2015-03-18,39.89353561401367
2015-03-19,40.759490966796875
2015-03-20,40.23325729370117
2015-03-23,40.286556243896484
2015-03-24,39.72035598754883
2015-03-25,38.781124114990234
2015-03-26,38.14832305908203
