,AME
2014-01-02,48.399871826171875
2014-01-03,48.47420883178711
2014-01-06,48.204750061035156
2014-01-07,48.40916442871094
2014-01-08,48.29768371582031
2014-01-09,48.4927978515625
2014-01-10,48.80870819091797
2014-01-13,48.000335693359375
2014-01-14,48.53924560546875
2014-01-15,49.02241134643555
2014-01-16,48.87374496459961
2014-01-17,48.33483123779297
2014-01-21,48.42774963378906
2014-01-22,48.399871826171875
2014-01-23,47.73087692260742
2014-01-24,46.114139556884766
2014-01-27,45.89115524291992
2014-01-28,46.365020751953125
2014-01-29,46.21635055541992
2014-01-30,46.51368713378906
2014-01-31,45.91901397705078
2014-02-03,44.28370666503906
2014-02-04,44.6832389831543
2014-02-05,44.54386520385742
2014-02-06,45.296485900878906
2014-02-07,46.142024993896484
2014-02-10,45.9376106262207
2014-02-11,46.47652053833008
2014-02-12,47.126930236816406
2014-02-13,47.59150695800781
2014-02-14,47.740177154541016
2014-02-18,47.80521011352539
2014-02-19,47.95389938354492
2014-02-20,48.55781936645508
2014-02-21,48.641441345214844
2014-02-24,49.115318298339844
2014-02-25,49.14319610595703
2014-02-26,48.95737075805664
2014-02-27,49.245418548583984
2014-02-28,49.468421936035156
2014-03-03,48.88304138183594
2014-03-04,49.923702239990234
2014-03-05,49.82148361206055
2014-03-06,49.94227600097656
2014-03-07,50.313934326171875
2014-03-10,49.82148361206055
2014-03-11,49.217552185058594
2014-03-12,49.45911407470703
2014-03-13,49.04983139038086
2014-03-14,48.94749450683594
2014-03-17,49.905616760253906
2014-03-18,50.13817596435547
2014-03-19,49.3195915222168
2014-03-20,49.32889175415039
2014-03-21,49.2265510559082
2014-03-24,48.82657241821289
2014-03-25,49.00332260131836
2014-03-26,48.11961364746094
2014-03-27,47.73822784423828
2014-03-28,47.74753189086914
2014-03-31,47.8963737487793
2014-04-01,48.845176696777344
2014-04-02,49.15215301513672
2014-04-03,49.01261901855469
2014-04-04,47.81263732910156
2014-04-07,46.96615982055664
2014-04-08,47.096397399902344
2014-04-09,47.226619720458984
2014-04-10,46.23129653930664
2014-04-11,46.808021545410156
2014-04-14,47.03126907348633
2014-04-15,47.217308044433594
2014-04-16,47.9893913269043
2014-04-17,48.398681640625
2014-04-21,48.333560943603516
2014-04-22,48.389381408691406
2014-04-23,48.17543029785156
2014-04-24,48.29637145996094
2014-04-25,47.8963737487793
2014-04-28,48.1661376953125
2014-04-29,48.61261749267578
2014-04-30,49.040523529052734
2014-05-01,49.06843948364258
2014-05-02,49.02192306518555
2014-05-05,49.25447082519531
2014-05-06,48.845176696777344
2014-05-07,49.3195915222168
2014-05-08,49.4218864440918
2014-05-09,49.273094177246094
2014-05-12,49.868408203125
2014-05-13,49.626548767089844
2014-05-14,49.105628967285156
2014-05-15,48.668434143066406
2014-05-16,49.04983139038086
2014-05-19,48.975406646728516
2014-05-20,48.0265998840332
2014-05-21,48.51029968261719
2014-05-22,48.70565414428711
2014-05-23,48.82657241821289
2014-05-27,49.07773208618164
2014-05-28,49.15215301513672
2014-05-29,49.35679626464844
2014-05-30,49.375404357910156
2014-06-02,49.24517059326172
2014-06-03,49.26377868652344
2014-06-04,49.16143798828125
2014-06-05,49.55213928222656
2014-06-06,50.04513931274414
2014-06-09,50.41721725463867
2014-06-10,50.314910888671875
2014-06-11,50.04513931274414
2014-06-12,49.61652755737305
2014-06-13,49.63516616821289
2014-06-16,49.41154479980469
2014-06-17,49.63516616821289
2014-06-18,49.80289840698242
2014-06-19,49.87742233276367
2014-06-20,50.38990020751953
2014-06-23,50.0544548034668
2014-06-24,49.597900390625
2014-06-25,49.63516616821289
2014-06-26,49.21588134765625
2014-06-27,49.309059143066406
2014-06-30,48.71271514892578
2014-07-01,49.18793487548828
2014-07-02,48.97360610961914
2014-07-03,49.5140495300293
2014-07-07,49.15996551513672
2014-07-08,49.029510498046875
2014-07-09,48.93634796142578
2014-07-10,48.6102180480957
2014-07-11,48.675445556640625
2014-07-14,48.964298248291016
2014-07-15,49.25313949584961
2014-07-16,49.24382400512695
2014-07-17,48.14434051513672
2014-07-18,48.57296371459961
2014-07-21,48.41455841064453
2014-07-22,48.60090637207031
2014-07-23,48.34002685546875
2014-07-24,48.24684143066406
2014-07-25,48.03253173828125
2014-07-28,47.93003845214844
2014-07-29,47.27781295776367
2014-07-30,46.75601577758789
2014-07-31,45.3676872253418
2014-08-01,45.22792434692383
2014-08-04,45.759037017822266
2014-08-05,47.49211120605469
2014-08-06,47.38028335571289
2014-08-07,47.04485321044922
2014-08-08,48.16298294067383
2014-08-11,47.92072677612305
2014-08-12,47.78097152709961
2014-08-13,48.06980514526367
2014-08-14,48.01390075683594
2014-08-15,47.90209197998047
2014-08-18,48.81520080566406
2014-08-19,49.0947380065918
2014-08-20,49.523353576660156
2014-08-21,49.49540710449219
2014-08-22,49.337005615234375
2014-08-25,49.551307678222656
2014-08-26,49.309059143066406
2014-08-27,49.22519302368164
2014-08-28,49.35563278198242
2014-08-29,49.32768630981445
2014-09-02,49.26245880126953
2014-09-03,49.178611755371094
2014-09-04,49.29042053222656
2014-09-05,49.523353576660156
2014-09-08,49.4022331237793
2014-09-09,48.84316635131836
2014-09-10,49.178611755371094
2014-09-11,49.085426330566406
2014-09-12,48.62808609008789
2014-09-15,48.32008361816406
2014-09-16,48.27341079711914
2014-09-17,48.32940673828125
2014-09-18,48.488075256347656
2014-09-19,48.68407440185547
2014-09-22,48.021392822265625
2014-09-23,47.37737274169922
2014-09-24,47.909385681152344
2014-09-25,47.20939254760742
2014-09-26,48.54408645629883
2014-09-29,47.582706451416016
2014-09-30,46.8640251159668
2014-10-01,46.04266357421875
2014-10-02,46.005348205566406
2014-10-03,46.75202178955078
2014-10-06,46.83604049682617
2014-10-07,45.27731704711914
2014-10-08,46.22000503540039
2014-10-09,45.174652099609375
2014-10-10,44.25062561035156
2014-10-13,43.2145881652832
2014-10-14,43.04658889770508
2014-10-15,43.52260971069336
2014-10-16,44.25062561035156
2014-10-17,45.57600402832031
2014-10-20,45.98667526245117
2014-10-21,47.10669708251953
2014-10-22,46.34135055541992
2014-10-23,47.442718505859375
2014-10-24,47.909385681152344
2014-10-27,47.862735748291016
2014-10-28,48.142738342285156
2014-10-29,47.480045318603516
2014-10-30,47.81605911254883
2014-10-31,48.67475509643555
2014-11-03,48.525421142578125
2014-11-04,47.900062561035156
2014-11-05,47.96539306640625
2014-11-06,48.69342041015625
2014-11-07,48.54408645629883
2014-11-10,48.74009323120117
2014-11-11,48.82408142089844
2014-11-12,48.74009323120117
2014-11-13,46.966705322265625
2014-11-14,48.25473403930664
2014-11-17,47.65738296508789
2014-11-18,47.33071517944336
2014-11-19,47.60138702392578
2014-11-20,47.52670669555664
2014-11-21,48.18940353393555
2014-11-24,48.23606872558594
2014-11-25,48.478736877441406
2014-11-26,48.25473403930664
2014-11-28,47.564064025878906
2014-12-01,47.27471923828125
2014-12-02,47.676063537597656
2014-12-03,48.526912689208984
2014-12-04,48.37730407714844
2014-12-05,48.17160415649414
2014-12-08,47.67605209350586
2014-12-09,47.750850677490234
2014-12-10,46.48858642578125
2014-12-11,46.41379165649414
2014-12-12,45.43203353881836
2014-12-15,45.49748992919922
2014-12-16,45.562931060791016
2014-12-17,46.85325241088867
2014-12-18,48.89157485961914
2014-12-19,48.957008361816406
2014-12-22,49.68632125854492
2014-12-23,50.294071197509766
2014-12-24,50.471744537353516
2014-12-26,50.471744537353516
2014-12-29,50.41563034057617
2014-12-30,49.81721878051758
2014-12-31,49.2094841003418
2015-01-02,49.20011901855469
2015-01-05,47.722808837890625
2015-01-06,46.80649185180664
2015-01-07,46.94674301147461
2015-01-08,48.10614776611328
2015-01-09,47.67605209350586
2015-01-12,46.48858642578125
2015-01-13,46.48858642578125
2015-01-14,45.90888595581055
2015-01-15,45.18893051147461
2015-01-16,45.40397644042969
2015-01-20,45.310482025146484
2015-01-21,45.95563507080078
2015-01-22,46.086551666259766
2015-01-23,45.656436920166016
2015-01-26,46.35768508911133
2015-01-27,45.81537628173828
2015-01-28,45.58163070678711
2015-01-29,45.946285247802734
2015-01-30,44.78688430786133
2015-02-02,46.30158996582031
2015-02-03,47.1711540222168
2015-02-04,46.292236328125
2015-02-05,46.46054458618164
2015-02-06,46.385746002197266
2015-02-09,46.61014938354492
2015-02-10,46.77843475341797
2015-02-11,46.65690612792969
2015-02-12,47.32075500488281
2015-02-13,48.06875228881836
2015-02-17,48.15290451049805
2015-02-18,48.040706634521484
2015-02-19,47.92850112915039
2015-02-20,48.265106201171875
2015-02-23,49.00375747680664
2015-02-24,49.18140411376953
2015-02-25,49.5086784362793
2015-02-26,49.80786895751953
