,ALB
2014-01-02,53.976234436035156
2014-01-03,54.070274353027344
2014-01-06,53.95060348510742
2014-01-07,54.31819534301758
2014-01-08,55.45516586303711
2014-01-09,56.27583312988281
2014-01-10,56.84003829956055
2014-01-13,56.20744705200195
2014-01-14,56.942630767822266
2014-01-15,57.05375671386719
2014-01-16,56.737457275390625
2014-01-17,56.421180725097656
2014-01-21,56.54938888549805
2014-01-22,56.6776008605957
2014-01-23,56.01081085205078
2014-01-24,54.1215705871582
2014-01-27,54.36093521118164
2014-01-28,54.02753448486328
2014-01-29,55.780033111572266
2014-01-30,55.2414436340332
2014-01-31,54.86531066894531
2014-02-03,53.19831848144531
2014-02-04,53.18122863769531
2014-02-05,53.42057800292969
2014-02-06,53.75398254394531
2014-02-07,54.26688003540039
2014-02-10,54.46351623535156
2014-02-11,54.79690933227539
2014-02-12,55.113224029541016
2014-02-13,55.40387725830078
2014-02-14,55.788578033447266
2014-02-18,55.12177276611328
2014-02-19,55.06193161010742
2014-02-20,55.08757400512695
2014-02-21,54.63449478149414
2014-02-24,54.57465362548828
2014-02-25,54.9507942199707
2014-02-26,56.04502487182617
2014-02-27,56.062110900878906
2014-02-28,56.412620544433594
2014-03-03,56.198875427246094
2014-03-04,56.455352783203125
2014-03-05,56.455352783203125
2014-03-06,56.91698455810547
2014-03-07,56.891353607177734
2014-03-10,56.395530700683594
2014-03-11,56.027923583984375
2014-03-12,55.80903244018555
2014-03-13,55.1136474609375
2014-03-14,54.53848648071289
2014-03-17,55.242435455322266
2014-03-18,55.59439468383789
2014-03-19,55.19950485229492
2014-03-20,55.0106315612793
2014-03-21,55.508548736572266
2014-03-24,55.30250930786133
2014-03-25,55.671661376953125
2014-03-26,55.25101089477539
2014-03-27,55.70600128173828
2014-03-28,55.88626480102539
2014-03-31,57.01945114135742
2014-04-01,57.04519271850586
2014-04-02,57.448699951171875
2014-04-03,57.34566116333008
2014-04-04,56.75334930419922
2014-04-07,55.8261833190918
2014-04-08,56.11806869506836
2014-04-09,56.718997955322266
2014-04-10,55.91202926635742
2014-04-11,55.68025207519531
2014-04-14,56.30691909790039
2014-04-15,56.33266830444336
2014-04-16,56.89926528930664
2014-04-17,57.242652893066406
2014-04-21,57.68906021118164
2014-04-22,58.15264892578125
2014-04-23,57.57746505737305
2014-04-24,57.3799934387207
2014-04-25,56.53012466430664
2014-04-28,56.67606735229492
2014-04-29,57.16538619995117
