,IVZ
2014-01-02,22.752145767211914
2014-01-03,22.910724639892578
2014-01-06,23.069297790527344
2014-01-07,23.272274017333984
2014-01-08,23.17078399658203
2014-01-09,22.859983444213867
2014-01-10,22.739463806152344
2014-01-13,22.232030868530273
2014-01-14,22.339862823486328
2014-01-15,22.492084503173828
2014-01-16,22.327178955078125
2014-01-17,22.2066593170166
2014-01-21,22.22568702697754
2014-01-22,22.739463806152344
2014-01-23,22.193973541259766
2014-01-24,21.23618507385254
2014-01-27,20.982471466064453
2014-01-28,21.204477310180664
2014-01-29,20.96343994140625
2014-01-30,21.248868942260742
2014-01-31,21.09030532836914
2014-02-03,20.2276554107666
2014-02-04,20.58920669555664
2014-02-05,20.15154457092285
2014-02-06,20.773149490356445
2014-02-07,20.855609893798828
2014-02-10,21.62944984436035
2014-02-11,21.788021087646484
2014-02-12,21.788021087646484
2014-02-13,21.902196884155273
2014-02-14,21.794370651245117
2014-02-18,21.79755973815918
2014-02-19,21.59324073791504
2014-02-20,21.510250091552734
2014-02-21,21.414472579956055
2014-02-24,21.599634170532227
2014-02-25,21.286775588989258
2014-02-26,21.139928817749023
2014-02-27,21.7847900390625
2014-02-28,21.899715423583984
2014-03-03,21.293163299560547
2014-03-04,21.995485305786133
2014-03-05,21.976329803466797
2014-03-06,21.95079231262207
2014-03-07,22.040180206298828
2014-03-10,22.257259368896484
2014-03-11,22.187034606933594
2014-03-12,22.716960906982422
2014-03-13,22.225337982177734
2014-03-14,22.046567916870117
2014-03-17,22.282800674438477
2014-03-18,22.404102325439453
2014-03-19,22.295570373535156
2014-03-20,23.144744873046875
2014-03-21,23.08089828491211
2014-03-24,23.106428146362305
2014-03-25,23.13835334777832
2014-03-26,23.163894653320312
2014-03-27,23.06812858581543
2014-03-28,23.26605224609375
2014-03-31,23.62360191345215
2014-04-01,23.91729736328125
2014-04-02,24.05776596069336
2014-04-03,23.400131225585938
2014-04-04,22.76165771484375
2014-04-07,22.11040687561035
2014-04-08,22.429649353027344
2014-04-09,22.697811126708984
2014-04-10,22.167871475219727
2014-04-11,21.765636444091797
2014-04-14,21.969945907592773
2014-04-15,22.11040687561035
2014-04-16,22.461572647094727
2014-04-17,22.487119674682617
2014-04-21,22.563732147216797
2014-04-22,22.799962997436523
2014-04-23,22.838274002075195
2014-04-24,22.589265823364258
2014-04-25,22.27003288269043
2014-04-28,22.21256446838379
2014-04-29,22.487119674682617
2014-04-30,22.480722427368164
2014-05-01,22.997894287109375
2014-05-02,22.959585189819336
2014-05-05,22.844663619995117
2014-05-06,22.512649536132812
2014-05-07,22.806352615356445
2014-05-08,22.678651809692383
2014-05-09,22.889345169067383
2014-05-12,23.093660354614258
2014-05-13,23.010665893554688
2014-05-14,22.875646591186523
2014-05-15,22.2584285736084
2014-05-16,22.30343246459961
2014-05-19,22.57989501953125
2014-05-20,22.46416473388672
2014-05-21,22.69562530517578
2014-05-22,22.772781372070312
2014-05-23,22.93351173400879
2014-05-27,23.177820205688477
2014-05-28,23.107101440429688
2014-05-29,23.550731658935547
2014-05-30,23.59572982788086
2014-06-02,23.666458129882812
2014-06-03,23.840059280395508
2014-06-04,23.96220588684082
2014-06-05,24.21294403076172
2014-06-06,24.54728126525879
2014-06-09,24.56014060974121
2014-06-10,24.412260055541992
2014-06-11,24.34796905517578
2014-06-12,24.225814819335938
2014-06-13,23.94291877746582
2014-06-16,23.833621978759766
2014-06-17,24.013639450073242
2014-06-18,23.987926483154297
2014-06-19,23.917203903198242
2014-06-20,23.94291877746582
2014-06-23,24.14222526550293
2014-06-24,23.840059280395508
2014-06-25,24.103656768798828
2014-06-26,23.994356155395508
2014-06-27,24.264387130737305
2014-06-30,24.27081298828125
2014-07-01,24.656578063964844
2014-07-02,24.566560745239258
2014-07-03,24.85589599609375
2014-07-07,24.881601333618164
2014-07-08,24.489412307739258
2014-07-09,24.663005828857422
2014-07-10,24.264387130737305
2014-07-11,24.40582847595215
2014-07-14,24.495845794677734
2014-07-15,24.482986450195312
2014-07-16,24.579423904418945
2014-07-17,24.193655014038086
2014-07-18,24.46369171142578
2014-07-21,24.489412307739258
2014-07-22,24.90089225769043
2014-07-23,24.823741912841797
2014-07-24,24.785167694091797
2014-07-25,24.69515609741211
2014-07-28,24.708011627197266
2014-07-29,24.55370330810547
2014-07-30,24.675859451293945
2014-07-31,24.193655014038086
2014-08-01,24.315818786621094
2014-08-04,24.605138778686523
2014-08-05,24.13579750061035
2014-08-06,24.47012710571289
2014-08-07,24.309396743774414
2014-08-08,24.33510398864746
2014-08-11,24.6694393157959
2014-08-12,24.894458770751953
2014-08-13,24.95876121520996
2014-08-14,25.24164390563965
2014-08-15,25.023054122924805
2014-08-18,25.3895263671875
2014-08-19,25.59657096862793
2014-08-20,25.93950080871582
2014-08-21,26.12713623046875
2014-08-22,25.881269454956055
2014-08-25,26.275955200195312
2014-08-26,26.57359504699707
2014-08-27,26.385955810546875
2014-08-28,26.256546020507812
2014-08-29,26.424774169921875
2014-09-02,26.50241470336914
2014-09-03,26.34712028503418
2014-09-04,26.301843643188477
2014-09-05,26.50888442993164
2014-09-08,26.50241470336914
2014-09-09,26.094791412353516
2014-09-10,26.185379028320312
2014-09-11,26.353605270385742
2014-09-12,26.39889144897461
2014-09-15,26.146549224853516
2014-09-16,26.275955200195312
2014-09-17,26.43124771118164
2014-09-18,26.69005584716797
2014-09-19,26.521833419799805
2014-09-22,26.28890609741211
2014-09-23,26.05596160888672
2014-09-24,26.224193572998047
2014-09-25,25.654815673828125
2014-09-26,26.01067352294922
2014-09-29,25.622453689575195
2014-09-30,25.54480743408203
2014-10-01,25.124244689941406
2014-10-02,25.23423194885254
2014-10-03,25.641868591308594
2014-10-06,25.603038787841797
2014-10-07,24.949548721313477
2014-10-08,25.169536590576172
2014-10-09,24.30898094177246
2014-10-10,23.940174102783203
2014-10-13,23.33196258544922
2014-10-14,23.118436813354492
2014-10-15,23.008447647094727
2014-10-16,23.19607925415039
2014-10-17,23.739593505859375
2014-10-20,23.746061325073242
2014-10-21,24.444860458374023
2014-10-22,24.017818450927734
2014-10-23,24.457799911499023
2014-10-24,24.62602996826172
2014-10-27,24.548385620117188
2014-10-28,25.29894256591797
2014-10-29,25.130718231201172
2014-10-30,25.674211502075195
2014-10-31,26.185379028320312
2014-11-03,25.991262435913086
2014-11-04,25.97832679748535
2014-11-05,26.159494400024414
2014-11-06,26.495948791503906
2014-11-07,26.7094669342041
2014-11-10,26.638294219970703
2014-11-11,26.560649871826172
2014-11-12,26.437711715698242
2014-11-13,26.327716827392578
2014-11-14,26.13892364501953
2014-11-17,25.91756248474121
2014-11-18,25.911056518554688
2014-11-19,25.689701080322266
2014-11-20,25.976158142089844
2014-11-21,26.21053695678711
2014-11-24,26.34724998474121
2014-11-25,26.32120704650879
2014-11-26,26.340742111206055
2014-11-28,26.275632858276367
2014-12-01,26.23005485534668
2014-12-02,26.36678123474121
2014-12-03,26.327709197998047
2014-12-04,26.340742111206055
2014-12-05,26.789949417114258
2014-12-08,26.731367111206055
2014-12-09,26.75088882446289
2014-12-10,26.21053695678711
