,CAG
2014-01-02,18.564483642578125
2014-01-03,18.520252227783203
2014-01-06,18.43177032470703
2014-01-07,18.746980667114258
2014-01-08,18.592140197753906
2014-01-09,18.664031982421875
2014-01-10,18.724857330322266
2014-01-13,18.564483642578125
2014-01-14,18.73592185974121
2014-01-15,18.669559478759766
2014-01-16,18.82993507385254
2014-01-17,18.481538772583008
2014-01-21,18.55895233154297
2014-01-22,18.608726501464844
2014-01-23,18.393056869506836
2014-01-24,18.11102294921875
2014-01-27,18.243743896484375
2014-01-28,18.133142471313477
2014-01-29,17.75420570373535
2014-01-30,17.720767974853516
2014-01-31,17.715194702148438
2014-02-03,17.107789993286133
2014-02-04,17.17465591430664
2014-02-05,17.118934631347656
2014-02-06,17.107789993286133
2014-02-07,17.191377639770508
2014-02-10,17.30282974243164
2014-02-11,16.205034255981445
2014-02-12,16.14373207092285
2014-02-13,16.160451889038086
2014-02-14,16.361064910888672
2014-02-18,16.266332626342773
2014-02-19,16.12700843811035
2014-02-20,15.915255546569824
2014-02-21,15.881817817687988
2014-02-24,15.904111862182617
2014-02-25,15.842815399169922
2014-02-26,15.787090301513672
2014-02-27,15.748083114624023
2014-02-28,15.826093673706055
2014-03-03,15.814952850341797
2014-03-04,16.02113914489746
2014-03-05,16.149307250976562
2014-03-06,16.238473892211914
2014-03-07,16.422365188598633
2014-03-10,16.40007781982422
2014-03-11,16.388925552368164
2014-03-12,16.617406845092773
2014-03-13,16.422365188598633
2014-03-14,16.394502639770508
2014-03-17,16.47251319885254
2014-03-18,16.611833572387695
2014-03-19,16.489229202270508
2014-03-20,16.71213150024414
2014-03-21,16.7567138671875
2014-03-24,16.77900505065918
2014-03-25,16.85702896118164
2014-03-26,16.85702896118164
2014-03-27,16.968475341796875
2014-03-28,17.10221290588379
2014-03-31,17.29168701171875
2014-04-01,17.17465591430664
2014-04-02,17.341846466064453
2014-04-03,17.542451858520508
2014-04-04,17.263822555541992
2014-04-07,17.31954574584961
2014-04-08,17.391986846923828
2014-04-09,17.3306884765625
2014-04-10,17.07435417175293
2014-04-11,16.996339797973633
2014-04-14,17.18023681640625
2014-04-15,17.202518463134766
2014-04-16,17.38641929626465
2014-04-17,17.46442985534668
2014-04-21,17.397563934326172
2014-04-22,17.425424575805664
2014-04-23,17.364124298095703
2014-04-24,17.30839729309082
2014-04-25,17.27496337890625
2014-04-28,17.246870040893555
2014-04-29,17.123279571533203
2014-04-30,17.14013671875
2014-05-01,17.10081672668457
2014-05-02,17.19631004333496
2014-05-05,17.050247192382812
2014-05-06,16.960365295410156
2014-05-07,17.319908142089844
2014-05-08,17.134517669677734
2014-05-09,17.28620147705078
2014-05-12,17.387325286865234
2014-05-13,17.52215003967285
2014-05-14,17.67945098876953
2014-05-15,17.47721290588379
2014-05-16,17.66259765625
2014-05-19,17.62327003479004
2014-05-20,17.561477661132812
2014-05-21,17.651365280151367
2014-05-22,17.746864318847656
2014-05-23,17.758102416992188
2014-05-27,17.730010986328125
2014-05-28,17.74125099182129
2014-05-29,18.072708129882812
2014-05-30,18.14573860168457
2014-06-02,18.050233840942383
2014-06-03,18.083946228027344
2014-06-04,18.185060501098633
2014-06-05,18.246854782104492
2014-06-06,18.370450973510742
2014-06-09,18.286182403564453
2014-06-10,18.241241455078125
2014-06-11,18.106409072875977
2014-06-12,18.106409072875977
2014-06-13,18.25809669494629
2014-06-16,18.421010971069336
2014-06-17,18.454723358154297
2014-06-18,17.117666244506836
2014-06-19,16.50531578063965
2014-06-20,16.185094833374023
2014-06-23,16.196327209472656
2014-06-24,16.19071388244629
2014-06-25,16.140153884887695
2014-06-26,16.274986267089844
2014-06-27,16.64576530456543
2014-06-30,16.673852920532227
2014-07-01,16.90418815612793
2014-07-02,17.1457576751709
2014-07-03,17.45473861694336
2014-07-07,17.44350242614746
2014-07-08,17.21317481994629
2014-07-09,17.168222427368164
2014-07-10,17.14013671875
2014-07-11,17.185083389282227
2014-07-14,17.35361671447754
2014-07-15,17.387325286865234
2014-07-16,17.34800148010254
2014-07-17,17.14013671875
2014-07-18,17.230018615722656
2014-07-21,17.218782424926758
2014-07-22,17.201934814453125
2014-07-23,17.460355758666992
2014-07-24,17.567960739135742
2014-07-25,17.60194206237793
2014-07-28,17.522647857666016
2014-07-29,17.347084045410156
2014-07-30,17.279123306274414
2014-07-31,17.06391716003418
2014-08-01,17.21117401123047
2014-08-04,17.347084045410156
2014-08-05,17.273462295532227
2014-08-06,17.432035446166992
2014-08-07,17.443370819091797
2014-08-08,17.533979415893555
2014-08-11,17.800161361694336
2014-08-12,17.800161361694336
2014-08-13,17.811491012573242
2014-08-14,18.049354553222656
2014-08-15,17.998384475708008
2014-08-18,18.060678482055664
2014-08-19,18.060678482055664
2014-08-20,18.13430404663086
2014-08-21,18.207929611206055
2014-08-22,18.038034439086914
2014-08-25,18.185279846191406
2014-08-26,18.049354553222656
2014-08-27,18.196605682373047
2014-08-28,18.196605682373047
2014-08-29,18.236248016357422
2014-09-02,18.185279846191406
2014-09-03,18.36083984375
2014-09-04,18.37783432006836
2014-09-05,18.411808013916016
2014-09-08,18.502424240112305
2014-09-09,18.400484085083008
2014-09-10,18.38349151611328
2014-09-11,18.406152725219727
2014-09-12,18.315534591674805
2014-09-15,18.321195602416992
2014-09-16,18.332521438598633
2014-09-17,18.128639221191406
2014-09-18,18.961166381835938
2014-09-19,19.03478240966797
2014-09-22,18.989479064941406
2014-09-23,18.76861000061035
2014-09-24,18.972492218017578
2014-09-25,18.6043701171875
2014-09-26,18.825239181518555
2014-09-29,18.67799949645996
2014-09-30,18.71197509765625
2014-10-01,18.734628677368164
2014-10-02,18.559064865112305
2014-10-03,18.87621307373047
2014-10-06,19.080093383789062
2014-10-07,18.85355567932129
2014-10-08,19.176374435424805
2014-10-09,19.17070960998535
2014-10-10,18.972492218017578
2014-10-13,18.774272918701172
2014-10-14,19.01779556274414
2014-10-15,19.040449142456055
2014-10-16,18.85355567932129
