,UNH
2014-01-02,63.01327133178711
2014-01-03,63.46113204956055
2014-01-06,62.73440170288086
2014-01-07,64.65264129638672
2014-01-08,63.90055465698242
2014-01-09,64.28926849365234
2014-01-10,63.12311935424805
2014-01-13,62.48091506958008
2014-01-14,62.54851531982422
2014-01-15,63.24143981933594
2014-01-16,61.483787536621094
2014-01-17,61.28098678588867
2014-01-21,61.821781158447266
2014-01-22,62.02458190917969
2014-01-23,61.8555793762207
2014-01-24,60.50356674194336
2014-01-27,60.54582595825195
2014-01-28,60.59652328491211
2014-01-29,60.21624755859375
2014-01-30,61.51759719848633
2014-01-31,61.07816696166992
2014-02-03,59.77684020996094
2014-02-04,59.582481384277344
2014-02-05,59.84444046020508
2014-02-06,59.88669967651367
2014-02-07,60.300743103027344
2014-02-10,58.93182373046875
2014-02-11,59.675437927246094
2014-02-12,59.35432815551758
2014-02-13,60.17401123046875
2014-02-14,62.125999450683594
2014-02-18,62.38797378540039
2014-02-19,62.15135955810547
2014-02-20,62.09220504760742
2014-02-21,62.371055603027344
2014-02-24,64.23013305664062
2014-02-25,63.64704132080078
2014-02-26,64.27236938476562
2014-02-27,64.23856353759766
2014-02-28,65.2948226928711
2014-03-03,65.15119171142578
2014-03-04,66.02154541015625
2014-03-05,65.90322875976562
2014-03-06,65.60750579833984
2014-03-07,65.4046859741211
2014-03-10,65.81028747558594
2014-03-11,65.7258071899414
2014-03-12,65.81060028076172
2014-03-13,65.31025695800781
2014-03-14,64.19928741455078
2014-03-17,65.09821319580078
2014-03-18,66.14982604980469
2014-03-19,67.81207275390625
2014-03-20,69.1435546875
2014-03-21,68.9823989868164
2014-03-24,68.93150329589844
2014-03-25,68.77886199951172
2014-03-26,69.15201568603516
2014-03-27,68.71102142333984
2014-03-28,69.2198715209961
2014-03-31,69.53363037109375
2014-04-01,69.40644073486328
2014-04-02,69.21138763427734
2014-04-03,69.754150390625
2014-04-04,69.1435546875
2014-04-07,68.76191711425781
2014-04-08,68.40570831298828
2014-04-09,69.02481079101562
2014-04-10,67.83749389648438
2014-04-11,66.9554672241211
2014-04-14,67.15055084228516
2014-04-15,67.43043518066406
2014-04-16,66.31097412109375
2014-04-17,64.26712036132812
2014-04-21,63.56318283081055
2014-04-22,64.2501220703125
2014-04-23,63.88546371459961
2014-04-24,64.95405578613281
2014-04-25,64.16535186767578
2014-04-28,64.23316955566406
2014-04-29,63.77525329589844
2014-04-30,63.639549255371094
2014-05-01,63.56318283081055
2014-05-02,63.63106918334961
2014-05-05,63.800689697265625
2014-05-06,63.82609939575195
2014-05-07,66.07350158691406
2014-05-08,65.20845031738281
2014-05-09,65.25935363769531
2014-05-12,65.92931365966797
2014-05-13,66.18376159667969
2014-05-14,65.4459457397461
2014-05-15,64.86077117919922
2014-05-16,65.00492095947266
2014-05-19,65.47135162353516
2014-05-20,65.01342010498047
2014-05-21,65.912353515625
2014-05-22,66.43820190429688
2014-05-23,66.80284881591797
2014-05-27,67.0911865234375
2014-05-28,66.6417236328125
2014-05-29,67.31170654296875
2014-05-30,67.53218078613281
2014-06-02,67.39652252197266
2014-06-03,67.74420928955078
